Date,Close
2024-01-01,
2024-01-02,43.96
2024-01-03,42.63
2024-01-04,42.14
2024-01-05,42.28
2024-01-06,
2024-01-07,
2024-01-08,43.31
2024-01-09,43.08
2024-01-10,43.58
2024-01-11,43.48
2024-01-12,42.7
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,42.6
2024-01-17,42.01
2024-01-18,42.35
2024-01-19,42.96
2024-01-20,
2024-01-21,
2024-01-22,42.65
2024-01-23,42.5
2024-01-24,42.27
2024-01-25,41.47
2024-01-26,41.77
2024-01-27,
2024-01-28,
2024-01-29,42.64
2024-01-30,42.6
2024-01-31,41.44
2024-02-01,42.6
2024-02-02,43.73
2024-02-03,
2024-02-04,
2024-02-05,42.82
2024-02-06,43.18
2024-02-07,43.91
2024-02-08,44.18
2024-02-09,44.66
2024-02-10,
2024-02-11,
2024-02-12,44.57
2024-02-13,43.27
2024-02-14,43.91
2024-02-15,44.65
2024-02-16,44.3
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,43.63
2024-02-21,44.09
2024-02-22,45.39
2024-02-23,45.07
2024-02-24,
2024-02-25,
2024-02-26,45.23
2024-02-27,45.45
2024-02-28,45.71
2024-02-29,46.22
2024-03-01,46.42
2024-03-02,
2024-03-03,
2024-03-04,45.43
2024-03-05,44.59
2024-03-06,44.35
2024-03-07,44.85
2024-03-08,44.57
2024-03-09,
2024-03-10,
2024-03-11,44.38
2024-03-12,44.93
2024-03-13,44.79
2024-03-14,44.33
2024-03-15,44.33
2024-03-16,
2024-03-17,
2024-03-18,44.16
2024-03-19,44.73
2024-03-20,45.73
2024-03-21,46.12
2024-03-22,45.52
2024-03-23,
2024-03-24,
2024-03-25,45.26
2024-03-26,45.33
2024-03-27,46.11
2024-03-28,45.94
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,45.36
2024-04-02,44.33
2024-04-03,44.37
2024-04-04,43.62
2024-04-05,43.99
2024-04-06,
2024-04-07,
2024-04-08,44.55
2024-04-09,44.88
2024-04-10,43.87
2024-04-11,44.38
2024-04-12,43.28
2024-04-13,
2024-04-14,
2024-04-15,42.17
2024-04-16,41.79
2024-04-17,41.49
2024-04-18,41.1
2024-04-19,40.53
2024-04-20,
2024-04-21,
2024-04-22,40.8
2024-04-23,41.52
2024-04-24,42.12
2024-04-25,42.18
2024-04-26,42.73
2024-04-27,
2024-04-28,
2024-04-29,44.19
2024-04-30,42.5
2024-05-01,42.16
2024-05-02,42.95
2024-05-03,43.4
2024-05-04,
2024-05-05,
2024-05-06,44.05
2024-05-07,43.6
2024-05-08,43.32
2024-05-09,43.76
2024-05-10,43.4
2024-05-11,
2024-05-12,
2024-05-13,43.29
2024-05-14,43.59
2024-05-15,43.67
2024-05-16,43.25
2024-05-17,43.55
2024-05-18,
2024-05-19,
2024-05-20,43.06
2024-05-21,43.47
2024-05-22,42.79
2024-05-23,41.77
2024-05-24,42.38
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,42.18
2024-05-29,41.76
2024-05-30,42.14
2024-05-31,42.14
2024-06-01,
2024-06-02,
2024-06-03,42.43
2024-06-04,42.47
2024-06-05,42.85
2024-06-06,43.31
2024-06-07,43.05
2024-06-08,
2024-06-09,
2024-06-10,43.23
2024-06-11,43.04
2024-06-12,43.73
2024-06-13,43.8
2024-06-14,43.27
2024-06-15,
2024-06-16,
2024-06-17,44.36
2024-06-18,44.12
2024-06-19,
2024-06-20,44.21
2024-06-21,44.79
2024-06-22,
2024-06-23,
2024-06-24,44.45
2024-06-25,44.15
2024-06-26,45.15
2024-06-27,45.53
2024-06-28,44.76
2024-06-29,
2024-06-30,
2024-07-01,45.01
2024-07-02,46.29
2024-07-03,46.76
2024-07-04,
2024-07-05,47.28
2024-07-06,
2024-07-07,
2024-07-08,47.32
2024-07-09,47.54
2024-07-10,48.07
2024-07-11,47.15
2024-07-12,48.05
2024-07-13,
2024-07-14,
2024-07-15,47.91
2024-07-16,49.21
2024-07-17,48.02
2024-07-18,47.24
2024-07-19,46.59
2024-07-20,
2024-07-21,
2024-07-22,47.37
2024-07-23,47.04
2024-07-24,44.14
2024-07-25,43.87
2024-07-26,44.6
2024-07-27,
2024-07-28,
2024-07-29,45.67
2024-07-30,45.33
2024-07-31,46.36
2024-08-01,44.67
2024-08-02,44.67
2024-08-03,
2024-08-04,
2024-08-05,40.38
2024-08-06,41.08
2024-08-07,39.92
2024-08-08,41.24
2024-08-09,41.24
2024-08-10,
2024-08-11,
2024-08-12,41.16
2024-08-13,42.71
2024-08-14,42.39
2024-08-15,44.41
2024-08-16,44.56
2024-08-17,
2024-08-18,
2024-08-19,45.36
2024-08-20,45.29
2024-08-21,46.18
2024-08-22,44.93
2024-08-23,46.26
2024-08-24,
2024-08-25,
2024-08-26,45.69
2024-08-27,45.5
2024-08-28,44.82
2024-08-29,44.9
2024-08-30,45.94
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,44.95
2024-09-04,45.15
2024-09-05,45.91
2024-09-06,44.11
2024-09-07,
2024-09-08,
2024-09-09,45.07
2024-09-10,45.86
2024-09-11,46.55
2024-09-12,47.31
2024-09-13,47.31
2024-09-14,
2024-09-15,
2024-09-16,47.63
2024-09-17,48.0
2024-09-18,47.86
2024-09-19,49.5
2024-09-20,49.5
2024-09-21,
2024-09-22,
2024-09-23,50.17
2024-09-24,50.82
2024-09-25,50.55
2024-09-26,50.86
2024-09-27,51.0
2024-09-28,
2024-09-29,
2024-09-30,50.81
2024-10-01,50.44
2024-10-02,49.8
2024-10-03,48.92
2024-10-04,49.91
2024-10-05,
2024-10-06,
2024-10-07,48.69
2024-10-08,49.41
2024-10-09,49.92
2024-10-10,49.56
2024-10-11,49.22
2024-10-12,
2024-10-13,
2024-10-14,49.52
2024-10-15,49.68
2024-10-16,50.04
2024-10-17,49.98
2024-10-18,50.28
2024-10-19,
2024-10-20,
2024-10-21,49.67
2024-10-22,49.36
2024-10-23,48.19
2024-10-24,50.45
2024-10-25,50.71
2024-10-26,
2024-10-27,
2024-10-28,50.82
2024-10-29,50.44
2024-10-30,50.3
2024-10-31,49.2
2024-11-01,50.41
2024-11-02,
2024-11-03,
2024-11-04,50.07
2024-11-05,51.37
2024-11-06,53.87
2024-11-07,54.88
2024-11-08,56.02
2024-11-09,
2024-11-10,
2024-11-11,57.69
2024-11-12,56.55
2024-11-13,57.24
2024-11-14,56.05
2024-11-15,55.3
2024-11-16,
2024-11-17,
2024-11-18,56.04
2024-11-19,56.11
2024-11-20,55.73
2024-11-21,55.86
2024-11-22,57.08
2024-11-23,
2024-11-24,
2024-11-25,57.88
2024-11-26,58.23
2024-11-27,57.77
2024-11-28,
2024-11-29,57.77
2024-11-30,
2024-12-01,
2024-12-02,59.42
2024-12-03,59.34
2024-12-04,60.16
2024-12-05,60.86
2024-12-06,62.79
2024-12-07,
2024-12-08,
2024-12-09,62.42
2024-12-10,62.57
2024-12-11,64.24
2024-12-12,63.41
2024-12-13,63.81
2024-12-14,
2024-12-15,
2024-12-16,65.06
2024-12-17,65.38
2024-12-18,60.91
2024-12-19,60.81
2024-12-20,60.81
2024-12-21,
2024-12-22,
2024-12-23,61.26
2024-12-24,63.44
2024-12-25,
2024-12-26,63.02
2024-12-27,61.42
2024-12-28,
2024-12-29,
2024-12-30,59.94
2024-12-31,59.24
2025-01-01,
2025-01-02,58.07
2025-01-03,59.89
2025-01-04,
2025-01-05,
2025-01-06,60.2
2025-01-07,58.44
2025-01-08,58.71
2025-01-09,
2025-01-10,57.82
2025-01-11,
2025-01-12,
2025-01-13,58.27
2025-01-14,58.09
2025-01-15,60.29
2025-01-16,59.8
2025-01-17,61.03
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,61.71
2025-01-22,61.34
2025-01-23,61.87
2025-01-24,61.33
2025-01-25,
2025-01-26,
2025-01-27,61.78
2025-01-28,61.9
2025-01-29,61.65
2025-01-30,62.53
2025-01-31,62.12
2025-02-01,
2025-02-02,
2025-02-03,60.82
2025-02-04,61.9
2025-02-05,60.83
2025-02-06,61.16
2025-02-07,59.38
2025-02-08,
2025-02-09,
2025-02-10,59.66
2025-02-11,58.62
2025-02-12,58.63
2025-02-13,59.99
2025-02-14,59.91
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,59.6
2025-02-19,59.55
2025-02-20,58.75
2025-02-21,56.47
2025-02-22,
2025-02-23,
2025-02-24,56.08
2025-02-25,55.65
2025-02-26,55.31
2025-02-27,54.08
2025-02-28,55.42
2025-03-01,
2025-03-02,
2025-03-03,53.86
2025-03-04,52.42
2025-03-05,53.61
2025-03-06,51.57
2025-03-07,51.46
2025-03-08,
2025-03-09,
2025-03-10,48.68
2025-03-11,47.98
2025-03-12,48.36
2025-03-13,46.58
2025-03-14,48.02
2025-03-15,
2025-03-16,
2025-03-17,48.09
2025-03-18,46.8
2025-03-19,48.12
2025-03-20,47.95
2025-03-21,48.17
2025-03-22,
2025-03-23,
2025-03-24,50.91
2025-03-25,51.52
2025-03-26,50.47
2025-03-27,50.51
2025-03-28,48.21
2025-03-29,
2025-03-30,
2025-03-31,48.29
2025-04-01,49.06
2025-04-02,50.46
2025-04-03,45.91
2025-04-04,42.93
2025-04-05,
2025-04-06,
2025-04-07,42.15
2025-04-08,40.6
2025-04-09,47.21
2025-04-10,44.51
2025-04-11,45.12
2025-04-12,
2025-04-13,
2025-04-14,45.26
2025-04-15,44.77
2025-04-16,43.06
2025-04-17,43.5
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,41.72
2025-04-22,43.65
2025-04-23,45.17
2025-04-24,46.5
2025-04-25,47.73
2025-04-26,
2025-04-27,
2025-04-28,47.74
2025-04-29,48.25
2025-04-30,47.59
2025-05-01,48.0
2025-05-02,49.09
2025-05-03,
2025-05-04,
2025-05-05,48.23
2025-05-06,47.61
2025-05-07,47.61
2025-05-08,49.01
2025-05-09,49.34
2025-05-10,
2025-05-11,
2025-05-12,53.06
2025-05-13,54.09
2025-05-14,54.41
2025-05-15,54.23
2025-05-16,55.0
2025-05-17,
2025-05-18,
2025-05-19,54.73
2025-05-20,54.28
2025-05-21,52.64
2025-05-22,52.96
2025-05-23,52.22
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,54.53
2025-05-28,53.72
2025-05-29,53.81
2025-05-30,53.43
2025-05-31,
2025-06-01,
2025-06-02,53.49
