Date,Close
2020-01-01,
2020-01-02,64.55
2020-01-03,64.4
2020-01-04,
2020-01-05,
2020-01-06,64.89
2020-01-07,64.75
2020-01-08,64.34
2020-01-09,64.52
2020-01-10,64.64
2020-01-11,
2020-01-12,
2020-01-13,64.62
2020-01-14,64.55
2020-01-15,65.36
2020-01-16,65.77
2020-01-17,66.2
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,66.18
2020-01-22,65.92
2020-01-23,66.22
2020-01-24,66.16
2020-01-25,
2020-01-26,
2020-01-27,65.62
2020-01-28,66.57
2020-01-29,67.26
2020-01-30,68.11
2020-01-31,67.54
2020-02-01,
2020-02-02,
2020-02-03,67.61
2020-02-04,66.6
2020-02-05,66.89
2020-02-06,67.16
2020-02-07,66.8
2020-02-08,
2020-02-09,
2020-02-10,66.63
2020-02-11,67.12
2020-02-12,67.56
2020-02-13,67.92
2020-02-14,68.89
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,70.08
2020-02-19,69.18
2020-02-20,70.3
2020-02-21,70.4
2020-02-22,
2020-02-23,
2020-02-24,70.73
2020-02-25,69.15
2020-02-26,68.34
2020-02-27,64.72
2020-02-28,62.25
2020-02-29,
2020-03-01,
2020-03-02,67.03
2020-03-03,66.39
2020-03-04,70.89
2020-03-05,69.41
2020-03-06,69.03
2020-03-07,
2020-03-08,
2020-03-09,64.76
2020-03-10,66.26
2020-03-11,62.86
2020-03-12,56.78
2020-03-13,62.34
2020-03-14,
2020-03-15,
2020-03-16,54.66
2020-03-17,64.08
2020-03-18,63.91
2020-03-19,57.21
2020-03-20,53.52
2020-03-21,
2020-03-22,
2020-03-23,47.29
2020-03-24,52.29
2020-03-25,53.62
2020-03-26,57.68
2020-03-27,58.18
2020-03-28,
2020-03-29,
2020-03-30,61.16
2020-03-31,57.48
2020-04-01,55.68
2020-04-02,56.58
2020-04-03,55.38
2020-04-04,
2020-04-05,
2020-04-06,59.01
2020-04-07,58.48
2020-04-08,62.28
2020-04-09,64.97
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,63.33
2020-04-14,65.31
2020-04-15,63.53
2020-04-16,62.16
2020-04-17,64.9
2020-04-18,
2020-04-19,
2020-04-20,62.99
2020-04-21,61.0
2020-04-22,62.7
2020-04-23,61.24
2020-04-24,62.04
2020-04-25,
2020-04-26,
2020-04-27,62.52
2020-04-28,63.12
2020-04-29,62.64
2020-04-30,61.41
2020-05-01,60.2
2020-05-02,
2020-05-03,
2020-05-04,60.36
2020-05-05,62.06
2020-05-06,61.89
2020-05-07,62.19
2020-05-08,62.43
2020-05-09,
2020-05-10,
2020-05-11,63.09
2020-05-12,62.86
2020-05-13,62.91
2020-05-14,63.41
2020-05-15,62.28
2020-05-16,
2020-05-17,
2020-05-18,63.58
2020-05-19,62.77
2020-05-20,62.7
2020-05-21,62.59
2020-05-22,64.11
2020-05-23,
2020-05-24,
2020-05-25,
