Date,Close
2024-01-01,
2024-01-02,39.67
2024-01-03,37.99
2024-01-04,38.44
2024-01-05,39.75
2024-01-06,
2024-01-07,
2024-01-08,40.82
2024-01-09,41.5
2024-01-10,41.29
2024-01-11,41.44
2024-01-12,37.72
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,36.74
2024-01-17,36.42
2024-01-18,37.35
2024-01-19,36.56
2024-01-20,
2024-01-21,
2024-01-22,36.26
2024-01-23,37.27
2024-01-24,37.45
2024-01-25,39.4
2024-01-26,38.86
2024-01-27,
2024-01-28,
2024-01-29,39.31
2024-01-30,38.75
2024-01-31,38.38
2024-02-01,38.99
2024-02-02,39.2
2024-02-03,
2024-02-04,
2024-02-05,38.48
2024-02-06,39.4
2024-02-07,39.43
2024-02-08,39.57
2024-02-09,39.72
2024-02-10,
2024-02-11,
2024-02-12,39.79
2024-02-13,39.23
2024-02-14,40.05
2024-02-15,40.2
2024-02-16,39.34
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,39.81
2024-02-21,39.97
2024-02-22,41.3
2024-02-23,41.01
2024-02-24,
2024-02-25,
2024-02-26,41.08
2024-02-27,41.26
2024-02-28,41.29
2024-02-29,41.55
2024-03-01,41.44
2024-03-02,
2024-03-03,
2024-03-04,40.86
2024-03-05,41.09
2024-03-06,41.3
2024-03-07,42.05
2024-03-08,41.52
2024-03-09,
2024-03-10,
2024-03-11,41.95
2024-03-12,42.03
2024-03-13,43.16
2024-03-14,42.33
2024-03-15,42.38
2024-03-16,
2024-03-17,
2024-03-18,42.7
2024-03-19,42.99
2024-03-20,44.61
2024-03-21,45.21
2024-03-22,44.81
2024-03-23,
2024-03-24,
2024-03-25,44.64
2024-03-26,45.15
2024-03-27,46.5
2024-03-28,47.05
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,47.4
2024-04-02,46.1
2024-04-03,45.78
2024-04-04,45.1
2024-04-05,45.27
2024-04-06,
2024-04-07,
2024-04-08,46.21
2024-04-09,46.51
2024-04-10,45.45
2024-04-11,46.82
2024-04-12,46.06
2024-04-13,
2024-04-14,
2024-04-15,45.85
2024-04-16,45.76
2024-04-17,47.06
