Date,Close
2024-01-01,
2024-01-02,61.27
2024-01-03,60.11
2024-01-04,59.78
2024-01-05,59.31
2024-01-06,
2024-01-07,
2024-01-08,60.54
2024-01-09,60.07
2024-01-10,60.24
2024-01-11,60.6
2024-01-12,60.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,60.55
2024-01-17,60.88
2024-01-18,61.42
2024-01-19,61.75
2024-01-20,
2024-01-21,
2024-01-22,63.12
2024-01-23,63.31
2024-01-24,63.99
2024-01-25,63.32
2024-01-26,62.91
2024-01-27,
2024-01-28,
2024-01-29,63.4
2024-01-30,63.29
2024-01-31,62.12
2024-02-01,63.45
2024-02-02,63.55
2024-02-03,
2024-02-04,
2024-02-05,62.11
2024-02-06,61.97
2024-02-07,62.24
2024-02-08,64.29
2024-02-09,64.82
2024-02-10,
2024-02-11,
2024-02-12,64.49
2024-02-13,61.99
2024-02-14,63.82
2024-02-15,63.44
2024-02-16,61.4
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,62.26
2024-02-21,63.36
2024-02-22,65.4
2024-02-23,63.8
2024-02-24,
2024-02-25,
2024-02-26,64.3
2024-02-27,63.57
2024-02-28,63.37
2024-02-29,64.56
2024-03-01,64.58
2024-03-02,
2024-03-03,
2024-03-04,65.53
2024-03-05,65.07
2024-03-06,64.39
2024-03-07,62.5
2024-03-08,63.15
2024-03-09,
2024-03-10,
2024-03-11,63.44
2024-03-12,64.44
2024-03-13,63.9
2024-03-14,62.98
2024-03-15,62.27
2024-03-16,
2024-03-17,
2024-03-18,61.01
2024-03-19,62.13
2024-03-20,62.17
2024-03-21,62.23
2024-03-22,61.26
2024-03-23,
2024-03-24,
2024-03-25,60.51
2024-03-26,60.63
2024-03-27,61.0
2024-03-28,62.01
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,62.1
2024-04-02,60.03
2024-04-03,60.83
2024-04-04,60.47
2024-04-05,60.98
2024-04-06,
2024-04-07,
2024-04-08,60.83
2024-04-09,61.34
2024-04-10,60.26
2024-04-11,59.9
2024-04-12,62.15
2024-04-13,
2024-04-14,
2024-04-15,61.15
2024-04-16,61.13
2024-04-17,61.01
2024-04-18,61.71
2024-04-19,62.22
2024-04-20,
2024-04-21,
2024-04-22,63.92
2024-04-23,65.38
2024-04-24,65.0
2024-04-25,62.26
2024-04-26,63.02
2024-04-27,
2024-04-28,
2024-04-29,63.65
2024-04-30,62.78
2024-05-01,59.53
2024-05-02,62.42
2024-05-03,63.69
2024-05-04,
2024-05-05,
2024-05-06,63.18
2024-05-07,62.89
2024-05-08,62.71
2024-05-09,62.29
2024-05-10,61.68
2024-05-11,
2024-05-12,
2024-05-13,61.85
2024-05-14,61.32
2024-05-15,62.76
2024-05-16,62.71
2024-05-17,64.5
2024-05-18,
2024-05-19,
2024-05-20,64.11
2024-05-21,63.39
2024-05-22,62.21
2024-05-23,61.19
2024-05-24,61.63
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,60.83
2024-05-29,60.4
2024-05-30,59.78
2024-05-31,60.96
2024-06-01,
2024-06-02,
2024-06-03,60.12
2024-06-04,59.7
2024-06-05,61.14
2024-06-06,59.83
2024-06-07,58.35
2024-06-08,
2024-06-09,
2024-06-10,58.87
2024-06-11,58.25
2024-06-12,58.83
2024-06-13,57.8
2024-06-14,57.5
2024-06-15,
2024-06-16,
2024-06-17,57.58
2024-06-18,58.14
2024-06-19,
2024-06-20,58.11
2024-06-21,58.44
2024-06-22,
2024-06-23,
2024-06-24,58.96
2024-06-25,59.94
2024-06-26,58.55
2024-06-27,57.89
2024-06-28,59.62
2024-06-29,
2024-06-30,
2024-07-01,59.35
2024-07-02,60.08
2024-07-03,59.74
2024-07-04,
2024-07-05,59.11
2024-07-06,
2024-07-07,
2024-07-08,58.98
2024-07-09,58.21
2024-07-10,58.59
2024-07-11,60.04
2024-07-12,60.29
2024-07-13,
2024-07-14,
2024-07-15,62.64
2024-07-16,65.13
2024-07-17,65.16
2024-07-18,65.0
2024-07-19,65.23
2024-07-20,
2024-07-21,
2024-07-22,67.19
2024-07-23,67.92
2024-07-24,66.11
2024-07-25,68.21
2024-07-26,69.06
2024-07-27,
2024-07-28,
2024-07-29,69.09
2024-07-30,69.46
2024-07-31,67.48
2024-08-01,64.59
2024-08-02,64.08
2024-08-03,
2024-08-04,
2024-08-05,60.61
2024-08-06,62.7
2024-08-07,61.35
2024-08-08,62.6
2024-08-09,63.06
2024-08-10,
2024-08-11,
2024-08-12,62.78
2024-08-13,63.61
2024-08-14,64.04
2024-08-15,65.31
2024-08-16,65.26
2024-08-17,
2024-08-18,
2024-08-19,65.29
2024-08-20,64.55
2024-08-21,65.07
2024-08-22,65.0
2024-08-23,66.52
2024-08-24,
2024-08-25,
2024-08-26,66.33
2024-08-27,66.21
2024-08-28,65.59
2024-08-29,66.01
2024-08-30,66.66
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,66.15
2024-09-04,66.23
2024-09-05,65.46
2024-09-06,64.66
2024-09-07,
2024-09-08,
2024-09-09,65.56
2024-09-10,65.83
2024-09-11,65.54
2024-09-12,67.0
2024-09-13,69.03
2024-09-14,
2024-09-15,
2024-09-16,69.5
2024-09-17,69.9
2024-09-18,68.25
2024-09-19,69.37
2024-09-20,67.0
2024-09-21,
2024-09-22,
2024-09-23,66.93
2024-09-24,66.73
2024-09-25,65.74
2024-09-26,65.51
2024-09-27,65.62
2024-09-28,
2024-09-29,
2024-09-30,65.83
2024-10-01,65.39
2024-10-02,66.11
2024-10-03,65.52
2024-10-04,66.12
2024-10-05,
2024-10-06,
2024-10-07,65.19
2024-10-08,65.21
2024-10-09,65.84
2024-10-10,64.42
2024-10-11,65.42
2024-10-12,
2024-10-13,
2024-10-14,65.89
2024-10-15,66.0
2024-10-16,66.34
2024-10-17,67.36
2024-10-18,67.59
2024-10-19,
2024-10-20,
2024-10-21,64.62
2024-10-22,64.32
2024-10-23,63.42
2024-10-24,63.36
2024-10-25,63.97
2024-10-26,
