Date,Close
2020-01-01,
2020-01-02,21.83
2020-01-03,21.67
2020-01-04,
2020-01-05,
2020-01-06,21.77
2020-01-07,21.71
2020-01-08,21.85
2020-01-09,22.04
2020-01-10,21.97
2020-01-11,
2020-01-12,
2020-01-13,22.16
2020-01-14,22.12
2020-01-15,22.26
2020-01-16,22.4
2020-01-17,22.53
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,22.46
2020-01-22,22.49
2020-01-23,22.42
2020-01-24,22.23
2020-01-25,
2020-01-26,
2020-01-27,21.81
2020-01-28,22.04
2020-01-29,22.12
2020-01-30,22.19
2020-01-31,21.75
2020-02-01,
2020-02-02,
2020-02-03,21.92
2020-02-04,22.24
2020-02-05,22.48
2020-02-06,22.62
2020-02-07,22.54
2020-02-08,
2020-02-09,
2020-02-10,22.73
2020-02-11,22.69
2020-02-12,22.89
2020-02-13,22.86
2020-02-14,22.91
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,22.85
2020-02-19,23.0
2020-02-20,22.83
2020-02-21,22.56
2020-02-22,
2020-02-23,
2020-02-24,21.71
2020-02-25,21.09
2020-02-26,21.08
2020-02-27,20.14
2020-02-28,20.07
2020-02-29,
2020-03-01,
2020-03-02,21.02
2020-03-03,20.46
2020-03-04,20.46
2020-03-05,20.64
2020-03-06,20.31
2020-03-07,
2020-03-08,
2020-03-09,18.79
2020-03-10,19.78
2020-03-11,18.87
2020-03-12,17.2
2020-03-13,18.84
2020-03-14,
2020-03-15,
2020-03-16,16.62
2020-03-17,17.5
2020-03-18,16.52
2020-03-19,16.77
2020-03-20,16.11
2020-03-21,
2020-03-22,
2020-03-23,15.64
2020-03-24,17.12
2020-03-25,17.36
2020-03-26,18.38
2020-03-27,17.66
2020-03-28,
2020-03-29,
2020-03-30,18.35
2020-03-31,18.08
2020-04-01,17.35
2020-04-02,17.72
2020-04-03,17.5
2020-04-04,
2020-04-05,
2020-04-06,18.6
2020-04-07,18.58
2020-04-08,19.06
2020-04-09,19.26
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,19.07
2020-04-14,19.68
2020-04-15,19.32
2020-04-16,19.5
2020-04-17,19.96
2020-04-18,
2020-04-19,
2020-04-20,19.62
2020-04-21,19.04
2020-04-22,19.52
2020-04-23,19.46
2020-04-24,19.74
2020-04-25,
2020-04-26,
2020-04-27,19.94
2020-04-28,19.8
2020-04-29,20.33
2020-04-30,20.24
2020-05-01,19.75
2020-05-02,
2020-05-03,
2020-05-04,19.83
2020-05-05,19.97
2020-05-06,19.9
2020-05-07,20.14
2020-05-08,20.41
2020-05-09,
2020-05-10,
2020-05-11,20.44
2020-05-12,20.07
2020-05-13,19.81
2020-05-14,19.99
2020-05-15,20.09
2020-05-16,
2020-05-17,
2020-05-18,20.61
2020-05-19,20.46
2020-05-20,20.91
2020-05-21,20.76
2020-05-22,20.8
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,20.97
2020-05-27,21.14
2020-05-28,21.18
2020-05-29,21.3
2020-05-30,
2020-05-31,
2020-06-01,21.38
2020-06-02,21.54
2020-06-03,21.76
2020-06-04,21.61
2020-06-05,22.1
2020-06-06,
2020-06-07,
2020-06-08,22.23
2020-06-09,22.24
2020-06-10,22.3
2020-06-11,21.1
2020-06-12,21.34
2020-06-13,
2020-06-14,
2020-06-15,21.55
2020-06-16,21.86
2020-06-17,21.9
2020-06-18,21.92
2020-06-19,21.8
2020-06-20,
2020-06-21,
2020-06-22,21.99
2020-06-23,22.16
2020-06-24,21.62
2020-06-25,21.88
2020-06-26,21.31
2020-06-27,
2020-06-28,
2020-06-29,21.53
2020-06-30,21.87
2020-07-01,22.05
2020-07-02,22.14
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,22.54
2020-07-07,22.39
2020-07-08,22.64
2020-07-09,22.58
2020-07-10,22.76
2020-07-11,
2020-07-12,
2020-07-13,22.54
2020-07-14,22.84
2020-07-15,22.94
2020-07-16,22.88
2020-07-17,23.0
2020-07-18,
2020-07-19,
2020-07-20,23.29
2020-07-21,23.22
2020-07-22,23.35
2020-07-23,22.94
2020-07-24,22.83
2020-07-25,
2020-07-26,
2020-07-27,23.05
2020-07-28,22.85
2020-07-29,23.06
2020-07-30,22.94
2020-07-31,23.14
2020-08-01,
2020-08-02,
2020-08-03,23.28
2020-08-04,23.3
2020-08-05,23.48
2020-08-06,23.75
2020-08-07,23.69
2020-08-08,
2020-08-09,
2020-08-10,23.67
2020-08-11,23.52
2020-08-12,23.92
2020-08-13,23.96
2020-08-14,23.92
2020-08-15,
2020-08-16,
2020-08-17,24.01
2020-08-18,24.14
2020-08-19,24.05
2020-08-20,24.18
2020-08-21,24.3
2020-08-22,
2020-08-23,
2020-08-24,24.52
2020-08-25,24.65
2020-08-26,25.02
2020-08-27,25.01
2020-08-28,25.19
2020-08-29,
2020-08-30,
2020-08-31,25.13
2020-09-01,25.35
2020-09-02,25.73
2020-09-03,24.77
2020-09-04,24.5
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,23.81
2020-09-09,24.37
2020-09-10,23.95
2020-09-11,23.97
2020-09-12,
2020-09-13,
2020-09-14,24.23
2020-09-15,24.39
2020-09-16,24.16
2020-09-17,23.93
2020-09-18,23.66
2020-09-19,
2020-09-20,
2020-09-21,23.46
2020-09-22,23.74
2020-09-23,23.21
2020-09-24,23.32
2020-09-25,23.69
2020-09-26,
2020-09-27,
2020-09-28,24.02
2020-09-29,23.94
2020-09-30,24.11
2020-10-01,24.28
2020-10-02,23.97
2020-10-03,
2020-10-04,
2020-10-05,24.37
2020-10-06,23.96
2020-10-07,24.32
2020-10-08,24.47
2020-10-09,24.77
2020-10-10,
2020-10-11,
2020-10-12,25.27
2020-10-13,25.15
2020-10-14,24.95
2020-10-15,24.82
2020-10-16,24.88
2020-10-17,
2020-10-18,
2020-10-19,24.45
2020-10-20,24.55
2020-10-21,24.55
2020-10-22,24.62
2020-10-23,24.74
2020-10-24,
2020-10-25,
2020-10-26,24.3
2020-10-27,24.32
2020-10-28,23.43
2020-10-29,23.76
2020-10-30,23.38
2020-10-31,
2020-11-01,
2020-11-02,23.62
2020-11-03,24.01
2020-11-04,24.81
2020-11-05,25.32
2020-11-06,25.33
2020-11-07,
2020-11-08,
2020-11-09,25.4
2020-11-10,25.27
2020-11-11,25.5
2020-11-12,25.31
2020-11-13,25.55
2020-11-14,
2020-11-15,
2020-11-16,25.78
2020-11-17,25.64
2020-11-18,25.38
2020-11-19,25.47
2020-11-20,25.29
2020-11-21,
2020-11-22,
2020-11-23,25.31
2020-11-24,25.62
2020-11-25,25.62
2020-11-26,
2020-11-27,25.74
2020-11-28,
2020-11-29,
2020-11-30,25.64
2020-12-01,25.95
2020-12-02,25.97
2020-12-03,25.91
2020-12-04,26.1
2020-12-05,
2020-12-06,
2020-12-07,26.12
2020-12-08,26.2
2020-12-09,25.95
2020-12-10,25.89
2020-12-11,25.9
2020-12-12,
2020-12-13,
2020-12-14,25.83
2020-12-15,26.12
2020-12-16,26.24
2020-12-17,26.38
2020-12-18,26.34
2020-12-19,
2020-12-20,
2020-12-21,26.23
2020-12-22,26.23
2020-12-23,26.19
2020-12-24,26.32
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,26.66
2020-12-29,26.66
2020-12-30,26.63
2020-12-31,26.76
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,26.37
2021-01-05,26.49
2021-01-06,26.36
2021-01-07,26.72
2021-01-08,26.91
2021-01-09,
2021-01-10,
2021-01-11,26.63
2021-01-12,26.48
2021-01-13,26.59
2021-01-14,26.28
2021-01-15,26.15
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,26.4
2021-01-20,26.85
2021-01-21,26.93
2021-01-22,26.82
2021-01-23,
2021-01-24,
2021-01-25,26.91
2021-01-26,26.95
2021-01-27,26.25
2021-01-28,26.64
2021-01-29,26.07
2021-01-30,
2021-01-31,
2021-02-01,26.53
2021-02-02,26.9
2021-02-03,26.91
2021-02-04,27.12
2021-02-05,27.23
2021-02-06,
2021-02-07,
2021-02-08,27.31
2021-02-09,27.38
2021-02-10,27.38
2021-02-11,27.57
2021-02-12,27.66
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,27.67
2021-02-17,27.59
2021-02-18,27.52
2021-02-19,27.33
2021-02-20,
2021-02-21,
2021-02-22,27.1
2021-02-23,27.14
2021-02-24,27.35
2021-02-25,26.73
2021-02-26,26.66
2021-02-27,
2021-02-28,
2021-03-01,27.32
2021-03-02,27.12
2021-03-03,26.71
2021-03-04,26.35
2021-03-05,26.87
2021-03-06,
2021-03-07,
2021-03-08,26.61
2021-03-09,27.08
2021-03-10,27.21
2021-03-11,27.55
2021-03-12,27.43
2021-03-13,
2021-03-14,
2021-03-15,27.59
2021-03-16,27.69
2021-03-17,27.74
2021-03-18,27.29
2021-03-19,27.29
2021-03-20,
2021-03-21,
2021-03-22,27.53
2021-03-23,27.39
2021-03-24,27.31
2021-03-25,27.31
2021-03-26,27.8
2021-03-27,
2021-03-28,
2021-03-29,27.84
2021-03-30,27.66
2021-03-31,27.8
2021-04-01,28.16
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,28.62
2021-04-06,28.53
2021-04-07,28.62
2021-04-08,28.83
2021-04-09,29.07
2021-04-10,
2021-04-11,
2021-04-12,29.01
2021-04-13,29.11
2021-04-14,28.95
2021-04-15,29.32
2021-04-16,29.45
2021-04-17,
2021-04-18,
2021-04-19,29.26
2021-04-20,29.08
2021-04-21,29.41
2021-04-22,29.2
2021-04-23,29.56
2021-04-24,
2021-04-25,
2021-04-26,29.58
2021-04-27,29.58
2021-04-28,29.53
2021-04-29,29.86
2021-04-30,29.6
2021-05-01,
2021-05-02,
2021-05-03,29.58
2021-05-04,29.34
2021-05-05,29.32
2021-05-06,29.58
2021-05-07,29.82
2021-05-08,
2021-05-09,
2021-05-10,29.4
2021-05-11,29.23
2021-05-12,28.67
2021-05-13,29.06
2021-05-14,29.51
2021-05-15,
2021-05-16,
2021-05-17,29.35
2021-05-18,29.14
2021-05-19,29.09
2021-05-20,29.43
2021-05-21,29.37
2021-05-22,
2021-05-23,
2021-05-24,29.73
2021-05-25,29.77
2021-05-26,29.78
2021-05-27,29.72
