Date,Close
2024-01-01,
2024-01-02,135.9
2024-01-03,134.8
2024-01-04,135.65
2024-01-05,137.02
2024-01-06,
2024-01-07,
2024-01-08,136.65
2024-01-09,137.14
2024-01-10,132.31
2024-01-11,131.02
2024-01-12,130.57
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,129.85
2024-01-17,129.73
2024-01-18,130.22
2024-01-19,128.61
2024-01-20,
2024-01-21,
2024-01-22,126.81
2024-01-23,125.9
2024-01-24,123.95
2024-01-25,126.26
2024-01-26,126.55
2024-01-27,
2024-01-28,
2024-01-29,125.48
2024-01-30,124.98
2024-01-31,124.6
2024-02-01,123.37
2024-02-02,121.27
2024-02-03,
2024-02-04,
2024-02-05,120.08
2024-02-06,122.49
2024-02-07,123.62
2024-02-08,122.76
2024-02-09,122.96
2024-02-10,
2024-02-11,
2024-02-12,126.13
2024-02-13,124.04
2024-02-14,123.91
2024-02-15,121.98
2024-02-16,120.3
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,120.1
2024-02-21,122.95
2024-02-22,121.6
2024-02-23,123.29
2024-02-24,
2024-02-25,
2024-02-26,122.43
2024-02-27,122.65
2024-02-28,121.91
2024-02-29,121.16
2024-03-01,120.96
2024-03-02,
2024-03-03,
2024-03-04,121.57
2024-03-05,120.79
2024-03-06,123.13
2024-03-07,123.59
2024-03-08,123.44
2024-03-09,
2024-03-10,
2024-03-11,125.57
2024-03-12,125.87
2024-03-13,125.55
2024-03-14,123.32
2024-03-15,124.45
2024-03-16,
2024-03-17,
2024-03-18,124.31
2024-03-19,125.21
2024-03-20,123.91
2024-03-21,124.98
2024-03-22,125.44
2024-03-23,
2024-03-24,
2024-03-25,125.42
2024-03-26,125.02
2024-03-27,127.15
2024-03-28,129.14
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,130.75
2024-04-02,128.34
2024-04-03,128.44
2024-04-04,127.57
2024-04-05,127.46
2024-04-06,
2024-04-07,
2024-04-08,126.88
2024-04-09,129.52
2024-04-10,128.42
2024-04-11,126.86
2024-04-12,125.41
2024-04-13,
2024-04-14,
2024-04-15,125.51
2024-04-16,124.32
2024-04-17,123.9
2024-04-18,122.85
2024-04-19,125.32
2024-04-20,
2024-04-21,
2024-04-22,126.93
2024-04-23,133.38
2024-04-24,134.21
2024-04-25,132.13
2024-04-26,131.0
2024-04-27,
2024-04-28,
2024-04-29,136.11
2024-04-30,134.82
2024-05-01,134.21
2024-05-02,133.03
2024-05-03,134.04
2024-05-04,
2024-05-05,
2024-05-06,132.34
2024-05-07,133.61
2024-05-08,132.83
2024-05-09,134.8
2024-05-10,135.06
2024-05-11,
2024-05-12,
2024-05-13,137.36
2024-05-14,135.78
2024-05-15,137.36
2024-05-16,138.97
2024-05-17,140.83
2024-05-18,
2024-05-19,
2024-05-20,140.67
2024-05-21,139.86
2024-05-22,138.41
2024-05-23,136.64
2024-05-24,137.85
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,135.54
2024-05-29,134.83
2024-05-30,135.95
2024-05-31,138.52
2024-06-01,
2024-06-02,
2024-06-03,137.68
2024-06-04,138.13
2024-06-05,139.22
2024-06-06,139.17
2024-06-07,138.88
2024-06-08,
2024-06-09,
2024-06-10,138.03
2024-06-11,137.34
2024-06-12,135.46
2024-06-13,135.16
2024-06-14,134.5
2024-06-15,
2024-06-16,
2024-06-17,133.69
2024-06-18,133.96
2024-06-19,
2024-06-20,134.84
2024-06-21,135.58
2024-06-22,
2024-06-23,
2024-06-24,136.82
2024-06-25,134.94
2024-06-26,135.23
2024-06-27,134.0
2024-06-28,133.55
2024-06-29,
2024-06-30,
2024-07-01,133.76
2024-07-02,133.32
2024-07-03,137.48
2024-07-04,
2024-07-05,137.04
2024-07-06,
2024-07-07,
2024-07-08,136.27
2024-07-09,135.72
2024-07-10,137.77
2024-07-11,140.77
2024-07-12,141.36
2024-07-13,
2024-07-14,
2024-07-15,141.83
2024-07-16,145.77
2024-07-17,145.65
2024-07-18,144.04
2024-07-19,143.23
2024-07-20,
2024-07-21,
2024-07-22,144.54
2024-07-23,138.27
2024-07-24,141.17
2024-07-25,141.5
2024-07-26,142.82
2024-07-27,
2024-07-28,
2024-07-29,139.43
2024-07-30,140.17
2024-07-31,139.59
2024-08-01,144.86
2024-08-02,147.22
2024-08-03,
2024-08-04,
2024-08-05,143.01
2024-08-06,144.09
2024-08-07,143.35
2024-08-08,147.2
2024-08-09,146.46
2024-08-10,
2024-08-11,
2024-08-12,147.55
2024-08-13,147.9
2024-08-14,146.99
2024-08-15,146.84
2024-08-16,148.5
2024-08-17,
2024-08-18,
2024-08-19,148.24
2024-08-20,148.03
2024-08-21,150.05
2024-08-22,149.93
