Date,Close
2020-01-01,
2020-01-02,134.39
2020-01-03,133.56
2020-01-04,
2020-01-05,
2020-01-06,133.96
2020-01-07,135.27
2020-01-08,135.41
2020-01-09,136.61
2020-01-10,137.0
2020-01-11,
2020-01-12,
2020-01-13,138.25
2020-01-14,139.83
2020-01-15,139.32
2020-01-16,139.93
2020-01-17,141.28
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,141.84
2020-01-22,141.89
2020-01-23,140.78
2020-01-24,140.58
2020-01-25,
2020-01-26,
2020-01-27,139.67
2020-01-28,141.88
2020-01-29,143.15
2020-01-30,146.47
2020-01-31,139.38
2020-02-01,
2020-02-02,
2020-02-03,139.49
2020-02-04,141.02
2020-02-05,141.13
2020-02-06,142.07
2020-02-07,140.35
2020-02-08,
2020-02-09,
2020-02-10,141.22
2020-02-11,141.81
2020-02-12,141.94
2020-02-13,141.59
2020-02-14,143.78
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,142.09
2020-02-19,142.01
2020-02-20,138.85
2020-02-21,140.26
2020-02-22,
2020-02-23,
2020-02-24,135.87
2020-02-25,131.39
2020-02-26,131.86
2020-02-27,127.41
2020-02-28,125.27
2020-02-29,
2020-03-01,
2020-03-02,130.56
2020-03-03,127.83
2020-03-04,135.14
2020-03-05,129.5
2020-03-06,128.6
2020-03-07,
2020-03-08,
2020-03-09,122.68
2020-03-10,125.03
2020-03-11,120.75
2020-03-12,111.67
2020-03-13,122.5
2020-03-14,
2020-03-15,
2020-03-16,110.59
2020-03-17,114.18
2020-03-18,111.02
2020-03-19,107.6
2020-03-20,107.27
2020-03-21,
2020-03-22,
2020-03-23,105.17
2020-03-24,111.9
2020-03-25,112.04
2020-03-26,120.3
2020-03-27,120.24
2020-03-28,
2020-03-29,
2020-03-30,122.18
2020-03-31,120.09
2020-04-01,111.66
2020-04-02,118.37
2020-04-03,117.26
2020-04-04,
2020-04-05,
2020-04-06,123.15
2020-04-07,119.99
2020-04-08,125.92
2020-04-09,126.44
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,126.79
2020-04-14,132.0
2020-04-15,132.54
2020-04-16,134.37
2020-04-17,135.81
2020-04-18,
2020-04-19,
2020-04-20,135.2
2020-04-21,133.4
2020-04-22,139.04
2020-04-23,139.38
2020-04-24,143.22
2020-04-25,
2020-04-26,
2020-04-27,147.07
2020-04-28,143.44
2020-04-29,143.13
2020-04-30,141.82
2020-05-01,139.49
2020-05-02,
2020-05-03,
2020-05-04,139.79
2020-05-05,142.68
2020-05-06,142.27
2020-05-07,141.84
2020-05-08,140.06
2020-05-09,
2020-05-10,
2020-05-11,140.3
2020-05-12,139.05
2020-05-13,138.72
2020-05-14,140.26
2020-05-15,142.16
2020-05-16,
2020-05-17,
2020-05-18,140.76
2020-05-19,138.06
2020-05-20,137.94
2020-05-21,136.79
2020-05-22,137.31
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,137.59
2020-05-27,139.5
2020-05-28,142.26
2020-05-29,144.55
2020-05-30,
2020-05-31,
2020-06-01,143.49
2020-06-02,144.86
2020-06-03,147.18
2020-06-04,146.45
2020-06-05,150.3
2020-06-06,
2020-06-07,
2020-06-08,148.81
2020-06-09,147.02
2020-06-10,149.83
2020-06-11,143.07
2020-06-12,146.09
2020-06-13,
2020-06-14,
2020-06-15,148.84
2020-06-16,151.75
2020-06-17,152.99
2020-06-18,152.7
2020-06-19,150.06
2020-06-20,
2020-06-21,
2020-06-22,151.7
2020-06-23,152.35
2020-06-24,148.76
2020-06-25,149.52
2020-06-26,149.14
2020-06-27,
2020-06-28,
2020-06-29,149.72
2020-06-30,153.58
2020-07-01,153.87
2020-07-02,156.06
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,158.94
2020-07-07,158.11
2020-07-08,160.18
2020-07-09,161.09
2020-07-10,159.52
2020-07-11,
2020-07-12,
2020-07-13,158.43
2020-07-14,161.07
2020-07-15,163.58
2020-07-16,163.99
2020-07-17,165.85
2020-07-18,
2020-07-19,
2020-07-20,167.95
2020-07-21,169.36
2020-07-22,169.89
2020-07-23,173.03
2020-07-24,169.6
2020-07-25,
2020-07-26,
2020-07-27,172.82
2020-07-28,172.85
2020-07-29,175.56
2020-07-30,175.57
2020-07-31,177.01
2020-08-01,
2020-08-02,
2020-08-03,179.64
2020-08-04,178.98
2020-08-05,178.52
2020-08-06,178.65
2020-08-07,178.4
2020-08-08,
2020-08-09,
2020-08-10,175.49
2020-08-11,173.72
2020-08-12,178.85
2020-08-13,179.95
2020-08-14,177.93
2020-08-15,
2020-08-16,
2020-08-17,178.54
2020-08-18,180.38
2020-08-19,178.86
2020-08-20,178.62
2020-08-21,180.48
2020-08-22,
2020-08-23,
2020-08-24,178.54
2020-08-25,180.28
2020-08-26,180.82
2020-08-27,177.52
2020-08-28,178.61
2020-08-29,
2020-08-30,
2020-08-31,179.33
2020-09-01,180.99
2020-09-02,182.37
2020-09-03,174.5
2020-09-04,170.74
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,170.36
2020-09-09,175.39
2020-09-10,176.39
2020-09-11,177.94
2020-09-12,
2020-09-13,
2020-09-14,180.59
2020-09-15,181.25
2020-09-16,179.83
2020-09-17,179.92
2020-09-18,179.19
2020-09-19,
2020-09-20,
2020-09-21,178.75
2020-09-22,179.92
2020-09-23,178.22
2020-09-24,176.89
2020-09-25,180.08
2020-09-26,
2020-09-27,
2020-09-28,182.37
2020-09-29,183.43
2020-09-30,187.19
2020-10-01,186.61
2020-10-02,184.73
2020-10-03,
2020-10-04,
2020-10-05,189.81
2020-10-06,189.72
2020-10-07,193.01
2020-10-08,191.86
2020-10-09,196.51
2020-10-10,
2020-10-11,
2020-10-12,196.24
2020-10-13,196.13
2020-10-14,196.94
2020-10-15,195.96
2020-10-16,197.72
2020-10-17,
2020-10-18,
2020-10-19,194.58
2020-10-20,197.36
2020-10-21,196.94
2020-10-22,203.4
2020-10-23,202.25
2020-10-24,
2020-10-25,
2020-10-26,204.21
2020-10-27,208.44
2020-10-28,201.77
2020-10-29,200.0
2020-10-30,199.54
2020-10-31,
2020-11-01,
2020-11-02,202.06
2020-11-03,204.08
2020-11-04,209.08
2020-11-05,208.93
2020-11-06,213.38
2020-11-07,
2020-11-08,
2020-11-09,203.23
2020-11-10,196.36
2020-11-11,202.67
2020-11-12,202.54
2020-11-13,204.01
2020-11-14,
2020-11-15,
2020-11-16,199.64
2020-11-17,199.37
2020-11-18,195.33
2020-11-19,196.31
2020-11-20,196.25
2020-11-21,
2020-11-22,
2020-11-23,192.19
2020-11-24,189.73
2020-11-25,188.83
2020-11-26,
2020-11-27,188.45
2020-11-28,
2020-11-29,
2020-11-30,195.27
2020-12-01,195.59
2020-12-02,195.42
2020-12-03,194.15
2020-12-04,195.1
2020-12-05,
2020-12-06,
2020-12-07,196.59
2020-12-08,194.29
2020-12-09,193.72
2020-12-10,194.04
2020-12-11,194.51
2020-12-12,
2020-12-13,
2020-12-14,192.2
2020-12-15,194.0
2020-12-16,192.9
2020-12-17,195.15
2020-12-18,196.56
2020-12-19,
2020-12-20,
2020-12-21,196.6
2020-12-22,193.79
2020-12-23,191.74
2020-12-24,192.7
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,193.8
2020-12-29,193.89
2020-12-30,191.99
2020-12-31,193.26
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,194.21
2021-01-05,199.03
2021-01-06,205.63
2021-01-07,208.55
2021-01-08,211.84
2021-01-09,
2021-01-10,
2021-01-11,212.39
2021-01-12,209.4
2021-01-13,208.66
2021-01-14,205.93
2021-01-15,205.98
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,205.42
2021-01-20,206.24
2021-01-21,202.8
2021-01-22,207.1
2021-01-23,
2021-01-24,
2021-01-25,207.19
2021-01-26,203.57
2021-01-27,193.32
2021-01-28,198.86
2021-01-29,206.92
2021-01-30,
2021-01-31,
2021-02-01,210.33
2021-02-02,213.23
2021-02-03,207.26
2021-02-04,204.91
2021-02-05,204.97
2021-02-06,
2021-02-07,
2021-02-08,205.02
2021-02-09,206.19
2021-02-10,206.62
2021-02-11,209.38
2021-02-12,213.94
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,210.78
2021-02-17,208.72
2021-02-18,206.54
2021-02-19,201.18
2021-02-20,
2021-02-21,
2021-02-22,196.19
2021-02-23,194.75
2021-02-24,194.01
2021-02-25,190.76
2021-02-26,191.12
2021-02-27,
2021-02-28,
2021-03-01,196.34
2021-03-02,194.96
2021-03-03,191.12
2021-03-04,186.54
2021-03-05,189.97
2021-03-06,
2021-03-07,
2021-03-08,184.77
2021-03-09,188.22
2021-03-10,185.25
2021-03-11,190.72
2021-03-12,186.77
2021-03-13,
2021-03-14,
2021-03-15,188.79
2021-03-16,187.84
2021-03-17,186.3
2021-03-18,187.88
2021-03-19,192.32
2021-03-20,
2021-03-21,
2021-03-22,194.49
2021-03-23,191.68
2021-03-24,190.94
2021-03-25,190.45
2021-03-26,197.05
2021-03-27,
2021-03-28,
2021-03-29,197.58
2021-03-30,194.2
2021-03-31,196.01
2021-04-01,196.01
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,197.27
2021-04-06,197.73
2021-04-07,196.87
2021-04-08,200.24
2021-04-09,202.35
2021-04-10,
2021-04-11,
2021-04-12,204.51
2021-04-13,211.48
2021-04-14,206.65
2021-04-15,211.26
2021-04-16,211.67
2021-04-17,
2021-04-18,
2021-04-19,210.74
2021-04-20,210.61
2021-04-21,212.83
2021-04-22,220.25
2021-04-23,226.23
2021-04-24,
2021-04-25,
2021-04-26,224.77
2021-04-27,224.7
2021-04-28,225.02
2021-04-29,223.44
2021-04-30,221.14
2021-05-01,
2021-05-02,
2021-05-03,221.78
2021-05-04,222.96
2021-05-05,221.63
2021-05-06,223.8
2021-05-07,225.1
2021-05-08,
2021-05-09,
2021-05-10,225.58
2021-05-11,224.6
2021-05-12,217.96
2021-05-13,220.04
2021-05-14,220.83
2021-05-15,
2021-05-16,
2021-05-17,218.5
2021-05-18,217.65
2021-05-19,217.13
2021-05-20,222.0
2021-05-21,219.95
2021-05-22,
