Date,Close
2024-01-01,
2024-01-02,129.13
2024-01-03,127.48
2024-01-04,125.83
2024-01-05,124.92
2024-01-06,
2024-01-07,
2024-01-08,127.66
2024-01-09,127.59
2024-01-10,130.37
2024-01-11,127.95
2024-01-12,130.89
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,132.42
2024-01-17,129.44
2024-01-18,128.47
2024-01-19,131.14
2024-01-20,
2024-01-21,
2024-01-22,134.23
2024-01-23,132.74
2024-01-24,131.7
2024-01-25,135.77
2024-01-26,136.74
2024-01-27,
2024-01-28,
2024-01-29,139.38
2024-01-30,137.71
2024-01-31,134.12
2024-02-01,137.36
2024-02-02,137.97
2024-02-03,
2024-02-04,
2024-02-05,137.79
2024-02-06,137.75
2024-02-07,138.9
2024-02-08,140.42
2024-02-09,140.55
2024-02-10,
2024-02-11,
2024-02-12,137.31
2024-02-13,135.75
2024-02-14,135.81
2024-02-15,141.9
2024-02-16,130.07
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,128.96
2024-02-21,129.41
2024-02-22,132.13
2024-02-23,131.62
2024-02-24,
2024-02-25,
2024-02-26,131.73
2024-02-27,131.99
2024-02-28,136.29
2024-02-29,140.18
2024-03-01,143.8
2024-03-02,
2024-03-03,
2024-03-04,146.77
2024-03-05,143.47
2024-03-06,143.05
2024-03-07,144.67
2024-03-08,142.73
2024-03-09,
2024-03-10,
2024-03-11,138.93
2024-03-12,139.63
2024-03-13,137.43
2024-03-14,137.53
2024-03-15,135.65
2024-03-16,
2024-03-17,
2024-03-18,136.95
2024-03-19,136.5
2024-03-20,135.68
2024-03-21,134.83
2024-03-22,133.39
2024-03-23,
2024-03-24,
2024-03-25,132.73
2024-03-26,133.9
2024-03-27,138.42
2024-03-28,138.71
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,136.66
2024-04-02,134.63
2024-04-03,135.43
2024-04-04,134.71
2024-04-05,137.33
2024-04-06,
2024-04-07,
2024-04-08,138.04
2024-04-09,140.49
2024-04-10,136.17
2024-04-11,137.93
2024-04-12,137.22
2024-04-13,
2024-04-14,
2024-04-15,133.44
2024-04-16,131.38
2024-04-17,130.73
2024-04-18,131.61
2024-04-19,131.77
2024-04-20,
2024-04-21,
2024-04-22,130.84
2024-04-23,133.41
2024-04-24,135.41
2024-04-25,136.26
2024-04-26,137.55
2024-04-27,
2024-04-28,
2024-04-29,137.08
2024-04-30,133.65
2024-05-01,132.89
2024-05-02,134.97
2024-05-03,141.56
2024-05-04,
2024-05-05,
2024-05-06,138.45
2024-05-07,139.28
2024-05-08,135.06
2024-05-09,138.23
2024-05-10,136.23
2024-05-11,
2024-05-12,
2024-05-13,137.8
2024-05-14,136.61
2024-05-15,139.29
2024-05-16,139.58
2024-05-17,138.51
2024-05-18,
2024-05-19,
2024-05-20,138.05
2024-05-21,138.93
2024-05-22,137.86
2024-05-23,136.99
2024-05-24,137.49
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,138.45
2024-05-29,136.2
2024-05-30,138.71
2024-05-31,139.97
2024-06-01,
2024-06-02,
2024-06-03,137.75
2024-06-04,139.75
2024-06-05,141.91
2024-06-06,141.68
2024-06-07,140.94
2024-06-08,
2024-06-09,
2024-06-10,143.58
2024-06-11,144.34
2024-06-12,144.06
2024-06-13,144.22
2024-06-14,145.56
2024-06-15,
2024-06-16,
2024-06-17,144.68
2024-06-18,145.21
2024-06-19,
2024-06-20,143.59
2024-06-21,144.04
2024-06-22,
2024-06-23,
2024-06-24,142.74
2024-06-25,142.18
2024-06-26,142.62
2024-06-27,144.4
2024-06-28,147.63
2024-06-29,
2024-06-30,
2024-07-01,147.71
2024-07-02,148.46
2024-07-03,147.3
2024-07-04,
2024-07-05,147.04
2024-07-06,
2024-07-07,
2024-07-08,149.19
2024-07-09,148.84
2024-07-10,151.11
