Date,Close
2020-01-01,
2020-01-02,71.77
2020-01-03,71.82
2020-01-04,
2020-01-05,
2020-01-06,72.17
2020-01-07,71.72
2020-01-08,71.82
2020-01-09,71.99
2020-01-10,71.85
2020-01-11,
2020-01-12,
2020-01-13,72.49
2020-01-14,72.53
2020-01-15,73.48
2020-01-16,74.03
2020-01-17,74.46
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,75.31
2020-01-22,75.72
2020-01-23,76.33
2020-01-24,76.49
2020-01-25,
2020-01-26,
2020-01-27,76.35
2020-01-28,76.43
2020-01-29,76.86
2020-01-30,77.44
2020-01-31,77.56
2020-02-01,
2020-02-02,
2020-02-03,77.59
2020-02-04,76.74
2020-02-05,77.17
2020-02-06,77.01
2020-02-07,76.48
2020-02-08,
2020-02-09,
2020-02-10,76.45
2020-02-11,77.05
2020-02-12,77.79
2020-02-13,80.31
2020-02-14,81.25
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,81.84
2020-02-19,81.36
2020-02-20,81.37
2020-02-21,82.17
2020-02-22,
2020-02-23,
2020-02-24,82.06
2020-02-25,79.63
2020-02-26,79.37
2020-02-27,76.2
2020-02-28,73.56
2020-02-29,
2020-03-01,
2020-03-02,77.55
2020-03-03,76.7
2020-03-04,81.54
2020-03-05,80.32
2020-03-06,79.46
2020-03-07,
2020-03-08,
2020-03-09,75.87
2020-03-10,76.25
2020-03-11,72.95
2020-03-12,64.56
2020-03-13,68.8
2020-03-14,
2020-03-15,
2020-03-16,61.43
2020-03-17,68.99
2020-03-18,63.6
2020-03-19,60.2
2020-03-20,54.87
2020-03-21,
2020-03-22,
2020-03-23,51.46
2020-03-24,57.36
2020-03-25,59.93
2020-03-26,65.13
2020-03-27,64.33
2020-03-28,
2020-03-29,
2020-03-30,66.95
2020-03-31,64.88
2020-04-01,62.23
2020-04-02,63.69
2020-04-03,60.98
2020-04-04,
2020-04-05,
2020-04-06,65.18
2020-04-07,64.26
2020-04-08,68.59
2020-04-09,72.45
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,70.08
2020-04-14,72.53
2020-04-15,70.22
2020-04-16,70.26
2020-04-17,72.28
2020-04-18,
2020-04-19,
2020-04-20,69.51
2020-04-21,68.54
2020-04-22,69.91
2020-04-23,68.28
2020-04-24,68.74
2020-04-25,
2020-04-26,
2020-04-27,69.59
2020-04-28,70.3
2020-04-29,69.49
2020-04-30,67.91
2020-05-01,66.29
2020-05-02,
2020-05-03,
2020-05-04,66.29
2020-05-05,66.69
2020-05-06,64.23
2020-05-07,64.42
2020-05-08,65.6
2020-05-09,
2020-05-10,
2020-05-11,65.51
2020-05-12,65.68
2020-05-13,65.69
2020-05-14,66.79
2020-05-15,65.89
2020-05-16,
2020-05-17,
2020-05-18,68.92
2020-05-19,67.59
2020-05-20,67.61
2020-05-21,66.82
2020-05-22,67.55
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,67.21
2020-05-27,67.94
2020-05-28,69.66
2020-05-29,69.49
2020-05-30,
2020-05-31,
2020-06-01,70.96
2020-06-02,71.15
2020-06-03,72.42
2020-06-04,71.77
2020-06-05,72.63
2020-06-06,
2020-06-07,
2020-06-08,74.59
2020-06-09,73.3
2020-06-10,73.19
2020-06-11,70.67
2020-06-12,70.39
2020-06-13,
2020-06-14,
2020-06-15,70.57
2020-06-16,70.57
2020-06-17,69.96
2020-06-18,69.61
2020-06-19,66.64
2020-06-20,
2020-06-21,
2020-06-22,66.98
2020-06-23,66.43
2020-06-24,65.31
2020-06-25,64.48
2020-06-26,64.06
2020-06-27,
2020-06-28,
2020-06-29,65.13
2020-06-30,64.84
2020-07-01,66.49
2020-07-02,66.42
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,64.77
2020-07-07,65.59
2020-07-08,66.09
2020-07-09,64.71
2020-07-10,66.0
2020-07-11,
2020-07-12,
2020-07-13,66.08
2020-07-14,66.3
2020-07-15,65.27
2020-07-16,65.79
2020-07-17,66.87
2020-07-18,
2020-07-19,
2020-07-20,65.82
2020-07-21,66.82
2020-07-22,68.29
2020-07-23,68.16
2020-07-24,67.19
2020-07-25,
2020-07-26,
2020-07-27,65.97
2020-07-28,68.66
2020-07-29,68.96
2020-07-30,68.63
2020-07-31,68.77
2020-08-01,
2020-08-02,
2020-08-03,68.02
2020-08-04,68.73
2020-08-05,67.77
2020-08-06,68.34
2020-08-07,70.29
2020-08-08,
2020-08-09,
2020-08-10,68.79
2020-08-11,67.9
2020-08-12,68.43
2020-08-13,67.93
2020-08-14,67.44
2020-08-15,
2020-08-16,
2020-08-17,67.81
2020-08-18,67.04
2020-08-19,67.04
2020-08-20,66.53
2020-08-21,66.5
2020-08-22,
2020-08-23,
2020-08-24,66.88
2020-08-25,66.37
2020-08-26,65.31
2020-08-27,65.31
2020-08-28,65.44
2020-08-29,
2020-08-30,
2020-08-31,65.96
2020-09-01,65.03
2020-09-02,66.88
2020-09-03,66.61
2020-09-04,66.47
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,66.28
2020-09-09,67.8
2020-09-10,67.32
2020-09-11,68.16
2020-09-12,
2020-09-13,
2020-09-14,69.27
2020-09-15,69.33
2020-09-16,69.65
2020-09-17,69.45
2020-09-18,68.1
2020-09-19,
2020-09-20,
2020-09-21,67.79
2020-09-22,67.88
2020-09-23,66.73
2020-09-24,67.05
2020-09-25,67.7
2020-09-26,
2020-09-27,
2020-09-28,68.03
2020-09-29,67.65
2020-09-30,72.7
2020-10-01,73.93
2020-10-02,75.18
2020-10-03,
2020-10-04,
2020-10-05,75.31
2020-10-06,74.52
2020-10-07,74.95
2020-10-08,76.47
2020-10-09,76.6
2020-10-10,
2020-10-11,
2020-10-12,76.44
2020-10-13,76.28
2020-10-14,76.08
2020-10-15,75.5
2020-10-16,75.83
2020-10-17,
2020-10-18,
2020-10-19,75.59
2020-10-20,75.58
2020-10-21,75.95
2020-10-22,77.08
2020-10-23,76.17
2020-10-24,
2020-10-25,
2020-10-26,76.5
2020-10-27,76.4
2020-10-28,74.69
2020-10-29,75.72
2020-10-30,75.62
2020-10-31,
2020-11-01,
2020-11-02,77.02
2020-11-03,78.42
2020-11-04,76.8
2020-11-05,77.35
2020-11-06,76.71
2020-11-07,
2020-11-08,
2020-11-09,78.32
2020-11-10,79.75
2020-11-11,79.89
2020-11-12,78.15
2020-11-13,78.76
2020-11-14,
2020-11-15,
2020-11-16,78.78
2020-11-17,77.05
2020-11-18,75.89
2020-11-19,76.04
2020-11-20,76.77
2020-11-21,
2020-11-22,
2020-11-23,77.39
2020-11-24,79.82
2020-11-25,79.73
2020-11-26,
2020-11-27,78.44
2020-11-28,
2020-11-29,
2020-11-30,76.83
2020-12-01,77.33
2020-12-02,77.84
2020-12-03,76.57
2020-12-04,75.58
2020-12-05,
2020-12-06,
2020-12-07,76.18
2020-12-08,75.88
2020-12-09,75.78
2020-12-10,76.09
2020-12-11,75.9
2020-12-12,
2020-12-13,
2020-12-14,75.56
2020-12-15,76.38
2020-12-16,75.13
2020-12-17,75.89
2020-12-18,74.89
2020-12-19,
2020-12-20,
2020-12-21,73.88
2020-12-22,74.24
2020-12-23,73.83
2020-12-24,74.35
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,74.83
2020-12-29,74.51
2020-12-30,75.09
2020-12-31,75.92
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,74.39
2021-01-05,74.42
2021-01-06,75.38
2021-01-07,74.53
2021-01-08,74.67
2021-01-09,
2021-01-10,
2021-01-11,74.04
2021-01-12,73.74
2021-01-13,75.92
2021-01-14,76.0
2021-01-15,76.38
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,74.94
2021-01-20,75.27
2021-01-21,74.78
2021-01-22,74.87
2021-01-23,
2021-01-24,
2021-01-25,77.04
2021-01-26,77.05
2021-01-27,76.04
2021-01-28,75.85
2021-01-29,77.94
2021-01-30,
2021-01-31,
2021-02-01,77.25
2021-02-02,77.2
2021-02-03,77.44
2021-02-04,78.23
2021-02-05,78.56
2021-02-06,
2021-02-07,
2021-02-08,77.61
2021-02-09,77.38
2021-02-10,77.69
2021-02-11,75.75
2021-02-12,75.25
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,74.05
2021-02-17,74.73
2021-02-18,75.01
2021-02-19,74.09
2021-02-20,
2021-02-21,
2021-02-22,74.02
2021-02-23,74.6
2021-02-24,73.17
2021-02-25,72.99
2021-02-26,71.71
2021-02-27,
2021-02-28,
2021-03-01,72.92
2021-03-02,73.09
2021-03-03,73.12
2021-03-04,72.44
2021-03-05,74.17
2021-03-06,
2021-03-07,
2021-03-08,75.59
2021-03-09,76.2
2021-03-10,76.06
2021-03-11,75.98
2021-03-12,76.58
2021-03-13,
2021-03-14,
2021-03-15,77.35
2021-03-16,77.93
2021-03-17,76.95
2021-03-18,77.35
2021-03-19,77.68
2021-03-20,
2021-03-21,
2021-03-22,78.02
2021-03-23,78.77
2021-03-24,79.08
2021-03-25,80.04
2021-03-26,80.29
2021-03-27,
2021-03-28,
2021-03-29,81.75
2021-03-30,80.63
2021-03-31,80.87
2021-04-01,80.66
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,81.21
2021-04-06,81.74
2021-04-07,81.95
2021-04-08,81.79
2021-04-09,81.72
2021-04-10,
2021-04-11,
2021-04-12,81.8
2021-04-13,82.52
2021-04-14,82.77
2021-04-15,83.57
