Date,Close
2024-01-01,
2024-01-02,63.48
2024-01-03,62.29
2024-01-04,61.69
2024-01-05,61.82
2024-01-06,
2024-01-07,
2024-01-08,64.12
2024-01-09,64.32
2024-01-10,65.08
2024-01-11,65.27
2024-01-12,65.3
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,65.27
2024-01-17,64.62
2024-01-18,66.26
2024-01-19,68.49
2024-01-20,
2024-01-21,
2024-01-22,68.59
2024-01-23,69.08
2024-01-24,69.71
2024-01-25,69.83
2024-01-26,69.13
2024-01-27,
2024-01-28,
2024-01-29,70.32
2024-01-30,69.51
2024-01-31,67.19
2024-02-01,68.59
2024-02-02,70.6
2024-02-03,
2024-02-04,
2024-02-05,70.4
2024-02-06,70.12
2024-02-07,71.36
2024-02-08,71.56
2024-02-09,72.76
2024-02-10,
2024-02-11,
2024-02-12,72.21
2024-02-13,70.28
2024-02-14,71.68
2024-02-15,71.96
2024-02-16,70.81
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,69.86
2024-02-21,69.39
2024-02-22,72.96
2024-02-23,72.5
2024-02-24,
2024-02-25,
2024-02-26,72.45
2024-02-27,72.7
2024-02-28,72.04
2024-02-29,73.17
2024-03-01,75.01
2024-03-02,
2024-03-03,
2024-03-04,74.48
2024-03-05,72.14
2024-03-06,72.96
2024-03-07,74.93
2024-03-08,72.94
2024-03-09,
2024-03-10,
2024-03-11,72.46
2024-03-12,74.32
2024-03-13,73.27
2024-03-14,72.9
2024-03-15,71.38
2024-03-16,
2024-03-17,
2024-03-18,72.61
2024-03-19,72.92
2024-03-20,74.41
2024-03-21,74.98
2024-03-22,75.08
2024-03-23,
2024-03-24,
2024-03-25,74.62
2024-03-26,74.15
2024-03-27,74.63
2024-03-28,74.38
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,74.64
2024-04-02,73.44
2024-04-03,73.72
2024-04-04,71.71
2024-04-05,73.27
2024-04-06,
2024-04-07,
2024-04-08,73.22
2024-04-09,73.71
2024-04-10,72.57
2024-04-11,74.64
2024-04-12,72.47
2024-04-13,
2024-04-14,
2024-04-15,70.34
2024-04-16,70.37
2024-04-17,68.79
2024-04-18,68.08
2024-04-19,65.49
2024-04-20,
2024-04-21,
2024-04-22,66.71
2024-04-23,68.55
2024-04-24,68.93
2024-04-25,68.27
2024-04-26,70.23
2024-04-27,
2024-04-28,
2024-04-29,70.69
2024-04-30,68.27
2024-05-01,67.42
2024-05-02,68.92
2024-05-03,71.29
2024-05-04,
2024-05-05,
2024-05-06,72.66
2024-05-07,72.65
2024-05-08,72.58
2024-05-09,72.79
2024-05-10,73.09
2024-05-11,
2024-05-12,
2024-05-13,73.34
2024-05-14,74.17
2024-05-15,76.07
2024-05-16,75.82
2024-05-17,75.71
2024-05-18,
2024-05-19,
2024-05-20,76.57
2024-05-21,76.83
2024-05-22,76.77
2024-05-23,76.19
2024-05-24,77.39
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,77.82
2024-05-29,76.9
2024-05-30,75.54
2024-05-31,75.44
2024-06-01,
2024-06-02,
2024-06-03,75.94
2024-06-04,76.31
2024-06-05,79.01
2024-06-06,78.91
2024-06-07,78.75
2024-06-08,
2024-06-09,
2024-06-10,79.27
2024-06-11,80.21
2024-06-12,82.01
2024-06-13,82.78
2024-06-14,83.39
2024-06-15,
2024-06-16,
2024-06-17,85.11
2024-06-18,85.14
2024-06-19,
