Date,Close
2024-01-01,
2024-01-02,195.29
2024-01-03,193.25
2024-01-04,192.62
2024-01-05,192.39
2024-01-06,
2024-01-07,
2024-01-08,193.11
2024-01-09,193.06
2024-01-10,194.5
2024-01-11,195.12
2024-01-12,196.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,196.12
2024-01-17,194.55
2024-01-18,197.52
2024-01-19,196.94
2024-01-20,
2024-01-21,
2024-01-22,197.93
2024-01-23,196.26
2024-01-24,193.74
2024-01-25,195.71
2024-01-26,195.58
2024-01-27,
2024-01-28,
2024-01-29,196.33
2024-01-30,197.8
2024-01-31,195.31
2024-02-01,197.1
2024-02-02,196.41
2024-02-03,
2024-02-04,
2024-02-05,192.68
2024-02-06,197.02
2024-02-07,200.02
2024-02-08,199.92
2024-02-09,199.75
2024-02-10,
2024-02-11,
2024-02-12,200.0
2024-02-13,217.94
2024-02-14,213.79
2024-02-15,213.3
2024-02-16,212.22
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,213.22
2024-02-21,213.75
2024-02-22,216.5
2024-02-23,219.08
2024-02-24,
2024-02-25,
2024-02-26,217.05
2024-02-27,218.83
2024-02-28,221.71
2024-02-29,221.54
2024-03-01,222.2
2024-03-02,
2024-03-03,
2024-03-04,222.59
2024-03-05,220.14
2024-03-06,220.26
2024-03-07,221.28
2024-03-08,220.18
2024-03-09,
2024-03-10,
2024-03-11,220.62
2024-03-12,220.28
2024-03-13,221.88
2024-03-14,221.53
2024-03-15,223.38
2024-03-16,
2024-03-17,
2024-03-18,225.34
2024-03-19,224.57
2024-03-20,225.83
2024-03-21,226.03
2024-03-22,226.48
2024-03-23,
2024-03-24,
2024-03-25,224.31
2024-03-26,225.45
2024-03-27,228.94
2024-03-28,228.09
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,225.15
2024-04-02,224.68
2024-04-03,225.48
2024-04-04,221.85
2024-04-05,224.98
2024-04-06,
2024-04-07,
2024-04-08,224.03
2024-04-09,223.04
2024-04-10,219.45
2024-04-11,218.06
2024-04-12,218.99
2024-04-13,
2024-04-14,
2024-04-15,216.37
2024-04-16,217.7
2024-04-17,216.58
2024-04-18,216.54
2024-04-19,215.5
2024-04-20,
2024-04-21,
2024-04-22,216.64
2024-04-23,216.99
2024-04-24,218.09
2024-04-25,217.11
2024-04-26,218.41
2024-04-27,
2024-04-28,
2024-04-29,218.97
2024-04-30,223.4
2024-05-01,222.24
2024-05-02,224.0
2024-05-03,224.73
2024-05-04,
2024-05-05,
2024-05-06,226.16
2024-05-07,230.08
2024-05-08,230.39
2024-05-09,230.74
2024-05-10,230.68
2024-05-11,
2024-05-12,
2024-05-13,228.93
2024-05-14,229.08
2024-05-15,230.11
2024-05-16,229.8
2024-05-17,230.82
2024-05-18,
2024-05-19,
2024-05-20,231.83
2024-05-21,232.14
2024-05-22,230.85
2024-05-23,230.29
2024-05-24,231.46
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,226.11
2024-05-29,223.38
2024-05-30,225.92
2024-05-31,229.37
2024-06-01,
2024-06-02,
2024-06-03,230.08
2024-06-04,232.65
2024-06-05,236.28
2024-06-06,237.59
2024-06-07,236.28
2024-06-08,
2024-06-09,
2024-06-10,235.86
2024-06-11,237.68
2024-06-12,238.74
2024-06-13,238.59
2024-06-14,237.13
2024-06-15,
2024-06-16,
2024-06-17,240.24
2024-06-18,240.89
2024-06-19,
2024-06-20,241.49
2024-06-21,241.59
2024-06-22,
2024-06-23,
2024-06-24,242.23
2024-06-25,238.8
2024-06-26,238.28
2024-06-27,237.19
2024-06-28,235.65
2024-06-29,
2024-06-30,
2024-07-01,233.18
2024-07-02,233.33
2024-07-03,233.53
2024-07-04,
2024-07-05,235.84
2024-07-06,
2024-07-07,
2024-07-08,240.49
2024-07-09,239.86
2024-07-10,240.87
2024-07-11,242.09
2024-07-12,243.69
2024-07-13,
2024-07-14,
2024-07-15,239.47
2024-07-16,242.77
2024-07-17,240.92
2024-07-18,239.88
2024-07-19,240.77
2024-07-20,
2024-07-21,
2024-07-22,243.92
2024-07-23,244.29
2024-07-24,243.01
2024-07-25,241.26
2024-07-26,242.82
2024-07-27,
2024-07-28,
2024-07-29,245.48
2024-07-30,226.6
2024-07-31,228.42
2024-08-01,237.87
2024-08-02,234.86
2024-08-03,
2024-08-04,
2024-08-05,228.97
2024-08-06,231.42
2024-08-07,229.27
2024-08-08,234.82
