Date,Close
2020-01-01,
2020-01-02,136.62
2020-01-03,137.08
2020-01-04,
2020-01-05,
2020-01-06,137.67
2020-01-07,137.41
2020-01-08,140.36
2020-01-09,141.99
2020-01-10,140.78
2020-01-11,
2020-01-12,
2020-01-13,142.57
2020-01-14,141.22
2020-01-15,143.7
2020-01-16,144.9
2020-01-17,146.83
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,148.09
2020-01-22,148.48
2020-01-23,148.67
2020-01-24,147.77
2020-01-25,
2020-01-26,
2020-01-27,146.83
2020-01-28,148.39
2020-01-29,148.17
2020-01-30,146.54
2020-01-31,143.83
2020-02-01,
2020-02-02,
2020-02-03,146.1
2020-02-04,149.05
2020-02-05,149.58
2020-02-06,149.65
2020-02-07,149.31
2020-02-08,
2020-02-09,
2020-02-10,148.45
2020-02-11,147.1
2020-02-12,148.26
2020-02-13,155.69
2020-02-14,156.36
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,153.17
2020-02-19,155.32
2020-02-20,154.89
2020-02-21,153.07
2020-02-22,
2020-02-23,
2020-02-24,149.39
2020-02-25,146.03
2020-02-26,147.18
2020-02-27,139.21
2020-02-28,136.29
2020-02-29,
2020-03-01,
2020-03-02,144.76
2020-03-03,145.52
2020-03-04,156.68
2020-03-05,152.23
2020-03-06,148.32
2020-03-07,
2020-03-08,
2020-03-09,136.3
2020-03-10,147.05
2020-03-11,139.95
2020-03-12,130.32
2020-03-13,135.36
2020-03-14,
2020-03-15,
2020-03-16,124.03
2020-03-17,128.91
2020-03-18,119.39
2020-03-19,111.02
2020-03-20,101.63
2020-03-21,
2020-03-22,
2020-03-23,100.64
2020-03-24,109.34
2020-03-25,111.32
2020-03-26,117.03
2020-03-27,115.01
2020-03-28,
2020-03-29,
2020-03-30,117.46
2020-03-31,114.91
2020-04-01,109.16
2020-04-02,105.15
2020-04-03,102.57
2020-04-04,
2020-04-05,
2020-04-06,109.52
2020-04-07,111.82
2020-04-08,118.02
2020-04-09,119.5
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,116.8
2020-04-14,124.86
2020-04-15,119.54
2020-04-16,117.36
2020-04-17,123.11
2020-04-18,
2020-04-19,
2020-04-20,121.03
2020-04-21,125.1
2020-04-22,127.45
2020-04-23,126.33
2020-04-24,126.42
2020-04-25,
2020-04-26,
2020-04-27,132.84
2020-04-28,135.33
2020-04-29,138.05
2020-04-30,133.62
2020-05-01,132.65
2020-05-02,
2020-05-03,
2020-05-04,136.32
2020-05-05,141.05
2020-05-06,140.7
2020-05-07,142.67
2020-05-08,143.7
2020-05-09,
2020-05-10,
2020-05-11,141.93
2020-05-12,139.94
2020-05-13,137.47
2020-05-14,139.53
2020-05-15,138.93
2020-05-16,
2020-05-17,
2020-05-18,140.55
2020-05-19,140.65
2020-05-20,143.83
2020-05-21,141.49
2020-05-22,141.81
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,145.88
2020-05-27,145.54
2020-05-28,148.53
2020-05-29,148.11
2020-05-30,
2020-05-31,
2020-06-01,149.55
2020-06-02,161.19
2020-06-03,167.83
2020-06-04,170.3
2020-06-05,170.73
2020-06-06,
2020-06-07,
2020-06-08,173.08
2020-06-09,168.82
2020-06-10,168.83
2020-06-11,162.66
2020-06-12,162.02
2020-06-13,
2020-06-14,
2020-06-15,162.96
2020-06-16,163.72
2020-06-17,164.42
2020-06-18,164.78
2020-06-19,161.94
2020-06-20,
2020-06-21,
2020-06-22,165.29
2020-06-23,165.54
2020-06-24,160.27
2020-06-25,161.98
2020-06-26,161.58
2020-06-27,
2020-06-28,
2020-06-29,161.77
2020-06-30,165.78
2020-07-01,167.41
2020-07-02,165.8
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,165.46
2020-07-07,162.71
2020-07-08,163.1
2020-07-09,156.05
2020-07-10,157.32
2020-07-11,
2020-07-12,
2020-07-13,157.83
2020-07-14,157.64
2020-07-15,159.09
2020-07-16,159.35
2020-07-17,160.88
2020-07-18,
2020-07-19,
2020-07-20,161.84
2020-07-21,160.43
2020-07-22,162.05
2020-07-23,170.37
2020-07-24,161.23
2020-07-25,
2020-07-26,
2020-07-27,159.49
2020-07-28,156.62
2020-07-29,159.75
2020-07-30,157.63
2020-07-31,156.79
2020-08-01,
2020-08-02,
2020-08-03,157.08
2020-08-04,155.04
2020-08-05,156.85
2020-08-06,157.0
2020-08-07,160.73
2020-08-08,
2020-08-09,
2020-08-10,158.83
2020-08-11,158.66
2020-08-12,160.94
2020-08-13,160.82
2020-08-14,158.89
2020-08-15,
2020-08-16,
2020-08-17,158.54
2020-08-18,158.95
2020-08-19,156.08
2020-08-20,155.73
2020-08-21,153.67
2020-08-22,
2020-08-23,
2020-08-24,154.1
2020-08-25,154.87
2020-08-26,155.93
2020-08-27,160.68
2020-08-28,162.79
2020-08-29,
2020-08-30,
2020-08-31,162.7
2020-09-01,163.1
2020-09-02,168.36
2020-09-03,163.26
2020-09-04,160.88
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,158.39
2020-09-09,162.14
2020-09-10,156.33
2020-09-11,157.16
2020-09-12,
2020-09-13,
2020-09-14,157.91
2020-09-15,154.92
2020-09-16,153.85
2020-09-17,153.89
2020-09-18,150.75
2020-09-19,
2020-09-20,
2020-09-21,149.96
2020-09-22,150.92
2020-09-23,147.12
2020-09-24,146.91
2020-09-25,151.23
2020-09-26,
2020-09-27,
2020-09-28,152.87
2020-09-29,152.61
2020-09-30,151.7
2020-10-01,152.78
2020-10-02,153.69
2020-10-03,
2020-10-04,
2020-10-05,154.57
2020-10-06,152.06
2020-10-07,155.73
2020-10-08,156.43
2020-10-09,158.84
2020-10-10,
2020-10-11,
2020-10-12,159.11
2020-10-13,159.43
2020-10-14,158.73
2020-10-15,157.0
2020-10-16,157.93
2020-10-17,
2020-10-18,
2020-10-19,153.33
2020-10-20,154.42
2020-10-21,156.97
2020-10-22,150.74
2020-10-23,147.88
2020-10-24,
2020-10-25,
2020-10-26,145.91
2020-10-27,142.91
2020-10-28,136.22
2020-10-29,134.94
2020-10-30,132.07
2020-10-31,
2020-11-01,
2020-11-02,137.15
2020-11-03,145.03
2020-11-04,146.92
2020-11-05,146.63
2020-11-06,145.1
2020-11-07,
2020-11-08,
2020-11-09,146.87
2020-11-10,149.49
2020-11-11,153.92
2020-11-12,157.14
2020-11-13,159.62
2020-11-14,
2020-11-15,
2020-11-16,165.83
2020-11-17,166.25
2020-11-18,166.25
2020-11-19,167.86
2020-11-20,165.95
2020-11-21,
2020-11-22,
2020-11-23,167.25
2020-11-24,160.67
2020-11-25,160.87
2020-11-26,
2020-11-27,159.65
2020-11-28,
2020-11-29,
2020-11-30,161.74
2020-12-01,161.78
2020-12-02,159.52
2020-12-03,160.14
2020-12-04,161.35
2020-12-05,
2020-12-06,
2020-12-07,165.55
2020-12-08,178.53
2020-12-09,174.41
2020-12-10,177.72
2020-12-11,182.32
2020-12-12,
2020-12-13,
2020-12-14,183.27
2020-12-15,187.59
2020-12-16,187.27
2020-12-17,187.76
2020-12-18,189.13
2020-12-19,
2020-12-20,
2020-12-21,188.53
2020-12-22,188.03
2020-12-23,186.91
2020-12-24,187.96
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,187.67
2020-12-29,184.85
2020-12-30,185.26
2020-12-31,186.88
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,182.15
2021-01-05,184.01
2021-01-06,176.33
2021-01-07,175.68
2021-01-08,180.31
2021-01-09,
2021-01-10,
2021-01-11,178.98
2021-01-12,178.22
2021-01-13,176.52
2021-01-14,172.14
2021-01-15,171.53
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,170.58
2021-01-20,172.63
2021-01-21,172.97
2021-01-22,173.21
2021-01-23,
2021-01-24,
2021-01-25,173.22
2021-01-26,174.91
2021-01-27,173.18
2021-01-28,175.54
2021-01-29,171.63
2021-01-30,
2021-01-31,
2021-02-01,174.73
2021-02-02,174.88
2021-02-03,173.26
2021-02-04,175.3
2021-02-05,173.12
2021-02-06,
2021-02-07,
2021-02-08,173.86
2021-02-09,177.54
2021-02-10,177.34
2021-02-11,171.48
2021-02-12,171.71
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,169.42
2021-02-17,171.13
2021-02-18,172.07
2021-02-19,171.46
2021-02-20,
2021-02-21,
2021-02-22,165.04
2021-02-23,166.92
2021-02-24,165.78
2021-02-25,158.79
2021-02-26,157.22
2021-02-27,
2021-02-28,
2021-03-01,161.81
2021-03-02,161.31
2021-03-03,162.23
2021-03-04,159.11
2021-03-05,164.86
2021-03-06,
2021-03-07,
2021-03-08,168.15
2021-03-09,169.86
2021-03-10,167.58
2021-03-11,165.8
2021-03-12,165.62
2021-03-13,
2021-03-14,
2021-03-15,168.65
2021-03-16,167.6
2021-03-17,167.04
2021-03-18,167.73
2021-03-19,169.16
2021-03-20,
2021-03-21,
2021-03-22,170.09
2021-03-23,170.43
2021-03-24,169.39
2021-03-25,171.9
2021-03-26,177.25
2021-03-27,
2021-03-28,
2021-03-29,178.4
2021-03-30,178.0
2021-03-31,175.91
2021-04-01,177.35
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,181.36
2021-04-06,179.69
2021-04-07,176.36
2021-04-08,178.45
2021-04-09,180.46
2021-04-10,
2021-04-11,
2021-04-12,181.83
2021-04-13,182.58
2021-04-14,180.19
2021-04-15,182.93
2021-04-16,185.48
2021-04-17,
2021-04-18,
2021-04-19,184.13
