Date,Close
2024-01-01,
2024-01-02,67.24
2024-01-03,66.53
2024-01-04,67.19
2024-01-05,67.45
2024-01-06,
2024-01-07,
2024-01-08,68.01
2024-01-09,67.87
2024-01-10,67.23
2024-01-11,66.15
2024-01-12,66.33
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,65.22
2024-01-17,64.41
2024-01-18,63.76
2024-01-19,63.47
2024-01-20,
2024-01-21,
2024-01-22,62.88
2024-01-23,62.28
2024-01-24,60.58
2024-01-25,62.31
2024-01-26,62.74
2024-01-27,
2024-01-28,
2024-01-29,62.92
2024-01-30,62.56
2024-01-31,62.72
2024-02-01,63.47
2024-02-02,62.15
2024-02-03,
2024-02-04,
2024-02-05,60.94
2024-02-06,60.54
2024-02-07,60.82
2024-02-08,60.15
2024-02-09,60.14
2024-02-10,
2024-02-11,
2024-02-12,60.77
2024-02-13,59.87
2024-02-14,60.44
2024-02-15,61.77
2024-02-16,61.63
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,61.85
2024-02-21,63.16
2024-02-22,62.66
2024-02-23,63.44
2024-02-24,
2024-02-25,
2024-02-26,61.86
2024-02-27,62.93
2024-02-28,63.06
2024-02-29,63.22
2024-03-01,61.86
2024-03-02,
2024-03-03,
2024-03-04,62.7
2024-03-05,62.38
2024-03-06,63.44
2024-03-07,64.1
2024-03-08,64.38
2024-03-09,
2024-03-10,
2024-03-11,64.5
2024-03-12,64.56
2024-03-13,64.74
2024-03-14,63.62
2024-03-15,63.95
2024-03-16,
2024-03-17,
2024-03-18,64.1
2024-03-19,64.6
2024-03-20,64.6
2024-03-21,65.22
2024-03-22,64.65
2024-03-23,
2024-03-24,
2024-03-25,64.35
2024-03-26,63.42
2024-03-27,65.25
2024-03-28,66.5
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,66.23
2024-04-02,65.94
2024-04-03,65.72
2024-04-04,65.67
2024-04-05,66.59
2024-04-06,
2024-04-07,
2024-04-08,66.45
2024-04-09,66.65
2024-04-10,64.8
2024-04-11,64.72
2024-04-12,64.53
2024-04-13,
2024-04-14,
2024-04-15,63.82
2024-04-16,62.82
2024-04-17,63.97
2024-04-18,64.06
2024-04-19,65.75
2024-04-20,
2024-04-21,
2024-04-22,66.43
2024-04-23,66.61
2024-04-24,66.59
2024-04-25,66.88
2024-04-26,65.95
2024-04-27,
2024-04-28,
2024-04-29,67.06
2024-04-30,66.81
2024-05-01,67.02
2024-05-02,67.67
2024-05-03,68.01
2024-05-04,
2024-05-05,
2024-05-06,68.65
2024-05-07,69.47
2024-05-08,69.43
2024-05-09,70.29
2024-05-10,70.41
2024-05-11,
2024-05-12,
2024-05-13,69.99
2024-05-14,70.44
2024-05-15,71.19
2024-05-16,71.32
2024-05-17,71.74
2024-05-18,
2024-05-19,
2024-05-20,71.55
2024-05-21,72.18
2024-05-22,71.03
2024-05-23,69.81
2024-05-24,70.11
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,69.71
2024-05-29,68.96
2024-05-30,70.21
2024-05-31,72.25
2024-06-01,
2024-06-02,
2024-06-03,71.72
2024-06-04,71.94
2024-06-05,70.92
2024-06-06,70.05
2024-06-07,69.56
2024-06-08,
2024-06-09,
2024-06-10,69.43
2024-06-11,69.21
2024-06-12,69.15
2024-06-13,69.06
2024-06-14,68.83
2024-06-15,
2024-06-16,
2024-06-17,67.25
2024-06-18,67.21
2024-06-19,
2024-06-20,67.58
2024-06-21,67.36
2024-06-22,
2024-06-23,
2024-06-24,68.41
2024-06-25,67.56
2024-06-26,67.55
2024-06-27,67.73
2024-06-28,67.52
2024-06-29,
2024-06-30,
2024-07-01,66.93
2024-07-02,67.35
2024-07-03,67.53
2024-07-04,
2024-07-05,68.07
2024-07-06,
2024-07-07,
2024-07-08,68.02
2024-07-09,67.99
2024-07-10,68.8
2024-07-11,70.6
2024-07-12,71.13
2024-07-13,
2024-07-14,
2024-07-15,69.43
2024-07-16,70.26
2024-07-17,71.62
2024-07-18,71.37
2024-07-19,71.23
2024-07-20,
2024-07-21,
2024-07-22,71.47
2024-07-23,71.39
2024-07-24,72.27
2024-07-25,72.64
2024-07-26,74.62
2024-07-27,
2024-07-28,
2024-07-29,74.32
2024-07-30,75.45
2024-07-31,76.05
2024-08-01,77.57
2024-08-02,78.19
2024-08-03,
2024-08-04,
2024-08-05,76.56
2024-08-06,77.49
2024-08-07,77.59
2024-08-08,77.68
2024-08-09,77.92
2024-08-10,
2024-08-11,
2024-08-12,78.33
2024-08-13,78.8
2024-08-14,79.02
2024-08-15,79.04
2024-08-16,79.28
2024-08-17,
2024-08-18,
2024-08-19,79.73
2024-08-20,79.56
2024-08-21,80.01
2024-08-22,80.19
2024-08-23,80.56
2024-08-24,
2024-08-25,
2024-08-26,81.18
2024-08-27,80.58
2024-08-28,80.79
2024-08-29,82.21
2024-08-30,82.72
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,83.0
2024-09-04,83.37
2024-09-05,83.3
2024-09-06,82.36
2024-09-07,
2024-09-08,
2024-09-09,81.82
2024-09-10,80.43
2024-09-11,80.07
2024-09-12,80.44
2024-09-13,81.19
2024-09-14,
2024-09-15,
2024-09-16,81.98
2024-09-17,81.8
2024-09-18,81.06
2024-09-19,80.02
2024-09-20,81.2
2024-09-21,
2024-09-22,
2024-09-23,81.83
2024-09-24,81.68
2024-09-25,81.26
2024-09-26,81.97
2024-09-27,82.51
2024-09-28,
2024-09-29,
2024-09-30,82.77
2024-10-01,83.38
2024-10-02,83.14
2024-10-03,82.36
2024-10-04,81.91
2024-10-05,
2024-10-06,
2024-10-07,81.2
2024-10-08,81.42
2024-10-09,81.0
2024-10-10,79.62
2024-10-11,80.19
2024-10-12,
2024-10-13,
2024-10-14,81.08
2024-10-15,81.59
2024-10-16,82.45
2024-10-17,81.18
2024-10-18,81.94
2024-10-19,
2024-10-20,
2024-10-21,81.15
2024-10-22,82.32
2024-10-23,82.48
2024-10-24,82.12
2024-10-25,80.48
2024-10-26,
2024-10-27,
2024-10-28,81.03
2024-10-29,79.74
2024-10-30,79.84
2024-10-31,79.03
2024-11-01,77.81
2024-11-02,
2024-11-03,
2024-11-04,77.69
2024-11-05,78.62
2024-11-06,77.85
2024-11-07,78.12
2024-11-08,79.7
2024-11-09,
2024-11-10,
2024-11-11,80.16
2024-11-12,79.37
2024-11-13,78.82
2024-11-14,78.77
2024-11-15,80.26
2024-11-16,
2024-11-17,
2024-11-18,80.64
2024-11-19,82.14
2024-11-20,82.6
2024-11-21,83.53
2024-11-22,82.95
2024-11-23,
2024-11-24,
2024-11-25,84.03
2024-11-26,84.15
2024-11-27,84.75
2024-11-28,
2024-11-29,84.16
2024-11-30,
2024-12-01,
2024-12-02,82.27
2024-12-03,81.28
2024-12-04,80.89
2024-12-05,81.45
2024-12-06,80.52
2024-12-07,
2024-12-08,
2024-12-09,79.63
2024-12-10,79.4
2024-12-11,78.25
2024-12-12,78.28
2024-12-13,78.54
2024-12-14,
2024-12-15,
2024-12-16,77.85
2024-12-17,77.21
2024-12-18,75.06
2024-12-19,74.74
2024-12-20,76.27
2024-12-21,
2024-12-22,
2024-12-23,76.46
2024-12-24,76.98
2024-12-25,
2024-12-26,76.74
2024-12-27,76.53
2024-12-28,
2024-12-29,
2024-12-30,76.42
2024-12-31,76.58
2025-01-01,
2025-01-02,76.74
2025-01-03,76.54
2025-01-04,
2025-01-05,
2025-01-06,75.23
2025-01-07,75.01
2025-01-08,67.37
2025-01-09,
2025-01-10,63.01
2025-01-11,
2025-01-12,
2025-01-13,55.52
2025-01-14,56.64
2025-01-15,59.42
2025-01-16,59.29
2025-01-17,60.78
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,60.32
2025-01-22,56.5
2025-01-23,55.52
2025-01-24,57.07
2025-01-25,
2025-01-26,
2025-01-27,55.97
2025-01-28,54.39
2025-01-29,54.09
2025-01-30,52.4
2025-01-31,52.35
2025-02-01,
2025-02-02,
2025-02-03,50.83
2025-02-04,50.14
2025-02-05,50.83
2025-02-06,49.58
2025-02-07,48.56
2025-02-08,
2025-02-09,
2025-02-10,48.63
2025-02-11,49.25
2025-02-12,51.07
2025-02-13,49.94
2025-02-14,48.53
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,49.73
2025-02-19,50.81
2025-02-20,50.31
2025-02-21,50.57
2025-02-22,
2025-02-23,
2025-02-24,50.63
2025-02-25,50.56
2025-02-26,51.0
2025-02-27,49.77
2025-02-28,52.77
2025-03-01,
2025-03-02,
2025-03-03,53.58
2025-03-04,53.14
2025-03-05,53.5
2025-03-06,53.39
2025-03-07,54.67
2025-03-08,
2025-03-09,
2025-03-10,55.24
2025-03-11,54.34
2025-03-12,53.78
2025-03-13,54.12
2025-03-14,55.25
2025-03-15,
2025-03-16,
2025-03-17,57.15
2025-03-18,56.9
2025-03-19,56.71
2025-03-20,57.11
2025-03-21,56.39
2025-03-22,
2025-03-23,
2025-03-24,56.79
2025-03-25,55.5
2025-03-26,56.01
2025-03-27,55.53
2025-03-28,56.4
2025-03-29,
2025-03-30,
2025-03-31,57.11
2025-04-01,56.95
2025-04-02,58.08
2025-04-03,56.59
2025-04-04,53.07
2025-04-05,
2025-04-06,
2025-04-07,52.78
2025-04-08,51.67
2025-04-09,55.18
2025-04-10,54.53
2025-04-11,55.22
2025-04-12,
2025-04-13,
2025-04-14,56.32
2025-04-15,56.0
2025-04-16,55.44
2025-04-17,56.49
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,54.93
2025-04-22,56.91
2025-04-23,57.24
2025-04-24,57.28
2025-04-25,57.05
2025-04-26,
2025-04-27,
2025-04-28,57.43
2025-04-29,57.8
2025-04-30,52.67
2025-05-01,53.7
2025-05-02,54.02
2025-05-03,
2025-05-04,
2025-05-05,54.06
2025-05-06,53.97
2025-05-07,54.87
2025-05-08,55.25
2025-05-09,55.3
2025-05-10,
2025-05-11,
2025-05-12,55.67
2025-05-13,55.29
2025-05-14,55.49
2025-05-15,56.69
2025-05-16,57.71
2025-05-17,
2025-05-18,
2025-05-19,57.09
2025-05-20,57.39
2025-05-21,56.04
2025-05-22,55.33
2025-05-23,55.75
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,56.2
2025-05-28,54.24
2025-05-29,55.0
2025-05-30,54.77
2025-05-31,
2025-06-01,
2025-06-02,54.56
2025-06-03,55.12
2025-06-04,53.5
2025-06-05,52.79
2025-06-06,52.91
2025-06-07,
2025-06-08,
2025-06-09,48.64
2025-06-10,49.65
2025-06-11,48.83
2025-06-12,49.58
2025-06-13,47.56
2025-06-14,
2025-06-15,
2025-06-16,47.59
2025-06-17,48.42
2025-06-18,49.66
2025-06-19,
2025-06-20,48.87
2025-06-21,
2025-06-22,
2025-06-23,49.37
2025-06-24,50.58
2025-06-25,49.62
2025-06-26,50.01
2025-06-27,50.17
2025-06-28,
2025-06-29,
2025-06-30,50.79
2025-07-01,52.05
2025-07-02,51.73
2025-07-03,51.72
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,50.51
2025-07-08,50.74
2025-07-09,50.63
2025-07-10,51.29
2025-07-11,51.06
2025-07-12,
2025-07-13,
2025-07-14,50.96
2025-07-15,50.42
2025-07-16,50.94
2025-07-17,51.33
2025-07-18,51.14
2025-07-19,
2025-07-20,
2025-07-21,50.92
2025-07-22,52.03
2025-07-23,52.3
2025-07-24,51.42
2025-07-25,52.95
2025-07-26,
2025-07-27,
2025-07-28,52.27
2025-07-29,52.45
2025-07-30,51.69
2025-07-31,52.12
2025-08-01,53.13
2025-08-02,
2025-08-03,
2025-08-04,55.22
2025-08-05,55.28
2025-08-06,54.91
2025-08-07,54.94
2025-08-08,53.77
2025-08-09,
2025-08-10,
2025-08-11,55.25
2025-08-12,55.96
2025-08-13,56.28
2025-08-14,56.02
2025-08-15,55.5
2025-08-16,
2025-08-17,
