Date,Close
2020-01-01,
2020-01-02,192.1
2020-01-03,190.65
2020-01-04,
2020-01-05,
2020-01-06,193.13
2020-01-07,191.91
2020-01-08,193.46
2020-01-09,197.41
2020-01-10,197.09
2020-01-11,
2020-01-12,
2020-01-13,198.82
2020-01-14,200.89
2020-01-15,203.49
2020-01-16,202.98
2020-01-17,204.79
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,202.79
2020-01-22,198.04
2020-01-23,194.53
2020-01-24,191.25
2020-01-25,
2020-01-26,
2020-01-27,183.47
2020-01-28,183.58
2020-01-29,185.09
2020-01-30,185.03
2020-01-31,181.76
2020-02-01,
2020-02-02,
2020-02-03,182.73
2020-02-04,186.66
2020-02-05,187.5
2020-02-06,197.01
2020-02-07,194.62
2020-02-08,
2020-02-09,
2020-02-10,194.36
2020-02-11,195.42
2020-02-12,200.05
2020-02-13,200.14
2020-02-14,200.25
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,196.93
2020-02-19,198.49
2020-02-20,196.82
2020-02-21,194.91
2020-02-22,
2020-02-23,
2020-02-24,185.14
2020-02-25,178.29
2020-02-26,176.3
2020-02-27,170.2
2020-02-28,171.43
2020-02-29,
2020-03-01,
2020-03-02,180.52
2020-03-03,175.91
2020-03-04,180.58
2020-03-05,177.05
2020-03-06,179.23
2020-03-07,
2020-03-08,
2020-03-09,166.11
2020-03-10,174.96
2020-03-11,161.08
2020-03-12,146.92
2020-03-13,160.81
2020-03-14,
2020-03-15,
2020-03-16,139.11
2020-03-17,143.55
2020-03-18,145.89
2020-03-19,146.14
2020-03-20,140.99
2020-03-21,
2020-03-22,
2020-03-23,134.81
2020-03-24,147.37
2020-03-25,156.64
2020-03-26,161.52
2020-03-27,150.03
2020-03-28,
2020-03-29,
2020-03-30,154.28
2020-03-31,148.78
2020-04-01,143.22
2020-04-02,139.32
2020-04-03,143.87
2020-04-04,
2020-04-05,
2020-04-06,149.86
2020-04-07,152.36
2020-04-08,154.75
2020-04-09,153.91
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,151.47
2020-04-14,154.07
2020-04-15,147.33
2020-04-16,151.14
2020-04-17,162.71
2020-04-18,
2020-04-19,
2020-04-20,156.67
2020-04-21,150.43
2020-04-22,154.98
2020-04-23,151.96
2020-04-24,155.29
2020-04-25,
2020-04-26,
2020-04-27,154.35
2020-04-28,157.73
2020-04-29,165.14
2020-04-30,164.71
2020-05-01,161.11
2020-05-02,
2020-05-03,
2020-05-04,162.82
2020-05-05,158.68
2020-05-06,158.29
2020-05-07,160.55
2020-05-08,161.68
2020-05-09,
2020-05-10,
2020-05-11,158.69
2020-05-12,157.38
2020-05-13,151.97
2020-05-14,153.31
2020-05-15,158.18
2020-05-16,
2020-05-17,
2020-05-18,166.44
2020-05-19,163.01
2020-05-20,167.84
2020-05-21,166.09
2020-05-22,166.39
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,174.08
2020-05-27,180.73
2020-05-28,179.72
2020-05-29,184.38
2020-05-30,
2020-05-31,
2020-06-01,187.15
2020-06-02,189.25
2020-06-03,189.77
2020-06-04,187.79
2020-06-05,191.57
2020-06-06,
2020-06-07,
2020-06-08,191.27
2020-06-09,187.42
2020-06-10,187.15
2020-06-11,176.66
2020-06-12,178.7
2020-06-13,
2020-06-14,
2020-06-15,178.75
2020-06-16,183.2
2020-06-17,182.25
2020-06-18,183.15
2020-06-19,177.69
2020-06-20,
2020-06-21,
2020-06-22,179.52
2020-06-23,181.43
2020-06-24,175.31
2020-06-25,174.56
2020-06-26,171.94
2020-06-27,
2020-06-28,
2020-06-29,173.35
2020-06-30,176.18
2020-07-01,176.78
2020-07-02,178.91
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,179.29
2020-07-07,176.59
2020-07-08,176.11
2020-07-09,175.36
2020-07-10,177.12
2020-07-11,
2020-07-12,
2020-07-13,177.17
2020-07-14,182.9
2020-07-15,186.31
2020-07-16,185.94
2020-07-17,184.88
2020-07-18,
2020-07-19,
