Date,Close
2024-01-01,
2024-01-02,69.03
2024-01-03,68.53
2024-01-04,68.33
2024-01-05,68.38
2024-01-06,
2024-01-07,
2024-01-08,69.46
2024-01-09,69.52
2024-01-10,69.99
2024-01-11,70.15
2024-01-12,70.23
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,70.05
2024-01-17,69.74
2024-01-18,70.52
2024-01-19,71.42
2024-01-20,
2024-01-21,
2024-01-22,71.58
2024-01-23,71.77
2024-01-24,71.99
2024-01-25,72.56
2024-01-26,72.46
2024-01-27,
2024-01-28,
2024-01-29,73.2
2024-01-30,73.13
2024-01-31,71.75
2024-02-01,72.88
2024-02-02,74.18
2024-02-03,
2024-02-04,
2024-02-05,74.21
2024-02-06,74.31
2024-02-07,75.04
2024-02-08,74.99
2024-02-09,75.63
2024-02-10,
2024-02-11,
2024-02-12,75.32
2024-02-13,74.42
2024-02-14,75.15
2024-02-15,75.38
2024-02-16,75.08
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,74.53
2024-02-21,74.72
2024-02-22,76.69
2024-02-23,76.69
2024-02-24,
2024-02-25,
2024-02-26,76.46
2024-02-27,76.44
2024-02-28,76.3
2024-02-29,76.79
2024-03-01,77.55
2024-03-02,
2024-03-03,
2024-03-04,77.36
2024-03-05,76.44
2024-03-06,76.89
2024-03-07,77.79
2024-03-08,77.2
2024-03-09,
2024-03-10,
2024-03-11,77.02
2024-03-12,78.01
2024-03-13,77.82
2024-03-14,77.77
2024-03-15,77.11
2024-03-16,
2024-03-17,
2024-03-18,77.61
2024-03-19,78.12
2024-03-20,78.78
2024-03-21,79.13
2024-03-22,79.18
2024-03-23,
2024-03-24,
2024-03-25,78.91
2024-03-26,78.66
2024-03-27,79.15
2024-03-28,79.08
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,79.16
2024-04-02,78.64
2024-04-03,78.6
2024-04-04,77.69
2024-04-05,78.7
2024-04-06,
2024-04-07,
2024-04-08,78.56
2024-04-09,78.62
2024-04-10,78.08
2024-04-11,78.77
2024-04-12,77.68
2024-04-13,
2024-04-14,
2024-04-15,76.64
2024-04-16,76.56
2024-04-17,76.02
2024-04-18,75.83
2024-04-19,74.85
2024-04-20,
2024-04-21,
2024-04-22,75.57
2024-04-23,76.59
2024-04-24,76.55
2024-04-25,76.15
2024-04-26,77.32
2024-04-27,
2024-04-28,
2024-04-29,77.31
2024-04-30,75.9
2024-05-01,75.9
2024-05-02,76.49
2024-05-03,77.48
2024-05-04,
2024-05-05,
2024-05-06,78.3
2024-05-07,78.52
2024-05-08,78.64
2024-05-09,78.98
2024-05-10,79.16
2024-05-11,
2024-05-12,
2024-05-13,79.14
2024-05-14,79.41
2024-05-15,80.53
2024-05-16,80.23
2024-05-17,80.33
2024-05-18,
2024-05-19,
2024-05-20,80.33
2024-05-21,80.43
2024-05-22,80.26
2024-05-23,79.94
2024-05-24,80.46
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,80.62
2024-05-29,80.09
2024-05-30,79.14
2024-05-31,79.74
2024-06-01,
2024-06-02,
2024-06-03,79.96
2024-06-04,80.13
2024-06-05,81.36
2024-06-06,81.27
2024-06-07,81.12
2024-06-08,
2024-06-09,
2024-06-10,81.56
2024-06-11,81.87
2024-06-12,82.49
2024-06-13,82.85
2024-06-14,83.01
2024-06-15,
2024-06-16,
2024-06-17,83.42
2024-06-18,83.56
2024-06-19,
2024-06-20,83.34
2024-06-21,83.14
2024-06-22,
2024-06-23,
2024-06-24,82.78
2024-06-25,83.26
2024-06-26,83.45
2024-06-27,83.53
2024-06-28,83.12
2024-06-29,
2024-06-30,
2024-07-01,83.48
2024-07-02,84.0
2024-07-03,84.48
2024-07-04,
2024-07-05,84.95
2024-07-06,
2024-07-07,
2024-07-08,84.98
2024-07-09,84.95
2024-07-10,85.93
2024-07-11,85.04
2024-07-12,85.48
2024-07-13,
2024-07-14,
2024-07-15,85.62
2024-07-16,86.11
2024-07-17,84.73
2024-07-18,84.22
2024-07-19,83.58
2024-07-20,
2024-07-21,
2024-07-22,84.64
2024-07-23,84.51
2024-07-24,82.29
2024-07-25,81.9
2024-07-26,82.86
2024-07-27,
2024-07-28,
2024-07-29,82.94
2024-07-30,82.4
2024-07-31,84.0
2024-08-01,82.83
2024-08-02,81.43
2024-08-03,
2024-08-04,
2024-08-05,78.95
2024-08-06,79.84
2024-08-07,79.2
2024-08-08,81.12
2024-08-09,81.43
2024-08-10,
2024-08-11,
2024-08-12,81.58
2024-08-13,82.9
2024-08-14,83.16
2024-08-15,84.65
2024-08-16,84.71
2024-08-17,
2024-08-18,
2024-08-19,85.53
2024-08-20,85.28
2024-08-21,85.6
2024-08-22,84.68
2024-08-23,85.7
2024-08-24,
2024-08-25,
2024-08-26,85.28
2024-08-27,85.33
2024-08-28,84.77
2024-08-29,84.74
2024-08-30,85.54
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,83.48
2024-09-04,83.26
2024-09-05,83.14
2024-09-06,81.7
2024-09-07,
2024-09-08,
2024-09-09,82.73
2024-09-10,83.04
2024-09-11,84.13
2024-09-12,84.85
2024-09-13,85.21
2024-09-14,
2024-09-15,
2024-09-16,85.13
2024-09-17,85.31
2024-09-18,85.0
2024-09-19,86.55
2024-09-20,86.28
2024-09-21,
2024-09-22,
2024-09-23,86.35
2024-09-24,86.56
2024-09-25,86.43
2024-09-26,86.73
2024-09-27,86.58
2024-09-28,
2024-09-29,
2024-09-30,86.82
2024-10-01,86.04
2024-10-02,86.1
2024-10-03,86.06
2024-10-04,86.76
2024-10-05,
2024-10-06,
2024-10-07,85.88
2024-10-08,86.7
2024-10-09,87.18
2024-10-10,87.15
2024-10-11,87.61
2024-10-12,
2024-10-13,
2024-10-14,88.47
2024-10-15,87.53
2024-10-16,87.78
2024-10-17,87.9
2024-10-18,88.2
2024-10-19,
2024-10-20,
2024-10-21,88.23
2024-10-22,88.26
2024-10-23,87.37
2024-10-24,87.33
2024-10-25,87.37
2024-10-26,
2024-10-27,
2024-10-28,87.61
2024-10-29,87.9
2024-10-30,87.9
2024-10-31,86.09
2024-11-01,86.51
2024-11-02,
2024-11-03,
2024-11-04,86.34
2024-11-05,87.44
2024-11-06,89.48
2024-11-07,90.14
2024-11-08,90.26
2024-11-09,
2024-11-10,
2024-11-11,90.1
2024-11-12,90.14
2024-11-13,90.12
2024-11-14,89.71
2024-11-15,88.13
2024-11-16,
2024-11-17,
2024-11-18,88.25
2024-11-19,88.65
2024-11-20,88.51
2024-11-21,88.81
2024-11-22,88.8
2024-11-23,
2024-11-24,
2024-11-25,89.26
2024-11-26,89.81
2024-11-27,89.43
2024-11-28,
2024-11-29,89.91
2024-11-30,
2024-12-01,
2024-12-02,90.38
2024-12-03,90.53
2024-12-04,91.14
2024-12-05,90.89
2024-12-06,91.21
2024-12-07,
2024-12-08,
2024-12-09,90.79
2024-12-10,90.36
2024-12-11,91.31
2024-12-12,90.65
2024-12-13,90.65
2024-12-14,
2024-12-15,
2024-12-16,91.05
2024-12-17,90.66
2024-12-18,88.09
2024-12-19,87.92
2024-12-20,88.9
2024-12-21,
2024-12-22,
2024-12-23,89.64
2024-12-24,90.46
2024-12-25,
2024-12-26,90.49
2024-12-27,99.69
2024-12-28,
2024-12-29,
2024-12-30,88.59
2024-12-31,88.2
2025-01-01,
2025-01-02,88.11
2025-01-03,89.1
2025-01-04,
2025-01-05,
2025-01-06,89.87
2025-01-07,88.77
2025-01-08,88.74
2025-01-09,
2025-01-10,87.38
2025-01-11,
2025-01-12,
2025-01-13,87.5
2025-01-14,87.58
2025-01-15,89.17
2025-01-16,89.05
2025-01-17,89.95
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,90.75
2025-01-22,91.43
2025-01-23,91.85
2025-01-24,91.59
2025-01-25,
2025-01-26,
2025-01-27,89.89
2025-01-28,91.08
2025-01-29,90.53
2025-01-30,90.94
2025-01-31,90.57
2025-02-01,
2025-02-02,
2025-02-03,89.95
2025-02-04,90.45
2025-02-05,90.6
2025-02-06,90.79
2025-02-07,89.76
2025-02-08,
2025-02-09,
2025-02-10,90.47
2025-02-11,90.72
2025-02-12,90.17
2025-02-13,90.97
2025-02-14,90.92
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,90.92
2025-02-19,91.0
2025-02-20,90.83
2025-02-21,89.38
2025-02-22,
2025-02-23,
2025-02-24,88.69
2025-02-25,88.26
2025-02-26,88.5
2025-02-27,86.8
2025-02-28,88.2
2025-03-01,
2025-03-02,
2025-03-03,86.31
2025-03-04,85.5
2025-03-05,86.54
2025-03-06,85.01
2025-03-07,85.63
2025-03-08,
2025-03-09,
2025-03-10,83.45
2025-03-11,82.94
2025-03-12,83.55
2025-03-13,82.25
2025-03-14,84.09
2025-03-15,
2025-03-16,
2025-03-17,84.36
2025-03-18,83.43
2025-03-19,84.26
2025-03-20,84.19
2025-03-21,84.38
2025-03-22,
2025-03-23,
2025-03-24,85.69
2025-03-25,85.78
2025-03-26,84.51
2025-03-27,84.2
2025-03-28,82.47
2025-03-29,
2025-03-30,
2025-03-31,82.72
2025-04-01,82.92
2025-04-02,83.45
2025-04-03,79.28
2025-04-04,74.95
2025-04-05,
2025-04-06,
2025-04-07,74.99
2025-04-08,73.87
2025-04-09,80.7
2025-04-10,77.72
2025-04-11,79.35
2025-04-12,
2025-04-13,
2025-04-14,79.83
2025-04-15,79.64
2025-04-16,77.81
2025-04-17,78.06
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,76.24
2025-04-22,78.11
2025-04-23,79.27
2025-04-24,81.19
2025-04-25,81.88
2025-04-26,
2025-04-27,
2025-04-28,81.73
2025-04-29,82.27
2025-04-30,82.47
2025-05-01,83.1
2025-05-02,84.27
2025-05-03,
2025-05-04,
2025-05-05,83.83
2025-05-06,83.15
2025-05-07,83.15
2025-05-08,83.87
2025-05-09,83.8
2025-05-10,
2025-05-11,
2025-05-12,86.72
2025-05-13,87.51
2025-05-14,87.67
2025-05-15,88.0
2025-05-16,88.43
2025-05-17,
2025-05-18,
2025-05-19,88.52
2025-05-20,88.15
2025-05-21,86.96
2025-05-22,87.01
2025-05-23,86.31
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,88.05
2025-05-28,87.49
2025-05-29,87.79
2025-05-30,87.7
2025-05-31,
2025-06-01,
2025-06-02,87.96
2025-06-03,88.42
2025-06-04,88.7
2025-06-05,88.65
2025-06-06,89.5
2025-06-07,
2025-06-08,
2025-06-09,89.61
2025-06-10,90.2
2025-06-11,89.95
2025-06-12,90.38
2025-06-13,89.13
2025-06-14,
2025-06-15,
2025-06-16,90.0
2025-06-17,89.32
2025-06-18,89.15
