Date,Close
2024-01-01,
2024-01-02,33.58
2024-01-03,34.35
2024-01-04,33.49
2024-01-05,33.51
2024-01-06,
2024-01-07,
2024-01-08,32.93
2024-01-09,32.11
2024-01-10,31.62
2024-01-11,31.69
2024-01-12,32.28
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,31.11
2024-01-17,30.72
2024-01-18,30.61
2024-01-19,30.77
2024-01-20,
2024-01-21,
2024-01-22,30.9
2024-01-23,31.04
2024-01-24,31.69
2024-01-25,32.74
2024-01-26,33.11
2024-01-27,
2024-01-28,
2024-01-29,33.01
2024-01-30,33.52
2024-01-31,32.58
2024-02-01,32.55
2024-02-02,32.63
2024-02-03,
2024-02-04,
2024-02-05,32.51
2024-02-06,32.66
2024-02-07,32.74
2024-02-08,33.26
2024-02-09,32.49
2024-02-10,
2024-02-11,
2024-02-12,32.99
2024-02-13,32.54
2024-02-14,32.45
2024-02-15,33.77
2024-02-16,33.77
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,33.27
2024-02-21,34.19
2024-02-22,34.25
2024-02-23,33.96
2024-02-24,
2024-02-25,
2024-02-26,34.11
2024-02-27,33.87
2024-02-28,33.76
2024-02-29,33.97
2024-03-01,34.58
2024-03-02,
2024-03-03,
2024-03-04,34.03
2024-03-05,34.4
2024-03-06,34.55
2024-03-07,34.97
2024-03-08,35.17
2024-03-09,
2024-03-10,
2024-03-11,35.69
2024-03-12,35.61
2024-03-13,36.43
2024-03-14,37.01
2024-03-15,37.16
2024-03-16,
2024-03-17,
2024-03-18,37.36
2024-03-19,37.97
2024-03-20,37.91
2024-03-21,38.22
2024-03-22,38.08
2024-03-23,
2024-03-24,
2024-03-25,38.58
2024-03-26,38.14
2024-03-27,38.67
2024-03-28,39.3
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,39.75
2024-04-02,40.55
2024-04-03,40.96
2024-04-04,40.91
2024-04-05,41.55
2024-04-06,
2024-04-07,
2024-04-08,41.14
2024-04-09,41.16
2024-04-10,41.38
2024-04-11,41.25
2024-04-12,40.27
2024-04-13,
2024-04-14,
2024-04-15,39.73
2024-04-16,39.19
2024-04-17,38.98
2024-04-18,38.84
2024-04-19,39.5
2024-04-20,
2024-04-21,
2024-04-22,39.86
2024-04-23,40.16
2024-04-24,40.22
2024-04-25,40.52
2024-04-26,39.95
2024-04-27,
2024-04-28,
2024-04-29,40.33
2024-04-30,38.54
2024-05-01,37.61
2024-05-02,37.91
2024-05-03,37.89
2024-05-04,
2024-05-05,
2024-05-06,38.34
2024-05-07,38.27
2024-05-08,38.19
2024-05-09,38.94
2024-05-10,38.65
2024-05-11,
2024-05-12,
2024-05-13,38.48
2024-05-14,38.54
2024-05-15,38.62
2024-05-16,38.48
2024-05-17,39.27
2024-05-18,
2024-05-19,
2024-05-20,38.88
2024-05-21,38.59
2024-05-22,37.53
2024-05-23,36.96
2024-05-24,37.04
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,37.61
2024-05-29,36.59
2024-05-30,36.73
2024-05-31,36.73
2024-06-01,
2024-06-02,
2024-06-03,36.56
2024-06-04,36.05
2024-06-05,36.05
2024-06-06,36.33
2024-06-07,36.1
2024-06-08,
2024-06-09,
2024-06-10,36.49
2024-06-11,36.38
2024-06-12,35.77
2024-06-13,35.29
2024-06-14,34.86
2024-06-15,
2024-06-16,
2024-06-17,34.98
2024-06-18,35.21
2024-06-19,
2024-06-20,36.16
2024-06-21,35.79
2024-06-22,
2024-06-23,
2024-06-24,37.22
2024-06-25,37.29
2024-06-26,36.76
2024-06-27,36.86
2024-06-28,37.12
2024-06-29,
2024-06-30,
2024-07-01,37.12
2024-07-02,37.04
2024-07-03,37.27
2024-07-04,
2024-07-05,36.4
2024-07-06,
2024-07-07,
2024-07-08,36.07
2024-07-09,35.58
2024-07-10,35.93
2024-07-11,36.47
2024-07-12,36.63
2024-07-13,
2024-07-14,
2024-07-15,37.47
2024-07-16,37.62
2024-07-17,38.23
2024-07-18,38.36
2024-07-19,37.71
2024-07-20,
2024-07-21,
2024-07-22,37.33
2024-07-23,36.46
2024-07-24,36.47
2024-07-25,37.26
2024-07-26,37.51
2024-07-27,
2024-07-28,
2024-07-29,37.04
2024-07-30,37.91
2024-07-31,38.14
2024-08-01,36.63
2024-08-02,36.63
2024-08-03,
2024-08-04,
2024-08-05,34.08
2024-08-06,34.36
2024-08-07,34.53
2024-08-08,35.63
2024-08-09,35.63
2024-08-10,
2024-08-11,
2024-08-12,36.0
2024-08-13,35.45
2024-08-14,35.77
2024-08-15,36.42
2024-08-16,36.36
2024-08-17,
2024-08-18,
2024-08-19,36.68
2024-08-20,35.26
2024-08-21,35.31
2024-08-22,35.43
2024-08-23,36.23
2024-08-24,
2024-08-25,
2024-08-26,36.71
2024-08-27,36.2
2024-08-28,35.84
2024-08-29,36.48
2024-08-30,36.69
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,35.34
2024-09-04,34.58
2024-09-05,34.19
2024-09-06,33.55
2024-09-07,
2024-09-08,
2024-09-09,33.85
2024-09-10,33.0
2024-09-11,32.54
2024-09-12,32.99
2024-09-13,32.99
2024-09-14,
2024-09-15,
2024-09-16,33.79
2024-09-17,34.49
2024-09-18,34.59
2024-09-19,35.21
2024-09-20,35.21
2024-09-21,
2024-09-22,
2024-09-23,35.69
2024-09-24,35.53
2024-09-25,34.55
2024-09-26,33.48
2024-09-27,34.5
2024-09-28,
2024-09-29,
2024-09-30,34.88
2024-10-01,36.02
2024-10-02,36.6
2024-10-03,37.55
2024-10-04,38.09
2024-10-05,
2024-10-06,
2024-10-07,38.27
2024-10-08,36.74
2024-10-09,37.05
2024-10-10,37.49
2024-10-11,37.77
2024-10-12,
2024-10-13,
2024-10-14,37.66
2024-10-15,35.94
2024-10-16,36.18
2024-10-17,36.46
2024-10-18,36.26
2024-10-19,
2024-10-20,
2024-10-21,36.1
2024-10-22,36.19
2024-10-23,35.91
2024-10-24,35.83
2024-10-25,35.87
2024-10-26,
2024-10-27,
2024-10-28,35.49
2024-10-29,34.7
2024-10-30,34.76
2024-10-31,35.13
2024-11-01,34.77
2024-11-02,
2024-11-03,
2024-11-04,35.67
2024-11-05,36.01
2024-11-06,38.08
2024-11-07,37.84
2024-11-08,38.15
2024-11-09,
2024-11-10,
2024-11-11,38.46
2024-11-12,38.17
2024-11-13,38.61
2024-11-14,38.83
2024-11-15,38.7
2024-11-16,
2024-11-17,
2024-11-18,39.45
2024-11-19,39.11
2024-11-20,39.68
2024-11-21,40.16
2024-11-22,40.24
2024-11-23,
2024-11-24,
2024-11-25,38.97
2024-11-26,38.92
2024-11-27,38.86
