Date,Close
2020-01-01,
2020-01-02,49.81
2020-01-03,49.41
2020-01-04,
2020-01-05,
2020-01-06,48.75
2020-01-07,50.25
2020-01-08,50.32
2020-01-09,51.0
2020-01-10,50.92
2020-01-11,
2020-01-12,
2020-01-13,52.17
2020-01-14,52.4
2020-01-15,52.26
2020-01-16,53.77
2020-01-17,54.94
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,56.19
2020-01-22,56.01
2020-01-23,56.18
2020-01-24,54.65
2020-01-25,
2020-01-26,
2020-01-27,52.45
2020-01-28,53.22
2020-01-29,52.18
2020-01-30,52.19
2020-01-31,50.65
2020-02-01,
2020-02-02,
2020-02-03,51.28
2020-02-04,54.53
2020-02-05,55.51
2020-02-06,55.17
2020-02-07,54.35
2020-02-08,
2020-02-09,
2020-02-10,55.15
2020-02-11,56.13
2020-02-12,57.22
2020-02-13,57.14
2020-02-14,56.92
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,55.19
2020-02-19,56.72
2020-02-20,56.76
2020-02-21,55.76
2020-02-22,
2020-02-23,
2020-02-24,54.0
2020-02-25,51.87
2020-02-26,51.83
2020-02-27,50.21
2020-02-28,52.18
2020-02-29,
2020-03-01,
2020-03-02,53.98
2020-03-03,52.36
2020-03-04,54.76
2020-03-05,53.17
2020-03-06,51.47
2020-03-07,
2020-03-08,
2020-03-09,47.49
2020-03-10,50.6
2020-03-11,46.47
2020-03-12,41.45
2020-03-13,46.36
2020-03-14,
2020-03-15,
2020-03-16,40.8
2020-03-17,43.55
2020-03-18,40.64
2020-03-19,39.84
2020-03-20,38.19
2020-03-21,
2020-03-22,
2020-03-23,39.14
2020-03-24,43.0
2020-03-25,43.1
2020-03-26,47.25
2020-03-27,43.8
2020-03-28,
2020-03-29,
2020-03-30,46.52
2020-03-31,43.81
2020-04-01,40.52
2020-04-02,41.13
2020-04-03,41.21
2020-04-04,
2020-04-05,
2020-04-06,47.46
2020-04-07,46.57
2020-04-08,47.88
2020-04-09,48.67
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,48.69
2020-04-14,50.63
2020-04-15,47.97
2020-04-16,50.17
2020-04-17,51.85
2020-04-18,
2020-04-19,
2020-04-20,50.57
2020-04-21,46.25
2020-04-22,49.96
2020-04-23,49.38
2020-04-24,50.11
2020-04-25,
2020-04-26,
2020-04-27,51.04
2020-04-28,51.97
2020-04-29,55.36
2020-04-30,53.15
2020-05-01,50.67
2020-05-02,
2020-05-03,
2020-05-04,51.32
2020-05-05,50.9
2020-05-06,51.12
2020-05-07,52.19
2020-05-08,55.57
2020-05-09,
2020-05-10,
2020-05-11,55.81
2020-05-12,54.27
2020-05-13,52.92
2020-05-14,54.35
2020-05-15,54.42
2020-05-16,
2020-05-17,
2020-05-18,55.9
2020-05-19,56.33
2020-05-20,57.35
2020-05-21,57.38
2020-05-22,57.34
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,58.14
2020-05-27,58.28
2020-05-28,57.44
2020-05-29,58.69
2020-05-30,
2020-05-31,
2020-06-01,57.89
2020-06-02,59.01
2020-06-03,60.74
2020-06-04,60.93
2020-06-05,63.23
2020-06-06,
2020-06-07,
2020-06-08,60.9
2020-06-09,61.44
2020-06-10,61.23
2020-06-11,56.92
2020-06-12,58.4
2020-06-13,
2020-06-14,
2020-06-15,58.96
2020-06-16,60.8
2020-06-17,61.46
2020-06-18,60.75
2020-06-19,58.87
2020-06-20,
2020-06-21,
2020-06-22,59.83
2020-06-23,59.47
2020-06-24,57.72
2020-06-25,57.97
2020-06-26,56.22
2020-06-27,
2020-06-28,
2020-06-29,56.82
2020-06-30,57.88
2020-07-01,57.23
2020-07-02,58.44
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,59.56
2020-07-07,58.59
2020-07-08,58.57
2020-07-09,59.92
2020-07-10,57.88
2020-07-11,
2020-07-12,
2020-07-13,56.5
2020-07-14,56.89
2020-07-15,56.78
2020-07-16,56.59
2020-07-17,57.71
2020-07-18,
2020-07-19,
2020-07-20,59.98
2020-07-21,60.47
2020-07-22,61.38
2020-07-23,68.26
2020-07-24,66.49
2020-07-25,
2020-07-26,
2020-07-27,68.16
2020-07-28,67.89
2020-07-29,69.77
2020-07-30,70.85
2020-07-31,70.56
2020-08-01,
2020-08-02,
2020-08-03,72.62
2020-08-04,71.63
2020-08-05,72.1
2020-08-06,71.42
2020-08-07,68.94
2020-08-08,
2020-08-09,
2020-08-10,67.63
2020-08-11,67.92
2020-08-12,69.73
2020-08-13,69.33
2020-08-14,68.42
2020-08-15,
2020-08-16,
2020-08-17,69.39
2020-08-18,69.96
2020-08-19,69.72
2020-08-20,68.04
2020-08-21,68.13
2020-08-22,
2020-08-23,
2020-08-24,68.0
2020-08-25,68.57
2020-08-26,68.54
2020-08-27,66.57
2020-08-28,67.02
2020-08-29,
2020-08-30,
2020-08-31,65.63
2020-09-01,67.57
2020-09-02,69.41
2020-09-03,65.64
2020-09-04,65.29
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,61.34
2020-09-09,63.58
2020-09-10,63.77
2020-09-11,64.16
2020-09-12,
2020-09-13,
2020-09-14,66.38
2020-09-15,67.69
2020-09-16,66.81
2020-09-17,66.83
2020-09-18,65.31
2020-09-19,
2020-09-20,
2020-09-21,65.35
2020-09-22,65.81
2020-09-23,65.65
2020-09-24,66.92
2020-09-25,67.92
2020-09-26,
2020-09-27,
2020-09-28,70.06
2020-09-29,71.83
2020-09-30,72.95
2020-10-01,75.21
2020-10-02,74.5
2020-10-03,
2020-10-04,
2020-10-05,77.42
2020-10-06,78.59
2020-10-07,80.23
2020-10-08,80.61
2020-10-09,81.2
2020-10-10,
2020-10-11,
2020-10-12,82.04
2020-10-13,82.34
2020-10-14,80.88
2020-10-15,80.48
2020-10-16,79.88
2020-10-17,
2020-10-18,
2020-10-19,79.5
2020-10-20,79.11
2020-10-21,78.4
2020-10-22,77.15
2020-10-23,76.88
2020-10-24,
2020-10-25,
2020-10-26,75.78
2020-10-27,75.35
2020-10-28,73.39
2020-10-29,74.52
2020-10-30,73.44
2020-10-31,
2020-11-01,
2020-11-02,75.68
2020-11-03,78.64
2020-11-04,81.46
2020-11-05,83.08
2020-11-06,85.82
2020-11-07,
2020-11-08,
2020-11-09,86.46
2020-11-10,84.47
2020-11-11,86.05
2020-11-12,83.53
2020-11-13,83.81
2020-11-14,
2020-11-15,
2020-11-16,86.2
2020-11-17,86.64
2020-11-18,87.18
2020-11-19,88.37
2020-11-20,87.64
2020-11-21,
2020-11-22,
2020-11-23,88.41
2020-11-24,88.38
2020-11-25,87.38
2020-11-26,
2020-11-27,88.68
2020-11-28,
2020-11-29,
2020-11-30,90.98
2020-12-01,92.33
2020-12-02,91.54
2020-12-03,91.73
2020-12-04,94.51
2020-12-05,
2020-12-06,
2020-12-07,95.94
2020-12-08,97.27
2020-12-09,90.83
2020-12-10,91.45
2020-12-11,92.52
2020-12-12,
2020-12-13,
2020-12-14,93.65
2020-12-15,95.9
2020-12-16,93.32
2020-12-17,94.58
2020-12-18,94.08
2020-12-19,
2020-12-20,
2020-12-21,96.16
2020-12-22,95.87
2020-12-23,94.07
2020-12-24,94.55
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,92.9
2020-12-29,92.7
2020-12-30,94.66
2020-12-31,94.39
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,93.51
2021-01-05,95.2
2021-01-06,94.31
2021-01-07,97.69
2021-01-08,97.76
2021-01-09,
2021-01-10,
2021-01-11,99.7
2021-01-12,101.77
2021-01-13,103.13
2021-01-14,106.67
2021-01-15,105.66
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,107.67
2021-01-20,106.98
2021-01-21,111.54
2021-01-22,110.34
2021-01-23,
2021-01-24,
