Date,Close
2020-01-01,
2020-01-02,18.01
2020-01-03,18.18
2020-01-04,
2020-01-05,
2020-01-06,18.37
2020-01-07,18.39
2020-01-08,18.34
2020-01-09,18.28
2020-01-10,18.25
2020-01-11,
2020-01-12,
2020-01-13,18.52
2020-01-14,18.56
2020-01-15,18.51
2020-01-16,18.58
2020-01-17,18.44
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,18.0
2020-01-22,17.74
2020-01-23,17.8
2020-01-24,17.51
2020-01-25,
2020-01-26,
2020-01-27,17.25
2020-01-28,17.44
2020-01-29,17.46
2020-01-30,17.27
2020-01-31,16.77
2020-02-01,
2020-02-02,
2020-02-03,16.52
2020-02-04,16.99
2020-02-05,17.14
2020-02-06,16.76
2020-02-07,16.63
2020-02-08,
2020-02-09,
2020-02-10,16.59
2020-02-11,16.73
2020-02-12,17.25
2020-02-13,16.98
2020-02-14,17.1
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,16.9
2020-02-19,16.98
2020-02-20,17.06
2020-02-21,16.89
2020-02-22,
2020-02-23,
2020-02-24,16.26
2020-02-25,15.61
2020-02-26,15.52
2020-02-27,14.9
2020-02-28,15.19
2020-02-29,
2020-03-01,
2020-03-02,15.83
2020-03-03,15.63
2020-03-04,15.66
2020-03-05,15.4
2020-03-06,14.59
2020-03-07,
2020-03-08,
2020-03-09,11.88
2020-03-10,12.11
2020-03-11,11.2
2020-03-12,9.28
2020-03-13,10.1
2020-03-14,
2020-03-15,
2020-03-16,8.87
2020-03-17,8.46
2020-03-18,7.99
2020-03-19,9.45
2020-03-20,9.48
2020-03-21,
2020-03-22,
2020-03-23,8.65
2020-03-24,9.05
2020-03-25,9.18
2020-03-26,9.8
2020-03-27,9.08
2020-03-28,
2020-03-29,
2020-03-30,8.82
2020-03-31,9.31
2020-04-01,8.97
2020-04-02,9.38
2020-04-03,9.39
2020-04-04,
2020-04-05,
2020-04-06,9.7
2020-04-07,9.9
2020-04-08,10.4
2020-04-09,10.66
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,10.89
2020-04-14,10.74
2020-04-15,10.26
2020-04-16,9.9
2020-04-17,10.63
2020-04-18,
2020-04-19,
2020-04-20,10.19
2020-04-21,10.17
2020-04-22,10.6
2020-04-23,11.19
2020-04-24,10.94
2020-04-25,
2020-04-26,
2020-04-27,10.89
2020-04-28,11.22
2020-04-29,12.27
2020-04-30,11.73
2020-05-01,11.44
2020-05-02,
2020-05-03,
2020-05-04,11.39
2020-05-05,11.46
2020-05-06,11.25
2020-05-07,11.52
2020-05-08,11.89
2020-05-09,
2020-05-10,
