Date,Close
2020-01-01,
2020-01-02,64.65
2020-01-03,65.49
2020-01-04,
2020-01-05,
2020-01-06,65.68
2020-01-07,64.7
2020-01-08,64.84
2020-01-09,65.17
2020-01-10,65.86
2020-01-11,
2020-01-12,
2020-01-13,66.69
2020-01-14,65.78
2020-01-15,66.52
2020-01-16,66.87
2020-01-17,66.87
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,67.52
2020-01-22,66.78
2020-01-23,67.34
2020-01-24,67.08
2020-01-25,
2020-01-26,
2020-01-27,66.74
2020-01-28,67.05
2020-01-29,66.68
2020-01-30,68.06
2020-01-31,67.34
2020-02-01,
2020-02-02,
2020-02-03,67.14
2020-02-04,67.79
2020-02-05,67.52
2020-02-06,67.98
2020-02-07,68.24
2020-02-08,
2020-02-09,
2020-02-10,68.84
2020-02-11,68.72
2020-02-12,68.72
2020-02-13,69.07
2020-02-14,70.08
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,69.92
2020-02-19,69.17
2020-02-20,70.03
2020-02-21,70.52
2020-02-22,
2020-02-23,
2020-02-24,69.53
2020-02-25,67.69
2020-02-26,67.56
2020-02-27,63.59
2020-02-28,60.87
2020-02-29,
2020-03-01,
2020-03-02,64.09
2020-03-03,63.67
2020-03-04,65.68
2020-03-05,64.33
2020-03-06,62.93
2020-03-07,
2020-03-08,
2020-03-09,60.36
2020-03-10,64.78
2020-03-11,60.87
2020-03-12,56.74
2020-03-13,59.66
2020-03-14,
2020-03-15,
2020-03-16,49.57
2020-03-17,53.87
2020-03-18,49.34
2020-03-19,49.12
2020-03-20,45.26
2020-03-21,
2020-03-22,
2020-03-23,42.07
2020-03-24,42.69
2020-03-25,44.67
2020-03-26,48.49
2020-03-27,51.31
2020-03-28,
2020-03-29,
2020-03-30,51.23
2020-03-31,50.52
2020-04-01,47.24
2020-04-02,44.67
2020-04-03,44.42
2020-04-04,
2020-04-05,
2020-04-06,49.21
2020-04-07,49.68
2020-04-08,53.42
2020-04-09,56.83
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,54.44
2020-04-14,56.42
2020-04-15,54.02
2020-04-16,53.4
2020-04-17,57.13
2020-04-18,
2020-04-19,
2020-04-20,53.71
2020-04-21,52.24
2020-04-22,53.75
2020-04-23,52.24
2020-04-24,52.39
2020-04-25,
2020-04-26,
2020-04-27,53.46
2020-04-28,53.11
2020-04-29,53.88
2020-04-30,53.26
2020-05-01,51.01
2020-05-02,
2020-05-03,
2020-05-04,51.17
2020-05-05,51.09
2020-05-06,49.95
2020-05-07,51.62
2020-05-08,52.57
2020-05-09,
2020-05-10,
2020-05-11,51.99
2020-05-12,49.21
2020-05-13,47.99
2020-05-14,47.09
2020-05-15,46.77
2020-05-16,
2020-05-17,
2020-05-18,49.5
2020-05-19,47.25
2020-05-20,48.24
2020-05-21,47.42
2020-05-22,46.99
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,49.34
2020-05-27,49.23
2020-05-28,49.83
2020-05-29,49.58
2020-05-30,
2020-05-31,
2020-06-01,50.02
2020-06-02,49.5
2020-06-03,50.45
2020-06-04,50.48
2020-06-05,54.36
2020-06-06,
2020-06-07,
2020-06-08,55.81
2020-06-09,53.53
2020-06-10,52.9
2020-06-11,50.48
2020-06-12,52.04
2020-06-13,
2020-06-14,
2020-06-15,51.85
2020-06-16,52.96
2020-06-17,51.18
2020-06-18,50.71
2020-06-19,49.25
2020-06-20,
2020-06-21,
2020-06-22,49.02
2020-06-23,48.59
2020-06-24,47.52
2020-06-25,48.28
2020-06-26,47.12
2020-06-27,
2020-06-28,
2020-06-29,47.68
2020-06-30,48.63
2020-07-01,50.29
2020-07-02,50.09
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,49.26
2020-07-07,47.61
2020-07-08,47.52
2020-07-09,46.88
2020-07-10,46.87
2020-07-11,
2020-07-12,
2020-07-13,47.14
2020-07-14,47.14
2020-07-15,47.72
2020-07-16,47.3
2020-07-17,47.11
2020-07-18,
2020-07-19,
2020-07-20,45.61
2020-07-21,45.11
2020-07-22,46.05
2020-07-23,45.33
2020-07-24,44.92
2020-07-25,
2020-07-26,
2020-07-27,44.09
2020-07-28,45.19
2020-07-29,44.3
2020-07-30,44.6
2020-07-31,44.34
2020-08-01,
2020-08-02,
2020-08-03,43.26
2020-08-04,44.2
2020-08-05,44.08
2020-08-06,44.34
2020-08-07,45.63
2020-08-08,
2020-08-09,
2020-08-10,45.77
2020-08-11,45.26
2020-08-12,45.32
2020-08-13,44.24
2020-08-14,44.96
2020-08-15,
2020-08-16,
2020-08-17,45.79
2020-08-18,45.77
2020-08-19,44.77
2020-08-20,45.68
2020-08-21,45.21
2020-08-22,
2020-08-23,
2020-08-24,46.22
2020-08-25,46.76
2020-08-26,45.4
2020-08-27,46.82
2020-08-28,47.15
2020-08-29,
2020-08-30,
2020-08-31,46.67
2020-09-01,46.94
2020-09-02,47.69
2020-09-03,47.45
2020-09-04,48.04
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,47.44
2020-09-09,46.99
2020-09-10,46.14
2020-09-11,45.2
2020-09-12,
2020-09-13,
2020-09-14,47.06
2020-09-15,46.57
2020-09-16,47.01
2020-09-17,46.11
2020-09-18,44.91
2020-09-19,
2020-09-20,
2020-09-21,43.01
2020-09-22,43.53
2020-09-23,42.37
2020-09-24,42.25
2020-09-25,43.14
2020-09-26,
2020-09-27,
2020-09-28,43.95
2020-09-29,42.74
2020-09-30,42.94
2020-10-01,44.7
2020-10-02,46.09
2020-10-03,
2020-10-04,
2020-10-05,46.51
2020-10-06,46.17
2020-10-07,45.81
2020-10-08,47.01
2020-10-09,46.56
2020-10-10,
2020-10-11,
2020-10-12,46.3
2020-10-13,44.76
2020-10-14,44.18
