Date,Close
2024-01-01,
2024-01-02,37.89
2024-01-03,37.71
2024-01-04,37.19
2024-01-05,37.69
2024-01-06,
2024-01-07,
2024-01-08,37.2
2024-01-09,37.06
2024-01-10,36.71
2024-01-11,36.07
2024-01-12,36.82
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,35.34
2024-01-17,35.01
2024-01-18,34.28
2024-01-19,34.4
2024-01-20,
2024-01-21,
2024-01-22,34.44
2024-01-23,34.33
2024-01-24,34.72
2024-01-25,35.11
2024-01-26,34.93
2024-01-27,
2024-01-28,
2024-01-29,34.87
2024-01-30,35.19
2024-01-31,34.46
2024-02-01,34.13
2024-02-02,34.11
2024-02-03,
2024-02-04,
2024-02-05,33.28
2024-02-06,33.33
2024-02-07,33.33
2024-02-08,33.83
2024-02-09,33.42
2024-02-10,
2024-02-11,
2024-02-12,34.01
2024-02-13,33.2
2024-02-14,32.09
2024-02-15,33.58
2024-02-16,33.94
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,32.99
2024-02-21,36.48
2024-02-22,36.5
2024-02-23,36.2
2024-02-24,
2024-02-25,
2024-02-26,35.93
2024-02-27,35.72
2024-02-28,35.78
2024-02-29,36.33
2024-03-01,36.2
2024-03-02,
2024-03-03,
2024-03-04,36.72
2024-03-05,37.16
2024-03-06,36.76
2024-03-07,36.44
2024-03-08,36.7
2024-03-09,
2024-03-10,
2024-03-11,33.85
2024-03-12,33.76
2024-03-13,33.26
2024-03-14,33.04
2024-03-15,32.7
2024-03-16,
2024-03-17,
2024-03-18,32.67
2024-03-19,32.82
2024-03-20,33.08
2024-03-21,33.61
2024-03-22,33.61
2024-03-23,
2024-03-24,
2024-03-25,34.06
2024-03-26,34.18
2024-03-27,35.28
2024-03-28,36.26
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,36.3
2024-04-02,36.06
2024-04-03,36.37
2024-04-04,35.95
2024-04-05,35.68
2024-04-06,
2024-04-07,
2024-04-08,36.03
2024-04-09,37.12
2024-04-10,36.88
2024-04-11,36.67
2024-04-12,36.43
2024-04-13,
2024-04-14,
2024-04-15,35.72
2024-04-16,35.41
2024-04-17,35.25
2024-04-18,35.42
2024-04-19,35.85
2024-04-20,
2024-04-21,
2024-04-22,37.14
2024-04-23,37.15
2024-04-24,38.56
2024-04-25,39.52
2024-04-26,39.72
2024-04-27,
2024-04-28,
2024-04-29,40.15
2024-04-30,39.21
2024-05-01,37.81
2024-05-02,38.61
2024-05-03,39.39
2024-05-04,
2024-05-05,
2024-05-06,40.14
2024-05-07,39.77
2024-05-08,39.18
2024-05-09,39.29
2024-05-10,38.22
2024-05-11,
2024-05-12,
2024-05-13,39.07
2024-05-14,39.97
2024-05-15,40.19
2024-05-16,39.77
2024-05-17,40.42
2024-05-18,
2024-05-19,
2024-05-20,41.16
2024-05-21,40.44
2024-05-22,40.46
2024-05-23,39.18
2024-05-24,39.42
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,40.49
2024-05-29,39.95
2024-05-30,40.45
2024-05-31,40.34
2024-06-01,
2024-06-02,
2024-06-03,40.24
2024-06-04,39.88
2024-06-05,40.2
2024-06-06,39.92
2024-06-07,39.8
2024-06-08,
2024-06-09,
2024-06-10,40.38
2024-06-11,40.42
2024-06-12,40.03
2024-06-13,39.57
2024-06-14,38.62
2024-06-15,
2024-06-16,
2024-06-17,37.87
2024-06-18,37.51
2024-06-19,
2024-06-20,37.07
2024-06-21,36.3
2024-06-22,
2024-06-23,
2024-06-24,37.82
2024-06-25,37.85
2024-06-26,37.07
2024-06-27,36.6
2024-06-28,36.31
2024-06-29,
2024-06-30,
2024-07-01,36.02
2024-07-02,36.29
2024-07-03,36.37
2024-07-04,
2024-07-05,35.66
2024-07-06,
2024-07-07,
2024-07-08,35.72
2024-07-09,35.88
2024-07-10,35.97
2024-07-11,36.51
2024-07-12,36.53
2024-07-13,
2024-07-14,
2024-07-15,36.16
2024-07-16,35.23
2024-07-17,34.95
2024-07-18,34.71
2024-07-19,35.23
2024-07-20,
2024-07-21,
2024-07-22,35.02
2024-07-23,34.41
2024-07-24,34.46
2024-07-25,33.76
2024-07-26,33.69
2024-07-27,
2024-07-28,
2024-07-29,33.45
2024-07-30,34.18
2024-07-31,33.88
2024-08-01,32.98
2024-08-02,31.0
2024-08-03,
2024-08-04,
2024-08-05,29.66
2024-08-06,30.25
2024-08-07,29.82
2024-08-08,30.55
2024-08-09,30.69
2024-08-10,
2024-08-11,
2024-08-12,31.84
2024-08-13,30.74
2024-08-14,31.07
2024-08-15,31.36
2024-08-16,31.73
2024-08-17,
2024-08-18,
2024-08-19,33.28
2024-08-20,32.8
2024-08-21,32.67
2024-08-22,32.47
2024-08-23,33.2
2024-08-24,
2024-08-25,
2024-08-26,32.75
