Date,Close
2020-01-01,
2020-01-02,68.43
2020-01-03,68.13
2020-01-04,
2020-01-05,
2020-01-06,68.5
2020-01-07,67.98
2020-01-08,68.04
2020-01-09,68.57
2020-01-10,69.4
2020-01-11,
2020-01-12,
2020-01-13,70.01
2020-01-14,70.59
2020-01-15,71.8
2020-01-16,72.16
2020-01-17,72.96
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,73.84
2020-01-22,73.96
2020-01-23,75.02
2020-01-24,75.49
2020-01-25,
2020-01-26,
2020-01-27,75.13
2020-01-28,75.47
2020-01-29,75.97
2020-01-30,76.64
2020-01-31,76.01
2020-02-01,
2020-02-02,
2020-02-03,75.98
2020-02-04,74.49
2020-02-05,74.4
2020-02-06,74.72
2020-02-07,74.48
2020-02-08,
2020-02-09,
2020-02-10,75.13
2020-02-11,74.97
2020-02-12,75.04
2020-02-13,76.04
2020-02-14,77.01
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,77.96
2020-02-19,77.54
2020-02-20,78.65
2020-02-21,78.9
2020-02-22,
2020-02-23,
2020-02-24,78.29
2020-02-25,76.78
2020-02-26,76.85
2020-02-27,73.61
2020-02-28,71.09
2020-02-29,
2020-03-01,
2020-03-02,76.98
2020-03-03,76.44
2020-03-04,81.52
2020-03-05,80.61
2020-03-06,79.71
2020-03-07,
2020-03-08,
2020-03-09,76.57
2020-03-10,75.4
2020-03-11,72.62
2020-03-12,68.35
2020-03-13,73.24
2020-03-14,
2020-03-15,
2020-03-16,63.85
2020-03-17,72.14
2020-03-18,71.35
2020-03-19,63.74
2020-03-20,56.53
2020-03-21,
2020-03-22,
2020-03-23,51.48
2020-03-24,59.1
2020-03-25,59.48
2020-03-26,65.14
2020-03-27,66.97
2020-03-28,
2020-03-29,
2020-03-30,69.2
2020-03-31,64.7
2020-04-01,62.86
2020-04-02,65.59
2020-04-03,62.09
2020-04-04,
2020-04-05,
2020-04-06,67.91
2020-04-07,66.0
2020-04-08,68.95
2020-04-09,74.54
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,71.74
2020-04-14,75.61
2020-04-15,73.56
2020-04-16,74.28
2020-04-17,75.74
2020-04-18,
2020-04-19,
2020-04-20,72.61
2020-04-21,72.14
2020-04-22,72.81
2020-04-23,71.61
2020-04-24,71.62
2020-04-25,
2020-04-26,
2020-04-27,70.79
2020-04-28,71.33
2020-04-29,68.97
2020-04-30,66.76
2020-05-01,66.07
2020-05-02,
2020-05-03,
2020-05-04,66.84
2020-05-05,67.0
2020-05-06,63.09
2020-05-07,64.23
2020-05-08,64.35
2020-05-09,
2020-05-10,
2020-05-11,63.72
2020-05-12,62.6
2020-05-13,63.4
2020-05-14,63.92
2020-05-15,63.19
2020-05-16,
2020-05-17,
2020-05-18,66.01
2020-05-19,65.18
2020-05-20,66.15
2020-05-21,65.67
2020-05-22,65.37
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,65.0
2020-05-27,64.55
2020-05-28,67.4
2020-05-29,69.74
2020-05-30,
2020-05-31,
2020-06-01,71.3
2020-06-02,71.46
2020-06-03,72.42
2020-06-04,71.26
2020-06-05,72.09
2020-06-06,
2020-06-07,
2020-06-08,73.12
2020-06-09,71.05
2020-06-10,71.87
2020-06-11,70.28
2020-06-12,70.25
2020-06-13,
2020-06-14,
2020-06-15,70.2
