Date,Close
2024-01-01,
2024-01-02,234.31
2024-01-03,228.62
2024-01-04,229.97
2024-01-05,230.34
2024-01-06,
2024-01-07,
2024-01-08,234.39
2024-01-09,234.88
2024-01-10,236.26
2024-01-11,238.74
2024-01-12,237.46
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,237.09
2024-01-17,232.7
2024-01-18,235.5
2024-01-19,239.9
2024-01-20,
2024-01-21,
2024-01-22,239.21
2024-01-23,238.57
2024-01-24,236.93
2024-01-25,241.09
2024-01-26,241.16
2024-01-27,
2024-01-28,
2024-01-29,243.94
2024-01-30,245.46
2024-01-31,241.35
2024-02-01,259.48
2024-02-02,264.91
2024-02-03,
2024-02-04,
2024-02-05,264.24
2024-02-06,265.91
2024-02-07,267.6
2024-02-08,267.96
2024-02-09,272.62
2024-02-10,
2024-02-11,
2024-02-12,268.78
2024-02-13,267.14
2024-02-14,270.32
2024-02-15,270.49
2024-02-16,272.18
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,270.78
2024-02-21,271.83
2024-02-22,279.11
2024-02-23,279.45
2024-02-24,
2024-02-25,
2024-02-26,278.83
2024-02-27,278.12
2024-02-28,281.44
2024-02-29,283.44
2024-03-01,288.05
2024-03-02,
2024-03-03,
2024-03-04,290.88
2024-03-05,286.32
2024-03-06,291.03
2024-03-07,295.34
2024-03-08,292.68
2024-03-09,
2024-03-10,
2024-03-11,287.97
2024-03-12,292.93
2024-03-13,295.39
2024-03-14,295.44
2024-03-15,293.09
2024-03-16,
2024-03-17,
2024-03-18,293.92
2024-03-19,298.07
2024-03-20,304.8
2024-03-21,310.42
2024-03-22,311.47
2024-03-23,
2024-03-24,
2024-03-25,306.84
2024-03-26,307.04
2024-03-27,309.32
2024-03-28,307.63
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,306.99
2024-04-02,309.67
2024-04-03,315.76
2024-04-04,314.99
2024-04-05,325.17
2024-04-06,
2024-04-07,
2024-04-08,320.56
2024-04-09,308.8
2024-04-10,309.29
2024-04-11,312.13
2024-04-12,313.35
2024-04-13,
2024-04-14,
2024-04-15,310.19
2024-04-16,310.26
2024-04-17,305.17
2024-04-18,303.95
2024-04-19,298.12
2024-04-20,
2024-04-21,
2024-04-22,303.11
2024-04-23,307.79
2024-04-24,313.64
2024-04-25,311.98
2024-04-26,319.06
2024-04-27,
2024-04-28,
2024-04-29,321.23
2024-04-30,313.12
2024-05-01,306.99
2024-05-02,310.18
2024-05-03,316.27
2024-05-04,
2024-05-05,
2024-05-06,322.92
2024-05-07,323.1
2024-05-08,326.03
2024-05-09,328.86
2024-05-10,326.2
2024-05-11,
2024-05-12,
2024-05-13,324.17
2024-05-14,326.08
2024-05-15,333.49
2024-05-16,325.82
2024-05-17,325.88
2024-05-18,
2024-05-19,
