Date,Close
2020-01-01,
2020-01-02,45.19
2020-01-03,44.9
2020-01-04,
2020-01-05,
2020-01-06,44.83
2020-01-07,45.78
2020-01-08,45.01
2020-01-09,46.43
2020-01-10,46.13
2020-01-11,
2020-01-12,
2020-01-13,47.96
2020-01-14,49.15
2020-01-15,48.86
2020-01-16,50.9
2020-01-17,51.44
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,50.7
2020-01-22,50.24
2020-01-23,50.23
2020-01-24,50.52
2020-01-25,
2020-01-26,
2020-01-27,49.32
2020-01-28,49.83
2020-01-29,50.15
2020-01-30,50.29
2020-01-31,48.81
2020-02-01,
2020-02-02,
2020-02-03,49.36
2020-02-04,50.72
2020-02-05,49.57
2020-02-06,49.48
2020-02-07,49.64
2020-02-08,
2020-02-09,
2020-02-10,50.37
2020-02-11,50.56
2020-02-12,52.25
2020-02-13,52.97
2020-02-14,53.16
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,53.32
2020-02-19,53.18
2020-02-20,54.39
2020-02-21,53.7
2020-02-22,
2020-02-23,
2020-02-24,51.33
2020-02-25,49.89
2020-02-26,50.69
2020-02-27,57.92
2020-02-28,57.81
2020-02-29,
2020-03-01,
2020-03-02,58.84
2020-03-03,58.21
2020-03-04,62.46
2020-03-05,62.13
2020-03-06,60.65
2020-03-07,
2020-03-08,
2020-03-09,58.5
2020-03-10,57.97
2020-03-11,50.23
2020-03-12,44.04
2020-03-13,49.01
2020-03-14,
2020-03-15,
2020-03-16,41.65
2020-03-17,42.12
2020-03-18,39.25
2020-03-19,34.66
2020-03-20,31.69
2020-03-21,
2020-03-22,
2020-03-23,33.03
2020-03-24,38.13
2020-03-25,41.29
2020-03-26,41.88
2020-03-27,38.67
2020-03-28,
2020-03-29,
2020-03-30,38.67
2020-03-31,38.44
2020-04-01,35.45
2020-04-02,34.8
2020-04-03,38.15
2020-04-04,
2020-04-05,
2020-04-06,46.46
2020-04-07,47.69
2020-04-08,51.0
2020-04-09,53.68
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,55.44
2020-04-14,57.66
2020-04-15,56.72
2020-04-16,59.72
2020-04-17,61.06
2020-04-18,
2020-04-19,
2020-04-20,65.05
2020-04-21,61.37
2020-04-22,62.75
2020-04-23,62.85
2020-04-24,66.19
2020-04-25,
2020-04-26,
2020-04-27,69.28
2020-04-28,66.25
2020-04-29,68.33
2020-04-30,64.87
2020-05-01,64.44
2020-05-02,
2020-05-03,
2020-05-04,67.69
2020-05-05,72.79
2020-05-06,78.24
2020-05-07,76.59
2020-05-08,80.71
2020-05-09,
2020-05-10,
2020-05-11,80.28
2020-05-12,79.02
2020-05-13,81.55
2020-05-14,81.63
2020-05-15,85.63
2020-05-16,
2020-05-17,
2020-05-18,78.18
2020-05-19,77.08
2020-05-20,75.29
2020-05-21,74.31
2020-05-22,77.48
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,74.08
2020-05-27,76.24
2020-05-28,77.81
2020-05-29,80.98
2020-05-30,
2020-05-31,
2020-06-01,78.59
2020-06-02,81.86
2020-06-03,80.66
2020-06-04,80.3
2020-06-05,78.72
2020-06-06,
2020-06-07,
2020-06-08,76.47
2020-06-09,76.37
2020-06-10,79.81
2020-06-11,77.52
2020-06-12,79.76
2020-06-13,
2020-06-14,
2020-06-15,83.91
2020-06-16,84.55
2020-06-17,86.32
2020-06-18,87.0
2020-06-19,95.39
2020-06-20,
2020-06-21,
2020-06-22,96.3
2020-06-23,101.22
2020-06-24,98.17
2020-06-25,101.28
2020-06-26,102.54
2020-06-27,
2020-06-28,
2020-06-29,102.89
2020-06-30,106.23
2020-07-01,111.21
2020-07-02,110.68
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,112.97
2020-07-07,112.21
2020-07-08,111.9
2020-07-09,114.51
2020-07-10,111.29
2020-07-11,
2020-07-12,
2020-07-13,104.57
2020-07-14,103.74
2020-07-15,101.97
2020-07-16,103.34
2020-07-17,102.71
2020-07-18,
2020-07-19,
2020-07-20,106.69
2020-07-21,104.65
2020-07-22,104.23
2020-07-23,102.46
2020-07-24,101.59
2020-07-25,
2020-07-26,
