Date,Close
2024-01-01,
2024-01-02,37.71
2024-01-03,37.45
2024-01-04,37.44
2024-01-05,37.63
2024-01-06,
2024-01-07,
2024-01-08,37.92
2024-01-09,37.79
2024-01-10,37.93
2024-01-11,37.91
2024-01-12,37.83
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,37.5
2024-01-17,37.3
2024-01-18,37.57
2024-01-19,38.0
2024-01-20,
2024-01-21,
2024-01-22,38.08
2024-01-23,38.15
2024-01-24,38.28
2024-01-25,38.49
2024-01-26,38.58
2024-01-27,
2024-01-28,
2024-01-29,38.8
2024-01-30,38.93
2024-01-31,38.38
2024-02-01,38.65
2024-02-02,38.98
2024-02-03,
2024-02-04,
2024-02-05,38.79
2024-02-06,38.94
2024-02-07,39.13
2024-02-08,39.18
2024-02-09,39.27
2024-02-10,
2024-02-11,
2024-02-12,39.41
2024-02-13,38.89
2024-02-14,39.24
2024-02-15,39.65
2024-02-16,39.53
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,39.31
2024-02-21,39.43
2024-02-22,40.07
2024-02-23,40.09
2024-02-24,
2024-02-25,
2024-02-26,39.99
2024-02-27,40.09
2024-02-28,40.05
2024-02-29,40.31
2024-03-01,40.55
2024-03-02,
2024-03-03,
2024-03-04,40.62
2024-03-05,40.37
2024-03-06,40.58
2024-03-07,41.07
2024-03-08,40.96
2024-03-09,
2024-03-10,
2024-03-11,40.88
2024-03-12,41.25
2024-03-13,41.33
2024-03-14,41.23
2024-03-15,41.07
2024-03-16,
2024-03-17,
2024-03-18,41.31
2024-03-19,41.52
2024-03-20,41.9
2024-03-21,42.14
2024-03-22,42.05
2024-03-23,
2024-03-24,
2024-03-25,41.96
2024-03-26,41.85
2024-03-27,42.28
2024-03-28,42.32
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,42.24
2024-04-02,41.97
2024-04-03,42.17
2024-04-04,41.76
2024-04-05,42.27
2024-04-06,
2024-04-07,
2024-04-08,42.3
2024-04-09,42.32
2024-04-10,42.05
2024-04-11,42.16
2024-04-12,41.52
2024-04-13,
2024-04-14,
2024-04-15,41.17
2024-04-16,41.14
2024-04-17,41.03
2024-04-18,41.06
2024-04-19,40.88
2024-04-20,
2024-04-21,
2024-04-22,41.26
2024-04-23,41.86
2024-04-24,41.79
2024-04-25,41.6
2024-04-26,42.04
2024-04-27,
2024-04-28,
2024-04-29,42.09
2024-04-30,41.43
2024-05-01,41.3
2024-05-02,41.66
2024-05-03,42.14
2024-05-04,
2024-05-05,
2024-05-06,42.55
2024-05-07,42.6
2024-05-08,42.65
2024-05-09,42.89
2024-05-10,42.91
2024-05-11,
2024-05-12,
2024-05-13,42.77
2024-05-14,43.06
2024-05-15,43.52
2024-05-16,43.36
2024-05-17,43.44
2024-05-18,
2024-05-19,
2024-05-20,43.44
2024-05-21,43.53
2024-05-22,43.34
2024-05-23,43.0
2024-05-24,43.37
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,43.5
2024-05-29,43.05
2024-05-30,42.88
2024-05-31,43.31
2024-06-01,
2024-06-02,
2024-06-03,43.18
2024-06-04,43.02
2024-06-05,43.49
2024-06-06,43.38
2024-06-07,43.32
2024-06-08,
2024-06-09,
2024-06-10,43.5
2024-06-11,43.39
2024-06-12,43.78
2024-06-13,43.67
2024-06-14,43.58
2024-06-15,
2024-06-16,
2024-06-17,43.89
2024-06-18,44.12
2024-06-19,
2024-06-20,44.11
2024-06-21,44.0
2024-06-22,
2024-06-23,
2024-06-24,44.08
2024-06-25,44.11
2024-06-26,44.15
2024-06-27,44.18
2024-06-28,44.1
2024-06-29,
2024-06-30,
2024-07-01,44.17
2024-07-02,44.42
