Date,Close
2020-01-01,
2020-01-02,26.34
2020-01-03,26.16
2020-01-04,
2020-01-05,
2020-01-06,26.23
2020-01-07,26.19
2020-01-08,26.26
2020-01-09,26.4
2020-01-10,26.25
2020-01-11,
2020-01-12,
2020-01-13,26.44
2020-01-14,26.43
2020-01-15,26.43
2020-01-16,26.58
2020-01-17,26.66
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,26.5
2020-01-22,26.39
2020-01-23,26.37
2020-01-24,26.01
2020-01-25,
2020-01-26,
2020-01-27,25.59
2020-01-28,25.85
2020-01-29,25.95
2020-01-30,25.93
2020-01-31,25.37
2020-02-01,
2020-02-02,
2020-02-03,25.41
2020-02-04,25.85
2020-02-05,26.3
2020-02-06,26.4
2020-02-07,26.19
2020-02-08,
2020-02-09,
2020-02-10,26.33
2020-02-11,26.38
2020-02-12,26.61
2020-02-13,26.48
2020-02-14,26.45
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,26.33
2020-02-19,26.44
2020-02-20,26.39
2020-02-21,26.15
2020-02-22,
2020-02-23,
2020-02-24,25.17
2020-02-25,24.33
2020-02-26,24.08
2020-02-27,23.07
2020-02-28,23.02
2020-02-29,
2020-03-01,
2020-03-02,23.92
2020-03-03,23.22
2020-03-04,24.0
2020-03-05,23.07
2020-03-06,22.48
2020-03-07,
2020-03-08,
2020-03-09,20.49
2020-03-10,21.51
2020-03-11,20.47
2020-03-12,18.49
2020-03-13,20.27
2020-03-14,
2020-03-15,
2020-03-16,17.87
2020-03-17,19.01
2020-03-18,17.93
2020-03-19,18.04
2020-03-20,17.32
2020-03-21,
2020-03-22,
2020-03-23,16.66
2020-03-24,18.18
2020-03-25,18.58
2020-03-26,19.74
2020-03-27,19.02
2020-03-28,
2020-03-29,
2020-03-30,19.61
2020-03-31,19.48
2020-04-01,18.62
2020-04-02,18.98
2020-04-03,18.65
2020-04-04,
2020-04-05,
2020-04-06,19.87
2020-04-07,19.9
2020-04-08,20.59
2020-04-09,20.89
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,20.59
2020-04-14,21.01
2020-04-15,20.39
2020-04-16,20.38
2020-04-17,21.1
2020-04-18,
2020-04-19,
2020-04-20,20.67
2020-04-21,20.12
2020-04-22,20.43
2020-04-23,20.55
2020-04-24,20.83
2020-04-25,
2020-04-26,
2020-04-27,21.28
2020-04-28,21.32
2020-04-29,21.87
2020-04-30,21.55
2020-05-01,20.85
2020-05-02,
2020-05-03,
2020-05-04,20.86
2020-05-05,20.93
2020-05-06,20.72
2020-05-07,20.94
2020-05-08,21.39
2020-05-09,
2020-05-10,
2020-05-11,21.28
2020-05-12,20.86
2020-05-13,20.34
2020-05-14,20.57
2020-05-15,20.6
2020-05-16,
2020-05-17,
2020-05-18,21.61
2020-05-19,21.29
2020-05-20,21.71
2020-05-21,21.55
2020-05-22,21.54
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,22.11
2020-05-27,22.64
2020-05-28,22.38
2020-05-29,22.34
2020-05-30,
2020-05-31,
2020-06-01,22.56
2020-06-02,22.91
2020-06-03,23.37
2020-06-04,23.54
2020-06-05,24.27
2020-06-06,
2020-06-07,
2020-06-08,24.85
2020-06-09,24.41
2020-06-10,23.93
2020-06-11,22.29
2020-06-12,22.71
2020-06-13,
2020-06-14,
2020-06-15,22.91
2020-06-16,23.4
2020-06-17,23.17
2020-06-18,23.19
2020-06-19,23.09
2020-06-20,
2020-06-21,
2020-06-22,23.12
2020-06-23,23.32
2020-06-24,22.57
2020-06-25,22.87
2020-06-26,22.25
2020-06-27,
2020-06-28,
2020-06-29,22.6
2020-06-30,22.86
2020-07-01,22.79
2020-07-02,22.94
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,23.22
2020-07-07,22.83
2020-07-08,22.96
2020-07-09,22.57
2020-07-10,22.94
2020-07-11,
2020-07-12,
2020-07-13,22.82
2020-07-14,23.14
2020-07-15,23.54
2020-07-16,23.44
2020-07-17,23.39
2020-07-18,
2020-07-19,
2020-07-20,23.35
2020-07-21,23.65
2020-07-22,23.68
2020-07-23,23.53
2020-07-24,23.41
2020-07-25,
2020-07-26,
2020-07-27,23.5
2020-07-28,23.39
2020-07-29,23.65
2020-07-30,23.49
2020-07-31,23.41
2020-08-01,
2020-08-02,
2020-08-03,23.72
2020-08-04,23.81
2020-08-05,24.07
2020-08-06,24.11
2020-08-07,24.26
2020-08-08,
2020-08-09,
2020-08-10,24.51
2020-08-11,24.53
2020-08-12,24.76
2020-08-13,24.59
2020-08-14,24.66
2020-08-15,
2020-08-16,
2020-08-17,24.56
2020-08-18,24.48
2020-08-19,24.41
