Date,Close
2024-01-01,
2024-01-02,45.18
2024-01-03,45.82
2024-01-04,45.06
2024-01-05,45.23
2024-01-06,
2024-01-07,
2024-01-08,44.61
2024-01-09,44.0
2024-01-10,43.54
2024-01-11,43.64
2024-01-12,44.14
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,43.13
2024-01-17,42.75
2024-01-18,42.75
2024-01-19,42.95
2024-01-20,
2024-01-21,
2024-01-22,43.15
2024-01-23,43.34
2024-01-24,44.0
2024-01-25,44.82
2024-01-26,45.25
2024-01-27,
2024-01-28,
2024-01-29,45.2
2024-01-30,45.51
2024-01-31,44.61
2024-02-01,44.48
2024-02-02,44.15
2024-02-03,
2024-02-04,
2024-02-05,43.98
2024-02-06,44.21
2024-02-07,44.24
2024-02-08,44.7
2024-02-09,44.22
2024-02-10,
2024-02-11,
2024-02-12,44.73
2024-02-13,44.25
2024-02-14,44.26
2024-02-15,45.71
2024-02-16,45.75
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,45.3
2024-02-21,46.14
2024-02-22,46.3
2024-02-23,46.14
2024-02-24,
2024-02-25,
2024-02-26,46.28
2024-02-27,46.1
2024-02-28,45.99
2024-02-29,46.36
2024-03-01,47.15
2024-03-02,
2024-03-03,
2024-03-04,46.54
2024-03-05,46.85
2024-03-06,47.08
2024-03-07,47.53
2024-03-08,47.56
2024-03-09,
2024-03-10,
2024-03-11,48.01
2024-03-12,47.96
2024-03-13,48.78
2024-03-14,49.34
2024-03-15,49.47
2024-03-16,
2024-03-17,
2024-03-18,49.75
2024-03-19,50.27
2024-03-20,50.32
2024-03-21,50.54
2024-03-22,50.46
2024-03-23,
2024-03-24,
2024-03-25,50.98
2024-03-26,50.58
2024-03-27,51.03
2024-03-28,51.52
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,51.9
2024-04-02,52.65
2024-04-03,53.19
2024-04-04,53.09
2024-04-05,53.8
2024-04-06,
2024-04-07,
2024-04-08,53.49
2024-04-09,53.46
2024-04-10,53.78
2024-04-11,53.47
2024-04-12,52.64
2024-04-13,
2024-04-14,
2024-04-15,52.04
2024-04-16,51.68
2024-04-17,51.51
2024-04-18,51.35
2024-04-19,51.77
2024-04-20,
2024-04-21,
2024-04-22,52.07
2024-04-23,52.37
2024-04-24,52.34
2024-04-25,52.67
2024-04-26,52.32
2024-04-27,
2024-04-28,
2024-04-29,52.68
2024-04-30,51.09
2024-05-01,50.27
2024-05-02,50.67
2024-05-03,50.78
2024-05-04,
2024-05-05,
2024-05-06,51.33
2024-05-07,51.27
2024-05-08,51.25
2024-05-09,51.85
2024-05-10,51.4
2024-05-11,
2024-05-12,
2024-05-13,51.27
2024-05-14,51.36
2024-05-15,51.46
2024-05-16,51.32
2024-05-17,52.01
2024-05-18,
2024-05-19,
2024-05-20,51.83
2024-05-21,51.63
2024-05-22,50.68
2024-05-23,50.26
2024-05-24,50.46
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,51.14
2024-05-29,50.2
2024-05-30,50.4
2024-05-31,51.42
2024-06-01,
2024-06-02,
2024-06-03,49.74
2024-06-04,49.06
2024-06-05,49.1
2024-06-06,49.29
2024-06-07,49.02
2024-06-08,
2024-06-09,
2024-06-10,49.6
2024-06-11,49.43
2024-06-12,49.07
2024-06-13,48.36
2024-06-14,47.79
2024-06-15,
2024-06-16,
2024-06-17,47.84
2024-06-18,48.26
2024-06-19,
2024-06-20,49.01
2024-06-21,48.67
2024-06-22,
2024-06-23,
2024-06-24,49.94
2024-06-25,50.02
2024-06-26,49.68
2024-06-27,49.95
2024-06-28,50.21
2024-06-29,
2024-06-30,
2024-07-01,50.06
2024-07-02,50.2
2024-07-03,50.51
2024-07-04,
2024-07-05,49.68
2024-07-06,
2024-07-07,
2024-07-08,49.44
2024-07-09,48.91
2024-07-10,49.3
