Date,Close
2024-01-01,
2024-01-02,97.61
2024-01-03,96.39
2024-01-04,95.78
2024-01-05,96.17
2024-01-06,
2024-01-07,
2024-01-08,99.28
2024-01-09,99.44
2024-01-10,100.39
2024-01-11,100.89
2024-01-12,100.92
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,101.0
2024-01-17,100.48
2024-01-18,102.41
2024-01-19,104.53
2024-01-20,
2024-01-21,
2024-01-22,104.93
2024-01-23,105.56
2024-01-24,106.11
2024-01-25,106.12
2024-01-26,105.4
2024-01-27,
2024-01-28,
2024-01-29,107.05
2024-01-30,106.24
2024-01-31,103.86
2024-02-01,104.97
2024-02-02,106.61
2024-02-03,
2024-02-04,
2024-02-05,107.43
2024-02-06,107.36
2024-02-07,108.43
2024-02-08,109.21
2024-02-09,110.46
2024-02-10,
2024-02-11,
2024-02-12,109.81
2024-02-13,107.83
2024-02-14,109.87
2024-02-15,109.52
2024-02-16,108.36
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,106.78
2024-02-21,106.1
2024-02-22,110.38
2024-02-23,109.82
2024-02-24,
2024-02-25,
2024-02-26,110.44
2024-02-27,110.39
2024-02-28,109.69
2024-02-29,112.04
2024-03-01,114.07
2024-03-02,
2024-03-03,
2024-03-04,114.47
2024-03-05,112.06
2024-03-06,113.36
2024-03-07,116.08
2024-03-08,113.49
2024-03-09,
2024-03-10,
2024-03-11,112.82
2024-03-12,115.44
2024-03-13,114.36
2024-03-14,113.53
2024-03-15,111.86
2024-03-16,
2024-03-17,
2024-03-18,112.39
2024-03-19,112.81
2024-03-20,114.54
2024-03-21,115.09
2024-03-22,115.73
2024-03-23,
2024-03-24,
2024-03-25,115.45
2024-03-26,114.6
2024-03-27,114.76
2024-03-28,114.28
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,114.47
2024-04-02,113.4
2024-04-03,113.26
2024-04-04,111.35
2024-04-05,113.23
2024-04-06,
2024-04-07,
2024-04-08,112.8
2024-04-09,113.3
2024-04-10,112.24
2024-04-11,114.64
2024-04-12,112.31
2024-04-13,
2024-04-14,
2024-04-15,109.49
2024-04-16,109.99
2024-04-17,108.22
2024-04-18,107.32
2024-04-19,103.37
2024-04-20,
2024-04-21,
2024-04-22,104.87
2024-04-23,107.16
2024-04-24,107.18
2024-04-25,107.58
2024-04-26,110.09
2024-04-27,
2024-04-28,
2024-04-29,110.44
2024-04-30,108.38
2024-05-01,106.98
2024-05-02,109.03
2024-05-03,111.85
2024-05-04,
2024-05-05,
2024-05-06,113.5
2024-05-07,112.85
2024-05-08,112.55
2024-05-09,112.36
2024-05-10,112.65
2024-05-11,
2024-05-12,
2024-05-13,113.48
2024-05-14,114.14
2024-05-15,116.8
2024-05-16,116.37
2024-05-17,115.93
2024-05-18,
2024-05-19,
2024-05-20,117.34
2024-05-21,117.36
2024-05-22,117.64
2024-05-23,117.8
2024-05-24,119.08
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,120.85
2024-05-29,120.31
2024-05-30,117.34
2024-05-31,116.74
2024-06-01,
2024-06-02,
2024-06-03,117.96
2024-06-04,118.01
2024-06-05,121.34
2024-06-06,120.77
2024-06-07,120.66
2024-06-08,
2024-06-09,
2024-06-10,121.29
2024-06-11,123.05
2024-06-12,126.01
2024-06-13,126.33
2024-06-14,126.62
2024-06-15,
2024-06-16,
2024-06-17,127.18
2024-06-18,128.01
2024-06-19,
2024-06-20,126.0
2024-06-21,125.32
2024-06-22,
2024-06-23,
2024-06-24,122.72
2024-06-25,125.15
2024-06-26,125.7
2024-06-27,125.93
2024-06-28,125.69
2024-06-29,
2024-06-30,
2024-07-01,126.93
2024-07-02,127.78
2024-07-03,129.38
2024-07-04,
2024-07-05,130.17
2024-07-06,
2024-07-07,
2024-07-08,130.99
2024-07-09,130.69
2024-07-10,132.76
2024-07-11,129.34
2024-07-12,130.83
2024-07-13,
2024-07-14,
2024-07-15,131.23
2024-07-16,131.45
2024-07-17,126.24
2024-07-18,125.78
2024-07-19,124.14
2024-07-20,
2024-07-21,
2024-07-22,126.87
2024-07-23,126.04
2024-07-24,120.98
2024-07-25,119.83
2024-07-26,121.06
2024-07-27,
2024-07-28,
2024-07-29,121.01
2024-07-30,118.07
2024-07-31,122.95
2024-08-01,118.33
2024-08-02,115.38
2024-08-03,
2024-08-04,
2024-08-05,111.39
2024-08-06,112.69
2024-08-07,111.34
2024-08-08,115.73
2024-08-09,116.08
2024-08-10,
2024-08-11,
2024-08-12,117.05
2024-08-13,120.64
2024-08-14,121.01
2024-08-15,124.62
2024-08-16,125.15
2024-08-17,
2024-08-18,
2024-08-19,127.22
2024-08-20,126.23
2024-08-21,126.93
2024-08-22,124.04
2024-08-23,126.73
2024-08-24,
2024-08-25,
2024-08-26,125.26
2024-08-27,125.95
2024-08-28,124.21
2024-08-29,122.98
2024-08-30,124.47
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,118.26
2024-09-04,117.57
2024-09-05,117.76
2024-09-06,114.69
2024-09-07,
2024-09-08,
2024-09-09,116.53
2024-09-10,117.17
2024-09-11,121.15
2024-09-12,121.51
2024-09-13,122.29
2024-09-14,
2024-09-15,
2024-09-16,120.98
2024-09-17,121.14
2024-09-18,120.66
2024-09-19,124.67
2024-09-20,123.6
2024-09-21,
2024-09-22,
2024-09-23,123.42
2024-09-24,124.83
2024-09-25,125.11
2024-09-26,126.64
2024-09-27,125.5
2024-09-28,
2024-09-29,
2024-09-30,125.79
2024-10-01,122.57
2024-10-02,123.46
2024-10-03,124.07
2024-10-04,125.63
2024-10-05,
2024-10-06,
2024-10-07,125.19
2024-10-08,127.43
2024-10-09,128.58
2024-10-10,129.12
2024-10-11,129.53
2024-10-12,
2024-10-13,
2024-10-14,131.56
2024-10-15,129.24
2024-10-16,130.04
2024-10-17,130.38
2024-10-18,131.16
2024-10-19,
2024-10-20,
2024-10-21,132.32
2024-10-22,132.37
2024-10-23,130.27
2024-10-24,130.84
2024-10-25,131.73
2024-10-26,
2024-10-27,
2024-10-28,131.85
2024-10-29,133.03
2024-10-30,131.09
2024-10-31,126.72
2024-11-01,128.06
2024-11-02,
2024-11-03,
2024-11-04,127.89
2024-11-05,130.22
2024-11-06,133.56
2024-11-07,135.85
2024-11-08,135.17
2024-11-09,
2024-11-10,
2024-11-11,134.08
2024-11-12,135.11
2024-11-13,134.64
2024-11-14,134.6
2024-11-15,131.45
2024-11-16,
2024-11-17,
2024-11-18,131.65
2024-11-19,133.68
2024-11-20,133.49
2024-11-21,135.18
2024-11-22,135.39
2024-11-23,
2024-11-24,
2024-11-25,135.48
2024-11-26,136.07
2024-11-27,134.52
2024-11-28,
2024-11-29,136.04
2024-11-30,
2024-12-01,
2024-12-02,137.78
2024-12-03,138.24
2024-12-04,142.18
2024-12-05,141.39
2024-12-06,141.58
2024-12-07,
2024-12-08,
2024-12-09,140.39
2024-12-10,138.5
2024-12-11,140.66
2024-12-12,139.85
2024-12-13,139.82
2024-12-14,
2024-12-15,
2024-12-16,140.93
2024-12-17,140.04
2024-12-18,135.83
2024-12-19,135.86
2024-12-20,138.21
2024-12-21,
2024-12-22,
2024-12-23,140.04
2024-12-24,141.26
2024-12-25,
2024-12-26,141.05
2024-12-27,138.92
2024-12-28,
2024-12-29,
2024-12-30,137.32
2024-12-31,135.91
2025-01-01,
2025-01-02,136.37
2025-01-03,139.26
2025-01-04,
2025-01-05,
2025-01-06,141.99
2025-01-07,138.38
2025-01-08,137.93
2025-01-09,
2025-01-10,137.93
2025-01-11,
2025-01-12,
2025-01-13,134.05
2025-01-14,134.02
2025-01-15,136.77
2025-01-16,135.0
2025-01-17,137.44
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,138.17
2025-01-22,141.01
2025-01-23,141.11
2025-01-24,139.32
2025-01-25,
2025-01-26,
2025-01-27,131.63
2025-01-28,136.56
2025-01-29,134.87
2025-01-30,133.86
2025-01-31,132.78
2025-02-01,
2025-02-02,
2025-02-03,130.61
2025-02-04,131.99
2025-02-05,134.49
2025-02-06,135.61
2025-02-07,134.11
2025-02-08,
2025-02-09,
2025-02-10,135.68
2025-02-11,135.47
2025-02-12,135.69
2025-02-13,137.62
2025-02-14,138.82
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,139.96
2025-02-19,140.31
2025-02-20,139.77
2025-02-21,135.95
2025-02-22,
2025-02-23,
2025-02-24,133.56
2025-02-25,131.37
2025-02-26,132.55
2025-02-27,127.46
2025-02-28,129.78
2025-03-01,
2025-03-02,
2025-03-03,124.96
2025-03-04,125.78
2025-03-05,127.88
2025-03-06,122.98
2025-03-07,124.35
2025-03-08,
2025-03-09,
2025-03-10,118.68
2025-03-11,118.34
2025-03-12,120.66
2025-03-13,118.48
2025-03-14,122.28
2025-03-15,
2025-03-16,
2025-03-17,122.76
2025-03-18,120.67
2025-03-19,122.28
2025-03-20,122.12
2025-03-21,122.43
2025-03-22,
2025-03-23,
2025-03-24,125.12
2025-03-25,125.19
2025-03-26,121.88
2025-03-27,120.52
2025-03-28,117.38
2025-03-29,
2025-03-30,
2025-03-31,116.98
2025-04-01,118.3
2025-04-02,119.33
2025-04-03,109.84
2025-04-04,102.57
2025-04-05,
2025-04-06,
2025-04-07,103.53
2025-04-08,100.91
2025-04-09,115.73
2025-04-10,109.63
2025-04-11,111.85
2025-04-12,
2025-04-13,
2025-04-14,112.38
2025-04-15,113.0
2025-04-16,108.89
2025-04-17,108.2
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,105.16
2025-04-22,107.62
2025-04-23,111.19
2025-04-24,115.68
2025-04-25,117.54
2025-04-26,
2025-04-27,
2025-04-28,117.06
2025-04-29,117.3
2025-04-30,117.71
