Date,Close
2020-01-01,
2020-01-02,22.11
2020-01-03,22.06
2020-01-04,
2020-01-05,
2020-01-06,22.07
2020-01-07,22.02
2020-01-08,22.15
2020-01-09,22.2
2020-01-10,22.1
2020-01-11,
2020-01-12,
2020-01-13,22.25
2020-01-14,22.32
2020-01-15,22.39
2020-01-16,22.63
2020-01-17,22.63
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,22.51
2020-01-22,22.45
2020-01-23,22.48
2020-01-24,22.26
2020-01-25,
2020-01-26,
2020-01-27,22.02
2020-01-28,22.31
2020-01-29,22.21
2020-01-30,22.21
2020-01-31,21.78
2020-02-01,
2020-02-02,
2020-02-03,22.08
2020-02-04,22.38
2020-02-05,22.66
2020-02-06,22.57
2020-02-07,22.3
2020-02-08,
2020-02-09,
2020-02-10,22.45
2020-02-11,22.57
2020-02-12,22.71
2020-02-13,22.83
2020-02-14,22.7
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,22.63
2020-02-19,22.72
2020-02-20,22.69
2020-02-21,22.47
2020-02-22,
2020-02-23,
2020-02-24,21.81
2020-02-25,21.1
2020-02-26,20.92
2020-02-27,20.18
2020-02-28,19.94
2020-02-29,
2020-03-01,
2020-03-02,20.57
2020-03-03,20.19
2020-03-04,20.83
2020-03-05,20.18
2020-03-06,19.84
2020-03-07,
2020-03-08,
2020-03-09,18.17
2020-03-10,18.73
2020-03-11,17.66
2020-03-12,15.82
2020-03-13,16.96
2020-03-14,
2020-03-15,
2020-03-16,14.72
2020-03-17,15.46
2020-03-18,14.14
2020-03-19,14.82
2020-03-20,14.24
2020-03-21,
2020-03-22,
2020-03-23,14.06
2020-03-24,15.26
2020-03-25,15.45
2020-03-26,16.37
2020-03-27,15.8
2020-03-28,
2020-03-29,
2020-03-30,16.25
2020-03-31,16.19
2020-04-01,15.24
2020-04-02,15.49
2020-04-03,15.12
2020-04-04,
2020-04-05,
2020-04-06,16.26
2020-04-07,16.29
2020-04-08,16.84
2020-04-09,17.44
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,16.98
2020-04-14,17.31
2020-04-15,16.64
2020-04-16,16.69
2020-04-17,17.34
2020-04-18,
2020-04-19,
2020-04-20,17.1
2020-04-21,16.64
2020-04-22,16.9
2020-04-23,17.03
2020-04-24,17.24
2020-04-25,
2020-04-26,
2020-04-27,17.83
2020-04-28,18.02
2020-04-29,18.7
2020-04-30,18.06
2020-05-01,17.49
2020-05-02,
2020-05-03,
2020-05-04,17.57
2020-05-05,17.74
2020-05-06,17.69
2020-05-07,17.89
2020-05-08,18.45
2020-05-09,
2020-05-10,
2020-05-11,18.42
2020-05-12,17.86
2020-05-13,17.34
2020-05-14,17.47
2020-05-15,17.69
2020-05-16,
2020-05-17,
2020-05-18,18.65
2020-05-19,18.33
2020-05-20,18.79
2020-05-21,18.81
2020-05-22,18.9
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,19.39
2020-05-27,19.94
2020-05-28,19.58
2020-05-29,19.5
2020-05-30,
2020-05-31,
2020-06-01,19.61
2020-06-02,19.78
2020-06-03,20.16
2020-06-04,20.04
2020-06-05,20.58
2020-06-06,
2020-06-07,
2020-06-08,20.77
2020-06-09,20.47
2020-06-10,20.13
2020-06-11,18.85
2020-06-12,19.22
2020-06-13,
2020-06-14,
2020-06-15,19.55
2020-06-16,19.98
2020-06-17,19.76
2020-06-18,19.71
2020-06-19,19.66
2020-06-20,
2020-06-21,
2020-06-22,19.84
2020-06-23,19.9
2020-06-24,19.3
2020-06-25,19.55
2020-06-26,19.07
2020-06-27,
2020-06-28,
2020-06-29,19.53
2020-06-30,19.81
2020-07-01,19.66
2020-07-02,19.75
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,19.91
2020-07-07,19.54
2020-07-08,19.68
2020-07-09,19.35
2020-07-10,19.59
2020-07-11,
2020-07-12,
2020-07-13,19.33
2020-07-14,19.65
2020-07-15,20.23
2020-07-16,20.15
2020-07-17,20.24
2020-07-18,
2020-07-19,
2020-07-20,20.21
2020-07-21,20.42
2020-07-22,20.56
2020-07-23,20.58
2020-07-24,20.34
2020-07-25,
2020-07-26,
2020-07-27,20.62
2020-07-28,20.38
2020-07-29,20.83
2020-07-30,20.79
2020-07-31,20.65
2020-08-01,
2020-08-02,
2020-08-03,21.0
2020-08-04,21.04
2020-08-05,21.36
2020-08-06,21.39
2020-08-07,21.59
2020-08-08,
2020-08-09,
2020-08-10,21.64
2020-08-11,21.6
2020-08-12,21.78
2020-08-13,21.76
2020-08-14,21.7
2020-08-15,
2020-08-16,
2020-08-17,21.86
2020-08-18,21.73
2020-08-19,21.66
2020-08-20,21.58
2020-08-21,21.55
2020-08-22,
2020-08-23,
2020-08-24,21.73
2020-08-25,21.76
2020-08-26,21.67
2020-08-27,21.68
2020-08-28,21.83
2020-08-29,
2020-08-30,
2020-08-31,21.62
2020-09-01,21.86
2020-09-02,22.05
2020-09-03,21.31
2020-09-04,21.14
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,20.78
2020-09-09,21.11
2020-09-10,20.9
2020-09-11,20.88
2020-09-12,
2020-09-13,
2020-09-14,21.44
2020-09-15,21.45
2020-09-16,21.6
2020-09-17,21.51
2020-09-18,21.35
2020-09-19,
2020-09-20,
2020-09-21,20.77
2020-09-22,20.97
2020-09-23,20.53
2020-09-24,20.5
2020-09-25,20.77
2020-09-26,
2020-09-27,
2020-09-28,21.27
2020-09-29,21.21
2020-09-30,21.3
2020-10-01,21.65
2020-10-02,21.72
2020-10-03,
2020-10-04,
2020-10-05,22.32
2020-10-06,22.26
2020-10-07,22.67
2020-10-08,22.88
2020-10-09,23.04
2020-10-10,
2020-10-11,
2020-10-12,23.23
2020-10-13,23.11
2020-10-14,22.91
2020-10-15,23.11
2020-10-16,23.07
2020-10-17,
2020-10-18,
2020-10-19,22.74
2020-10-20,22.77
2020-10-21,22.52
2020-10-22,22.75
2020-10-23,22.9
2020-10-24,
2020-10-25,
2020-10-26,22.39
2020-10-27,22.21
2020-10-28,21.58
2020-10-29,21.73
2020-10-30,21.46
2020-10-31,
2020-11-01,
2020-11-02,21.89
2020-11-03,22.55
2020-11-04,22.82
2020-11-05,23.37
2020-11-06,23.12
2020-11-07,
2020-11-08,
2020-11-09,23.52
2020-11-10,23.82
2020-11-11,23.9
2020-11-12,23.56
2020-11-13,24.01
2020-11-14,
2020-11-15,
2020-11-16,24.51
2020-11-17,24.59
2020-11-18,24.3
2020-11-19,24.51
2020-11-20,24.56
2020-11-21,
2020-11-22,
2020-11-23,24.95
2020-11-24,25.26
2020-11-25,25.16
2020-11-26,
2020-11-27,25.22
2020-11-28,
2020-11-29,
2020-11-30,24.86
2020-12-01,25.1
2020-12-02,24.99
2020-12-03,25.17
2020-12-04,25.7
2020-12-05,
2020-12-06,
2020-12-07,25.67
2020-12-08,25.9
2020-12-09,25.75
2020-12-10,25.99
2020-12-11,25.89
2020-12-12,
2020-12-13,
2020-12-14,26.06
2020-12-15,26.63
2020-12-16,26.6
2020-12-17,26.96
2020-12-18,26.89
2020-12-19,
2020-12-20,
2020-12-21,26.83
2020-12-22,27.01
2020-12-23,27.16
2020-12-24,27.18
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,27.08
2020-12-29,26.66
2020-12-30,26.96
2020-12-31,26.89
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,26.47
2021-01-05,26.82
2021-01-06,27.8
2021-01-07,28.3
2021-01-08,28.07
2021-01-09,
2021-01-10,
2021-01-11,28.16
2021-01-12,28.62
2021-01-13,28.34
2021-01-14,28.78
2021-01-15,28.48
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,28.86
2021-01-20,29.11
2021-01-21,28.83
2021-01-22,29.06
2021-01-23,
2021-01-24,
2021-01-25,28.87
2021-01-26,28.38
2021-01-27,27.43
2021-01-28,27.86
2021-01-29,27.38
2021-01-30,
2021-01-31,
2021-02-01,28.18
2021-02-02,28.83
2021-02-03,28.89
2021-02-04,29.45
2021-02-05,29.91
