Date,Close
2024-01-01,
2024-01-02,29.05
2024-01-03,28.77
2024-01-04,28.82
2024-01-05,28.74
2024-01-06,
2024-01-07,
2024-01-08,29.07
2024-01-09,28.93
2024-01-10,29.14
2024-01-11,29.17
2024-01-12,29.36
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,29.13
2024-01-17,28.92
2024-01-18,29.33
2024-01-19,29.53
2024-01-20,
2024-01-21,
2024-01-22,29.56
2024-01-23,29.45
2024-01-24,29.71
2024-01-25,29.75
2024-01-26,29.86
2024-01-27,
2024-01-28,
2024-01-29,29.97
2024-01-30,30.04
2024-01-31,29.81
2024-02-01,30.21
2024-02-02,30.02
2024-02-03,
2024-02-04,
2024-02-05,29.88
2024-02-06,29.99
2024-02-07,30.16
2024-02-08,30.3
2024-02-09,30.58
2024-02-10,
2024-02-11,
2024-02-12,30.47
2024-02-13,29.98
2024-02-14,30.46
2024-02-15,30.75
2024-02-16,30.79
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,30.81
2024-02-21,30.79
2024-02-22,31.47
2024-02-23,31.44
2024-02-24,
2024-02-25,
2024-02-26,31.46
2024-02-27,31.43
2024-02-28,31.31
2024-02-29,31.34
2024-03-01,31.74
2024-03-02,
2024-03-03,
2024-03-04,31.84
2024-03-05,31.58
2024-03-06,31.92
2024-03-07,32.38
2024-03-08,32.14
2024-03-09,
2024-03-10,
2024-03-11,31.88
2024-03-12,32.25
2024-03-13,32.18
2024-03-14,32.0
2024-03-15,31.82
2024-03-16,
2024-03-17,
2024-03-18,31.84
2024-03-19,31.87
2024-03-20,32.17
2024-03-21,32.24
2024-03-22,32.08
2024-03-23,
2024-03-24,
2024-03-25,32.0
2024-03-26,32.02
2024-03-27,32.06
2024-03-28,31.95
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,31.84
2024-04-02,31.59
2024-04-03,31.72
2024-04-04,31.34
2024-04-05,31.56
2024-04-06,
2024-04-07,
2024-04-08,31.66
2024-04-09,31.61
2024-04-10,31.25
2024-04-11,31.38
2024-04-12,30.85
2024-04-13,
2024-04-14,
2024-04-15,30.7
2024-04-16,30.62
2024-04-17,30.56
2024-04-18,30.4
