Date,Close
2024-01-01,
2024-01-02,41.09
2024-01-03,40.38
2024-01-04,40.56
2024-01-05,40.42
2024-01-06,
2024-01-07,
2024-01-08,41.19
2024-01-09,40.7
2024-01-10,40.31
2024-01-11,40.2
2024-01-12,40.11
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,38.11
2024-01-17,37.46
2024-01-18,37.43
2024-01-19,37.98
2024-01-20,
2024-01-21,
2024-01-22,36.72
2024-01-23,37.39
2024-01-24,38.91
2024-01-25,38.64
2024-01-26,38.79
2024-01-27,
2024-01-28,
2024-01-29,39.41
2024-01-30,39.16
2024-01-31,38.88
2024-02-01,39.36
2024-02-02,39.29
2024-02-03,
2024-02-04,
2024-02-05,37.89
2024-02-06,39.35
2024-02-07,38.4
2024-02-08,37.35
2024-02-09,36.6
2024-02-10,
2024-02-11,
2024-02-12,36.92
2024-02-13,35.92
2024-02-14,36.44
2024-02-15,37.47
2024-02-16,38.04
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,37.37
2024-02-21,38.07
2024-02-22,37.88
2024-02-23,38.17
2024-02-24,
2024-02-25,
2024-02-26,37.26
2024-02-27,37.39
2024-02-28,36.65
2024-02-29,37.04
2024-03-01,37.16
2024-03-02,
2024-03-03,
2024-03-04,37.54
2024-03-05,36.37
2024-03-06,37.37
2024-03-07,39.0
2024-03-08,39.04
2024-03-09,
2024-03-10,
2024-03-11,39.6
2024-03-12,39.54
2024-03-13,42.53
2024-03-14,42.44
2024-03-15,43.7
2024-03-16,
2024-03-17,
2024-03-18,43.58
2024-03-19,43.43
2024-03-20,45.08
2024-03-21,45.3
2024-03-22,44.18
2024-03-23,
2024-03-24,
2024-03-25,44.43
2024-03-26,43.82
2024-03-27,44.95
2024-03-28,46.07
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,46.37
2024-04-02,47.4
2024-04-03,48.6
2024-04-04,48.18
2024-04-05,48.47
2024-04-06,
2024-04-07,
2024-04-08,48.98
2024-04-09,50.26
2024-04-10,49.89
2024-04-11,49.71
2024-04-12,48.61
2024-04-13,
2024-04-14,
2024-04-15,49.15
2024-04-16,48.55
2024-04-17,48.95
2024-04-18,49.29
2024-04-19,48.75
2024-04-20,
2024-04-21,
2024-04-22,48.1
2024-04-23,47.15
2024-04-24,47.4
2024-04-25,48.54
2024-04-26,49.62
2024-04-27,
2024-04-28,
2024-04-29,51.5
2024-04-30,49.07
2024-05-01,49.04
2024-05-02,47.93
2024-05-03,49.57
2024-05-04,
2024-05-05,
2024-05-06,50.1
2024-05-07,50.5
2024-05-08,49.09
2024-05-09,50.19
2024-05-10,50.69
2024-05-11,
2024-05-12,
2024-05-13,51.13
2024-05-14,52.55
2024-05-15,52.68
2024-05-16,51.13
2024-05-17,53.29
2024-05-18,
2024-05-19,
2024-05-20,53.91
2024-05-21,53.37
2024-05-22,50.34
2024-05-23,50.31
2024-05-24,50.63
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,52.7
2024-05-29,51.85
2024-05-30,51.4
2024-05-31,51.81
2024-06-01,
2024-06-02,
2024-06-03,51.13
2024-06-04,48.84
2024-06-05,49.61
2024-06-06,50.36
2024-06-07,48.41
2024-06-08,
2024-06-09,
2024-06-10,49.13
2024-06-11,48.48
2024-06-12,48.34
2024-06-13,47.15
2024-06-14,47.27
2024-06-15,
2024-06-16,
2024-06-17,46.44
2024-06-18,46.86
2024-06-19,
2024-06-20,48.5
2024-06-21,48.7
2024-06-22,
2024-06-23,
2024-06-24,49.5
2024-06-25,49.01
2024-06-26,48.61
2024-06-27,47.48
2024-06-28,47.75
2024-06-29,
2024-06-30,
2024-07-01,47.57
2024-07-02,47.86
2024-07-03,49.77
2024-07-04,
2024-07-05,50.62
2024-07-06,
2024-07-07,
2024-07-08,50.24
2024-07-09,49.92
2024-07-10,50.69
2024-07-11,50.61
2024-07-12,50.39
2024-07-13,
2024-07-14,
2024-07-15,49.69
2024-07-16,49.34
2024-07-17,47.8
2024-07-18,45.25
2024-07-19,45.23
2024-07-20,
2024-07-21,
2024-07-22,45.34
2024-07-23,44.61
2024-07-24,43.54
2024-07-25,43.88
2024-07-26,44.35
2024-07-27,
2024-07-28,
2024-07-29,43.74
2024-07-30,43.21
2024-07-31,44.75
2024-08-01,43.0
2024-08-02,41.36
2024-08-03,
2024-08-04,
2024-08-05,40.28
2024-08-06,40.44
2024-08-07,38.95
2024-08-08,40.44
2024-08-09,40.45
2024-08-10,
2024-08-11,
2024-08-12,40.96
2024-08-13,41.28
2024-08-14,41.3
2024-08-15,42.95
2024-08-16,42.81
2024-08-17,
2024-08-18,
2024-08-19,43.61
2024-08-20,42.9
2024-08-21,43.25
2024-08-22,42.67
2024-08-23,44.01
2024-08-24,
2024-08-25,
2024-08-26,44.53
2024-08-27,44.57
2024-08-28,43.23
2024-08-29,43.19
2024-08-30,43.64
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,40.76
2024-09-04,41.01
2024-09-05,40.8
2024-09-06,39.42
2024-09-07,
2024-09-08,
2024-09-09,39.81
2024-09-10,39.82
2024-09-11,40.7
2024-09-12,41.2
2024-09-13,42.04
2024-09-14,
2024-09-15,
2024-09-16,42.27
2024-09-17,42.5
2024-09-18,43.28
2024-09-19,44.48
2024-09-20,43.88
2024-09-21,
2024-09-22,
2024-09-23,44.48
2024-09-24,48.01
2024-09-25,47.61
2024-09-26,51.16
2024-09-27,50.59
2024-09-28,
2024-09-29,
2024-09-30,49.2
2024-10-01,49.65
2024-10-02,50.08
2024-10-03,49.05
2024-10-04,49.82
2024-10-05,
2024-10-06,
2024-10-07,50.05
2024-10-08,47.88
2024-10-09,48.16
2024-10-10,48.82
2024-10-11,49.3
2024-10-12,
2024-10-13,
2024-10-14,48.15
2024-10-15,46.74
2024-10-16,47.42
2024-10-17,47.4
2024-10-18,47.63
2024-10-19,
2024-10-20,
2024-10-21,47.39
2024-10-22,47.97
2024-10-23,47.37
2024-10-24,46.3
2024-10-25,46.06
2024-10-26,
2024-10-27,
2024-10-28,46.19
2024-10-29,46.04
2024-10-30,45.44
2024-10-31,44.5
2024-11-01,45.07
2024-11-02,
2024-11-03,
2024-11-04,45.74
2024-11-05,46.45
2024-11-06,46.33
2024-11-07,48.02
2024-11-08,45.83
2024-11-09,
2024-11-10,
2024-11-11,44.38
2024-11-12,43.1
2024-11-13,42.62
2024-11-14,42.77
2024-11-15,42.21
2024-11-16,
2024-11-17,
2024-11-18,43.05
2024-11-19,43.61
2024-11-20,43.2
2024-11-21,43.26
2024-11-22,43.22
2024-11-23,
2024-11-24,
2024-11-25,43.87
2024-11-26,42.98
2024-11-27,43.26
2024-11-28,
2024-11-29,43.69
2024-11-30,
2024-12-01,
2024-12-02,43.14
2024-12-03,43.33
2024-12-04,42.55
2024-12-05,42.3
2024-12-06,41.59
2024-12-07,
2024-12-08,
2024-12-09,43.23
2024-12-10,42.18
2024-12-11,42.51
2024-12-12,41.6
2024-12-13,41.11
2024-12-14,
2024-12-15,
2024-12-16,40.27
2024-12-17,40.15
2024-12-18,38.27
2024-12-19,37.8
2024-12-20,38.41
2024-12-21,
2024-12-22,
2024-12-23,38.8
2024-12-24,38.77
2024-12-25,
2024-12-26,38.74
2024-12-27,38.41
2024-12-28,
2024-12-29,
2024-12-30,37.72
2024-12-31,37.64
2025-01-01,
2025-01-02,37.44
2025-01-03,37.28
2025-01-04,
2025-01-05,
2025-01-06,38.13
2025-01-07,38.3
2025-01-08,39.28
2025-01-09,
2025-01-10,38.53
2025-01-11,
2025-01-12,
2025-01-13,38.96
2025-01-14,39.05
2025-01-15,39.72
2025-01-16,39.72
2025-01-17,39.91
2025-01-18,
2025-01-19,
