Date,Close
2020-01-01,
2020-01-02,37.36
2020-01-03,37.3
2020-01-04,
2020-01-05,
2020-01-06,37.37
2020-01-07,37.35
2020-01-08,37.43
2020-01-09,37.62
2020-01-10,37.44
2020-01-11,
2020-01-12,
2020-01-13,37.54
2020-01-14,37.76
2020-01-15,38.08
2020-01-16,38.34
2020-01-17,38.56
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,38.75
2020-01-22,39.21
2020-01-23,39.57
2020-01-24,39.67
2020-01-25,
2020-01-26,
2020-01-27,39.5
2020-01-28,39.84
2020-01-29,40.06
2020-01-30,40.07
2020-01-31,39.92
2020-02-01,
2020-02-02,
2020-02-03,40.48
2020-02-04,40.47
2020-02-05,40.8
2020-02-06,40.58
2020-02-07,40.57
2020-02-08,
2020-02-09,
2020-02-10,40.67
2020-02-11,40.81
2020-02-12,40.77
2020-02-13,41.16
2020-02-14,41.36
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,41.39
2020-02-19,41.3
2020-02-20,41.01
2020-02-21,40.84
2020-02-22,
2020-02-23,
2020-02-24,40.09
2020-02-25,38.72
2020-02-26,38.25
2020-02-27,36.61
2020-02-28,35.26
2020-02-29,
2020-03-01,
2020-03-02,37.47
2020-03-03,36.36
2020-03-04,38.41
2020-03-05,37.32
2020-03-06,36.81
2020-03-07,
2020-03-08,
2020-03-09,34.0
2020-03-10,35.6
2020-03-11,34.15
2020-03-12,30.5
2020-03-13,32.66
2020-03-14,
2020-03-15,
2020-03-16,27.16
2020-03-17,31.76
2020-03-18,29.46
2020-03-19,28.5
2020-03-20,27.15
2020-03-21,
2020-03-22,
2020-03-23,26.28
2020-03-24,28.1
2020-03-25,28.11
2020-03-26,30.62
2020-03-27,30.57
2020-03-28,
2020-03-29,
2020-03-30,32.06
2020-03-31,31.73
2020-04-01,30.77
2020-04-02,31.68
2020-04-03,30.05
2020-04-04,
2020-04-05,
2020-04-06,32.75
2020-04-07,32.05
2020-04-08,34.23
2020-04-09,35.44
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,34.79
2020-04-14,36.01
2020-04-15,34.8
2020-04-16,35.52
2020-04-17,36.59
2020-04-18,
2020-04-19,
2020-04-20,35.23
2020-04-21,34.21
2020-04-22,35.02
2020-04-23,34.08
2020-04-24,33.51
2020-04-25,
2020-04-26,
2020-04-27,34.46
2020-04-28,33.77
2020-04-29,33.54
2020-04-30,32.68
2020-05-01,32.34
2020-05-02,
2020-05-03,
2020-05-04,32.62
2020-05-05,33.01
2020-05-06,31.97
2020-05-07,32.14
2020-05-08,32.45
2020-05-09,
2020-05-10,
2020-05-11,32.31
2020-05-12,31.66
2020-05-13,31.22
2020-05-14,31.94
2020-05-15,31.41
2020-05-16,
2020-05-17,
2020-05-18,32.86
2020-05-19,32.26
2020-05-20,32.2
2020-05-21,32.32
2020-05-22,32.49
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,32.54
2020-05-27,33.06
2020-05-28,34.13
2020-05-29,33.78
2020-05-30,
2020-05-31,
2020-06-01,34.18
2020-06-02,34.43
2020-06-03,34.76
2020-06-04,33.86
2020-06-05,34.59
2020-06-06,
2020-06-07,
2020-06-08,35.16
2020-06-09,34.29
2020-06-10,33.77
2020-06-11,32.37
2020-06-12,32.32
2020-06-13,
2020-06-14,
2020-06-15,32.35
2020-06-16,32.38
2020-06-17,32.17
2020-06-18,32.38
2020-06-19,31.16
2020-06-20,
2020-06-21,
2020-06-22,31.74
2020-06-23,31.0
2020-06-24,30.2
2020-06-25,30.0
2020-06-26,29.46
2020-06-27,
2020-06-28,
2020-06-29,30.37
2020-06-30,31.0
2020-07-01,31.88
2020-07-02,31.91
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,32.12
2020-07-07,32.17
2020-07-08,32.48
2020-07-09,32.13
2020-07-10,32.99
2020-07-11,
2020-07-12,
2020-07-13,32.65
2020-07-14,32.71
2020-07-15,32.63
2020-07-16,33.01
2020-07-17,33.69
2020-07-18,
2020-07-19,
2020-07-20,32.98
2020-07-21,27.38
2020-07-22,21.65
2020-07-23,21.9
2020-07-24,23.57
2020-07-25,
2020-07-26,
2020-07-27,23.41
2020-07-28,23.29
2020-07-29,22.89
2020-07-30,23.08
2020-07-31,23.18
2020-08-01,
2020-08-02,
2020-08-03,23.33
2020-08-04,23.69
2020-08-05,23.13
2020-08-06,23.64
2020-08-07,23.85
2020-08-08,
2020-08-09,
2020-08-10,24.36
2020-08-11,24.23
2020-08-12,24.2
2020-08-13,23.98
2020-08-14,23.77
2020-08-15,
2020-08-16,
2020-08-17,23.45
2020-08-18,23.4
2020-08-19,23.21
2020-08-20,22.98
2020-08-21,22.78
2020-08-22,
2020-08-23,
2020-08-24,22.94
2020-08-25,22.64
2020-08-26,22.7
2020-08-27,22.77
2020-08-28,22.94
2020-08-29,
2020-08-30,
2020-08-31,23.17
2020-09-01,22.9
2020-09-02,23.61
2020-09-03,23.81
2020-09-04,23.82
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,23.6
2020-09-09,23.61
2020-09-10,23.54
2020-09-11,23.77
2020-09-12,
2020-09-13,
2020-09-14,24.03
2020-09-15,23.78
2020-09-16,24.11
2020-09-17,24.15
2020-09-18,23.47
2020-09-19,
2020-09-20,
2020-09-21,23.2
2020-09-22,23.15
2020-09-23,22.35
2020-09-24,22.82
2020-09-25,23.17
2020-09-26,
2020-09-27,
2020-09-28,23.05
2020-09-29,23.17
2020-09-30,23.26
2020-10-01,23.3
2020-10-02,23.92
2020-10-03,
2020-10-04,
2020-10-05,24.24
2020-10-06,24.64
2020-10-07,24.76
2020-10-08,25.35
2020-10-09,25.3
2020-10-10,
2020-10-11,
2020-10-12,25.33
2020-10-13,25.37
2020-10-14,25.47
2020-10-15,25.53
2020-10-16,25.68
2020-10-17,
2020-10-18,
2020-10-19,25.71
2020-10-20,25.79
2020-10-21,26.2
2020-10-22,26.76
2020-10-23,26.98
2020-10-24,
2020-10-25,
2020-10-26,27.0
2020-10-27,27.06
2020-10-28,25.73
2020-10-29,25.78
2020-10-30,24.08
2020-10-31,
2020-11-01,
2020-11-02,24.25
2020-11-03,24.41
2020-11-04,23.55
2020-11-05,24.14
2020-11-06,23.88
2020-11-07,
2020-11-08,
2020-11-09,24.25
2020-11-10,24.07
2020-11-11,24.47
2020-11-12,24.09
2020-11-13,24.24
2020-11-14,
2020-11-15,
2020-11-16,23.41
2020-11-17,23.6
2020-11-18,23.45
2020-11-19,23.85
2020-11-20,23.0
2020-11-21,
2020-11-22,
2020-11-23,22.76
2020-11-24,21.9
2020-11-25,21.81
2020-11-26,
2020-11-27,21.95
2020-11-28,
2020-11-29,
2020-11-30,21.81
2020-12-01,22.32
2020-12-02,22.44
2020-12-03,22.91
2020-12-04,23.78
2020-12-05,
2020-12-06,
2020-12-07,24.2
2020-12-08,24.85
2020-12-09,25.17
2020-12-10,24.82
2020-12-11,24.95
2020-12-12,
2020-12-13,
2020-12-14,24.93
2020-12-15,25.79
2020-12-16,25.39
2020-12-17,25.05
2020-12-18,24.92
2020-12-19,
2020-12-20,
2020-12-21,24.63
2020-12-22,24.6
2020-12-23,24.06
2020-12-24,24.38
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,24.33
2020-12-29,24.4
2020-12-30,24.73
2020-12-31,25.14
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,24.24
2021-01-05,24.51
2021-01-06,24.89
2021-01-07,24.34
2021-01-08,24.57
2021-01-09,
2021-01-10,
2021-01-11,24.8
2021-01-12,25.04
2021-01-13,25.29
2021-01-14,25.67
2021-01-15,26.01
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,25.55
2021-01-20,25.73
2021-01-21,25.52
2021-01-22,25.68
2021-01-23,
2021-01-24,
2021-01-25,26.17
2021-01-26,26.22
2021-01-27,25.35
2021-01-28,25.35
2021-01-29,25.26
2021-01-30,
2021-01-31,
2021-02-01,25.61
2021-02-02,26.21
2021-02-03,26.61
2021-02-04,26.79
2021-02-05,26.83
2021-02-06,
2021-02-07,
2021-02-08,26.71
2021-02-09,27.04
2021-02-10,26.39
2021-02-11,25.87
2021-02-12,25.97
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,26.54
2021-02-17,26.56
2021-02-18,28.47
2021-02-19,28.29
2021-02-20,
2021-02-21,
2021-02-22,28.17
2021-02-23,27.87
2021-02-24,28.47
2021-02-25,27.86
2021-02-26,27.55
2021-02-27,
2021-02-28,
2021-03-01,27.77
2021-03-02,27.28
2021-03-03,27.35
2021-03-04,27.62
2021-03-05,27.61
2021-03-06,
2021-03-07,
2021-03-08,27.74
2021-03-09,28.41
2021-03-10,28.72
2021-03-11,28.81
2021-03-12,29.04
2021-03-13,
2021-03-14,
2021-03-15,29.3
2021-03-16,29.56
2021-03-17,29.26
2021-03-18,28.79
2021-03-19,28.98
2021-03-20,
2021-03-21,
2021-03-22,28.57
2021-03-23,28.59
2021-03-24,28.54
2021-03-25,28.47
2021-03-26,28.49
2021-03-27,
2021-03-28,
2021-03-29,29.1
2021-03-30,28.67
2021-03-31,28.84
2021-04-01,28.52
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,28.93
2021-04-06,28.93
2021-04-07,29.12
2021-04-08,29.09
2021-04-09,28.9
2021-04-10,
2021-04-11,
2021-04-12,28.84
2021-04-13,29.23
2021-04-14,29.23
2021-04-15,29.53
2021-04-16,29.67
2021-04-17,
2021-04-18,
2021-04-19,29.76
2021-04-20,30.16
2021-04-21,30.58
2021-04-22,30.22
2021-04-23,30.51
2021-04-24,
2021-04-25,
2021-04-26,30.5
2021-04-27,30.65
2021-04-28,31.11
2021-04-29,31.36
2021-04-30,31.52
2021-05-01,
2021-05-02,
2021-05-03,31.86
2021-05-04,31.42
2021-05-05,31.49
2021-05-06,31.43
2021-05-07,31.52
2021-05-08,
2021-05-09,
2021-05-10,31.62
2021-05-11,31.25
2021-05-12,30.61
2021-05-13,31.48
2021-05-14,31.59
2021-05-15,
2021-05-16,
2021-05-17,31.68
2021-05-18,31.64
2021-05-19,31.41
2021-05-20,31.66
2021-05-21,31.93
2021-05-22,
2021-05-23,
2021-05-24,31.85
2021-05-25,31.6
2021-05-26,31.57
2021-05-27,31.81
2021-05-28,31.84
2021-05-29,
2021-05-30,
