Date,Close
2020-01-01,
2020-01-02,34.25
2020-01-03,33.97
2020-01-04,
2020-01-05,
2020-01-06,33.81
2020-01-07,34.11
2020-01-08,34.35
2020-01-09,34.73
2020-01-10,34.87
2020-01-11,
2020-01-12,
2020-01-13,35.49
2020-01-14,35.33
2020-01-15,35.23
2020-01-16,35.51
2020-01-17,35.59
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,34.82
2020-01-22,34.94
2020-01-23,34.59
2020-01-24,34.37
2020-01-25,
2020-01-26,
2020-01-27,33.6
2020-01-28,33.94
2020-01-29,34.03
2020-01-30,33.55
2020-01-31,32.82
2020-02-01,
2020-02-02,
2020-02-03,33.24
2020-02-04,34.42
2020-02-05,34.64
2020-02-06,35.02
2020-02-07,34.57
2020-02-08,
2020-02-09,
2020-02-10,34.86
2020-02-11,35.27
2020-02-12,35.66
2020-02-13,35.58
2020-02-14,35.56
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,35.14
2020-02-19,35.4
2020-02-20,35.17
2020-02-21,34.83
2020-02-22,
2020-02-23,
2020-02-24,33.81
2020-02-25,33.57
2020-02-26,33.77
2020-02-27,33.21
2020-02-28,33.05
2020-02-29,
2020-03-01,
2020-03-02,34.05
2020-03-03,33.59
2020-03-04,34.51
2020-03-05,34.09
2020-03-06,33.62
2020-03-07,
2020-03-08,
2020-03-09,31.82
2020-03-10,32.91
2020-03-11,31.59
2020-03-12,29.04
2020-03-13,30.8
2020-03-14,
2020-03-15,
2020-03-16,27.5
2020-03-17,28.85
2020-03-18,27.2
2020-03-19,27.01
2020-03-20,27.26
2020-03-21,
2020-03-22,
2020-03-23,26.91
2020-03-24,29.02
2020-03-25,29.77
2020-03-26,30.98
2020-03-27,29.5
2020-03-28,
2020-03-29,
2020-03-30,29.76
2020-03-31,29.63
2020-04-01,28.55
2020-04-02,29.26
2020-04-03,28.87
2020-04-04,
2020-04-05,
2020-04-06,30.4
2020-04-07,30.65
2020-04-08,30.85
2020-04-09,30.96
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,30.82
2020-04-14,31.57
2020-04-15,31.09
2020-04-16,31.49
2020-04-17,32.26
2020-04-18,
2020-04-19,
2020-04-20,32.17
2020-04-21,31.32
2020-04-22,32.38
2020-04-23,32.13
2020-04-24,32.22
2020-04-25,
2020-04-26,
2020-04-27,32.71
2020-04-28,32.75
2020-04-29,33.54
2020-04-30,33.05
2020-05-01,32.03
2020-05-02,
2020-05-03,
2020-05-04,32.05
2020-05-05,32.37
2020-05-06,32.56
2020-05-07,33.05
2020-05-08,33.63
2020-05-09,
2020-05-10,
2020-05-11,33.66
2020-05-12,33.45
2020-05-13,33.52
2020-05-14,33.68
2020-05-15,33.3
2020-05-16,
2020-05-17,
2020-05-18,34.07
2020-05-19,33.9
2020-05-20,34.45
2020-05-21,34.1
2020-05-22,33.46
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,34.19
2020-05-27,34.03
2020-05-28,33.9
2020-05-29,34.68
2020-05-30,
2020-05-31,
2020-06-01,35.42
2020-06-02,36.01
2020-06-03,36.72
2020-06-04,36.55
2020-06-05,37.27
2020-06-06,
2020-06-07,
2020-06-08,37.27
2020-06-09,37.23
2020-06-10,37.7
2020-06-11,36.25
2020-06-12,36.88
2020-06-13,
2020-06-14,
2020-06-15,36.99
2020-06-16,37.31
2020-06-17,37.73
2020-06-18,38.02
2020-06-19,38.42
2020-06-20,
2020-06-21,
2020-06-22,38.74
2020-06-23,39.2
2020-06-24,38.9
2020-06-25,39.19
2020-06-26,38.84
