Date,Close
2024-01-01,
2024-01-02,60.06
2024-01-03,58.9
2024-01-04,58.44
2024-01-05,58.9
2024-01-06,
2024-01-07,
2024-01-08,61.21
2024-01-09,61.28
2024-01-10,61.36
2024-01-11,61.67
2024-01-12,61.41
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,62.12
2024-01-17,61.67
2024-01-18,63.57
2024-01-19,65.75
2024-01-20,
2024-01-21,
2024-01-22,66.04
2024-01-23,66.59
2024-01-24,67.47
2024-01-25,67.16
2024-01-26,66.01
2024-01-27,
2024-01-28,
2024-01-29,67.03
2024-01-30,66.39
2024-01-31,65.13
2024-02-01,65.78
2024-02-02,67.03
2024-02-03,
2024-02-04,
2024-02-05,68.59
2024-02-06,67.93
2024-02-07,69.24
2024-02-08,70.5
2024-02-09,71.93
2024-02-10,
2024-02-11,
2024-02-12,71.86
2024-02-13,70.52
2024-02-14,71.98
2024-02-15,71.6
2024-02-16,70.97
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,69.52
2024-02-21,69.1
2024-02-22,73.7
2024-02-23,73.04
2024-02-24,
2024-02-25,
2024-02-26,73.95
2024-02-27,73.62
2024-02-28,72.87
2024-02-29,74.64
2024-03-01,77.71
2024-03-02,
2024-03-03,
2024-03-04,78.53
2024-03-05,77.36
2024-03-06,79.2
2024-03-07,82.25
2024-03-08,78.66
2024-03-09,
2024-03-10,
2024-03-11,77.54
2024-03-12,79.92
2024-03-13,78.18
2024-03-14,76.48
2024-03-15,75.86
2024-03-16,
2024-03-17,
2024-03-18,76.03
2024-03-19,75.94
2024-03-20,77.35
2024-03-21,79.15
2024-03-22,79.66
2024-03-23,
2024-03-24,
2024-03-25,79.81
2024-03-26,78.93
2024-03-27,79.16
2024-03-28,79.0
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,79.79
2024-04-02,78.53
2024-04-03,78.98
2024-04-04,76.82
2024-04-05,78.05
2024-04-06,
2024-04-07,
2024-04-08,78.03
2024-04-09,78.36
2024-04-10,77.6
2024-04-11,79.7
2024-04-12,77.1
2024-04-13,
2024-04-14,
2024-04-15,75.67
2024-04-16,76.45
2024-04-17,74.07
2024-04-18,73.0
2024-04-19,69.13
2024-04-20,
2024-04-21,
2024-04-22,70.57
2024-04-23,72.51
2024-04-24,72.71
2024-04-25,74.66
2024-04-26,77.22
2024-04-27,
2024-04-28,
2024-04-29,77.71
2024-04-30,76.57
2024-05-01,74.02
2024-05-02,75.7
2024-05-03,77.53
2024-05-04,
2024-05-05,
2024-05-06,79.26
2024-05-07,78.8
2024-05-08,78.67
2024-05-09,78.13
2024-05-10,78.83
2024-05-11,
2024-05-12,
2024-05-13,79.18
2024-05-14,80.38
2024-05-15,82.64
2024-05-16,82.05
2024-05-17,81.33
2024-05-18,
2024-05-19,
2024-05-20,82.97
2024-05-21,82.91
2024-05-22,83.47
2024-05-23,84.33
2024-05-24,85.91
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,88.06
2024-05-29,86.87
2024-05-30,85.72
2024-05-31,84.83
2024-06-01,
2024-06-02,
2024-06-03,85.99
2024-06-04,85.36
2024-06-05,89.47
2024-06-06,88.59
2024-06-07,88.2
2024-06-08,
2024-06-09,
2024-06-10,89.58
2024-06-11,89.43
2024-06-12,92.18
2024-06-13,93.22
2024-06-14,93.1
2024-06-15,
2024-06-16,
2024-06-17,93.98
2024-06-18,95.67
2024-06-19,
2024-06-20,92.93
2024-06-21,91.53
2024-06-22,
2024-06-23,
2024-06-24,88.39
2024-06-25,90.86
2024-06-26,90.79
2024-06-27,89.95
2024-06-28,90.33
2024-06-29,
2024-06-30,
2024-07-01,90.35
2024-07-02,91.26
2024-07-03,93.34
2024-07-04,
2024-07-05,92.98
2024-07-06,
2024-07-07,
2024-07-08,94.38
2024-07-09,94.52
2024-07-10,96.94
2024-07-11,93.21
2024-07-12,94.71
2024-07-13,
2024-07-14,
2024-07-15,94.52
2024-07-16,94.63
2024-07-17,88.48
2024-07-18,88.93
2024-07-19,86.3
2024-07-20,
2024-07-21,
2024-07-22,89.88
2024-07-23,88.32
2024-07-24,83.4
2024-07-25,81.5
2024-07-26,82.87
2024-07-27,
2024-07-28,
2024-07-29,82.86
2024-07-30,78.97
2024-07-31,85.46
2024-08-01,79.68
2024-08-02,76.55
2024-08-03,
2024-08-04,
2024-08-05,74.9
2024-08-06,75.91
2024-08-07,73.49
2024-08-08,78.42
2024-08-09,78.27
2024-08-10,
2024-08-11,
2024-08-12,79.04
2024-08-13,82.3
2024-08-14,82.32
2024-08-15,86.24
2024-08-16,86.42
2024-08-17,
2024-08-18,
2024-08-19,88.28
2024-08-20,86.88
2024-08-21,87.84
2024-08-22,84.84
2024-08-23,87.27
2024-08-24,
2024-08-25,
2024-08-26,85.31
2024-08-27,86.24
2024-08-28,84.69
2024-08-29,83.78
2024-08-30,85.34
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,78.53
2024-09-04,78.47
2024-09-05,78.29
2024-09-06,74.76
2024-09-07,
2024-09-08,
2024-09-09,76.55
2024-09-10,77.28
2024-09-11,81.37
2024-09-12,81.53
2024-09-13,82.72
2024-09-14,
2024-09-15,
2024-09-16,81.19
2024-09-17,81.2
2024-09-18,80.3
2024-09-19,83.56
2024-09-20,82.41
2024-09-21,
2024-09-22,
2024-09-23,82.76
2024-09-24,84.33
2024-09-25,84.99
2024-09-26,87.88
2024-09-27,86.28
2024-09-28,
2024-09-29,
2024-09-30,85.5
2024-10-01,83.0
2024-10-02,84.21
2024-10-03,84.93
2024-10-04,86.25
2024-10-05,
2024-10-06,
2024-10-07,86.63
2024-10-08,87.95
2024-10-09,88.79
2024-10-10,89.15
2024-10-11,89.7
2024-10-12,
2024-10-13,
2024-10-14,91.31
2024-10-15,87.31
2024-10-16,88.21
2024-10-17,89.33
2024-10-18,89.17
2024-10-19,
2024-10-20,
2024-10-21,89.95
2024-10-22,89.68
2024-10-23,88.57
2024-10-24,88.86
2024-10-25,90.08
2024-10-26,
2024-10-27,
2024-10-28,89.75
2024-10-29,91.39
2024-10-30,89.17
2024-10-31,85.25
2024-11-01,86.15
2024-11-02,
2024-11-03,
2024-11-04,85.83
2024-11-05,88.44
2024-11-06,91.31
2024-11-07,93.02
2024-11-08,92.3
2024-11-09,
2024-11-10,
2024-11-11,89.68
2024-11-12,89.34
2024-11-13,87.51
2024-11-14,87.38
2024-11-15,84.68
2024-11-16,
2024-11-17,
2024-11-18,85.27
2024-11-19,86.6
2024-11-20,86.11
2024-11-21,87.59
2024-11-22,87.13
2024-11-23,
2024-11-24,
2024-11-25,87.27
2024-11-26,86.67
2024-11-27,85.08
2024-11-28,
2024-11-29,86.59
2024-11-30,
2024-12-01,
2024-12-02,88.55
2024-12-03,88.9
2024-12-04,90.94
2024-12-05,89.91
2024-12-06,90.46
2024-12-07,
2024-12-08,
2024-12-09,89.77
2024-12-10,87.43
2024-12-11,90.11
2024-12-12,88.69
2024-12-13,91.92
2024-12-14,
2024-12-15,
2024-12-16,93.93
2024-12-17,92.43
2024-12-18,89.16
2024-12-19,87.89
2024-12-20,89.44
2024-12-21,
2024-12-22,
2024-12-23,92.23
2024-12-24,93.12
2024-12-25,
2024-12-26,93.28
2024-12-27,91.97
2024-12-28,
2024-12-29,
2024-12-30,90.52
2024-12-31,89.39
2025-01-01,
2025-01-02,90.68
2025-01-03,93.38
2025-01-04,
2025-01-05,
2025-01-06,96.38
2025-01-07,93.7
2025-01-08,92.85
2025-01-09,
2025-01-10,90.66
2025-01-11,
2025-01-12,
2025-01-13,89.8
2025-01-14,90.03
2025-01-15,91.96
2025-01-16,91.91
2025-01-17,94.38
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,95.71
2025-01-22,97.53
2025-01-23,97.21
2025-01-24,95.57
2025-01-25,
2025-01-26,
2025-01-27,84.24
2025-01-28,86.68
2025-01-29,86.27
2025-01-30,88.23
2025-01-31,87.86
2025-02-01,
2025-02-02,
2025-02-03,86.24
2025-02-04,86.87
2025-02-05,89.78
2025-02-06,90.57
2025-02-07,89.64
2025-02-08,
2025-02-09,
2025-02-10,90.88
2025-02-11,90.55
2025-02-12,90.4
2025-02-13,91.46
2025-02-14,92.42
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,93.73
2025-02-19,94.47
2025-02-20,94.27
2025-02-21,91.03
2025-02-22,
2025-02-23,
2025-02-24,88.32
2025-02-25,86.13
2025-02-26,88.3
2025-02-27,82.37
2025-02-28,83.77
2025-03-01,
2025-03-02,
2025-03-03,79.6
2025-03-04,80.25
2025-03-05,82.06
2025-03-06,77.43
2025-03-07,79.97
2025-03-08,
2025-03-09,
2025-03-10,76.1
2025-03-11,76.31
2025-03-12,78.83
2025-03-13,77.8
2025-03-14,80.73
2025-03-15,
2025-03-16,
2025-03-17,81.19
2025-03-18,79.43
2025-03-19,80.49
2025-03-20,80.23
2025-03-21,79.39
2025-03-22,
2025-03-23,
2025-03-24,81.65
2025-03-25,80.95
2025-03-26,77.8
2025-03-27,75.96
2025-03-28,73.82
2025-03-29,
2025-03-30,
2025-03-31,73.36
2025-04-01,73.95
2025-04-02,74.82
2025-04-03,66.86
2025-04-04,62.1
2025-04-05,
2025-04-06,
2025-04-07,63.97
2025-04-08,62.03
2025-04-09,73.58
2025-04-10,67.83
2025-04-11,69.66
2025-04-12,
2025-04-13,
2025-04-14,69.75
2025-04-15,70.2
2025-04-16,67.2
2025-04-17,66.52
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,64.65
2025-04-22,65.95
2025-04-23,68.69
2025-04-24,72.53
2025-04-25,73.92
2025-04-26,
2025-04-27,
2025-04-28,73.44
2025-04-29,72.75
2025-04-30,73.3
2025-05-01,74.37
2025-05-02,76.85
2025-05-03,
2025-05-04,
2025-05-05,75.86
2025-05-06,75.2
2025-05-07,75.2
2025-05-08,77.16
2025-05-09,77.59
2025-05-10,
2025-05-11,
2025-05-12,83.09
2025-05-13,86.41
2025-05-14,87.27
2025-05-15,86.81
2025-05-16,86.88
2025-05-17,
2025-05-18,
2025-05-19,86.52
2025-05-20,86.4
2025-05-21,84.72
2025-05-22,84.69
2025-05-23,83.5
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,86.3
2025-05-28,86.05
2025-05-29,87.12
2025-05-30,84.99
2025-05-31,
2025-06-01,
2025-06-02,86.37
2025-06-03,88.9
2025-06-04,90.72
2025-06-05,90.04
2025-06-06,90.25
2025-06-07,
2025-06-08,
2025-06-09,91.4
2025-06-10,92.73
2025-06-11,92.71
2025-06-12,93.4
2025-06-13,90.88
2025-06-14,
2025-06-15,
2025-06-16,93.62
2025-06-17,92.75
2025-06-18,92.75
2025-06-19,
2025-06-20,93.73
2025-06-21,
2025-06-22,
2025-06-23,93.4
2025-06-24,96.64
2025-06-25,97.92
2025-06-26,99.25
2025-06-27,99.37
2025-06-28,
2025-06-29,
2025-06-30,99.67
2025-07-01,98.28
2025-07-02,100.45
2025-07-03,101.46
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,99.86
2025-07-08,101.25
2025-07-09,102.22
2025-07-10,102.6
2025-07-11,102.52
2025-07-12,
2025-07-13,
2025-07-14,101.49
2025-07-15,103.12
2025-07-16,102.71
2025-07-17,103.84
2025-07-18,104.13
2025-07-19,
2025-07-20,
2025-07-21,104.57
2025-07-22,102.5
2025-07-23,103.29
2025-07-24,103.55
