Date,Close
2020-01-01,
2020-01-02,54.86
2020-01-03,54.59
2020-01-04,
2020-01-05,
2020-01-06,55.36
2020-01-07,55.4
2020-01-08,55.62
2020-01-09,55.8
2020-01-10,55.67
2020-01-11,
2020-01-12,
2020-01-13,56.21
2020-01-14,56.19
2020-01-15,56.44
2020-01-16,56.83
2020-01-17,57.17
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,57.04
2020-01-22,56.85
2020-01-23,56.8
2020-01-24,56.13
2020-01-25,
2020-01-26,
2020-01-27,55.21
2020-01-28,55.96
2020-01-29,55.9
2020-01-30,55.37
2020-01-31,54.24
2020-02-01,
2020-02-02,
2020-02-03,54.92
2020-02-04,55.47
2020-02-05,55.34
2020-02-06,55.94
2020-02-07,56.07
2020-02-08,
2020-02-09,
2020-02-10,56.59
2020-02-11,57.08
2020-02-12,57.43
2020-02-13,57.37
2020-02-14,57.39
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,57.79
2020-02-19,58.1
2020-02-20,57.68
2020-02-21,56.91
2020-02-22,
2020-02-23,
2020-02-24,55.05
2020-02-25,53.68
2020-02-26,53.34
2020-02-27,51.28
2020-02-28,51.43
2020-02-29,
2020-03-01,
2020-03-02,52.78
2020-03-03,51.19
2020-03-04,53.08
2020-03-05,51.1
2020-03-06,50.15
2020-03-07,
2020-03-08,
2020-03-09,46.82
2020-03-10,48.91
2020-03-11,46.75
2020-03-12,42.38
2020-03-13,45.81
2020-03-14,
2020-03-15,
2020-03-16,40.39
2020-03-17,42.0
2020-03-18,40.55
2020-03-19,42.17
2020-03-20,40.6
2020-03-21,
2020-03-22,
2020-03-23,40.94
2020-03-24,43.56
2020-03-25,43.02
2020-03-26,45.53
2020-03-27,43.78
2020-03-28,
2020-03-29,
2020-03-30,44.98
2020-03-31,45.13
2020-04-01,43.21
2020-04-02,43.71
2020-04-03,42.79
2020-04-04,
2020-04-05,
2020-04-06,45.66
2020-04-07,45.9
2020-04-08,47.06
2020-04-09,47.39
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,47.49
2020-04-14,48.89
2020-04-15,48.45
2020-04-16,48.71
2020-04-17,49.43
2020-04-18,
2020-04-19,
2020-04-20,49.11
2020-04-21,47.62
2020-04-22,48.96
2020-04-23,49.32
2020-04-24,50.03
2020-04-25,
2020-04-26,
2020-04-27,50.49
2020-04-28,49.36
2020-04-29,51.62
2020-04-30,51.72
