Date,Close
2024-01-01,
2024-01-02,79.73
2024-01-03,79.29
2024-01-04,78.87
2024-01-05,79.23
2024-01-06,
2024-01-07,
2024-01-08,80.79
2024-01-09,80.62
2024-01-10,81.52
2024-01-11,81.33
2024-01-12,81.46
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,80.9
2024-01-17,80.28
2024-01-18,81.41
2024-01-19,82.6
2024-01-20,
2024-01-21,
2024-01-22,82.81
2024-01-23,83.67
2024-01-24,84.07
2024-01-25,85.05
2024-01-26,85.51
2024-01-27,
2024-01-28,
2024-01-29,86.57
2024-01-30,85.86
2024-01-31,83.43
2024-02-01,84.45
2024-02-02,88.22
2024-02-03,
2024-02-04,
2024-02-05,86.92
2024-02-06,86.94
2024-02-07,86.98
2024-02-08,87.29
2024-02-09,87.59
2024-02-10,
2024-02-11,
2024-02-12,87.77
2024-02-13,86.23
2024-02-14,87.84
2024-02-15,88.58
2024-02-16,86.9
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,86.5
2024-02-21,86.17
2024-02-22,87.66
2024-02-23,87.54
2024-02-24,
2024-02-25,
2024-02-26,86.64
2024-02-27,87.56
2024-02-28,86.94
2024-02-29,87.97
2024-03-01,88.66
2024-03-02,
2024-03-03,
2024-03-04,87.65
2024-03-05,86.92
2024-03-06,86.74
2024-03-07,88.1
2024-03-08,88.04
2024-03-09,
2024-03-10,
2024-03-11,87.63
2024-03-12,88.41
2024-03-13,88.54
2024-03-14,88.49
2024-03-15,87.45
2024-03-16,
2024-03-17,
2024-03-18,89.25
2024-03-19,89.22
2024-03-20,90.52
2024-03-21,90.37
2024-03-22,90.71
2024-03-23,
2024-03-24,
2024-03-25,90.57
2024-03-26,90.37
2024-03-27,90.55
2024-03-28,90.17
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,90.8
2024-04-02,90.9
2024-04-03,91.61
2024-04-04,90.55
2024-04-05,91.91
2024-04-06,
2024-04-07,
2024-04-08,92.02
2024-04-09,92.3
2024-04-10,91.72
2024-04-11,92.68
2024-04-12,90.9
2024-04-13,
2024-04-14,
