Date,Close
2020-01-01,
2020-01-02,1.3462
2020-01-03,1.3462
2020-01-04,
2020-01-05,
2020-01-06,1.3462
2020-01-07,1.3462
2020-01-08,1.3462
2020-01-09,1.3462
2020-01-10,1.3535
2020-01-11,
2020-01-12,
2020-01-13,1.3535
2020-01-14,1.3535
2020-01-15,1.3535
2020-01-16,1.3535
2020-01-17,1.3535
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,1.3535
2020-01-22,1.3535
2020-01-23,1.3535
2020-01-24,1.3462
2020-01-25,
2020-01-26,
2020-01-27,1.3389
2020-01-28,1.3462
2020-01-29,1.3462
2020-01-30,1.3462
2020-01-31,1.3447
2020-02-01,
2020-02-02,
2020-02-03,1.3447
2020-02-04,1.3447
2020-02-05,1.3447
2020-02-06,1.3447
2020-02-07,1.3447
2020-02-08,
2020-02-09,
2020-02-10,1.3447
2020-02-11,1.352
2020-02-12,1.352
2020-02-13,1.352
2020-02-14,1.352
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,1.352
2020-02-19,1.352
2020-02-20,1.352
2020-02-21,1.352
2020-02-22,
2020-02-23,
2020-02-24,1.3447
2020-02-25,1.3374
2020-02-26,1.3374
2020-02-27,1.3301
2020-02-28,1.336
2020-02-29,
2020-03-01,
2020-03-02,1.3213
2020-03-03,1.3286
2020-03-04,1.3433
2020-03-05,1.336
2020-03-06,1.314
2020-03-07,
2020-03-08,
2020-03-09,1.2699
2020-03-10,1.2773
2020-03-11,1.2626
2020-03-12,1.2259
2020-03-13,1.2332
2020-03-14,
2020-03-15,
2020-03-16,1.1892
2020-03-17,1.1818
2020-03-18,1.1378
2020-03-19,1.1084
2020-03-20,1.1011
2020-03-21,
2020-03-22,
2020-03-23,1.1011
2020-03-24,1.0791
2020-03-25,1.1158
2020-03-26,1.1525
2020-03-27,1.1672
2020-03-28,
2020-03-29,
2020-03-30,1.1818
2020-03-31,1.1877
2020-04-01,1.173
2020-04-02,1.1656
2020-04-03,1.1582
2020-04-04,
2020-04-05,
2020-04-06,1.1656
2020-04-07,1.1804
2020-04-08,1.1804
2020-04-09,1.2246
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,1.2394
2020-04-14,1.2468
2020-04-15,1.2394
2020-04-16,1.2394
2020-04-17,1.2468
2020-04-18,
2020-04-19,
2020-04-20,1.2468
2020-04-21,1.232
2020-04-22,1.232
2020-04-23,1.232
2020-04-24,1.2246
2020-04-25,
2020-04-26,
2020-04-27,1.2246
2020-04-28,1.2246
2020-04-29,1.2246
2020-04-30,1.2313
2020-05-01,1.2313
2020-05-02,
2020-05-03,
2020-05-04,1.2239
2020-05-05,1.2313
2020-05-06,1.2313
2020-05-07,1.2387
2020-05-08,1.2387
2020-05-09,
2020-05-10,
2020-05-11,1.2387
2020-05-12,1.2461
2020-05-13,1.2387
2020-05-14,1.2313
2020-05-15,1.2313
2020-05-16,
2020-05-17,
2020-05-18,1.2313
2020-05-19,1.2461
2020-05-20,1.2536
2020-05-21,1.2536
2020-05-22,1.261
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,1.2684
2020-05-27,1.2758
2020-05-28,1.2832
2020-05-29,1.2802
2020-05-30,
2020-05-31,
2020-06-01,1.2802
2020-06-02,1.2951
2020-06-03,1.3026
2020-06-04,1.3026
2020-06-05,1.3175
2020-06-06,
2020-06-07,
2020-06-08,1.3249
2020-06-09,1.3175
2020-06-10,1.31
2020-06-11,1.2951
2020-06-12,1.2951
2020-06-13,
2020-06-14,
2020-06-15,1.3026
2020-06-16,1.3175
2020-06-17,1.31
2020-06-18,1.31
2020-06-19,1.31
2020-06-20,
2020-06-21,
2020-06-22,1.31
2020-06-23,1.31
2020-06-24,1.3026
2020-06-25,1.3026
2020-06-26,1.2951
2020-06-27,
2020-06-28,
2020-06-29,1.2951
2020-06-30,1.2929
2020-07-01,1.2929
2020-07-02,1.3004
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,1.3078
2020-07-07,1.3078
2020-07-08,1.3078
2020-07-09,1.3078
2020-07-10,1.3078
2020-07-11,
2020-07-12,
2020-07-13,1.3153
2020-07-14,1.3078
2020-07-15,1.3153
2020-07-16,1.3228
2020-07-17,1.3228
2020-07-18,
2020-07-19,
2020-07-20,1.3303
2020-07-21,1.3377
2020-07-22,1.3377
2020-07-23,1.3377
2020-07-24,1.3377
2020-07-25,
2020-07-26,
2020-07-27,1.3377
2020-07-28,1.3377
2020-07-29,1.3452
2020-07-30,1.3452
2020-07-31,1.3527
2020-08-01,
2020-08-02,
2020-08-03,1.3527
2020-08-04,1.3527
2020-08-05,1.3602
2020-08-06,1.3602
2020-08-07,1.3602
2020-08-08,
2020-08-09,
2020-08-10,1.3602
2020-08-11,1.3602
2020-08-12,1.3602
2020-08-13,1.3527
2020-08-14,1.3527
2020-08-15,
2020-08-16,
2020-08-17,1.3527
2020-08-18,1.3527
2020-08-19,1.3527
2020-08-20,1.3527
2020-08-21,1.3527
2020-08-22,
2020-08-23,
2020-08-24,1.3602
2020-08-25,1.3602
2020-08-26,1.3602
2020-08-27,1.3602
2020-08-28,1.3602
2020-08-29,
2020-08-30,
2020-08-31,1.3663
2020-09-01,1.3663
2020-09-02,1.3663
2020-09-03,1.3663
2020-09-04,1.3587
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,1.3587
2020-09-09,1.3587
2020-09-10,1.3587
2020-09-11,1.3587
2020-09-12,
2020-09-13,
2020-09-14,1.3587
2020-09-15,1.3587
2020-09-16,1.3587
2020-09-17,1.3587
2020-09-18,1.3587
2020-09-19,
2020-09-20,
2020-09-21,1.3512
2020-09-22,1.3512
2020-09-23,1.3436
2020-09-24,1.3436
2020-09-25,1.3436
2020-09-26,
2020-09-27,
2020-09-28,1.3436
2020-09-29,1.3436
2020-09-30,1.3497
2020-10-01,1.3497
2020-10-02,1.3497
2020-10-03,
2020-10-04,
2020-10-05,1.3573
2020-10-06,1.3649
2020-10-07,1.3649
2020-10-08,1.3649
2020-10-09,1.3724
2020-10-10,
2020-10-11,
2020-10-12,1.3724
2020-10-13,1.3724
2020-10-14,1.3724
2020-10-15,1.3724
2020-10-16,1.3724
2020-10-17,
2020-10-18,
2020-10-19,1.3724
2020-10-20,1.3724
2020-10-21,1.3724
2020-10-22,1.3724
2020-10-23,1.3724
2020-10-24,
2020-10-25,
2020-10-26,1.3724
2020-10-27,1.3649
2020-10-28,1.3573
2020-10-29,1.3573
2020-10-30,1.3558
2020-10-31,
2020-11-01,
2020-11-02,1.3634
2020-11-03,1.371
2020-11-04,1.3786
2020-11-05,1.3862
2020-11-06,1.3862
2020-11-07,
2020-11-08,
2020-11-09,1.4015
2020-11-10,1.4015
2020-11-11,1.4015
2020-11-12,1.3938
2020-11-13,1.3938
2020-11-14,
2020-11-15,
2020-11-16,1.3938
2020-11-17,1.4015
2020-11-18,1.4015
2020-11-19,1.3938
2020-11-20,1.3938
2020-11-21,
2020-11-22,
2020-11-23,1.4015
2020-11-24,1.4091
2020-11-25,1.4091
2020-11-26,
2020-11-27,1.4091
2020-11-28,
2020-11-29,
2020-11-30,1.4075
2020-12-01,1.4075
2020-12-02,1.4152
2020-12-03,1.4152
2020-12-04,1.4152
2020-12-05,
2020-12-06,
2020-12-07,1.4228
2020-12-08,1.4228
2020-12-09,1.4152
2020-12-10,1.4228
2020-12-11,1.4228
2020-12-12,
2020-12-13,
2020-12-14,1.4228
2020-12-15,1.4228
2020-12-16,1.4228
2020-12-17,1.4228
2020-12-18,1.4228
2020-12-19,
2020-12-20,
2020-12-21,1.4228
2020-12-22,1.4228
2020-12-23,1.4228
2020-12-24,1.4228
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,1.4305
2020-12-29,1.4305
2020-12-30,1.429
2020-12-31,1.429
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,1.429
2021-01-05,1.429
2021-01-06,1.4366
2021-01-07,1.4366
2021-01-08,1.4366
2021-01-09,
2021-01-10,
2021-01-11,1.4366
2021-01-12,1.4366
2021-01-13,1.4366
2021-01-14,1.4366
2021-01-15,1.4366
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,1.4366
2021-01-20,1.4443
2021-01-21,1.4443
2021-01-22,1.4366
2021-01-23,
2021-01-24,
2021-01-25,1.4366
2021-01-26,1.4366
2021-01-27,1.4366
2021-01-28,1.4366
2021-01-29,1.4343
2021-01-30,
2021-01-31,
2021-02-01,1.4343
2021-02-02,1.4343
2021-02-03,1.442
2021-02-04,1.442
2021-02-05,1.4497
2021-02-06,
2021-02-07,
2021-02-08,1.4497
2021-02-09,1.4497
2021-02-10,1.4497
2021-02-11,1.4497
2021-02-12,1.4497
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,1.4497
2021-02-17,1.4497
2021-02-18,1.4497
2021-02-19,1.4497
2021-02-20,
2021-02-21,
2021-02-22,1.4497
2021-02-23,1.4497
2021-02-24,1.4497
2021-02-25,1.442
2021-02-26,1.4397
2021-02-27,
2021-02-28,
2021-03-01,1.4474
2021-03-02,1.4474
2021-03-03,1.4474
2021-03-04,1.4397
2021-03-05,1.4397
2021-03-06,
2021-03-07,
2021-03-08,1.4397
2021-03-09,1.432
2021-03-10,1.432
2021-03-11,1.4397
2021-03-12,1.4397
