Date,Close
2020-01-01,
2020-01-02,20.31
2020-01-03,20.29
2020-01-04,
2020-01-05,
2020-01-06,20.32
2020-01-07,20.48
2020-01-08,20.5
2020-01-09,20.62
2020-01-10,20.52
2020-01-11,
2020-01-12,
2020-01-13,20.65
2020-01-14,20.64
2020-01-15,20.6
2020-01-16,20.72
2020-01-17,20.73
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,20.71
2020-01-22,20.75
2020-01-23,20.76
2020-01-24,20.63
2020-01-25,
2020-01-26,
2020-01-27,20.38
2020-01-28,20.53
2020-01-29,20.51
2020-01-30,20.53
2020-01-31,20.31
2020-02-01,
2020-02-02,
2020-02-03,20.43
2020-02-04,20.71
2020-02-05,20.67
2020-02-06,20.67
2020-02-07,20.56
2020-02-08,
2020-02-09,
2020-02-10,20.71
2020-02-11,20.83
2020-02-12,20.94
2020-02-13,21.0
2020-02-14,21.06
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,21.12
2020-02-19,21.27
2020-02-20,21.21
2020-02-21,21.03
2020-02-22,
2020-02-23,
2020-02-24,20.52
2020-02-25,20.09
2020-02-26,19.97
2020-02-27,19.54
2020-02-28,19.5
2020-02-29,
2020-03-01,
2020-03-02,19.83
2020-03-03,19.55
2020-03-04,19.92
2020-03-05,19.55
2020-03-06,19.31
2020-03-07,
2020-03-08,
2020-03-09,18.43
2020-03-10,18.85
2020-03-11,18.29
2020-03-12,17.32
2020-03-13,17.65
2020-03-14,
2020-03-15,
2020-03-16,16.46
2020-03-17,16.73
2020-03-18,15.94
2020-03-19,16.33
2020-03-20,16.15
2020-03-21,
2020-03-22,
2020-03-23,16.08
2020-03-24,16.95
2020-03-25,17.19
2020-03-26,17.75
2020-03-27,17.56
2020-03-28,
2020-03-29,
2020-03-30,17.89
2020-03-31,17.7
2020-04-01,17.17
2020-04-02,17.13
2020-04-03,16.92
2020-04-04,
2020-04-05,
2020-04-06,17.66
2020-04-07,17.7
2020-04-08,18.08
2020-04-09,18.42
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,18.44
2020-04-14,18.87
2020-04-15,18.72
2020-04-16,18.86
2020-04-17,19.18
2020-04-18,
2020-04-19,
2020-04-20,19.24
2020-04-21,18.89
2020-04-22,19.22
2020-04-23,19.17
2020-04-24,19.34
2020-04-25,
2020-04-26,
2020-04-27,19.73
2020-04-28,19.54
2020-04-29,19.73
2020-04-30,19.57
2020-05-01,19.09
2020-05-02,
2020-05-03,
2020-05-04,19.31
2020-05-05,19.44
2020-05-06,19.41
2020-05-07,19.71
2020-05-08,19.99
2020-05-09,
2020-05-10,
2020-05-11,20.01
2020-05-12,19.77
2020-05-13,19.52
2020-05-14,19.56
2020-05-15,19.67
2020-05-16,
2020-05-17,
2020-05-18,19.96
2020-05-19,19.88
2020-05-20,20.06
2020-05-21,20.01
2020-05-22,20.15
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,20.32
2020-05-27,20.51
2020-05-28,20.49
2020-05-29,20.7
2020-05-30,
2020-05-31,
2020-06-01,20.87
2020-06-02,20.91
2020-06-03,21.08
2020-06-04,20.89
2020-06-05,21.23
2020-06-06,
2020-06-07,
2020-06-08,21.66
2020-06-09,21.45
2020-06-10,21.39
2020-06-11,20.53
2020-06-12,20.71
2020-06-13,
2020-06-14,
2020-06-15,20.97
2020-06-16,21.17
2020-06-17,21.2
2020-06-18,21.24
2020-06-19,21.22
2020-06-20,
2020-06-21,
2020-06-22,21.3
2020-06-23,21.35
2020-06-24,20.93
2020-06-25,21.14
2020-06-26,20.9
2020-06-27,
2020-06-28,
2020-06-29,21.07
