Date,Close
2020-01-01,
2020-01-02,47.44
2020-01-03,46.99
2020-01-04,
2020-01-05,
2020-01-06,47.22
2020-01-07,47.23
2020-01-08,47.78
2020-01-09,48.32
2020-01-10,48.25
2020-01-11,
2020-01-12,
2020-01-13,48.94
2020-01-14,48.65
2020-01-15,48.73
2020-01-16,49.33
2020-01-17,49.67
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,49.68
2020-01-22,49.66
2020-01-23,49.91
2020-01-24,49.56
2020-01-25,
2020-01-26,
2020-01-27,48.47
2020-01-28,49.41
2020-01-29,49.68
2020-01-30,50.05
2020-01-31,48.72
2020-02-01,
2020-02-02,
2020-02-03,49.43
2020-02-04,50.85
2020-02-05,50.76
2020-02-06,51.23
2020-02-07,50.96
2020-02-08,
2020-02-09,
2020-02-10,51.66
2020-02-11,51.47
2020-02-12,52.03
2020-02-13,52.07
2020-02-14,52.42
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,52.28
2020-02-19,52.91
2020-02-20,52.36
2020-02-21,51.1
2020-02-22,
2020-02-23,
2020-02-24,48.97
2020-02-25,47.47
2020-02-26,47.76
2020-02-27,45.47
2020-02-28,46.06
2020-02-29,
2020-03-01,
2020-03-02,48.37
2020-03-03,46.59
2020-03-04,48.54
2020-03-05,47.05
2020-03-06,45.94
2020-03-07,
2020-03-08,
2020-03-09,42.38
2020-03-10,45.04
2020-03-11,42.91
2020-03-12,38.7
2020-03-13,42.86
2020-03-14,
2020-03-15,
2020-03-16,36.94
2020-03-17,39.01
2020-03-18,36.94
2020-03-19,37.98
2020-03-20,36.56
2020-03-21,
2020-03-22,
2020-03-23,36.54
2020-03-24,40.18
2020-03-25,40.06
2020-03-26,42.2
2020-03-27,40.32
2020-03-28,
2020-03-29,
2020-03-30,41.98
2020-03-31,41.29
2020-04-01,39.2
2020-04-02,39.67
2020-04-03,38.98
2020-04-04,
2020-04-05,
2020-04-06,42.41
2020-04-07,42.1
2020-04-08,43.34
2020-04-09,43.41
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,43.68
2020-04-14,45.45
2020-04-15,44.75
2020-04-16,45.34
2020-04-17,45.88
2020-04-18,
2020-04-19,
2020-04-20,45.29
2020-04-21,43.56
2020-04-22,45.13
2020-04-23,44.88
2020-04-24,45.81
2020-04-25,
2020-04-26,
2020-04-27,46.18
2020-04-28,45.41
2020-04-29,47.42
2020-04-30,47.44
2020-05-01,46.02
2020-05-02,
2020-05-03,
2020-05-04,46.69
2020-05-05,47.44
2020-05-06,47.93
2020-05-07,49.04
2020-05-08,49.84
2020-05-09,
2020-05-10,
2020-05-11,50.23
2020-05-12,49.29
2020-05-13,48.6
2020-05-14,49.12
2020-05-15,49.36
2020-05-16,
2020-05-17,
2020-05-18,50.44
2020-05-19,50.34
2020-05-20,51.37
2020-05-21,50.79
2020-05-22,51.22
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,50.95
2020-05-27,51.11
2020-05-28,51.0
2020-05-29,51.63
2020-05-30,
2020-05-31,
2020-06-01,51.95
2020-06-02,52.32
2020-06-03,52.75
2020-06-04,52.19
2020-06-05,53.42
2020-06-06,
2020-06-07,
2020-06-08,53.63
2020-06-09,54.07
2020-06-10,54.99
2020-06-11,52.03
2020-06-12,52.76
2020-06-13,
2020-06-14,
2020-06-15,53.4
2020-06-16,54.59
2020-06-17,54.8
2020-06-18,55.16
2020-06-19,54.98
2020-06-20,
2020-06-21,
2020-06-22,56.11
2020-06-23,56.55
2020-06-24,55.18
2020-06-25,55.93
2020-06-26,54.61
2020-06-27,
2020-06-28,
2020-06-29,55.17
2020-06-30,56.28
2020-07-01,56.72
2020-07-02,56.91
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,58.07
2020-07-07,57.65
2020-07-08,58.81
2020-07-09,59.07
2020-07-10,59.08
2020-07-11,
2020-07-12,
2020-07-13,57.51
2020-07-14,57.97
2020-07-15,58.22
2020-07-16,57.51
2020-07-17,57.72
2020-07-18,
2020-07-19,
2020-07-20,59.46
2020-07-21,58.79
2020-07-22,59.11
2020-07-23,57.47
2020-07-24,57.04
2020-07-25,
2020-07-26,
2020-07-27,58.07
2020-07-28,57.35
2020-07-29,58.45
2020-07-30,58.88
2020-07-31,60.49
2020-08-01,
2020-08-02,
2020-08-03,61.96
2020-08-04,62.1
2020-08-05,62.42
2020-08-06,63.31
2020-08-07,62.17
2020-08-08,
2020-08-09,
2020-08-10,61.83
2020-08-11,60.69
2020-08-12,62.02
2020-08-13,62.31
2020-08-14,62.13
2020-08-15,
2020-08-16,
2020-08-17,62.64
2020-08-18,63.01
2020-08-19,62.84
2020-08-20,63.69
2020-08-21,64.27
2020-08-22,
2020-08-23,
2020-08-24,64.75
2020-08-25,65.26
2020-08-26,67.15
2020-08-27,67.04
2020-08-28,67.86
2020-08-29,
2020-08-30,
2020-08-31,68.13
2020-09-01,69.55
2020-09-02,69.96
2020-09-03,65.93
2020-09-04,64.81
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,61.86
2020-09-09,63.8
2020-09-10,62.53
2020-09-11,62.03
2020-09-12,
2020-09-13,
2020-09-14,63.32
2020-09-15,63.94
2020-09-16,62.9
2020-09-17,62.28
2020-09-18,61.44
2020-09-19,
2020-09-20,
2020-09-21,62.06
2020-09-22,63.01
2020-09-23,61.05
2020-09-24,61.5
2020-09-25,63.03
2020-09-26,
2020-09-27,
2020-09-28,64.15
2020-09-29,64.03
2020-09-30,64.43
2020-10-01,65.3
2020-10-02,63.81
2020-10-03,
2020-10-04,
2020-10-05,65.25
2020-10-06,64.36
2020-10-07,65.63
2020-10-08,65.89
2020-10-09,67.25
2020-10-10,
2020-10-11,
2020-10-12,68.95
2020-10-13,68.71
2020-10-14,68.17
2020-10-15,67.81
2020-10-16,67.6
2020-10-17,
2020-10-18,
2020-10-19,66.55
2020-10-20,66.73
2020-10-21,66.37
2020-10-22,66.04
2020-10-23,66.34
2020-10-24,
2020-10-25,
2020-10-26,64.9
2020-10-27,65.41
2020-10-28,62.77
2020-10-29,64.09
2020-10-30,62.23
2020-10-31,
2020-11-01,
2020-11-02,62.2
2020-11-03,63.39
2020-11-04,66.4
2020-11-05,68.6
2020-11-06,69.24
2020-11-07,
2020-11-08,
2020-11-09,68.02
2020-11-10,66.24
2020-11-11,68.06
2020-11-12,67.77
2020-11-13,68.28
2020-11-14,
2020-11-15,
2020-11-16,68.92
2020-11-17,68.79
2020-11-18,68.21
2020-11-19,69.08
2020-11-20,68.47
2020-11-21,
2020-11-22,
2020-11-23,68.47
2020-11-24,69.1
2020-11-25,70.04
2020-11-26,
2020-11-27,70.98
2020-11-28,
2020-11-29,
2020-11-30,71.74
2020-12-01,72.14
2020-12-02,72.15
2020-12-03,72.03
2020-12-04,72.67
2020-12-05,
2020-12-06,
2020-12-07,73.09
2020-12-08,73.78
2020-12-09,72.56
2020-12-10,73.06
2020-12-11,72.59
2020-12-12,
2020-12-13,
2020-12-14,72.77
2020-12-15,73.94
2020-12-16,74.57
2020-12-17,75.35
2020-12-18,75.6
2020-12-19,
2020-12-20,
2020-12-21,76.43
2020-12-22,78.34
2020-12-23,76.89
2020-12-24,77.44
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,77.88
2020-12-29,77.01
2020-12-30,77.14
2020-12-31,76.6
2021-01-01,
2021-01-02,
