Date,Close
2020-01-01,
2020-01-02,21.92
2020-01-03,21.76
2020-01-04,
2020-01-05,
2020-01-06,21.82
2020-01-07,21.78
2020-01-08,21.85
2020-01-09,21.96
2020-01-10,21.84
2020-01-11,
2020-01-12,
2020-01-13,22.0
2020-01-14,21.98
2020-01-15,21.98
2020-01-16,22.11
2020-01-17,22.17
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,22.04
2020-01-22,21.94
2020-01-23,21.93
2020-01-24,21.62
2020-01-25,
2020-01-26,
2020-01-27,21.28
2020-01-28,21.5
2020-01-29,21.57
2020-01-30,21.56
2020-01-31,21.09
2020-02-01,
2020-02-02,
2020-02-03,21.13
2020-02-04,21.49
2020-02-05,21.86
2020-02-06,21.95
2020-02-07,21.78
2020-02-08,
2020-02-09,
2020-02-10,21.89
2020-02-11,21.92
2020-02-12,22.12
2020-02-13,22.0
2020-02-14,21.97
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,21.88
2020-02-19,21.97
2020-02-20,21.93
2020-02-21,21.73
2020-02-22,
2020-02-23,
2020-02-24,20.91
2020-02-25,20.21
2020-02-26,20.0
2020-02-27,19.17
2020-02-28,19.12
2020-02-29,
2020-03-01,
2020-03-02,19.88
2020-03-03,19.29
2020-03-04,19.93
2020-03-05,19.16
2020-03-06,18.67
2020-03-07,
2020-03-08,
2020-03-09,17.02
2020-03-10,17.86
2020-03-11,16.99
2020-03-12,15.35
2020-03-13,16.83
2020-03-14,
2020-03-15,
2020-03-16,14.84
2020-03-17,15.78
2020-03-18,14.88
2020-03-19,14.98
2020-03-20,14.38
2020-03-21,
2020-03-22,
2020-03-23,13.83
2020-03-24,15.09
2020-03-25,15.42
2020-03-26,16.39
2020-03-27,15.78
2020-03-28,
2020-03-29,
2020-03-30,16.27
2020-03-31,16.16
2020-04-01,15.45
2020-04-02,15.75
2020-04-03,15.48
2020-04-04,
2020-04-05,
2020-04-06,16.49
2020-04-07,16.51
2020-04-08,17.08
2020-04-09,17.33
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,17.08
2020-04-14,17.43
2020-04-15,16.92
2020-04-16,16.9
2020-04-17,17.51
2020-04-18,
2020-04-19,
2020-04-20,17.14
2020-04-21,16.69
2020-04-22,16.95
2020-04-23,17.04
2020-04-24,17.27
2020-04-25,
2020-04-26,
2020-04-27,17.64
2020-04-28,17.68
2020-04-29,18.14
2020-04-30,17.87
2020-05-01,17.29
2020-05-02,
2020-05-03,
2020-05-04,17.3
2020-05-05,17.35
2020-05-06,17.18
2020-05-07,17.36
2020-05-08,17.73
2020-05-09,
2020-05-10,
2020-05-11,17.64
2020-05-12,17.29
2020-05-13,16.85
2020-05-14,17.05
2020-05-15,17.07
2020-05-16,
2020-05-17,
2020-05-18,17.9
2020-05-19,17.64
2020-05-20,17.98
2020-05-21,17.87
2020-05-22,17.85
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,18.32
2020-05-27,18.76
2020-05-28,18.55
2020-05-29,18.51
2020-05-30,
2020-05-31,
2020-06-01,18.7
2020-06-02,18.98
2020-06-03,19.36
2020-06-04,19.5
2020-06-05,20.11
2020-06-06,
2020-06-07,
2020-06-08,20.58
2020-06-09,20.22
2020-06-10,19.82
2020-06-11,18.46
2020-06-12,18.81
2020-06-13,
2020-06-14,
2020-06-15,18.97
2020-06-16,19.38
2020-06-17,19.19
2020-06-18,19.2
2020-06-19,19.12
2020-06-20,
2020-06-21,
2020-06-22,19.14
2020-06-23,19.31
2020-06-24,18.69
2020-06-25,18.93
2020-06-26,18.43
2020-06-27,
2020-06-28,
2020-06-29,18.71
2020-06-30,18.92
2020-07-01,18.85
2020-07-02,18.98
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,19.22
2020-07-07,18.89
2020-07-08,19.0
2020-07-09,18.68
2020-07-10,18.98
2020-07-11,
2020-07-12,
2020-07-13,18.88
2020-07-14,19.15
2020-07-15,19.48
2020-07-16,19.39
2020-07-17,19.35
2020-07-18,
2020-07-19,
2020-07-20,19.32
2020-07-21,19.57
2020-07-22,19.59
2020-07-23,19.47
2020-07-24,19.36
2020-07-25,
2020-07-26,
2020-07-27,19.44
2020-07-28,19.35
2020-07-29,19.56
2020-07-30,19.43
2020-07-31,19.36
2020-08-01,
2020-08-02,
2020-08-03,19.61
2020-08-04,19.69
2020-08-05,19.9
2020-08-06,19.94
2020-08-07,20.06
2020-08-08,
2020-08-09,
2020-08-10,20.26
2020-08-11,20.29
2020-08-12,20.48
2020-08-13,20.33
2020-08-14,20.38
2020-08-15,
2020-08-16,
2020-08-17,20.3
2020-08-18,20.23
2020-08-19,20.18
2020-08-20,20.11
2020-08-21,20.09
2020-08-22,
2020-08-23,
2020-08-24,20.45
2020-08-25,20.44
2020-08-26,20.41
2020-08-27,20.53
2020-08-28,20.71
2020-08-29,
2020-08-30,
2020-08-31,20.52
2020-09-01,20.55
2020-09-02,20.84
2020-09-03,20.27
2020-09-04,20.27
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,19.73
2020-09-09,20.06
2020-09-10,19.7
2020-09-11,19.79
2020-09-12,
2020-09-13,
2020-09-14,20.05
2020-09-15,20.08
2020-09-16,20.23
2020-09-17,20.15
2020-09-18,19.95
2020-09-19,
2020-09-20,
2020-09-21,19.47
2020-09-22,19.51
2020-09-23,19.09
2020-09-24,19.16
2020-09-25,19.38
2020-09-26,
2020-09-27,
2020-09-28,19.72
2020-09-29,19.51
2020-09-30,19.67
2020-10-01,19.65
2020-10-02,19.58
2020-10-03,
2020-10-04,
2020-10-05,19.98
2020-10-06,19.71
2020-10-07,20.09
2020-10-08,20.35
2020-10-09,20.47
2020-10-10,
2020-10-11,
2020-10-12,20.66
2020-10-13,20.44
2020-10-14,20.32
2020-10-15,20.33
2020-10-16,20.41
2020-10-17,
2020-10-18,
2020-10-19,20.1
2020-10-20,20.21
2020-10-21,20.11
2020-10-22,20.4
2020-10-23,20.45
2020-10-24,
2020-10-25,
2020-10-26,19.93
2020-10-27,19.69
2020-10-28,19.06
2020-10-29,19.24
2020-10-30,19.13
2020-10-31,
2020-11-01,
2020-11-02,19.42
2020-11-03,19.88
2020-11-04,20.14
2020-11-05,20.56
2020-11-06,20.49
2020-11-07,
2020-11-08,
2020-11-09,21.4
2020-11-10,21.61
2020-11-11,21.61
2020-11-12,21.32
2020-11-13,21.72
2020-11-14,
2020-11-15,
2020-11-16,22.16
2020-11-17,22.08
2020-11-18,21.81
2020-11-19,21.85
2020-11-20,21.71
2020-11-21,
2020-11-22,
2020-11-23,22.05
2020-11-24,22.69
2020-11-25,22.57
2020-11-26,
2020-11-27,22.55
2020-11-28,
2020-11-29,
2020-11-30,22.23
2020-12-01,22.47
2020-12-02,22.65
2020-12-03,22.73
2020-12-04,23.11
2020-12-05,
2020-12-06,
2020-12-07,23.01
2020-12-08,23.09
2020-12-09,23.11
2020-12-10,23.1
2020-12-11,22.98
2020-12-12,
2020-12-13,
2020-12-14,22.77
2020-12-15,23.13
2020-12-16,23.18
2020-12-17,23.28
2020-12-18,23.17
2020-12-19,
2020-12-20,
2020-12-21,23.07
2020-12-22,22.95
2020-12-23,23.15
2020-12-24,23.14
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,23.25
2020-12-29,23.17
2020-12-30,23.27
2020-12-31,23.37
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,23.08
2021-01-05,23.37
2021-01-06,23.86
2021-01-07,24.14
2021-01-08,24.18
2021-01-09,
2021-01-10,
2021-01-11,24.2
2021-01-12,24.36
2021-01-13,24.31
2021-01-14,24.48
2021-01-15,24.08
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,24.32
2021-01-20,24.47
2021-01-21,24.29
2021-01-22,24.2
2021-01-23,
2021-01-24,
2021-01-25,24.17
2021-01-26,24.13
2021-01-27,23.56
2021-01-28,23.85
2021-01-29,23.25
2021-01-30,
2021-01-31,
2021-02-01,23.52
2021-02-02,23.93
2021-02-03,24.1
2021-02-04,24.37
2021-02-05,24.46
2021-02-06,
2021-02-07,
2021-02-08,24.79
2021-02-09,24.77
2021-02-10,24.76
2021-02-11,24.69
2021-02-12,24.88
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,25.06
2021-02-17,25.09
2021-02-18,24.91
2021-02-19,25.1
2021-02-20,
2021-02-21,
2021-02-22,25.22
2021-02-23,25.31
2021-02-24,25.79
2021-02-25,25.15
2021-02-26,24.86
2021-02-27,
2021-02-28,
2021-03-01,25.5
2021-03-02,25.38
2021-03-03,25.39
2021-03-04,25.19
2021-03-05,25.72
2021-03-06,
2021-03-07,
2021-03-08,25.86
2021-03-09,25.89
2021-03-10,26.1
2021-03-11,26.11
2021-03-12,26.35
2021-03-13,
2021-03-14,
2021-03-15,26.47
2021-03-16,26.3
2021-03-17,26.49
2021-03-18,26.16
2021-03-19,26.06
2021-03-20,
2021-03-21,
2021-03-22,26.05
2021-03-23,25.61
2021-03-24,25.56
2021-03-25,25.85
2021-03-26,26.34
2021-03-27,
2021-03-28,
2021-03-29,26.17
2021-03-30,26.24
2021-03-31,26.16
2021-04-01,26.51
2021-04-02,
2021-04-03,
2021-04-04,
