Date,Close
2024-01-01,
2024-01-02,185.97
2024-01-03,183.8
2024-01-04,182.76
2024-01-05,182.94
2024-01-06,
2024-01-07,
2024-01-08,186.97
2024-01-09,187.15
2024-01-10,188.56
2024-01-11,188.57
2024-01-12,188.6
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,188.24
2024-01-17,187.13
2024-01-18,189.65
2024-01-19,192.86
2024-01-20,
2024-01-21,
2024-01-22,193.48
2024-01-23,194.31
2024-01-24,195.01
2024-01-25,195.37
2024-01-26,194.67
2024-01-27,
2024-01-28,
2024-01-29,196.85
2024-01-30,195.38
2024-01-31,191.02
2024-02-01,193.52
2024-02-02,196.89
2024-02-03,
2024-02-04,
2024-02-05,196.5
2024-02-06,196.64
2024-02-07,198.51
2024-02-08,198.99
2024-02-09,201.49
2024-02-10,
2024-02-11,
2024-02-12,200.9
2024-02-13,197.28
2024-02-14,199.88
2024-02-15,200.48
2024-02-16,198.84
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,197.02
2024-02-21,196.4
2024-02-22,202.22
2024-02-23,201.65
2024-02-24,
2024-02-25,
2024-02-26,201.39
2024-02-27,202.14
2024-02-28,201.05
2024-02-29,202.9
2024-03-01,205.21
2024-03-02,
2024-03-03,
2024-03-04,204.37
2024-03-05,201.0
2024-03-06,202.15
2024-03-07,205.22
2024-03-08,202.86
2024-03-09,
2024-03-10,
2024-03-11,202.03
2024-03-12,205.14
2024-03-13,204.04
2024-03-14,203.45
2024-03-15,201.47
2024-03-16,
2024-03-17,
2024-03-18,203.12
2024-03-19,203.92
2024-03-20,206.49
2024-03-21,206.9
2024-03-22,207.23
2024-03-23,
2024-03-24,
2024-03-25,206.67
2024-03-26,205.8
2024-03-27,206.85
2024-03-28,206.6
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,206.82
2024-04-02,204.86
2024-04-03,205.35
2024-04-04,202.47
2024-04-05,204.99
2024-04-06,
2024-04-07,
2024-04-08,205.06
2024-04-09,205.73
2024-04-10,204.01
2024-04-11,207.44
2024-04-12,204.07
2024-04-13,
2024-04-14,
2024-04-15,200.41
2024-04-16,200.16
2024-04-17,197.87
2024-04-18,196.84
2024-04-19,192.8
2024-04-20,
2024-04-21,
2024-04-22,194.94
2024-04-23,198.03
2024-04-24,198.23
2024-04-25,196.96
2024-04-26,200.96
2024-04-27,
2024-04-28,
2024-04-29,201.65
2024-04-30,197.55
2024-05-01,196.89
2024-05-02,199.86
2024-05-03,203.85
2024-05-04,
2024-05-05,
2024-05-06,206.29
2024-05-07,206.09
2024-05-08,205.72
2024-05-09,206.29
2024-05-10,206.27
2024-05-11,
2024-05-12,
2024-05-13,206.86
2024-05-14,208.41
2024-05-15,211.39
2024-05-16,210.85
2024-05-17,210.69
2024-05-18,
2024-05-19,
2024-05-20,212.06
2024-05-21,212.56
2024-05-22,212.17
2024-05-23,211.35
2024-05-24,213.68
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,214.93
2024-05-29,213.67
2024-05-30,211.37
2024-05-31,211.36
2024-06-01,
2024-06-02,
2024-06-03,212.53
2024-06-04,212.91
2024-06-05,217.09
2024-06-06,216.91
2024-06-07,216.44
2024-06-08,
2024-06-09,
2024-06-10,217.2
2024-06-11,219.11
2024-06-12,222.45
2024-06-13,223.21
2024-06-14,223.51
2024-06-15,
2024-06-16,
2024-06-17,225.64
2024-06-18,225.71
2024-06-19,
2024-06-20,223.93
2024-06-21,223.54
2024-06-22,
2024-06-23,
2024-06-24,221.12
2024-06-25,223.9
2024-06-26,225.02
2024-06-27,225.69
2024-06-28,224.11
2024-06-29,
2024-06-30,
2024-07-01,225.96
2024-07-02,227.86
2024-07-03,229.88
2024-07-04,
2024-07-05,231.98
2024-07-06,
2024-07-07,
2024-07-08,232.62
2024-07-09,232.94
2024-07-10,235.7
2024-07-11,231.1
2024-07-12,232.54
2024-07-13,
2024-07-14,
2024-07-15,233.49
2024-07-16,233.95
2024-07-17,227.47
2024-07-18,225.89
2024-07-19,224.06
2024-07-20,
2024-07-21,
2024-07-22,227.61
2024-07-23,227.48
2024-07-24,219.21
2024-07-25,217.17
2024-07-26,219.4
2024-07-27,
2024-07-28,
2024-07-29,219.56
2024-07-30,216.74
2024-07-31,222.47
2024-08-01,217.35
2024-08-02,212.07
2024-08-03,
2024-08-04,
2024-08-05,204.78
2024-08-06,206.9
2024-08-07,204.73
2024-08-08,210.62
2024-08-09,211.7
2024-08-10,
2024-08-11,
2024-08-12,212.19
2024-08-13,217.35
2024-08-14,217.41
2024-08-15,222.55
2024-08-16,223.05
2024-08-17,
2024-08-18,
2024-08-19,226.15
2024-08-20,225.39
2024-08-21,226.69
2024-08-22,222.9
2024-08-23,226.18
2024-08-24,
2024-08-25,
2024-08-26,224.25
2024-08-27,224.63
2024-08-28,222.12
2024-08-29,221.63
2024-08-30,224.13
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,216.82
2024-09-04,216.18
2024-09-05,216.73
2024-09-06,211.23
2024-09-07,
2024-09-08,
2024-09-09,213.7
2024-09-10,215.49
2024-09-11,220.16
2024-09-12,222.37
2024-09-13,223.84
2024-09-14,
2024-09-15,
2024-09-16,222.69
2024-09-17,223.15
2024-09-18,222.46
2024-09-19,228.06
2024-09-20,227.23
2024-09-21,
2024-09-22,
2024-09-23,227.56
2024-09-24,228.82
2024-09-25,228.91
2024-09-26,230.29
2024-09-27,229.39
2024-09-28,
2024-09-29,
2024-09-30,230.29
2024-10-01,226.76
2024-10-02,226.97
2024-10-03,226.88
2024-10-04,229.66
2024-10-05,
2024-10-06,
2024-10-07,226.95
2024-10-08,230.23
2024-10-09,231.6
2024-10-10,231.48
2024-10-11,232.25
2024-10-12,
2024-10-13,
2024-10-14,234.27
2024-10-15,231.9
2024-10-16,232.54
2024-10-17,232.62
2024-10-18,234.08
2024-10-19,
2024-10-20,
2024-10-21,234.71
2024-10-22,235.13
2024-10-23,231.37
2024-10-24,233.13
2024-10-25,234.44
2024-10-26,
2024-10-27,
2024-10-28,235.05
2024-10-29,236.9
2024-10-30,235.57
2024-10-31,229.08
2024-11-01,230.92
2024-11-02,
2024-11-03,
2024-11-04,230.16
2024-11-05,233.45
2024-11-06,240.36
2024-11-07,243.98
2024-11-08,244.23
2024-11-09,
2024-11-10,
2024-11-11,244.38
2024-11-12,244.16
2024-11-13,243.53
2024-11-14,241.98
2024-11-15,236.58
2024-11-16,
2024-11-17,
2024-11-18,238.02
2024-11-19,240.5
2024-11-20,240.23
2024-11-21,240.37
2024-11-22,240.76
2024-11-23,
2024-11-24,
2024-11-25,241.41
2024-11-26,242.92
2024-11-27,241.48
2024-11-28,
2024-11-29,243.49
2024-11-30,
2024-12-01,
2024-12-02,245.84
2024-12-03,246.82
2024-12-04,250.04
2024-12-05,249.61
2024-12-06,251.65
2024-12-07,
2024-12-08,
2024-12-09,250.11
2024-12-10,249.49
2024-12-11,253.91
2024-12-12,252.24
2024-12-13,252.57
2024-12-14,
2024-12-15,
2024-12-16,255.72
2024-12-17,254.89
2024-12-18,245.8
2024-12-19,245.55
2024-12-20,248.06
2024-12-21,
2024-12-22,
2024-12-23,250.52
2024-12-24,253.89
2024-12-25,
2024-12-26,253.74
2024-12-27,249.98
2024-12-28,
2024-12-29,
2024-12-30,246.99
2024-12-31,244.77
2025-01-01,
2025-01-02,244.39
2025-01-03,248.72
2025-01-04,
2025-01-05,
2025-01-06,251.81
2025-01-07,247.05
2025-01-08,246.93
2025-01-09,
2025-01-10,242.9
2025-01-11,
2025-01-12,
2025-01-13,241.98
2025-01-14,241.43
2025-01-15,247.35
2025-01-16,245.16
2025-01-17,248.86
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,250.47
2025-01-22,253.67
2025-01-23,254.23
2025-01-24,252.97
2025-01-25,
2025-01-26,
2025-01-27,245.22
2025-01-28,250.18
2025-01-29,248.89
2025-01-30,249.51
2025-01-31,248.84
2025-02-01,
2025-02-02,
2025-02-03,245.85
2025-02-04,249.18
2025-02-05,249.66
2025-02-06,250.93
2025-02-07,247.53
2025-02-08,
2025-02-09,
2025-02-10,249.98
2025-02-11,249.09
2025-02-12,249.17
2025-02-13,252.91
2025-02-14,253.96
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,254.14
2025-02-19,254.34
2025-02-20,253.2
2025-02-21,247.65
2025-02-22,
2025-02-23,
2025-02-24,244.66
2025-02-25,241.35
2025-02-26,241.97
2025-02-27,235.24
2025-02-28,239.1
2025-03-01,
2025-03-02,
2025-03-03,232.8
2025-03-04,231.97
2025-03-05,235.37
2025-03-06,229.24
2025-03-07,230.88
2025-03-08,
2025-03-09,
2025-03-10,221.66
2025-03-11,221.26
2025-03-12,223.96
2025-03-13,219.58
2025-03-14,225.34
2025-03-15,
2025-03-16,
2025-03-17,226.03
2025-03-18,222.17
2025-03-19,225.3
2025-03-20,224.57
2025-03-21,225.74
2025-03-22,
2025-03-23,
2025-03-24,230.88
2025-03-25,231.93
2025-03-26,227.2
2025-03-27,226.0
2025-03-28,219.89
2025-03-29,
2025-03-30,
2025-03-31,219.6
2025-04-01,221.52
2025-04-02,223.45
2025-04-03,210.12
2025-04-04,197.9
2025-04-05,
2025-04-06,
2025-04-07,198.09
2025-04-08,193.84
2025-04-09,217.42
2025-04-10,208.05
2025-04-11,212.33
2025-04-12,
2025-04-13,
2025-04-14,213.61
2025-04-15,213.54
2025-04-16,206.99
2025-04-17,206.73
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,201.45
2025-04-22,206.91
2025-04-23,212.08
2025-04-24,217.89
2025-04-25,220.65
2025-04-26,
2025-04-27,
2025-04-28,220.43
2025-04-29,221.65
2025-04-30,221.47
2025-05-01,224.82
2025-05-02,228.21
2025-05-03,
2025-05-04,
2025-05-05,226.53
2025-05-06,224.57
2025-05-07,224.57
2025-05-08,227.59
2025-05-09,227.6
2025-05-10,
2025-05-11,
2025-05-12,237.54
2025-05-13,241.38
2025-05-14,243.12
2025-05-15,242.74
2025-05-16,244.02
2025-05-17,
2025-05-18,
2025-05-19,244.09
2025-05-20,243.17
2025-05-21,239.74
2025-05-22,240.41
2025-05-23,238.02
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,243.9
2025-05-28,242.66
2025-05-29,243.61
2025-05-30,242.84
2025-05-31,
2025-06-01,
2025-06-02,244.48
2025-06-03,246.46
2025-06-04,247.25
2025-06-05,245.2
2025-06-06,248.15
2025-06-07,
2025-06-08,
2025-06-09,248.95
2025-06-10,250.55
2025-06-11,249.3
2025-06-12,249.89
2025-06-13,246.67
2025-06-14,
2025-06-15,
2025-06-16,250.4
2025-06-17,248.12
2025-06-18,248.12
2025-06-19,
2025-06-20,248.44
2025-06-21,
2025-06-22,
2025-06-23,249.56
2025-06-24,253.15
2025-06-25,253.93
2025-06-26,256.4
2025-06-27,257.73
2025-06-28,
2025-06-29,
2025-06-30,258.97
2025-07-01,256.88
2025-07-02,259.31
2025-07-03,261.98
2025-07-04,
2025-07-05,
2025-07-06,
2025-07-07,259.59
2025-07-08,259.7
2025-07-09,262.16
2025-07-10,262.4
2025-07-11,261.83
2025-07-12,
2025-07-13,
2025-07-14,262.53
2025-07-15,263.01
2025-07-16,263.67
2025-07-17,265.65
2025-07-18,265.77
2025-07-19,
2025-07-20,
2025-07-21,266.78
2025-07-22,265.75
2025-07-23,267.37
2025-07-24,267.85
2025-07-25,268.49
2025-07-26,
2025-07-27,
2025-07-28,269.38
2025-07-29,268.37
2025-07-30,268.77
2025-07-31,268.68
2025-08-01,262.68
2025-08-02,
2025-08-03,
2025-08-04,267.81
2025-08-05,266.07
2025-08-06,269.29
2025-08-07,270.22
2025-08-08,272.87
2025-08-09,
2025-08-10,
2025-08-11,272.07
2025-08-12,275.86
2025-08-13,276.26
2025-08-14,276.23
2025-08-15,275.14
2025-08-16,
2025-08-17,
