Date,Close
2024-01-01,
2024-01-02,79.25
2024-01-03,78.51
2024-01-04,78.39
2024-01-05,78.24
2024-01-06,
2024-01-07,
2024-01-08,78.96
2024-01-09,78.81
2024-01-10,79.13
2024-01-11,79.06
2024-01-12,79.23
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,78.81
2024-01-17,78.64
2024-01-18,79.21
2024-01-19,79.67
2024-01-20,
2024-01-21,
2024-01-22,79.88
2024-01-23,80.29
2024-01-24,79.74
2024-01-25,80.32
2024-01-26,80.32
2024-01-27,
2024-01-28,
2024-01-29,80.85
2024-01-30,81.02
2024-01-31,80.2
2024-02-01,81.22
2024-02-02,81.42
2024-02-03,
2024-02-04,
2024-02-05,80.53
2024-02-06,80.95
2024-02-07,81.59
2024-02-08,81.66
2024-02-09,81.82
2024-02-10,
2024-02-11,
2024-02-12,81.84
2024-02-13,80.85
2024-02-14,81.39
2024-02-15,81.75
2024-02-16,81.64
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,81.68
2024-02-21,82.09
2024-02-22,82.97
2024-02-23,83.19
2024-02-24,
2024-02-25,
2024-02-26,82.78
2024-02-27,82.87
2024-02-28,82.93
2024-02-29,83.01
2024-03-01,83.35
2024-03-02,
2024-03-03,
2024-03-04,83.44
2024-03-05,82.93
2024-03-06,83.35
2024-03-07,83.93
2024-03-08,83.65
2024-03-09,
2024-03-10,
2024-03-11,83.91
2024-03-12,84.47
2024-03-13,84.5
2024-03-14,84.47
2024-03-15,84.08
2024-03-16,
2024-03-17,
2024-03-18,84.09
2024-03-19,84.69
2024-03-20,84.99
2024-03-21,85.17
2024-03-22,84.8
2024-03-23,
2024-03-24,
2024-03-25,84.23
2024-03-26,84.26
2024-03-27,85.26
2024-03-28,85.49
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,85.08
2024-04-02,84.38
2024-04-03,84.18
2024-04-04,83.43
2024-04-05,84.2
2024-04-06,
2024-04-07,
2024-04-08,84.12
2024-04-09,84.44
2024-04-10,83.44
2024-04-11,83.44
2024-04-12,82.35
2024-04-13,
2024-04-14,
2024-04-15,81.79
2024-04-16,81.76
2024-04-17,81.61
2024-04-18,81.47
2024-04-19,81.63
2024-04-20,
2024-04-21,
2024-04-22,82.16
