Date,Close
2020-01-01,
2020-01-02,13.38
2020-01-03,13.27
2020-01-04,
2020-01-05,
2020-01-06,13.32
2020-01-07,13.33
2020-01-08,13.48
2020-01-09,13.63
2020-01-10,13.61
2020-01-11,
2020-01-12,
2020-01-13,13.8
2020-01-14,13.72
2020-01-15,13.74
2020-01-16,13.91
2020-01-17,14.0
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,14.0
2020-01-22,14.0
2020-01-23,14.06
2020-01-24,13.97
2020-01-25,
2020-01-26,
2020-01-27,13.66
2020-01-28,13.93
2020-01-29,14.01
2020-01-30,14.1
2020-01-31,13.73
2020-02-01,
2020-02-02,
2020-02-03,13.93
2020-02-04,14.32
2020-02-05,14.3
2020-02-06,14.42
2020-02-07,14.35
2020-02-08,
2020-02-09,
2020-02-10,14.54
2020-02-11,14.49
2020-02-12,14.65
2020-02-13,14.66
2020-02-14,14.76
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,14.72
2020-02-19,14.89
2020-02-20,14.74
2020-02-21,14.39
2020-02-22,
2020-02-23,
2020-02-24,13.79
2020-02-25,13.38
2020-02-26,13.46
2020-02-27,12.82
2020-02-28,12.99
2020-02-29,
2020-03-01,
2020-03-02,13.64
2020-03-03,13.14
2020-03-04,13.68
2020-03-05,13.27
2020-03-06,12.96
2020-03-07,
2020-03-08,
2020-03-09,11.97
2020-03-10,12.71
2020-03-11,12.12
2020-03-12,10.93
2020-03-13,12.11
2020-03-14,
2020-03-15,
2020-03-16,10.44
2020-03-17,11.02
2020-03-18,10.44
2020-03-19,10.72
2020-03-20,10.33
2020-03-21,
2020-03-22,
2020-03-23,10.32
2020-03-24,11.34
2020-03-25,11.3
2020-03-26,11.9
2020-03-27,11.37
2020-03-28,
2020-03-29,
2020-03-30,11.84
2020-03-31,11.64
2020-04-01,11.06
2020-04-02,11.19
2020-04-03,10.99
2020-04-04,
2020-04-05,
2020-04-06,11.96
2020-04-07,11.87
2020-04-08,12.23
2020-04-09,12.26
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,12.33
2020-04-14,12.83
2020-04-15,12.63
2020-04-16,12.8
2020-04-17,12.96
2020-04-18,
2020-04-19,
2020-04-20,12.79
2020-04-21,12.3
2020-04-22,12.74
2020-04-23,12.67
2020-04-24,12.94
2020-04-25,
2020-04-26,
2020-04-27,13.04
2020-04-28,12.82
2020-04-29,13.39
2020-04-30,13.4
2020-05-01,12.99
2020-05-02,
2020-05-03,
2020-05-04,13.18
2020-05-05,13.39
2020-05-06,13.53
2020-05-07,13.85
2020-05-08,14.07
2020-05-09,
2020-05-10,
2020-05-11,14.18
2020-05-12,13.91
2020-05-13,13.72
2020-05-14,13.87
2020-05-15,13.93
2020-05-16,
2020-05-17,
2020-05-18,14.24
2020-05-19,14.21
2020-05-20,14.5
2020-05-21,14.34
2020-05-22,14.47
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,14.39
2020-05-27,14.44
2020-05-28,14.4
2020-05-29,14.58
2020-05-30,
2020-05-31,
2020-06-01,14.67
2020-06-02,14.77
2020-06-03,14.9
2020-06-04,14.74
2020-06-05,15.08
2020-06-06,
2020-06-07,
2020-06-08,15.15
2020-06-09,15.27
2020-06-10,15.53
2020-06-11,14.69
2020-06-12,14.9
2020-06-13,
2020-06-14,
2020-06-15,15.08
2020-06-16,15.42
2020-06-17,15.48
2020-06-18,15.58
2020-06-19,15.53
2020-06-20,
2020-06-21,
2020-06-22,15.84
2020-06-23,15.97
2020-06-24,15.58
2020-06-25,15.79
2020-06-26,15.42
2020-06-27,
2020-06-28,
2020-06-29,15.59
2020-06-30,15.9
2020-07-01,16.02
2020-07-02,16.08
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,16.4
2020-07-07,16.28
2020-07-08,16.61
2020-07-09,16.68
2020-07-10,16.68
2020-07-11,
2020-07-12,
2020-07-13,16.25
2020-07-14,16.37
2020-07-15,16.44
2020-07-16,16.25
