Date,Close
2020-01-01,
2020-01-02,17.19
2020-01-03,17.09
2020-01-04,
2020-01-05,
2020-01-06,17.1
2020-01-07,17.04
2020-01-08,17.12
2020-01-09,17.23
2020-01-10,17.18
2020-01-11,
2020-01-12,
2020-01-13,17.26
2020-01-14,17.29
2020-01-15,17.31
2020-01-16,17.42
2020-01-17,17.48
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,17.42
2020-01-22,17.44
2020-01-23,17.45
2020-01-24,17.28
2020-01-25,
2020-01-26,
2020-01-27,17.05
2020-01-28,17.19
2020-01-29,17.08
2020-01-30,17.15
2020-01-31,16.88
2020-02-01,
2020-02-02,
2020-02-03,16.96
2020-02-04,17.14
2020-02-05,17.45
2020-02-06,17.45
2020-02-07,17.33
2020-02-08,
2020-02-09,
2020-02-10,17.39
2020-02-11,17.48
2020-02-12,17.53
2020-02-13,17.52
2020-02-14,17.5
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,17.41
2020-02-19,17.47
2020-02-20,17.46
2020-02-21,17.35
2020-02-22,
2020-02-23,
2020-02-24,16.84
2020-02-25,16.36
2020-02-26,16.16
2020-02-27,15.48
2020-02-28,15.18
2020-02-29,
2020-03-01,
2020-03-02,15.84
2020-03-03,15.48
2020-03-04,16.1
2020-03-05,15.56
2020-03-06,15.28
2020-03-07,
2020-03-08,
2020-03-09,13.99
2020-03-10,14.58
2020-03-11,13.8
2020-03-12,12.4
2020-03-13,13.46
2020-03-14,
2020-03-15,
2020-03-16,11.89
2020-03-17,12.53
2020-03-18,11.59
2020-03-19,11.69
2020-03-20,11.24
2020-03-21,
2020-03-22,
2020-03-23,10.76
2020-03-24,11.79
2020-03-25,12.1
2020-03-26,12.9
2020-03-27,12.57
2020-03-28,
2020-03-29,
2020-03-30,12.9
2020-03-31,12.66
2020-04-01,12.03
2020-04-02,12.3
2020-04-03,12.15
2020-04-04,
2020-04-05,
2020-04-06,13.0
2020-04-07,13.14
2020-04-08,13.71
2020-04-09,14.03
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,13.7
2020-04-14,14.05
2020-04-15,13.61
2020-04-16,13.58
2020-04-17,14.13
2020-04-18,
2020-04-19,
2020-04-20,13.88
2020-04-21,13.51
2020-04-22,13.7
2020-04-23,13.78
2020-04-24,13.89
2020-04-25,
2020-04-26,
2020-04-27,14.23
2020-04-28,14.35
2020-04-29,14.72
2020-04-30,14.39
2020-05-01,13.93
2020-05-02,
2020-05-03,
2020-05-04,13.94
2020-05-05,13.96
2020-05-06,13.72
2020-05-07,13.96
2020-05-08,14.27
2020-05-09,
2020-05-10,
2020-05-11,14.13
2020-05-12,13.78
2020-05-13,13.46
2020-05-14,13.62
2020-05-15,13.64
2020-05-16,
2020-05-17,
2020-05-18,14.27
2020-05-19,13.97
2020-05-20,14.21
2020-05-21,14.18
2020-05-22,14.18
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,14.54
2020-05-27,14.92
2020-05-28,14.84
2020-05-29,14.77
2020-05-30,
2020-05-31,
2020-06-01,14.9
2020-06-02,15.08
2020-06-03,15.44
2020-06-04,15.52
2020-06-05,16.04
2020-06-06,
2020-06-07,
2020-06-08,16.49
2020-06-09,16.09
2020-06-10,15.73
2020-06-11,14.73
2020-06-12,14.98
2020-06-13,
2020-06-14,
2020-06-15,15.11
2020-06-16,15.41
2020-06-17,15.27
2020-06-18,15.27
2020-06-19,15.17
2020-06-20,
2020-06-21,
2020-06-22,15.13
2020-06-23,15.13
2020-06-24,14.67
2020-06-25,14.84
2020-06-26,14.54
2020-06-27,
2020-06-28,
2020-06-29,14.82
2020-06-30,15.02
2020-07-01,14.96
2020-07-02,15.05
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,15.19
2020-07-07,14.97
2020-07-08,15.03
2020-07-09,14.79
2020-07-10,15.03
2020-07-11,
2020-07-12,
2020-07-13,15.02
2020-07-14,15.27
2020-07-15,15.5
2020-07-16,15.53
2020-07-17,15.59
2020-07-18,
2020-07-19,
2020-07-20,15.49
2020-07-21,15.65
2020-07-22,15.73
2020-07-23,15.7
2020-07-24,15.55
2020-07-25,
2020-07-26,
2020-07-27,15.6
2020-07-28,15.54
2020-07-29,15.74
2020-07-30,15.63
2020-07-31,15.64
2020-08-01,
2020-08-02,
2020-08-03,15.74
2020-08-04,15.77
2020-08-05,15.87
2020-08-06,15.85
2020-08-07,16.11
2020-08-08,
2020-08-09,
2020-08-10,16.23
2020-08-11,16.22
2020-08-12,16.33
2020-08-13,16.23
2020-08-14,16.27
2020-08-15,
2020-08-16,
2020-08-17,16.25
2020-08-18,16.2
2020-08-19,16.13
2020-08-20,16.06
2020-08-21,16.04
2020-08-22,
2020-08-23,
2020-08-24,16.26
2020-08-25,16.26
2020-08-26,16.2
2020-08-27,16.26
2020-08-28,16.34
2020-08-29,
2020-08-30,
2020-08-31,16.21
2020-09-01,16.23
2020-09-02,16.53
2020-09-03,16.15
2020-09-04,16.1
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,15.75
2020-09-09,15.96
2020-09-10,15.7
2020-09-11,15.79
2020-09-12,
2020-09-13,
2020-09-14,16.0
2020-09-15,15.97
2020-09-16,16.07
2020-09-17,16.02
2020-09-18,15.93
2020-09-19,
2020-09-20,
2020-09-21,15.59
2020-09-22,15.62
2020-09-23,15.3
2020-09-24,15.34
2020-09-25,15.5
2020-09-26,
2020-09-27,
2020-09-28,15.75
2020-09-29,15.62
2020-09-30,15.73
2020-10-01,15.73
2020-10-02,15.76
2020-10-03,
2020-10-04,
2020-10-05,16.04
2020-10-06,15.88
2020-10-07,16.17
2020-10-08,16.4
2020-10-09,16.42
2020-10-10,
2020-10-11,
2020-10-12,16.53
2020-10-13,16.38
2020-10-14,16.32
2020-10-15,16.39
2020-10-16,16.41
2020-10-17,
2020-10-18,
2020-10-19,16.16
2020-10-20,16.22
2020-10-21,16.18
2020-10-22,16.3
2020-10-23,16.33
