Date,Close
2020-01-01,
2020-01-02,73.98
2020-01-03,73.95
2020-01-04,
2020-01-05,
2020-01-06,74.14
2020-01-07,74.14
2020-01-08,74.16
2020-01-09,74.43
2020-01-10,74.52
2020-01-11,
2020-01-12,
2020-01-13,74.86
2020-01-14,75.04
2020-01-15,76.16
2020-01-16,76.63
2020-01-17,77.16
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,77.64
2020-01-22,77.53
2020-01-23,78.24
2020-01-24,78.17
2020-01-25,
2020-01-26,
2020-01-27,77.67
2020-01-28,78.13
2020-01-29,78.42
2020-01-30,79.05
2020-01-31,78.66
2020-02-01,
2020-02-02,
2020-02-03,79.13
2020-02-04,78.34
2020-02-05,78.7
2020-02-06,78.69
2020-02-07,78.55
2020-02-08,
2020-02-09,
2020-02-10,78.76
2020-02-11,79.33
2020-02-12,79.36
2020-02-13,79.98
2020-02-14,80.51
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,81.06
2020-02-19,80.49
2020-02-20,80.67
2020-02-21,80.46
2020-02-22,
2020-02-23,
2020-02-24,79.4
2020-02-25,77.5
2020-02-26,76.62
2020-02-27,73.59
2020-02-28,71.04
2020-02-29,
2020-03-01,
2020-03-02,74.71
2020-03-03,73.55
2020-03-04,77.29
2020-03-05,75.77
2020-03-06,74.88
2020-03-07,
2020-03-08,
2020-03-09,69.51
2020-03-10,71.11
2020-03-11,67.13
2020-03-12,59.6
2020-03-13,62.66
2020-03-14,
2020-03-15,
2020-03-16,54.35
2020-03-17,61.81
2020-03-18,58.86
2020-03-19,56.67
2020-03-20,53.44
2020-03-21,
2020-03-22,
2020-03-23,50.57
2020-03-24,56.18
2020-03-25,57.9
2020-03-26,62.65
2020-03-27,62.29
2020-03-28,
2020-03-29,
2020-03-30,64.21
2020-03-31,61.58
2020-04-01,57.73
2020-04-02,59.25
2020-04-03,57.13
2020-04-04,
2020-04-05,
2020-04-06,61.93
2020-04-07,61.42
2020-04-08,65.16
2020-04-09,67.96
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,65.8
2020-04-14,67.36
2020-04-15,64.72
2020-04-16,64.59
2020-04-17,66.99
2020-04-18,
2020-04-19,
2020-04-20,64.69
2020-04-21,63.45
2020-04-22,65.45
2020-04-23,64.42
2020-04-24,64.95
2020-04-25,
2020-04-26,
2020-04-27,66.05
2020-04-28,66.34
2020-04-29,66.04
2020-04-30,64.51
2020-05-01,62.73
2020-05-02,
2020-05-03,
2020-05-04,63.17
2020-05-05,63.91
2020-05-06,62.07
2020-05-07,62.48
2020-05-08,64.17
2020-05-09,
2020-05-10,
2020-05-11,63.83
2020-05-12,63.28
2020-05-13,62.53
2020-05-14,63.3
2020-05-15,62.43
2020-05-16,
2020-05-17,
2020-05-18,65.21
2020-05-19,64.28
2020-05-20,64.52
2020-05-21,63.89
2020-05-22,64.68
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,65.12
2020-05-27,65.79
2020-05-28,67.46
2020-05-29,67.5
2020-05-30,
2020-05-31,
2020-06-01,68.52
2020-06-02,68.9
2020-06-03,69.77
2020-06-04,68.6
2020-06-05,69.8
2020-06-06,
2020-06-07,
2020-06-08,71.93
2020-06-09,70.11
2020-06-10,69.6
2020-06-11,66.48
2020-06-12,66.43
2020-06-13,
2020-06-14,
2020-06-15,67.01
2020-06-16,67.67
2020-06-17,67.34
2020-06-18,67.35
2020-06-19,65.32
2020-06-20,
2020-06-21,
2020-06-22,66.27
2020-06-23,65.53
2020-06-24,64.8
2020-06-25,64.22
2020-06-26,63.27
2020-06-27,
2020-06-28,
2020-06-29,64.65
2020-06-30,64.81
2020-07-01,65.97
2020-07-02,66.33
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,65.44
2020-07-07,65.0
2020-07-08,65.57
2020-07-09,64.58
2020-07-10,65.83
2020-07-11,
2020-07-12,
2020-07-13,65.89
2020-07-14,66.66
2020-07-15,66.5
2020-07-16,67.13
2020-07-17,68.61
2020-07-18,
2020-07-19,
2020-07-20,67.51
2020-07-21,67.63
2020-07-22,68.18
2020-07-23,68.34
2020-07-24,67.97
2020-07-25,
2020-07-26,
2020-07-27,67.06
2020-07-28,67.92
2020-07-29,68.2
2020-07-30,68.19
2020-07-31,68.37
2020-08-01,
2020-08-02,
2020-08-03,67.56
2020-08-04,67.85
2020-08-05,66.93
2020-08-06,67.82
2020-08-07,68.96
2020-08-08,
2020-08-09,
2020-08-10,69.02
2020-08-11,67.79
2020-08-12,68.6
2020-08-13,68.57
2020-08-14,67.99
2020-08-15,
2020-08-16,
2020-08-17,67.67
2020-08-18,67.49
2020-08-19,67.26
2020-08-20,66.55
2020-08-21,66.6
2020-08-22,
2020-08-23,
2020-08-24,67.26
2020-08-25,66.72
2020-08-26,65.9
2020-08-27,66.4
2020-08-28,66.56
2020-08-29,
2020-08-30,
2020-08-31,66.74
2020-09-01,66.02
2020-09-02,67.73
2020-09-03,66.83
2020-09-04,66.27
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,65.79
2020-09-09,66.49
2020-09-10,65.41
