Date,Close
2024-01-01,
2024-01-02,38.38
2024-01-03,37.57
2024-01-04,37.66
2024-01-05,37.64
2024-01-06,
2024-01-07,
2024-01-08,38.22
2024-01-09,38.05
2024-01-10,38.1
2024-01-11,38.07
2024-01-12,38.0
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,37.78
2024-01-17,37.73
2024-01-18,38.14
2024-01-19,38.55
2024-01-20,
2024-01-21,
2024-01-22,39.16
2024-01-23,38.73
2024-01-24,38.52
2024-01-25,38.64
2024-01-26,38.79
2024-01-27,
2024-01-28,
2024-01-29,39.19
2024-01-30,39.23
2024-01-31,38.35
2024-02-01,38.59
2024-02-02,38.62
2024-02-03,
2024-02-04,
2024-02-05,38.11
2024-02-06,38.2
2024-02-07,38.3
2024-02-08,38.94
2024-02-09,39.33
2024-02-10,
2024-02-11,
2024-02-12,39.73
2024-02-13,38.81
2024-02-14,39.48
2024-02-15,40.07
2024-02-16,39.78
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,39.52
2024-02-21,39.55
2024-02-22,40.05
2024-02-23,40.54
2024-02-24,
2024-02-25,
2024-02-26,40.7
2024-02-27,40.98
2024-02-28,40.83
2024-02-29,41.08
2024-03-01,41.32
2024-03-02,
2024-03-03,
2024-03-04,41.41
2024-03-05,41.27
2024-03-06,41.37
2024-03-07,41.66
2024-03-08,41.52
2024-03-09,
2024-03-10,
2024-03-11,41.14
2024-03-12,41.26
2024-03-13,41.37
2024-03-14,40.99
2024-03-15,41.04
2024-03-16,
2024-03-17,
2024-03-18,40.93
2024-03-19,41.29
2024-03-20,41.71
2024-03-21,42.2
2024-03-22,41.94
2024-03-23,
2024-03-24,
2024-03-25,41.92
2024-03-26,41.91
2024-03-27,42.52
2024-03-28,42.68
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,42.39
2024-04-02,41.76
2024-04-03,41.99
2024-04-04,41.53
2024-04-05,41.86
2024-04-06,
2024-04-07,
2024-04-08,41.9
2024-04-09,41.73
2024-04-10,40.9
2024-04-11,41.05
2024-04-12,40.57
2024-04-13,
2024-04-14,
2024-04-15,40.27
2024-04-16,40.07
2024-04-17,39.8
2024-04-18,39.65
2024-04-19,39.78
2024-04-20,
2024-04-21,
2024-04-22,40.13
2024-04-23,40.85
2024-04-24,40.84
2024-04-25,40.72
2024-04-26,40.8
2024-04-27,
2024-04-28,
2024-04-29,41.14
2024-04-30,40.33
2024-05-01,40.4
2024-05-02,40.77
2024-05-03,41.04
2024-05-04,
2024-05-05,
2024-05-06,41.53
2024-05-07,41.69
2024-05-08,41.72
2024-05-09,42.17
2024-05-10,42.13
2024-05-11,
2024-05-12,
2024-05-13,42.0
2024-05-14,42.29
2024-05-15,42.69
2024-05-16,42.17
2024-05-17,42.13
2024-05-18,
2024-05-19,
2024-05-20,42.24
2024-05-21,42.26
2024-05-22,42.02
2024-05-23,41.75
2024-05-24,42.15
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,41.81
2024-05-29,41.24
2024-05-30,41.62
2024-05-31,41.95
2024-06-01,
2024-06-02,
2024-06-03,41.43
2024-06-04,40.86
2024-06-05,41.33
2024-06-06,41.06
2024-06-07,40.82
2024-06-08,
2024-06-09,
2024-06-10,40.84
2024-06-11,40.58
2024-06-12,41.21
2024-06-13,41.03
2024-06-14,40.43
2024-06-15,
2024-06-16,
2024-06-17,40.89
2024-06-18,40.99
2024-06-19,
2024-06-20,40.81
2024-06-21,40.85
2024-06-22,
2024-06-23,
2024-06-24,41.05
2024-06-25,40.76
2024-06-26,40.65
2024-06-27,40.77
2024-06-28,40.98
2024-06-29,
2024-06-30,
2024-07-01,40.62
2024-07-02,40.67
2024-07-03,40.77
2024-07-04,
2024-07-05,40.32
2024-07-06,
2024-07-07,
2024-07-08,40.39
2024-07-09,40.2
2024-07-10,40.71
2024-07-11,41.77
2024-07-12,42.06
2024-07-13,
2024-07-14,
2024-07-15,42.64
2024-07-16,43.94
2024-07-17,43.39
2024-07-18,43.07
2024-07-19,42.93
2024-07-20,
2024-07-21,
2024-07-22,43.55
2024-07-23,43.67
2024-07-24,42.75
2024-07-25,43.03
2024-07-26,43.86
2024-07-27,
2024-07-28,
2024-07-29,43.79
2024-07-30,43.98
2024-07-31,44.35
2024-08-01,43.24
2024-08-02,41.97
2024-08-03,
2024-08-04,
