Date,Close
2020-01-01,
2020-01-02,48.45
2020-01-03,48.25
2020-01-04,
2020-01-05,
2020-01-06,48.0
2020-01-07,48.16
2020-01-08,48.11
2020-01-09,48.72
2020-01-10,48.73
2020-01-11,
2020-01-12,
2020-01-13,49.23
2020-01-14,48.94
2020-01-15,48.73
2020-01-16,48.89
2020-01-17,49.22
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,48.84
2020-01-22,48.52
2020-01-23,48.48
2020-01-24,48.05
2020-01-25,
2020-01-26,
2020-01-27,46.62
2020-01-28,46.88
2020-01-29,47.05
2020-01-30,47.61
2020-01-31,46.81
2020-02-01,
2020-02-02,
2020-02-03,46.72
2020-02-04,47.79
2020-02-05,48.46
2020-02-06,48.63
2020-02-07,49.37
2020-02-08,
2020-02-09,
2020-02-10,49.57
2020-02-11,49.61
2020-02-12,49.36
2020-02-13,48.26
2020-02-14,48.61
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,48.51
2020-02-19,48.02
2020-02-20,47.98
2020-02-21,47.36
2020-02-22,
2020-02-23,
2020-02-24,45.33
2020-02-25,43.91
2020-02-26,44.2
2020-02-27,43.96
2020-02-28,43.25
2020-02-29,
2020-03-01,
2020-03-02,44.18
2020-03-03,43.39
2020-03-04,45.07
2020-03-05,42.63
2020-03-06,41.78
2020-03-07,
2020-03-08,
2020-03-09,38.84
2020-03-10,39.06
2020-03-11,37.17
2020-03-12,34.85
2020-03-13,37.35
2020-03-14,
2020-03-15,
2020-03-16,32.42
2020-03-17,32.93
2020-03-18,28.18
2020-03-19,28.8
2020-03-20,28.51
2020-03-21,
2020-03-22,
2020-03-23,26.27
2020-03-24,31.22
2020-03-25,31.2
2020-03-26,32.31
2020-03-27,31.05
2020-03-28,
2020-03-29,
2020-03-30,32.58
2020-03-31,34.52
2020-04-01,34.38
2020-04-02,35.02
2020-04-03,33.95
2020-04-04,
2020-04-05,
2020-04-06,35.8
2020-04-07,36.55
2020-04-08,37.92
2020-04-09,38.17
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,37.16
2020-04-14,38.15
2020-04-15,35.95
2020-04-16,35.51
2020-04-17,37.75
2020-04-18,
2020-04-19,
2020-04-20,36.71
2020-04-21,34.92
2020-04-22,36.11
2020-04-23,36.65
2020-04-24,37.74
2020-04-25,
2020-04-26,
2020-04-27,40.01
2020-04-28,40.47
2020-04-29,40.99
2020-04-30,40.02
2020-05-01,37.99
2020-05-02,
2020-05-03,
2020-05-04,38.15
2020-05-05,36.48
2020-05-06,36.13
2020-05-07,36.23
2020-05-08,37.07
2020-05-09,
2020-05-10,
2020-05-11,36.79
2020-05-12,35.12
2020-05-13,34.06
2020-05-14,34.87
2020-05-15,34.55
2020-05-16,
2020-05-17,
2020-05-18,37.02
2020-05-19,36.97
2020-05-20,36.96
2020-05-21,36.45
2020-05-22,36.6
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,38.38
2020-05-27,39.81
2020-05-28,38.53
2020-05-29,38.18
2020-05-30,
2020-05-31,
2020-06-01,38.92
2020-06-02,40.09
2020-06-03,42.0
2020-06-04,42.24
2020-06-05,44.21
2020-06-06,
2020-06-07,
2020-06-08,44.06
2020-06-09,43.56
2020-06-10,41.86
2020-06-11,39.35
2020-06-12,39.85
2020-06-13,
2020-06-14,
2020-06-15,40.31
2020-06-16,42.45
2020-06-17,42.51
2020-06-18,42.69
2020-06-19,42.48
2020-06-20,
2020-06-21,
2020-06-22,42.82
2020-06-23,42.75
2020-06-24,41.33
2020-06-25,42.36
2020-06-26,41.55
2020-06-27,
2020-06-28,
2020-06-29,42.52
2020-06-30,42.36
2020-07-01,42.24
2020-07-02,42.67
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,43.29
2020-07-07,42.61
