Date,Close
2020-01-01,
2020-01-02,21.07
2020-01-03,20.96
2020-01-04,
2020-01-05,
2020-01-06,20.95
2020-01-07,20.84
2020-01-08,20.86
2020-01-09,20.9
2020-01-10,20.85
2020-01-11,
2020-01-12,
2020-01-13,20.99
2020-01-14,21.06
2020-01-15,21.09
2020-01-16,21.29
2020-01-17,21.33
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,21.25
2020-01-22,21.25
2020-01-23,21.33
2020-01-24,21.09
2020-01-25,
2020-01-26,
2020-01-27,20.88
2020-01-28,21.02
2020-01-29,20.94
2020-01-30,20.95
2020-01-31,20.57
2020-02-01,
2020-02-02,
2020-02-03,20.69
2020-02-04,20.81
2020-02-05,21.19
2020-02-06,21.0
2020-02-07,20.85
2020-02-08,
2020-02-09,
2020-02-10,20.91
2020-02-11,21.08
2020-02-12,21.18
2020-02-13,21.23
2020-02-14,21.25
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,21.22
2020-02-19,21.19
2020-02-20,21.23
2020-02-21,21.17
2020-02-22,
2020-02-23,
2020-02-24,20.61
2020-02-25,19.92
2020-02-26,19.7
2020-02-27,18.89
2020-02-28,18.58
2020-02-29,
2020-03-01,
2020-03-02,19.24
2020-03-03,18.71
2020-03-04,19.35
2020-03-05,18.67
2020-03-06,18.25
2020-03-07,
2020-03-08,
2020-03-09,16.6
2020-03-10,17.35
2020-03-11,16.33
2020-03-12,14.7
2020-03-13,15.79
2020-03-14,
2020-03-15,
2020-03-16,13.67
2020-03-17,14.36
2020-03-18,13.05
2020-03-19,13.39
2020-03-20,12.84
2020-03-21,
2020-03-22,
2020-03-23,12.2
2020-03-24,13.61
2020-03-25,14.04
2020-03-26,14.87
2020-03-27,14.36
2020-03-28,
2020-03-29,
2020-03-30,14.56
2020-03-31,14.26
2020-04-01,13.53
2020-04-02,13.67
2020-04-03,13.25
2020-04-04,
2020-04-05,
2020-04-06,14.35
2020-04-07,14.61
2020-04-08,15.29
2020-04-09,15.83
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,15.33
2020-04-14,15.52
2020-04-15,14.86
2020-04-16,14.69
2020-04-17,15.43
2020-04-18,
2020-04-19,
2020-04-20,15.07
2020-04-21,14.68
2020-04-22,14.85
2020-04-23,14.98
2020-04-24,15.14
2020-04-25,
2020-04-26,
2020-04-27,15.8
2020-04-28,16.17
2020-04-29,16.79
2020-04-30,16.31
2020-05-01,15.75
2020-05-02,
2020-05-03,
2020-05-04,15.7
2020-05-05,15.64
2020-05-06,15.35
2020-05-07,15.63
2020-05-08,16.17
2020-05-09,
2020-05-10,
2020-05-11,15.82
2020-05-12,15.38
2020-05-13,14.8
2020-05-14,15.13
2020-05-15,15.12
2020-05-16,
2020-05-17,
2020-05-18,16.05
2020-05-19,15.8
2020-05-20,16.11
2020-05-21,16.09
2020-05-22,16.06
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,16.79
2020-05-27,17.34
2020-05-28,17.16
2020-05-29,16.95
2020-05-30,
2020-05-31,
2020-06-01,17.15
2020-06-02,17.4
2020-06-03,17.97
2020-06-04,18.13
2020-06-05,18.83
2020-06-06,
2020-06-07,
2020-06-08,19.34
2020-06-09,18.82
2020-06-10,18.13
2020-06-11,16.87
2020-06-12,17.25
2020-06-13,
2020-06-14,
2020-06-15,17.48
2020-06-16,17.85
2020-06-17,17.55
2020-06-18,17.51
2020-06-19,17.26
2020-06-20,
2020-06-21,
2020-06-22,17.26
2020-06-23,17.25
2020-06-24,16.63
2020-06-25,16.89
2020-06-26,16.49
2020-06-27,
2020-06-28,
2020-06-29,16.92
2020-06-30,17.13
2020-07-01,16.96
2020-07-02,17.08
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,17.19
2020-07-07,16.8
2020-07-08,16.83
2020-07-09,16.42
2020-07-10,16.76
2020-07-11,
2020-07-12,
2020-07-13,16.78
2020-07-14,17.02
2020-07-15,17.49
2020-07-16,17.51
2020-07-17,17.48
2020-07-18,
2020-07-19,
2020-07-20,17.32
2020-07-21,17.6
2020-07-22,17.72
2020-07-23,17.83
2020-07-24,17.71
2020-07-25,
2020-07-26,
2020-07-27,17.73
2020-07-28,17.59
2020-07-29,18.03
2020-07-30,17.85
2020-07-31,17.76
2020-08-01,
2020-08-02,
2020-08-03,17.86
2020-08-04,17.92
2020-08-05,18.11
2020-08-06,18.19
2020-08-07,18.48
2020-08-08,
2020-08-09,
2020-08-10,18.69
2020-08-11,18.78
2020-08-12,18.74
2020-08-13,18.57
2020-08-14,18.68
2020-08-15,
2020-08-16,
2020-08-17,18.53
2020-08-18,18.31
2020-08-19,18.24
2020-08-20,18.1
2020-08-21,18.05
2020-08-22,
2020-08-23,
2020-08-24,18.49
2020-08-25,18.44
2020-08-26,18.3
2020-08-27,18.49
2020-08-28,18.65
2020-08-29,
2020-08-30,
2020-08-31,18.37
2020-09-01,18.47
2020-09-02,18.8
2020-09-03,18.46
2020-09-04,18.54
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,18.11
2020-09-09,18.28
2020-09-10,18.03
2020-09-11,18.12
2020-09-12,
2020-09-13,
2020-09-14,18.49
2020-09-15,18.46
2020-09-16,18.65
2020-09-17,18.58
2020-09-18,18.3
2020-09-19,
2020-09-20,
2020-09-21,17.69
2020-09-22,17.67
2020-09-23,17.25
2020-09-24,17.28
2020-09-25,17.53
2020-09-26,
2020-09-27,
2020-09-28,17.86
2020-09-29,17.68
2020-09-30,17.79
2020-10-01,17.86
2020-10-02,18.14
2020-10-03,
2020-10-04,
2020-10-05,18.51
2020-10-06,18.37
2020-10-07,18.68
2020-10-08,18.97
2020-10-09,18.87
2020-10-10,
2020-10-11,
2020-10-12,18.95
2020-10-13,18.69
2020-10-14,18.67
2020-10-15,18.86
2020-10-16,18.89
2020-10-17,
2020-10-18,
2020-10-19,18.7
2020-10-20,18.84
2020-10-21,18.81
2020-10-22,19.17
2020-10-23,19.31
2020-10-24,
2020-10-25,
2020-10-26,18.8
2020-10-27,18.43
2020-10-28,17.88
2020-10-29,18.1
2020-10-30,18.11
2020-10-31,
2020-11-01,
2020-11-02,18.6
2020-11-03,19.05
2020-11-04,18.71
2020-11-05,19.22
2020-11-06,19.08
2020-11-07,
2020-11-08,
2020-11-09,20.37
2020-11-10,20.63
2020-11-11,20.45
2020-11-12,20.04
2020-11-13,20.57
2020-11-14,
2020-11-15,
2020-11-16,21.21
2020-11-17,21.18
2020-11-18,20.96
2020-11-19,21.09
2020-11-20,21.0
2020-11-21,
2020-11-22,
2020-11-23,21.32
2020-11-24,21.93
2020-11-25,21.7
2020-11-26,
2020-11-27,21.56
2020-11-28,
2020-11-29,
2020-11-30,21.08
2020-12-01,21.48
2020-12-02,21.55
2020-12-03,21.64
2020-12-04,22.11
2020-12-05,
2020-12-06,
2020-12-07,21.92
2020-12-08,21.92
2020-12-09,21.99
2020-12-10,22.03
2020-12-11,21.86
2020-12-12,
2020-12-13,
2020-12-14,21.71
2020-12-15,22.13
2020-12-16,22.04
2020-12-17,22.17
2020-12-18,21.99
2020-12-19,
2020-12-20,
2020-12-21,21.93
2020-12-22,21.83
2020-12-23,22.12
2020-12-24,22.16
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,22.2
2020-12-29,22.05
2020-12-30,22.25
2020-12-31,22.39
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,22.04
2021-01-05,22.32
2021-01-06,23.19
2021-01-07,23.35
2021-01-08,23.27
2021-01-09,
2021-01-10,
2021-01-11,23.33
2021-01-12,23.65
2021-01-13,23.47
2021-01-14,23.59
2021-01-15,23.36
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,23.42
2021-01-20,23.53
2021-01-21,23.32
2021-01-22,23.22
2021-01-23,
2021-01-24,
2021-01-25,23.11
2021-01-26,22.87
2021-01-27,22.3
2021-01-28,22.63
2021-01-29,22.2
2021-01-30,
2021-01-31,
2021-02-01,22.5
2021-02-02,22.88
2021-02-03,23.08
2021-02-04,23.37
2021-02-05,23.46
2021-02-06,
2021-02-07,
2021-02-08,23.78
2021-02-09,23.9
2021-02-10,24.01
2021-02-11,23.93
2021-02-12,24.07
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,24.16
2021-02-17,24.16
2021-02-18,23.96
2021-02-19,24.32
2021-02-20,
2021-02-21,
2021-02-22,24.44
2021-02-23,24.59
2021-02-24,24.92
2021-02-25,24.34
2021-02-26,24.09
2021-02-27,
2021-02-28,
2021-03-01,24.72
2021-03-02,24.61
2021-03-03,24.79
2021-03-04,24.56
2021-03-05,25.24
2021-03-06,
2021-03-07,
2021-03-08,25.65
2021-03-09,25.4
2021-03-10,25.8
2021-03-11,25.82
2021-03-12,26.05
2021-03-13,
2021-03-14,
2021-03-15,26.18
2021-03-16,25.88
2021-03-17,26.0
2021-03-18,25.87
2021-03-19,25.72
2021-03-20,
2021-03-21,
2021-03-22,25.65
2021-03-23,25.17
2021-03-24,25.23
2021-03-25,25.77
2021-03-26,26.17
2021-03-27,
2021-03-28,
2021-03-29,25.94
2021-03-30,26.12
2021-03-31,25.89
2021-04-01,26.13
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,26.31
2021-04-06,26.35
2021-04-07,26.29
2021-04-08,26.22
2021-04-09,26.42
2021-04-10,
2021-04-11,
2021-04-12,26.58
2021-04-13,26.38
2021-04-14,26.54
2021-04-15,26.68
2021-04-16,26.86
2021-04-17,
2021-04-18,
2021-04-19,26.77
2021-04-20,26.54
2021-04-21,26.88
2021-04-22,26.62
2021-04-23,26.97
2021-04-24,
2021-04-25,
2021-04-26,27.04
2021-04-27,27.1
2021-04-28,27.2
2021-04-29,27.53
2021-04-30,27.37
2021-05-01,
2021-05-02,
2021-05-03,27.64
2021-05-04,27.82
2021-05-05,27.86
2021-05-06,28.06
2021-05-07,28.35
2021-05-08,
2021-05-09,
2021-05-10,28.29
2021-05-11,27.99
2021-05-12,27.34
2021-05-13,27.89
2021-05-14,28.3
2021-05-15,
2021-05-16,
2021-05-17,28.34
2021-05-18,27.97
2021-05-19,27.74
2021-05-20,27.78
2021-05-21,27.87
2021-05-22,
2021-05-23,
2021-05-24,27.92
2021-05-25,27.66
2021-05-26,27.78
2021-05-27,27.98
2021-05-28,27.99
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,28.3
