Date,Close
2020-01-01,
2020-01-02,28.21
2020-01-03,28.2
2020-01-04,
2020-01-05,
2020-01-06,28.27
2020-01-07,28.25
2020-01-08,28.27
2020-01-09,28.37
2020-01-10,28.4
2020-01-11,
2020-01-12,
2020-01-13,28.53
2020-01-14,28.6
2020-01-15,29.03
2020-01-16,29.2
2020-01-17,29.4
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,29.59
2020-01-22,29.55
2020-01-23,29.83
2020-01-24,29.8
2020-01-25,
2020-01-26,
2020-01-27,29.62
2020-01-28,29.8
2020-01-29,29.9
2020-01-30,30.12
2020-01-31,29.97
2020-02-01,
2020-02-02,
2020-02-03,30.16
2020-02-04,29.85
2020-02-05,29.98
2020-02-06,29.97
2020-02-07,29.91
2020-02-08,
2020-02-09,
2020-02-10,29.98
2020-02-11,30.19
2020-02-12,30.21
2020-02-13,30.43
2020-02-14,30.62
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,30.84
2020-02-19,30.62
2020-02-20,30.7
2020-02-21,30.62
2020-02-22,
2020-02-23,
2020-02-24,30.21
2020-02-25,29.48
2020-02-26,29.12
2020-02-27,27.94
2020-02-28,26.97
2020-02-29,
2020-03-01,
2020-03-02,28.34
2020-03-03,27.91
2020-03-04,29.36
2020-03-05,28.77
2020-03-06,28.43
2020-03-07,
2020-03-08,
2020-03-09,26.39
2020-03-10,26.96
2020-03-11,25.45
2020-03-12,22.57
2020-03-13,23.73
2020-03-14,
2020-03-15,
2020-03-16,20.62
2020-03-17,23.39
2020-03-18,22.27
2020-03-19,21.44
2020-03-20,20.2
2020-03-21,
2020-03-22,
2020-03-23,19.1
2020-03-24,21.24
2020-03-25,21.89
2020-03-26,23.7
2020-03-27,23.56
2020-03-28,
2020-03-29,
2020-03-30,24.28
2020-03-31,23.28
2020-04-01,21.83
2020-04-02,22.4
2020-04-03,21.6
2020-04-04,
2020-04-05,
2020-04-06,23.41
2020-04-07,23.21
2020-04-08,24.57
2020-04-09,25.62
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,24.82
2020-04-14,25.4
2020-04-15,24.42
2020-04-16,24.36
2020-04-17,25.27
2020-04-18,
2020-04-19,
2020-04-20,24.42
2020-04-21,23.93
2020-04-22,24.67
2020-04-23,24.29
2020-04-24,24.5
2020-04-25,
2020-04-26,
2020-04-27,24.92
2020-04-28,25.03
2020-04-29,24.92
2020-04-30,24.35
2020-05-01,23.71
2020-05-02,
2020-05-03,
2020-05-04,23.86
2020-05-05,24.13
2020-05-06,23.45
2020-05-07,23.61
2020-05-08,24.23
2020-05-09,
2020-05-10,
2020-05-11,24.1
2020-05-12,23.89
2020-05-13,23.61
2020-05-14,23.9
2020-05-15,23.58
2020-05-16,
2020-05-17,
2020-05-18,24.61
2020-05-19,24.27
2020-05-20,24.35
2020-05-21,24.12
2020-05-22,24.42
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,24.57
2020-05-27,24.83
2020-05-28,25.45
2020-05-29,25.47
2020-05-30,
2020-05-31,
2020-06-01,25.84
2020-06-02,25.99
2020-06-03,26.31
2020-06-04,25.88
2020-06-05,26.33
2020-06-06,
2020-06-07,
2020-06-08,27.12
2020-06-09,26.43
2020-06-10,26.24
2020-06-11,25.06
2020-06-12,25.04
2020-06-13,
2020-06-14,
2020-06-15,25.26
2020-06-16,25.5
2020-06-17,25.38
2020-06-18,25.38
2020-06-19,24.61
2020-06-20,
2020-06-21,
2020-06-22,24.96
2020-06-23,24.68
2020-06-24,24.41
