Date,Close
2020-01-01,
2020-01-02,10.51
2020-01-03,10.46
2020-01-04,
2020-01-05,
2020-01-06,10.47
2020-01-07,10.47
2020-01-08,10.49
2020-01-09,10.54
2020-01-10,10.53
2020-01-11,
2020-01-12,
2020-01-13,10.58
2020-01-14,10.58
2020-01-15,10.58
2020-01-16,10.63
2020-01-17,10.65
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,10.6
2020-01-22,10.61
2020-01-23,10.59
2020-01-24,10.52
2020-01-25,
2020-01-26,
2020-01-27,10.36
2020-01-28,10.44
2020-01-29,10.43
2020-01-30,10.41
2020-01-31,10.26
2020-02-01,
2020-02-02,
2020-02-03,10.31
2020-02-04,10.45
2020-02-05,10.54
2020-02-06,10.56
2020-02-07,10.49
2020-02-08,
2020-02-09,
2020-02-10,10.53
2020-02-11,10.58
2020-02-12,10.64
2020-02-13,10.63
2020-02-14,10.63
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,10.59
2020-02-19,10.65
2020-02-20,10.59
2020-02-21,10.52
2020-02-22,
2020-02-23,
2020-02-24,10.22
2020-02-25,10.02
2020-02-26,10.0
2020-02-27,9.72
2020-02-28,9.68
2020-02-29,
2020-03-01,
2020-03-02,9.9
2020-03-03,9.77
2020-03-04,10.02
2020-03-05,9.79
2020-03-06,9.65
2020-03-07,
2020-03-08,
2020-03-09,9.03
2020-03-10,9.29
2020-03-11,8.94
2020-03-12,8.23
2020-03-13,8.66
2020-03-14,
2020-03-15,
2020-03-16,7.9
2020-03-17,8.13
2020-03-18,7.71
2020-03-19,7.77
2020-03-20,7.69
2020-03-21,
2020-03-22,
2020-03-23,7.58
2020-03-24,8.07
2020-03-25,8.24
2020-03-26,8.57
2020-03-27,8.37
2020-03-28,
2020-03-29,
2020-03-30,8.48
2020-03-31,8.44
2020-04-01,8.14
2020-04-02,8.25
2020-04-03,8.15
2020-04-04,
2020-04-05,
2020-04-06,8.54
2020-04-07,8.57
2020-04-08,8.75
2020-04-09,8.86
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,8.82
2020-04-14,8.98
2020-04-15,8.78
2020-04-16,8.82
2020-04-17,9.02
2020-04-18,
2020-04-19,
2020-04-20,8.93
2020-04-21,8.73
2020-04-22,8.88
2020-04-23,8.89
2020-04-24,8.95
2020-04-25,
2020-04-26,
2020-04-27,9.07
2020-04-28,9.1
2020-04-29,9.32
2020-04-30,9.2
2020-05-01,9.0
2020-05-02,
2020-05-03,
2020-05-04,9.02
2020-05-05,9.07
2020-05-06,9.04
2020-05-07,9.14
2020-05-08,9.27
2020-05-09,
2020-05-10,
2020-05-11,9.26
2020-05-12,9.14
2020-05-13,9.04
2020-05-14,9.07
2020-05-15,9.09
2020-05-16,
2020-05-17,
2020-05-18,9.34
2020-05-19,9.28
2020-05-20,9.43
2020-05-21,9.37
2020-05-22,9.35
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,9.52
2020-05-27,9.6
2020-05-28,9.59
2020-05-29,9.63
2020-05-30,
2020-05-31,
2020-06-01,9.72
2020-06-02,9.84
2020-06-03,9.97
2020-06-04,9.96
2020-06-05,10.14
2020-06-06,
2020-06-07,
2020-06-08,10.24
2020-06-09,10.16
2020-06-10,10.13
2020-06-11,9.67
2020-06-12,9.79
2020-06-13,
2020-06-14,
2020-06-15,9.84
2020-06-16,9.96
2020-06-17,9.96
2020-06-18,9.96
2020-06-19,9.95
2020-06-20,
2020-06-21,
2020-06-22,10.01
2020-06-23,10.07
2020-06-24,9.86
2020-06-25,9.95
2020-06-26,9.8
2020-06-27,
2020-06-28,
2020-06-29,9.89
2020-06-30,9.95
2020-07-01,9.98
2020-07-02,10.06
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,10.22
2020-07-07,10.12
2020-07-08,10.22
2020-07-09,10.17
2020-07-10,10.22
2020-07-11,
2020-07-12,
2020-07-13,10.15
2020-07-14,10.24
2020-07-15,10.35
2020-07-16,10.28
2020-07-17,10.32
2020-07-18,
2020-07-19,
2020-07-20,10.4
2020-07-21,10.46
2020-07-22,10.48
2020-07-23,10.42
2020-07-24,10.36
2020-07-25,
2020-07-26,
2020-07-27,10.45
2020-07-28,10.41
2020-07-29,10.52
2020-07-30,10.45
2020-07-31,10.4
2020-08-01,
2020-08-02,
2020-08-03,10.5
2020-08-04,10.55
2020-08-05,10.65
2020-08-06,10.67
2020-08-07,10.63
2020-08-08,
2020-08-09,
2020-08-10,10.64
2020-08-11,10.62
2020-08-12,10.74
2020-08-13,10.72
2020-08-14,10.7
2020-08-15,
2020-08-16,
2020-08-17,10.75
2020-08-18,10.77
2020-08-19,10.74
2020-08-20,10.71
2020-08-21,10.71
2020-08-22,
2020-08-23,
2020-08-24,10.82
2020-08-25,10.85
2020-08-26,10.92
2020-08-27,10.9
2020-08-28,10.97
2020-08-29,
2020-08-30,
2020-08-31,10.91
2020-09-01,10.98
2020-09-02,11.07
2020-09-03,10.82
2020-09-04,10.77
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,10.6
2020-09-09,10.74
2020-09-10,10.63
2020-09-11,10.68
2020-09-12,
2020-09-13,
2020-09-14,10.8
2020-09-15,10.85
2020-09-16,10.86
2020-09-17,10.82
2020-09-18,10.77
2020-09-19,
2020-09-20,
2020-09-21,10.6
2020-09-22,10.62
2020-09-23,10.46
2020-09-24,10.46
2020-09-25,10.54
2020-09-26,
2020-09-27,
2020-09-28,10.66
2020-09-29,10.64
2020-09-30,10.7
2020-10-01,10.75
2020-10-02,10.69
2020-10-03,
2020-10-04,
2020-10-05,10.85
2020-10-06,10.78
2020-10-07,10.9
2020-10-08,10.98
2020-10-09,11.05
2020-10-10,
2020-10-11,
2020-10-12,11.13
2020-10-13,11.09
2020-10-14,11.05
2020-10-15,11.0
2020-10-16,11.02
2020-10-17,
2020-10-18,
2020-10-19,10.94
2020-10-20,11.0
2020-10-21,10.97
2020-10-22,10.99
2020-10-23,11.03
2020-10-24,
2020-10-25,
2020-10-26,10.87
2020-10-27,10.85
2020-10-28,10.59
2020-10-29,10.64
2020-10-30,10.54
2020-10-31,
2020-11-01,
2020-11-02,10.66
2020-11-03,10.82
2020-11-04,11.0
2020-11-05,11.21
2020-11-06,11.21
2020-11-07,
2020-11-08,
2020-11-09,11.34
2020-11-10,11.34
2020-11-11,11.4
2020-11-12,11.33
2020-11-13,11.45
2020-11-14,
2020-11-15,
2020-11-16,11.58
2020-11-17,11.57
2020-11-18,11.52
2020-11-19,11.56
2020-11-20,11.57
2020-11-21,
2020-11-22,
2020-11-23,11.64
2020-11-24,11.78
2020-11-25,11.76
2020-11-26,
2020-11-27,11.82
2020-11-28,
2020-11-29,
2020-11-30,11.69
2020-12-01,11.82
2020-12-02,11.83
2020-12-03,11.88
2020-12-04,11.98
2020-12-05,
2020-12-06,
2020-12-07,11.96
2020-12-08,11.99
2020-12-09,11.94
2020-12-10,11.98
2020-12-11,11.95
2020-12-12,
2020-12-13,
2020-12-14,11.93
2020-12-15,12.04
2020-12-16,12.08
2020-12-17,12.16
2020-12-18,12.13
2020-12-19,
2020-12-20,
2020-12-21,12.06
2020-12-22,12.04
2020-12-23,12.11
2020-12-24,12.11
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,12.15
2020-12-29,12.18
2020-12-30,12.25
2020-12-31,12.26
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,12.21
2021-01-05,12.33
2021-01-06,12.4
2021-01-07,12.52
2021-01-08,12.6
2021-01-09,
2021-01-10,
2021-01-11,12.54
2021-01-12,12.6
2021-01-13,12.6
2021-01-14,12.66
2021-01-15,12.55
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,12.65
2021-01-20,12.75
2021-01-21,12.73
2021-01-22,12.69
2021-01-23,
2021-01-24,
2021-01-25,12.69
2021-01-26,12.63
2021-01-27,12.37
2021-01-28,12.47
2021-01-29,12.26
2021-01-30,
2021-01-31,
2021-02-01,12.46
2021-02-02,12.6
2021-02-03,12.64
2021-02-04,12.72
2021-02-05,12.78
2021-02-06,
2021-02-07,
2021-02-08,12.88
2021-02-09,12.92
2021-02-10,12.93
2021-02-11,12.98
2021-02-12,13.01
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,13.05
2021-02-17,13.01
2021-02-18,12.92
2021-02-19,12.98
2021-02-20,
2021-02-21,
2021-02-22,12.89
2021-02-23,12.89
2021-02-24,12.95
2021-02-25,12.69
2021-02-26,12.6
2021-02-27,
2021-02-28,
2021-03-01,12.84
2021-03-02,12.78
2021-03-03,12.71
2021-03-04,12.53
2021-03-05,12.67
2021-03-06,
2021-03-07,
2021-03-08,12.58
2021-03-09,12.72
2021-03-10,12.78
2021-03-11,12.94
2021-03-12,12.92
2021-03-13,
2021-03-14,
2021-03-15,12.96
2021-03-16,12.95
2021-03-17,12.98
2021-03-18,12.83
2021-03-19,12.86
2021-03-20,
2021-03-21,
2021-03-22,12.88
2021-03-23,12.72
2021-03-24,12.63
2021-03-25,12.7
2021-03-26,12.86
2021-03-27,
2021-03-28,
2021-03-29,12.8
2021-03-30,12.82
2021-03-31,12.84
2021-04-01,12.99
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,13.09
2021-04-06,13.09
2021-04-07,13.05
2021-04-08,13.13
2021-04-09,13.14
2021-04-10,
2021-04-11,
2021-04-12,13.11
2021-04-13,13.15
2021-04-14,13.18
2021-04-15,13.28
2021-04-16,13.31
2021-04-17,
2021-04-18,
2021-04-19,13.25
2021-04-20,13.12
2021-04-21,13.23
2021-04-22,13.2
2021-04-23,13.33
2021-04-24,
2021-04-25,
2021-04-26,13.37
2021-04-27,13.36
2021-04-28,13.4
2021-04-29,13.42
2021-04-30,13.29
2021-05-01,
2021-05-02,
2021-05-03,13.35
2021-05-04,13.25
2021-05-05,13.32
2021-05-06,13.38
2021-05-07,13.5
2021-05-08,
2021-05-09,
2021-05-10,13.38
2021-05-11,13.29
2021-05-12,13.06
2021-05-13,13.12
2021-05-14,13.33
2021-05-15,
2021-05-16,
2021-05-17,13.32
2021-05-18,13.32
2021-05-19,13.23
2021-05-20,13.35
2021-05-21,13.36
2021-05-22,
2021-05-23,
2021-05-24,13.44
2021-05-25,13.44
2021-05-26,13.47
2021-05-27,13.51
2021-05-28,13.55
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,13.63
2021-06-02,13.64
2021-06-03,13.57
2021-06-04,13.67
2021-06-05,
2021-06-06,
2021-06-07,13.67
2021-06-08,13.68
2021-06-09,13.64
2021-06-10,13.68
2021-06-11,13.71
2021-06-12,
2021-06-13,
2021-06-14,13.71
2021-06-15,13.69
2021-06-16,13.61
2021-06-17,13.56
2021-06-18,13.42
2021-06-19,
2021-06-20,
2021-06-21,13.54
2021-06-22,13.57
2021-06-23,13.57
2021-06-24,13.66
2021-06-25,13.71
2021-06-26,
2021-06-27,
2021-06-28,13.69
2021-06-29,13.68
2021-06-30,13.67
2021-07-01,13.69
2021-07-02,13.74
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,13.66
2021-07-07,13.68
2021-07-08,13.54
2021-07-09,13.7
2021-07-10,
2021-07-11,
2021-07-12,13.73
2021-07-13,13.68
2021-07-14,13.67
2021-07-15,13.64
2021-07-16,13.53
2021-07-17,
2021-07-18,
2021-07-19,13.36
2021-07-20,13.51
2021-07-21,13.63
2021-07-22,13.64
2021-07-23,13.68
2021-07-24,
2021-07-25,
2021-07-26,13.66
2021-07-27,13.58
2021-07-28,13.66
2021-07-29,13.75
2021-07-30,13.67
2021-07-31,
2021-08-01,
2021-08-02,13.71
2021-08-03,13.76
2021-08-04,13.75
2021-08-05,13.78
2021-08-06,13.76
2021-08-07,
2021-08-08,
2021-08-09,13.75
2021-08-10,13.78
2021-08-11,13.82
2021-08-12,13.81
2021-08-13,13.83
2021-08-14,
2021-08-15,
2021-08-16,13.78
2021-08-17,13.68
2021-08-18,13.61
2021-08-19,13.51
2021-08-20,13.57
2021-08-21,
2021-08-22,
2021-08-23,13.71
2021-08-24,13.81
2021-08-25,13.84
2021-08-26,13.76
2021-08-27,13.89
2021-08-28,
2021-08-29,
2021-08-30,13.91
2021-08-31,13.92
2021-09-01,13.98
2021-09-02,14.03
2021-09-03,14.04
2021-09-04,
2021-09-05,
2021-09-06,
2021-09-07,14.01
2021-09-08,13.94
2021-09-09,13.93
2021-09-10,13.89
2021-09-11,
2021-09-12,
2021-09-13,13.94
2021-09-14,13.89
2021-09-15,13.94
2021-09-16,13.91
2021-09-17,13.82
2021-09-18,
2021-09-19,
2021-09-20,13.6
2021-09-21,13.64
2021-09-22,13.74
2021-09-23,13.86
2021-09-24,13.82
2021-09-25,
2021-09-26,
2021-09-27,13.83
2021-09-28,13.59
2021-09-29,13.57
2021-09-30,13.51
2021-10-01,13.61
2021-10-02,
2021-10-03,
2021-10-04,13.47
2021-10-05,13.57
2021-10-06,13.54
2021-10-07,13.67
2021-10-08,13.66
2021-10-09,
2021-10-10,
2021-10-11,13.61
2021-10-12,13.61
2021-10-13,13.68
2021-10-14,13.85
2021-10-15,13.93
2021-10-16,
2021-10-17,
2021-10-18,13.92
2021-10-19,14.0
2021-10-20,14.03
2021-10-21,14.01
2021-10-22,14.03
2021-10-23,
2021-10-24,
2021-10-25,14.06
2021-10-26,14.08
2021-10-27,13.99
2021-10-28,14.09
2021-10-29,14.03
2021-10-30,
2021-10-31,
2021-11-01,14.13
2021-11-02,14.13
2021-11-03,14.2
2021-11-04,14.23
2021-11-05,14.27
2021-11-06,
2021-11-07,
2021-11-08,14.31
2021-11-09,14.31
2021-11-10,14.18
2021-11-11,14.23
2021-11-12,14.29
2021-11-13,
2021-11-14,
2021-11-15,14.27
2021-11-16,14.27
2021-11-17,14.23
2021-11-18,14.21
2021-11-19,14.16
2021-11-20,
2021-11-21,
2021-11-22,14.06
2021-11-23,14.06
2021-11-24,14.07
2021-11-25,
2021-11-26,13.78
2021-11-27,
2021-11-28,
2021-11-29,13.85
2021-11-30,13.69
2021-12-01,13.6
2021-12-02,13.76
2021-12-03,13.65
2021-12-04,
2021-12-05,
2021-12-06,13.76
2021-12-07,13.99
2021-12-08,14.02
2021-12-09,13.93
2021-12-10,13.95
2021-12-11,
2021-12-12,
2021-12-13,13.82
2021-12-14,13.75
2021-12-15,13.85
2021-12-16,13.81
2021-12-17,13.72
2021-12-18,
2021-12-19,
2021-12-20,13.57
2021-12-21,13.78
2021-12-22,13.89
2021-12-23,13.96
2021-12-24,
2021-12-25,
2021-12-26,
2021-12-27,14.06
2021-12-28,14.06
2021-12-29,14.05
2021-12-30,14.06
2021-12-31,14.05
2022-01-01,
2022-01-02,
2022-01-03,14.08
2022-01-04,14.09
2022-01-05,13.89
2022-01-06,13.88
2022-01-07,13.88
2022-01-08,
2022-01-09,
2022-01-10,13.83
2022-01-11,13.99
2022-01-12,14.08
2022-01-13,13.95
2022-01-14,13.93
2022-01-15,
2022-01-16,
2022-01-17,
2022-01-18,13.72
2022-01-19,13.66
2022-01-20,13.59
2022-01-21,13.43
2022-01-22,
2022-01-23,
2022-01-24,13.39
2022-01-25,13.28
2022-01-26,13.23
2022-01-27,13.15
2022-01-28,13.29
2022-01-29,
2022-01-30,
2022-01-31,13.53
2022-02-01,13.63
2022-02-02,13.69
2022-02-03,13.46
2022-02-04,13.5
2022-02-05,
2022-02-06,
2022-02-07,13.49
2022-02-08,13.57
2022-02-09,13.76
2022-02-10,13.59
2022-02-11,13.44
2022-02-12,
2022-02-13,
2022-02-14,13.36
2022-02-15,13.53
2022-02-16,13.56
2022-02-17,13.37
2022-02-18,13.28
2022-02-19,
2022-02-20,
2022-02-21,
2022-02-22,13.16
2022-02-23,12.99
2022-02-24,12.98
2022-02-25,13.22
2022-02-26,
2022-02-27,
2022-02-28,13.16
2022-03-01,13.0
2022-03-02,13.11
2022-03-03,12.99
2022-03-04,12.83
2022-03-05,
2022-03-06,
2022-03-07,12.5
2022-03-08,12.49
2022-03-09,12.77
2022-03-10,12.68
2022-03-11,12.54
2022-03-12,
2022-03-13,
2022-03-14,12.45
2022-03-15,12.55
2022-03-16,12.92
2022-03-17,13.04
2022-03-18,13.18
2022-03-19,
2022-03-20,
2022-03-21,13.09
2022-03-22,13.2
2022-03-23,13.12
2022-03-24,13.2
2022-03-25,13.19
2022-03-26,
2022-03-27,
2022-03-28,13.2
2022-03-29,13.39
2022-03-30,13.34
2022-03-31,13.19
2022-04-01,13.25
2022-04-02,
2022-04-03,
2022-04-04,13.35
2022-04-05,13.17
2022-04-06,13.04
2022-04-07,13.01
2022-04-08,12.99
2022-04-09,
2022-04-10,
2022-04-11,12.85
2022-04-12,12.82
2022-04-13,12.96
2022-04-14,12.84
2022-04-15,
2022-04-16,
2022-04-17,
2022-04-18,12.83
2022-04-19,12.89
2022-04-20,12.93
2022-04-21,12.74
2022-04-22,12.51
2022-04-23,
2022-04-24,
2022-04-25,12.51
