Date,Close
2020-01-01,
2020-01-02,17.59
2020-01-03,17.48
2020-01-04,
2020-01-05,
2020-01-06,17.55
2020-01-07,17.53
2020-01-08,17.62
2020-01-09,17.75
2020-01-10,17.71
2020-01-11,
2020-01-12,
2020-01-13,17.84
2020-01-14,17.8
2020-01-15,17.84
2020-01-16,17.98
2020-01-17,18.07
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,18.03
2020-01-22,18.03
2020-01-23,18.03
2020-01-24,17.85
2020-01-25,
2020-01-26,
2020-01-27,17.55
2020-01-28,17.78
2020-01-29,17.81
2020-01-30,17.85
2020-01-31,17.52
2020-02-01,
2020-02-02,
2020-02-03,17.68
2020-02-04,17.96
2020-02-05,18.1
2020-02-06,18.18
2020-02-07,18.1
2020-02-08,
2020-02-09,
2020-02-10,18.28
2020-02-11,18.34
2020-02-12,18.48
2020-02-13,18.47
2020-02-14,18.53
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,18.53
2020-02-19,18.67
2020-02-20,18.58
2020-02-21,18.35
2020-02-22,
2020-02-23,
2020-02-24,17.7
2020-02-25,17.17
2020-02-26,17.13
2020-02-27,16.4
2020-02-28,16.37
2020-02-29,
2020-03-01,
2020-03-02,17.07
2020-03-03,16.65
2020-03-04,17.34
2020-03-05,16.78
2020-03-06,16.46
2020-03-07,
2020-03-08,
2020-03-09,15.28
2020-03-10,16.05
2020-03-11,15.33
2020-03-12,14.0
2020-03-13,15.19
2020-03-14,
2020-03-15,
2020-03-16,13.42
2020-03-17,14.2
2020-03-18,13.56
2020-03-19,13.71
2020-03-20,13.21
2020-03-21,
2020-03-22,
2020-03-23,13.01
2020-03-24,14.07
2020-03-25,14.16
2020-03-26,14.96
2020-03-27,14.48
2020-03-28,
2020-03-29,
2020-03-30,14.98
2020-03-31,14.79
2020-04-01,14.18
2020-04-02,14.46
2020-04-03,14.26
2020-04-04,
2020-04-05,
2020-04-06,15.19
2020-04-07,15.1
2020-04-08,15.52
2020-04-09,15.71
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,15.67
2020-04-14,16.15
2020-04-15,15.92
2020-04-16,16.13
2020-04-17,16.42
2020-04-18,
2020-04-19,
2020-04-20,16.2
2020-04-21,15.71
2020-04-22,16.13
2020-04-23,16.12
2020-04-24,16.33
2020-04-25,
2020-04-26,
2020-04-27,16.51
2020-04-28,16.29
2020-04-29,16.66
2020-04-30,16.58
2020-05-01,16.18
2020-05-02,
2020-05-03,
2020-05-04,16.29
2020-05-05,16.52
2020-05-06,16.47
2020-05-07,16.65
2020-05-08,16.87
2020-05-09,
2020-05-10,
2020-05-11,16.95
2020-05-12,16.65
2020-05-13,16.45
2020-05-14,16.61
2020-05-15,16.74
2020-05-16,
2020-05-17,
2020-05-18,17.11
2020-05-19,17.0
2020-05-20,17.25
2020-05-21,17.08
2020-05-22,17.16
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,17.2
2020-05-27,17.37
2020-05-28,17.39
2020-05-29,17.54
2020-05-30,
2020-05-31,
2020-06-01,17.63
2020-06-02,17.75
2020-06-03,17.9
2020-06-04,17.78
2020-06-05,18.14
2020-06-06,
2020-06-07,
2020-06-08,18.28
2020-06-09,18.26
2020-06-10,18.31
2020-06-11,17.34
2020-06-12,17.54
2020-06-13,
2020-06-14,
2020-06-15,17.72
2020-06-16,18.03
2020-06-17,18.07
2020-06-18,18.05
2020-06-19,18.06
2020-06-20,
2020-06-21,
2020-06-22,18.21
2020-06-23,18.32
2020-06-24,17.87
2020-06-25,18.08
2020-06-26,17.64
2020-06-27,
2020-06-28,
2020-06-29,17.84
2020-06-30,18.12
2020-07-01,18.26
2020-07-02,18.36
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,18.71
2020-07-07,18.56
2020-07-08,18.8
2020-07-09,18.78
2020-07-10,18.87
2020-07-11,
2020-07-12,
2020-07-13,18.55
2020-07-14,18.8
2020-07-15,18.91
2020-07-16,18.81
2020-07-17,18.89
2020-07-18,
2020-07-19,
2020-07-20,19.21
2020-07-21,19.14
2020-07-22,19.24
2020-07-23,18.93
2020-07-24,18.84
2020-07-25,
2020-07-26,
2020-07-27,19.06
2020-07-28,18.89
2020-07-29,19.11
2020-07-30,19.08
2020-07-31,19.26
2020-08-01,
2020-08-02,
2020-08-03,19.46
2020-08-04,19.54
2020-08-05,19.67
2020-08-06,19.8
2020-08-07,19.71
2020-08-08,
2020-08-09,
2020-08-10,19.63
2020-08-11,19.38
2020-08-12,19.74
2020-08-13,19.77
2020-08-14,19.72
2020-08-15,
2020-08-16,
2020-08-17,19.9
2020-08-18,19.99
2020-08-19,19.91
2020-08-20,19.99
2020-08-21,20.04
2020-08-22,
2020-08-23,
2020-08-24,20.16
2020-08-25,20.31
2020-08-26,20.64
2020-08-27,20.58
2020-08-28,20.73
2020-08-29,
2020-08-30,
2020-08-31,20.72
2020-09-01,20.96
2020-09-02,21.27
2020-09-03,20.36
2020-09-04,20.11
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,19.55
2020-09-09,20.06
2020-09-10,19.72
2020-09-11,19.72
2020-09-12,
2020-09-13,
2020-09-14,20.0
2020-09-15,20.16
2020-09-16,20.0
2020-09-17,19.83
2020-09-18,19.63
2020-09-19,
2020-09-20,
2020-09-21,19.48
2020-09-22,19.74
2020-09-23,19.26
2020-09-24,19.32
2020-09-25,19.65
2020-09-26,
2020-09-27,
2020-09-28,19.97
2020-09-29,19.92
2020-09-30,20.1
2020-10-01,20.29
2020-10-02,20.02
2020-10-03,
2020-10-04,
2020-10-05,20.39
2020-10-06,20.1
2020-10-07,20.45
2020-10-08,20.6
2020-10-09,20.87
2020-10-10,
2020-10-11,
2020-10-12,21.19
2020-10-13,21.15
2020-10-14,20.97
2020-10-15,20.87
2020-10-16,20.88
2020-10-17,
2020-10-18,
2020-10-19,20.55
2020-10-20,20.65
2020-10-21,20.57
2020-10-22,20.58
2020-10-23,20.7
2020-10-24,
2020-10-25,
2020-10-26,20.34
2020-10-27,20.4
2020-10-28,19.69
2020-10-29,19.9
2020-10-30,19.56
2020-10-31,
2020-11-01,
2020-11-02,19.77
2020-11-03,20.11
2020-11-04,20.8
2020-11-05,21.29
2020-11-06,21.37
2020-11-07,
2020-11-08,
2020-11-09,21.06
2020-11-10,20.82
2020-11-11,21.12
2020-11-12,20.97
2020-11-13,21.2
2020-11-14,
2020-11-15,
2020-11-16,21.36
2020-11-17,21.28
2020-11-18,21.07
2020-11-19,21.18
2020-11-20,21.05
2020-11-21,
2020-11-22,
2020-11-23,21.16
2020-11-24,21.38
2020-11-25,21.39
2020-11-26,
2020-11-27,21.5
2020-11-28,
2020-11-29,
2020-11-30,21.43
2020-12-01,21.6
2020-12-02,21.59
2020-12-03,21.6
2020-12-04,21.75
2020-12-05,
2020-12-06,
2020-12-07,21.79
2020-12-08,21.84
2020-12-09,21.61
2020-12-10,21.63
2020-12-11,21.56
2020-12-12,
2020-12-13,
2020-12-14,21.51
2020-12-15,21.76
2020-12-16,21.82
2020-12-17,21.99
2020-12-18,21.94
2020-12-19,
2020-12-20,
2020-12-21,21.93
2020-12-22,21.92
2020-12-23,21.92
2020-12-24,21.98
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,22.1
2020-12-29,22.04
2020-12-30,22.12
2020-12-31,22.17
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,21.87
2021-01-05,22.11
2021-01-06,22.21
2021-01-07,22.65
2021-01-08,22.75
2021-01-09,
2021-01-10,
2021-01-11,22.65
2021-01-12,22.68
2021-01-13,22.68
2021-01-14,22.66
2021-01-15,22.44
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,22.75
2021-01-20,23.09
2021-01-21,23.09
2021-01-22,23.03
2021-01-23,
2021-01-24,
2021-01-25,23.03
2021-01-26,22.88
2021-01-27,22.17
2021-01-28,22.51
2021-01-29,22.1
2021-01-30,
2021-01-31,
2021-02-01,22.53
2021-02-02,22.92
2021-02-03,22.98
2021-02-04,23.19
2021-02-05,23.33
2021-02-06,
2021-02-07,
2021-02-08,23.55
2021-02-09,23.5
2021-02-10,23.55
2021-02-11,23.68
2021-02-12,23.81
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,23.89
2021-02-17,23.79
2021-02-18,23.63
2021-02-19,23.72
2021-02-20,
2021-02-21,
2021-02-22,23.5
2021-02-23,23.52
2021-02-24,23.87
2021-02-25,23.17
2021-02-26,23.16
2021-02-27,
2021-02-28,
2021-03-01,23.74
2021-03-02,23.52
2021-03-03,23.17
2021-03-04,22.78
2021-03-05,23.23
2021-03-06,
2021-03-07,
2021-03-08,23.02
2021-03-09,23.4
2021-03-10,23.54
2021-03-11,23.94
2021-03-12,23.96
2021-03-13,
2021-03-14,
2021-03-15,24.11
2021-03-16,23.98
2021-03-17,24.12
2021-03-18,23.62
2021-03-19,23.66
2021-03-20,
2021-03-21,
2021-03-22,23.72
2021-03-23,23.35
2021-03-24,23.21
2021-03-25,23.35
2021-03-26,23.7
2021-03-27,
2021-03-28,
2021-03-29,23.58
2021-03-30,23.66
2021-03-31,23.79
2021-04-01,24.18
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,24.55
2021-04-06,24.55
2021-04-07,24.55
2021-04-08,24.7
2021-04-09,24.87
2021-04-10,
2021-04-11,
2021-04-12,24.83
2021-04-13,24.87
2021-04-14,24.82
2021-04-15,25.09
2021-04-16,25.14
2021-04-17,
2021-04-18,
2021-04-19,24.94
2021-04-20,24.57
2021-04-21,24.87
2021-04-22,24.65
2021-04-23,25.04
2021-04-24,
2021-04-25,
2021-04-26,25.21
2021-04-27,25.25
2021-04-28,25.31
2021-04-29,25.48
2021-04-30,25.2
2021-05-01,
2021-05-02,
2021-05-03,25.25
2021-05-04,25.03
2021-05-05,25.08
2021-05-06,25.22
2021-05-07,25.49
2021-05-08,
2021-05-09,
2021-05-10,25.12
2021-05-11,24.92
2021-05-12,24.28
2021-05-13,24.53
2021-05-14,25.03
2021-05-15,
2021-05-16,
2021-05-17,25.04
2021-05-18,24.81
2021-05-19,24.69
2021-05-20,24.92
2021-05-21,24.92
2021-05-22,
2021-05-23,
2021-05-24,25.21
2021-05-25,25.18
2021-05-26,25.31
2021-05-27,25.4
2021-05-28,25.43
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,25.56
2021-06-02,25.55
2021-06-03,25.43
2021-06-04,25.66
2021-06-05,
2021-06-06,
2021-06-07,25.67
2021-06-08,25.74
2021-06-09,25.63
2021-06-10,25.68
2021-06-11,25.76
2021-06-12,
2021-06-13,
2021-06-14,25.77
2021-06-15,25.74
2021-06-16,25.61
2021-06-17,25.47
2021-06-18,25.14
2021-06-19,
2021-06-20,
2021-06-21,25.53
2021-06-22,25.66
2021-06-23,25.7
2021-06-24,25.9
2021-06-25,25.98
2021-06-26,
2021-06-27,
2021-06-28,25.94
2021-06-29,25.92
2021-06-30,25.97
2021-07-01,26.11
2021-07-02,26.26
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,26.14
2021-07-07,26.13
