Date,Close
2020-01-01,
2020-01-02,28.62
2020-01-03,28.42
2020-01-04,
2020-01-05,
2020-01-06,28.42
2020-01-07,28.36
2020-01-08,28.48
2020-01-09,28.64
2020-01-10,28.55
2020-01-11,
2020-01-12,
2020-01-13,28.67
2020-01-14,28.72
2020-01-15,28.8
2020-01-16,28.97
2020-01-17,29.07
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,29.02
2020-01-22,28.91
2020-01-23,29.03
2020-01-24,28.78
2020-01-25,
2020-01-26,
2020-01-27,28.16
2020-01-28,28.45
2020-01-29,28.47
2020-01-30,28.45
2020-01-31,28.12
2020-02-01,
2020-02-02,
2020-02-03,28.28
2020-02-04,28.72
2020-02-05,29.1
2020-02-06,29.16
2020-02-07,29.08
2020-02-08,
2020-02-09,
2020-02-10,29.28
2020-02-11,29.4
2020-02-12,29.53
2020-02-13,29.46
2020-02-14,29.4
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,29.31
2020-02-19,29.37
2020-02-20,29.35
2020-02-21,29.16
2020-02-22,
2020-02-23,
2020-02-24,28.47
2020-02-25,27.54
2020-02-26,27.58
2020-02-27,26.42
2020-02-28,25.42
2020-02-29,
2020-03-01,
2020-03-02,26.47
2020-03-03,26.15
2020-03-04,26.98
2020-03-05,26.22
2020-03-06,25.93
2020-03-07,
2020-03-08,
2020-03-09,24.15
2020-03-10,24.53
2020-03-11,23.31
2020-03-12,20.55
2020-03-13,21.5
2020-03-14,
2020-03-15,
2020-03-16,19.21
2020-03-17,19.96
2020-03-18,17.86
2020-03-19,19.15
2020-03-20,18.74
2020-03-21,
2020-03-22,
2020-03-23,17.19
2020-03-24,18.87
2020-03-25,20.4
2020-03-26,21.51
2020-03-27,21.02
2020-03-28,
2020-03-29,
2020-03-30,21.26
2020-03-31,20.77
2020-04-01,19.77
2020-04-02,20.1
2020-04-03,19.67
2020-04-04,
2020-04-05,
2020-04-06,20.83
2020-04-07,21.24
2020-04-08,21.94
2020-04-09,22.25
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,21.8
2020-04-14,22.6
2020-04-15,22.17
2020-04-16,22.27
2020-04-17,22.77
2020-04-18,
2020-04-19,
2020-04-20,22.28
2020-04-21,21.86
2020-04-22,22.02
2020-04-23,21.86
2020-04-24,22.08
2020-04-25,
2020-04-26,
2020-04-27,22.31
2020-04-28,22.33
2020-04-29,23.04
2020-04-30,22.71
2020-05-01,22.09
2020-05-02,
2020-05-03,
2020-05-04,22.1
2020-05-05,22.21
2020-05-06,22.16
2020-05-07,22.48
2020-05-08,22.8
2020-05-09,
2020-05-10,
2020-05-11,22.78
2020-05-12,22.46
2020-05-13,21.89
2020-05-14,21.99
2020-05-15,22.0
2020-05-16,
2020-05-17,
2020-05-18,22.8
2020-05-19,22.63
2020-05-20,23.12
2020-05-21,23.16
2020-05-22,23.1
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,23.45
2020-05-27,23.75
2020-05-28,23.75
2020-05-29,23.78
2020-05-30,
2020-05-31,
2020-06-01,23.96
2020-06-02,24.13
2020-06-03,24.54
2020-06-04,24.56
2020-06-05,25.03
2020-06-06,
2020-06-07,
2020-06-08,25.26
2020-06-09,25.14
2020-06-10,24.98
2020-06-11,23.64
2020-06-12,23.96
2020-06-13,
2020-06-14,
2020-06-15,24.0
2020-06-16,24.36
2020-06-17,24.33
2020-06-18,24.33
2020-06-19,24.26
2020-06-20,
2020-06-21,
2020-06-22,24.35
2020-06-23,24.53
2020-06-24,23.89
2020-06-25,24.01
2020-06-26,23.54
2020-06-27,
2020-06-28,
2020-06-29,23.77
2020-06-30,24.09
2020-07-01,24.24
2020-07-02,24.27
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,24.6
2020-07-07,24.52
2020-07-08,24.55
2020-07-09,24.41
2020-07-10,24.7
2020-07-11,
2020-07-12,
2020-07-13,24.42
2020-07-14,24.6
2020-07-15,24.78
2020-07-16,24.91
2020-07-17,24.92
2020-07-18,
2020-07-19,
2020-07-20,25.11
2020-07-21,25.25
2020-07-22,25.21
2020-07-23,24.95
2020-07-24,24.82
2020-07-25,
2020-07-26,
2020-07-27,25.04
2020-07-28,24.92
2020-07-29,25.23
2020-07-30,25.16
2020-07-31,25.13
2020-08-01,
2020-08-02,
2020-08-03,25.38
2020-08-04,25.53
2020-08-05,25.74
2020-08-06,25.8
2020-08-07,25.85
2020-08-08,
2020-08-09,
2020-08-10,26.0
2020-08-11,25.92
2020-08-12,26.15
2020-08-13,26.01
2020-08-14,25.94
2020-08-15,
2020-08-16,
2020-08-17,26.18
2020-08-18,26.28
2020-08-19,26.21
2020-08-20,26.29
2020-08-21,26.13
2020-08-22,
2020-08-23,
2020-08-24,26.41
2020-08-25,26.44
2020-08-26,26.54
2020-08-27,26.75
2020-08-28,26.86
2020-08-29,
2020-08-30,
2020-08-31,26.85
2020-09-01,26.85
2020-09-02,27.29
2020-09-03,26.32
2020-09-04,26.33
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,25.51
2020-09-09,26.08
2020-09-10,25.74
2020-09-11,25.77
2020-09-12,
2020-09-13,
2020-09-14,26.13
2020-09-15,26.26
2020-09-16,26.31
2020-09-17,26.09
2020-09-18,25.94
2020-09-19,
2020-09-20,
2020-09-21,25.55
2020-09-22,25.64
2020-09-23,25.13
2020-09-24,25.16
2020-09-25,25.28
2020-09-26,
2020-09-27,
2020-09-28,25.63
2020-09-29,25.54
2020-09-30,25.7
2020-10-01,26.01
2020-10-02,25.92
