Date,Close
2024-01-01,
2024-01-02,20.01
2024-01-03,19.39
2024-01-04,19.27
2024-01-05,19.91
2024-01-06,
2024-01-07,
2024-01-08,20.74
2024-01-09,20.41
2024-01-10,20.39
2024-01-11,20.07
2024-01-12,19.38
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,18.99
2024-01-17,18.59
2024-01-18,17.75
2024-01-19,18.14
2024-01-20,
2024-01-21,
2024-01-22,18.17
2024-01-23,18.17
2024-01-24,18.17
2024-01-25,18.69
2024-01-26,18.91
2024-01-27,
2024-01-28,
2024-01-29,18.59
2024-01-30,18.53
2024-01-31,17.9
2024-02-01,18.52
2024-02-02,18.97
2024-02-03,
2024-02-04,
2024-02-05,19.13
2024-02-06,18.94
2024-02-07,19.03
2024-02-08,19.19
2024-02-09,19.21
2024-02-10,
2024-02-11,
2024-02-12,19.69
2024-02-13,18.93
2024-02-14,19.27
2024-02-15,19.19
2024-02-16,18.92
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,18.24
2024-02-21,18.33
2024-02-22,18.28
2024-02-23,18.63
2024-02-24,
2024-02-25,
2024-02-26,18.54
2024-02-27,18.87
2024-02-28,18.43
2024-02-29,18.14
2024-03-01,18.25
2024-03-02,
2024-03-03,
2024-03-04,18.41
2024-03-05,19.15
2024-03-06,18.25
2024-03-07,18.51
2024-03-08,20.04
2024-03-09,
2024-03-10,
2024-03-11,20.73
2024-03-12,21.75
2024-03-13,21.95
2024-03-14,22.03
2024-03-15,22.59
2024-03-16,
2024-03-17,
2024-03-18,23.65
2024-03-19,24.33
2024-03-20,25.85
2024-03-21,27.28
2024-03-22,26.89
2024-03-23,
2024-03-24,
2024-03-25,26.73
2024-03-26,26.55
2024-03-27,26.14
2024-03-28,26.39
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,26.1
2024-04-02,25.49
2024-04-03,24.79
2024-04-04,23.65
2024-04-05,23.22
2024-04-06,
2024-04-07,
2024-04-08,22.49
2024-04-09,22.3
2024-04-10,22.29
2024-04-11,22.55
2024-04-12,21.69
2024-04-13,
2024-04-14,
2024-04-15,21.09
2024-04-16,20.22
2024-04-17,20.43
2024-04-18,20.27
2024-04-19,20.01
2024-04-20,
2024-04-21,
2024-04-22,20.0
2024-04-23,20.15
2024-04-24,19.38
2024-04-25,19.49
2024-04-26,20.58
2024-04-27,
2024-04-28,
2024-04-29,20.48
2024-04-30,19.78
2024-05-01,19.11
2024-05-02,20.04
2024-05-03,20.81
2024-05-04,
2024-05-05,
2024-05-06,21.41
2024-05-07,21.31
2024-05-08,21.6
2024-05-09,22.26
2024-05-10,21.94
2024-05-11,
2024-05-12,
2024-05-13,21.46
2024-05-14,20.74
2024-05-15,21.15
2024-05-16,20.97
2024-05-17,20.82
2024-05-18,
2024-05-19,
2024-05-20,20.45
2024-05-21,20.71
2024-05-22,19.81
