Date,Close
2020-01-01,
2020-01-02,47.13
2020-01-03,46.79
2020-01-04,
2020-01-05,
2020-01-06,46.96
2020-01-07,46.8
2020-01-08,47.14
2020-01-09,47.47
2020-01-10,47.39
2020-01-11,
2020-01-12,
2020-01-13,47.76
2020-01-14,47.67
2020-01-15,47.82
2020-01-16,48.25
2020-01-17,48.48
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,48.4
2020-01-22,48.48
2020-01-23,48.52
2020-01-24,48.11
2020-01-25,
2020-01-26,
2020-01-27,47.34
2020-01-28,47.86
2020-01-29,47.83
2020-01-30,47.98
2020-01-31,47.07
2020-02-01,
2020-02-02,
2020-02-03,47.71
2020-02-04,48.45
2020-02-05,48.85
2020-02-06,49.04
2020-02-07,48.82
2020-02-08,
2020-02-09,
2020-02-10,49.32
2020-02-11,49.31
2020-02-12,49.59
2020-02-13,49.54
2020-02-14,49.73
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,49.67
2020-02-19,49.93
2020-02-20,49.75
2020-02-21,49.17
2020-02-22,
2020-02-23,
2020-02-24,47.5
2020-02-25,46.14
2020-02-26,45.96
2020-02-27,43.92
2020-02-28,43.7
2020-02-29,
2020-03-01,
2020-03-02,45.64
2020-03-03,44.32
2020-03-04,46.15
2020-03-05,44.61
2020-03-06,43.85
2020-03-07,
2020-03-08,
2020-03-09,40.71
2020-03-10,42.76
2020-03-11,40.69
2020-03-12,36.91
2020-03-13,40.37
2020-03-14,
2020-03-15,
2020-03-16,35.47
2020-03-17,37.53
2020-03-18,35.62
2020-03-19,35.98
2020-03-20,34.44
2020-03-21,
2020-03-22,
2020-03-23,33.51
2020-03-24,36.75
2020-03-25,37.03
2020-03-26,39.29
2020-03-27,37.98
2020-03-28,
2020-03-29,
2020-03-30,39.44
2020-03-31,38.77
2020-04-01,37.12
2020-04-02,37.94
2020-04-03,37.37
2020-04-04,
2020-04-05,
2020-04-06,40.09
2020-04-07,40.0
2020-04-08,41.23
2020-04-09,41.77
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,41.23
2020-04-14,42.6
2020-04-15,41.58
2020-04-16,41.86
2020-04-17,42.97
2020-04-18,
2020-04-19,
2020-04-20,42.24
2020-04-21,40.83
2020-04-22,41.9
2020-04-23,41.78
2020-04-24,42.4
2020-04-25,
2020-04-26,
2020-04-27,43.09
2020-04-28,42.78
2020-04-29,44.07
2020-04-30,43.62
2020-05-01,42.5
2020-05-02,
2020-05-03,
2020-05-04,42.71
2020-05-05,43.15
2020-05-06,42.93
2020-05-07,43.47
2020-05-08,44.18
2020-05-09,
2020-05-10,
2020-05-11,44.26
2020-05-12,43.32
2020-05-13,42.56
2020-05-14,43.04
2020-05-15,43.38
2020-05-16,
2020-05-17,
2020-05-18,44.59
2020-05-19,44.15
2020-05-20,44.93
2020-05-21,44.62
2020-05-22,44.77
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,45.23
2020-05-27,45.81
2020-05-28,45.71
2020-05-29,46.0
2020-05-30,
2020-05-31,
2020-06-01,46.15
2020-06-02,46.49
2020-06-03,47.04
