Date,Close
2024-01-01,
2024-01-02,249.47
2024-01-03,247.48
2024-01-04,247.13
2024-01-05,244.93
2024-01-06,
2024-01-07,
2024-01-08,244.86
2024-01-09,242.37
2024-01-10,242.38
2024-01-11,241.11
2024-01-12,245.81
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,241.8
2024-01-17,241.14
2024-01-18,243.37
2024-01-19,241.81
2024-01-20,
2024-01-21,
2024-01-22,242.22
2024-01-23,241.84
2024-01-24,253.29
2024-01-25,257.83
2024-01-26,257.07
2024-01-27,
2024-01-28,
2024-01-29,256.79
2024-01-30,260.56
2024-01-31,256.99
2024-02-01,258.81
2024-02-02,257.26
2024-02-03,
2024-02-04,
2024-02-05,257.5
2024-02-06,259.61
2024-02-07,260.97
2024-02-08,260.88
2024-02-09,261.98
2024-02-10,
2024-02-11,
2024-02-12,261.3
2024-02-13,259.15
2024-02-14,260.97
2024-02-15,261.85
2024-02-16,261.3
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,260.81
2024-02-21,263.69
2024-02-22,264.11
2024-02-23,265.48
2024-02-24,
2024-02-25,
2024-02-26,264.78
2024-02-27,265.44
2024-02-28,266.03
2024-02-29,265.0
2024-03-01,263.74
2024-03-02,
2024-03-03,
2024-03-04,266.42
2024-03-05,265.34
2024-03-06,265.44
2024-03-07,264.79
2024-03-08,264.09
2024-03-09,
2024-03-10,
2024-03-11,265.02
2024-03-12,266.36
2024-03-13,267.05
2024-03-14,267.08
2024-03-15,266.9
2024-03-16,
2024-03-17,
2024-03-18,269.22
2024-03-19,271.25
2024-03-20,274.02
2024-03-21,272.85
2024-03-22,272.67
2024-03-23,
2024-03-24,
2024-03-25,270.56
2024-03-26,269.95
2024-03-27,273.39
2024-03-28,273.96
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,282.75
2024-04-02,281.77
2024-04-03,282.88
2024-04-04,284.37
2024-04-05,286.27
2024-04-06,
2024-04-07,
2024-04-08,284.28
2024-04-09,280.12
2024-04-10,281.28
2024-04-11,280.19
2024-04-12,280.55
2024-04-13,
2024-04-14,
2024-04-15,277.51
2024-04-16,278.05
2024-04-17,277.23
2024-04-18,278.02
2024-04-19,281.28
2024-04-20,
2024-04-21,
2024-04-22,283.9
2024-04-23,285.28
2024-04-24,273.96
2024-04-25,277.66
2024-04-26,277.18
2024-04-27,
2024-04-28,
2024-04-29,280.47
2024-04-30,279.79
2024-05-01,279.25
2024-05-02,280.05
2024-05-03,280.81
2024-05-04,
2024-05-05,
2024-05-06,283.97
2024-05-07,285.91
2024-05-08,285.3
2024-05-09,288.45
2024-05-10,288.9
2024-05-11,
2024-05-12,
2024-05-13,286.07
2024-05-14,286.58
2024-05-15,287.1
2024-05-16,288.23
2024-05-17,291.42
2024-05-18,
2024-05-19,
2024-05-20,292.6
2024-05-21,289.51
2024-05-22,290.43
2024-05-23,288.98
2024-05-24,292.0
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,289.78
2024-05-29,286.02
2024-05-30,288.55
2024-05-31,292.15
2024-06-01,
2024-06-02,
2024-06-03,290.68
2024-06-04,289.76
2024-06-05,291.84
2024-06-06,290.69
2024-06-07,291.54
2024-06-08,
2024-06-09,
2024-06-10,287.19
2024-06-11,285.21
