Date,Close
2024-01-01,
2024-01-02,46.29
2024-01-03,45.91
2024-01-04,45.76
2024-01-05,45.84
2024-01-06,
2024-01-07,
2024-01-08,46.48
2024-01-09,46.41
2024-01-10,46.68
2024-01-11,46.65
2024-01-12,46.69
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,46.52
2024-01-17,46.26
2024-01-18,46.66
2024-01-19,47.23
2024-01-20,
2024-01-21,
2024-01-22,47.33
2024-01-23,47.48
2024-01-24,47.52
2024-01-25,47.77
2024-01-26,47.75
2024-01-27,
2024-01-28,
2024-01-29,48.11
2024-01-30,48.1
2024-01-31,47.32
2024-02-01,47.89
2024-02-02,48.4
2024-02-03,
2024-02-04,
2024-02-05,48.25
2024-02-06,48.35
2024-02-07,48.74
2024-02-08,48.78
2024-02-09,49.06
2024-02-10,
2024-02-11,
2024-02-12,49.01
2024-02-13,48.34
2024-02-14,48.81
2024-02-15,49.11
2024-02-16,48.88
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,48.59
2024-02-21,48.67
2024-02-22,49.69
2024-02-23,49.71
2024-02-24,
2024-02-25,
2024-02-26,49.53
2024-02-27,49.61
2024-02-28,49.52
2024-02-29,49.79
2024-03-01,50.18
2024-03-02,
2024-03-03,
2024-03-04,50.15
2024-03-05,49.64
2024-03-06,49.89
2024-03-07,50.4
2024-03-08,50.09
2024-03-09,
2024-03-10,
2024-03-11,50.02
2024-03-12,50.58
2024-03-13,50.48
2024-03-14,50.35
2024-03-15,50.03
2024-03-16,
2024-03-17,
2024-03-18,50.35
2024-03-19,50.64
2024-03-20,51.09
2024-03-21,51.26
2024-03-22,51.26
2024-03-23,
2024-03-24,
2024-03-25,51.03
2024-03-26,50.87
2024-03-27,51.3
2024-03-28,51.36
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,51.26
2024-04-02,50.88
2024-04-03,50.95
2024-04-04,50.36
2024-04-05,50.36
2024-04-06,
2024-04-07,
2024-04-08,50.9
2024-04-09,50.98
2024-04-10,50.5
2024-04-11,50.87
2024-04-12,50.87
2024-04-13,
2024-04-14,
2024-04-15,49.54
2024-04-16,49.45
2024-04-17,49.16
2024-04-18,49.06
2024-04-19,48.63
2024-04-20,
2024-04-21,
2024-04-22,49.05
2024-04-23,49.63
2024-04-24,49.65
2024-04-25,49.41
2024-04-26,49.93
2024-04-27,
2024-04-28,
2024-04-29,50.1
2024-04-30,49.32
2024-05-01,49.13
2024-05-02,49.58
2024-05-03,50.21
2024-05-04,
2024-05-05,
2024-05-06,50.73
2024-05-07,50.81
2024-05-08,50.81
2024-05-09,51.07
2024-05-10,51.18
2024-05-11,
2024-05-12,
2024-05-13,51.17
2024-05-14,51.42
2024-05-15,52.01
2024-05-16,51.92
2024-05-17,51.98
2024-05-18,
2024-05-19,
2024-05-20,52.04
2024-05-21,52.17
2024-05-22,52.03
2024-05-23,51.66
2024-05-24,52.02
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,52.04
2024-05-29,51.66
2024-05-30,51.35
2024-05-31,51.35
2024-06-01,
2024-06-02,
2024-06-03,51.81
2024-06-04,51.9
2024-06-05,52.51
2024-06-06,52.5
2024-06-07,52.44
2024-06-08,
2024-06-09,
2024-06-10,52.59
2024-06-11,52.74
2024-06-12,53.19
2024-06-13,53.31
2024-06-14,53.31
2024-06-15,
2024-06-16,
2024-06-17,53.72
2024-06-18,53.85
2024-06-19,
2024-06-20,53.72
2024-06-21,53.63
2024-06-22,
2024-06-23,
2024-06-24,53.47
2024-06-25,53.68
2024-06-26,53.77
2024-06-27,53.83
2024-06-28,53.61
2024-06-29,
2024-06-30,
2024-07-01,53.75
2024-07-02,54.09
2024-07-03,54.37
2024-07-04,
2024-07-05,54.37
2024-07-06,
2024-07-07,
2024-07-08,54.72
2024-07-09,54.77
2024-07-10,55.33
2024-07-11,54.84
2024-07-12,54.84
2024-07-13,
2024-07-14,
2024-07-15,55.3
2024-07-16,55.67
2024-07-17,54.89
2024-07-18,54.46
2024-07-19,54.46
2024-07-20,
2024-07-21,
2024-07-22,54.65
2024-07-23,54.56
