Date,Close
2020-01-01,
2020-01-02,54.97
2020-01-03,54.62
2020-01-04,
2020-01-05,
2020-01-06,54.95
2020-01-07,54.76
2020-01-08,55.2
2020-01-09,55.73
2020-01-10,55.74
2020-01-11,
2020-01-12,
2020-01-13,56.3
2020-01-14,56.08
2020-01-15,56.45
2020-01-16,56.92
2020-01-17,57.21
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,57.4
2020-01-22,57.45
2020-01-23,57.43
2020-01-24,56.93
2020-01-25,
2020-01-26,
2020-01-27,56.12
2020-01-28,56.81
2020-01-29,56.94
2020-01-30,57.16
2020-01-31,56.14
2020-02-01,
2020-02-02,
2020-02-03,56.8
2020-02-04,57.8
2020-02-05,57.87
2020-02-06,58.3
2020-02-07,58.15
2020-02-08,
2020-02-09,
2020-02-10,58.89
2020-02-11,58.93
2020-02-12,59.38
2020-02-13,59.48
2020-02-14,59.88
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,59.89
2020-02-19,60.15
2020-02-20,59.77
2020-02-21,58.92
2020-02-22,
2020-02-23,
2020-02-24,56.84
2020-02-25,55.28
2020-02-26,55.39
2020-02-27,52.84
2020-02-28,52.86
2020-02-29,
2020-03-01,
2020-03-02,55.62
2020-03-03,54.09
2020-03-04,56.44
2020-03-05,54.69
2020-03-06,53.86
2020-03-07,
2020-03-08,
2020-03-09,50.44
2020-03-10,53.08
2020-03-11,50.83
2020-03-12,46.39
2020-03-13,50.66
2020-03-14,
2020-03-15,
2020-03-16,44.3
2020-03-17,47.01
2020-03-18,44.98
2020-03-19,45.28
2020-03-20,43.35
2020-03-21,
2020-03-22,
2020-03-23,42.37
2020-03-24,46.13
2020-03-25,46.41
2020-03-26,49.16
2020-03-27,47.3
2020-03-28,
2020-03-29,
2020-03-30,49.13
2020-03-31,48.41
2020-04-01,46.15
2020-04-02,47.09
2020-04-03,46.32
2020-04-04,
2020-04-05,
2020-04-06,49.9
2020-04-07,49.42
2020-04-08,50.9
2020-04-09,51.29
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,51.18
2020-04-14,53.13
2020-04-15,52.29
2020-04-16,52.95
2020-04-17,53.99
2020-04-18,
2020-04-19,
2020-04-20,53.17
2020-04-21,51.36
2020-04-22,52.93
2020-04-23,52.75
2020-04-24,53.58
2020-04-25,
2020-04-26,
