Date,Close
2020-01-01,
2020-01-02,20.36
2020-01-03,20.38
2020-01-04,
2020-01-05,
2020-01-06,20.09
2020-01-07,19.74
2020-01-08,19.58
2020-01-09,19.78
2020-01-10,20.01
2020-01-11,
2020-01-12,
2020-01-13,19.85
2020-01-14,19.54
2020-01-15,19.51
2020-01-16,20.08
2020-01-17,19.71
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,19.61
2020-01-22,19.23
2020-01-23,19.12
2020-01-24,19.02
2020-01-25,
2020-01-26,
2020-01-27,18.74
2020-01-28,18.81
2020-01-29,18.15
2020-01-30,17.34
2020-01-31,17.17
2020-02-01,
2020-02-02,
2020-02-03,16.78
2020-02-04,17.34
2020-02-05,17.33
2020-02-06,17.17
2020-02-07,16.91
2020-02-08,
2020-02-09,
2020-02-10,16.47
2020-02-11,17.11
2020-02-12,17.28
2020-02-13,17.18
2020-02-14,17.85
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,17.38
2020-02-19,17.44
2020-02-20,17.55
2020-02-21,17.15
2020-02-22,
2020-02-23,
2020-02-24,16.76
2020-02-25,15.65
2020-02-26,16.43
2020-02-27,15.93
2020-02-28,15.67
2020-02-29,
2020-03-01,
2020-03-02,15.5
2020-03-03,14.8
2020-03-04,15.17
2020-03-05,14.96
2020-03-06,14.83
2020-03-07,
2020-03-08,
2020-03-09,13.94
2020-03-10,13.02
2020-03-11,12.32
2020-03-12,11.5
2020-03-13,11.38
2020-03-14,
2020-03-15,
2020-03-16,10.91
2020-03-17,12.12
2020-03-18,11.57
2020-03-19,12.53
2020-03-20,12.79
2020-03-21,
2020-03-22,
2020-03-23,12.58
2020-03-24,14.52
2020-03-25,13.57
2020-03-26,13.69
2020-03-27,11.55
2020-03-28,
2020-03-29,
2020-03-30,12.46
2020-03-31,12.19
2020-04-01,11.15
2020-04-02,11.74
2020-04-03,11.34
2020-04-04,
2020-04-05,
2020-04-06,11.86
2020-04-07,11.57
2020-04-08,12.11
2020-04-09,12.74
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,11.96
2020-04-14,12.54
2020-04-15,11.79
2020-04-16,10.93
2020-04-17,11.01
2020-04-18,
2020-04-19,
2020-04-20,11.15
2020-04-21,10.67
2020-04-22,11.07
2020-04-23,10.94
2020-04-24,11.25
2020-04-25,
2020-04-26,
2020-04-27,11.72
2020-04-28,12.08
2020-04-29,13.12
2020-04-30,12.38
2020-05-01,11.44
2020-05-02,
2020-05-03,
2020-05-04,10.92
2020-05-05,10.61
2020-05-06,10.2
2020-05-07,10.33
2020-05-08,10.74
2020-05-09,
2020-05-10,
2020-05-11,10.59
2020-05-12,10.26
2020-05-13,10.2
2020-05-14,10.44
2020-05-15,10.7
2020-05-16,
2020-05-17,
2020-05-18,11.66
2020-05-19,10.97
2020-05-20,11.14
2020-05-21,11.13
2020-05-22,11.05
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,11.06
2020-05-27,11.08
2020-05-28,10.98
2020-05-29,10.81
2020-05-30,
2020-05-31,
2020-06-01,11.14
2020-06-02,12.06
2020-06-03,12.1
2020-06-04,12.66
2020-06-05,14.73
2020-06-06,
2020-06-07,
2020-06-08,13.24
2020-06-09,13.34
2020-06-10,12.83
2020-06-11,12.0
2020-06-12,12.03
2020-06-13,
2020-06-14,
2020-06-15,11.99
2020-06-16,11.86
2020-06-17,11.49
2020-06-18,11.52
2020-06-19,11.41
2020-06-20,
2020-06-21,
2020-06-22,11.43
2020-06-23,11.5
2020-06-24,11.71
2020-06-25,11.92
2020-06-26,11.9
2020-06-27,
2020-06-28,
2020-06-29,12.12
2020-06-30,12.15
2020-07-01,12.02
2020-07-02,12.22
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,12.25
2020-07-07,11.84
2020-07-08,11.54
2020-07-09,11.5
2020-07-10,11.61
2020-07-11,
2020-07-12,
2020-07-13,11.69
2020-07-14,11.61
2020-07-15,12.2
2020-07-16,11.86
2020-07-17,11.5
2020-07-18,
2020-07-19,
2020-07-20,11.87
2020-07-21,12.14
2020-07-22,11.83
2020-07-23,11.81
2020-07-24,11.73
2020-07-25,
2020-07-26,
2020-07-27,11.83
2020-07-28,11.52
2020-07-29,11.83
2020-07-30,12.1
2020-07-31,12.55
2020-08-01,
2020-08-02,
2020-08-03,12.39
2020-08-04,12.52
2020-08-05,12.9
2020-08-06,12.98
2020-08-07,13.46
2020-08-08,
2020-08-09,
2020-08-10,13.73
2020-08-11,13.61
2020-08-12,13.52
2020-08-13,13.57
2020-08-14,13.02
2020-08-15,
2020-08-16,
2020-08-17,13.03
2020-08-18,12.7
2020-08-19,12.67
2020-08-20,12.66
2020-08-21,11.97
2020-08-22,
2020-08-23,
2020-08-24,11.89
2020-08-25,12.33
2020-08-26,12.0
2020-08-27,12.2
2020-08-28,12.96
2020-08-29,
2020-08-30,
2020-08-31,12.63
2020-09-01,12.9
2020-09-02,13.04
2020-09-03,13.72
2020-09-04,13.56
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,13.74
2020-09-09,13.56
2020-09-10,13.31
2020-09-11,13.09
2020-09-12,
2020-09-13,
2020-09-14,13.21
2020-09-15,13.52
2020-09-16,13.93
2020-09-17,13.64
2020-09-18,12.96
2020-09-19,
2020-09-20,
2020-09-21,12.22
2020-09-22,12.75
2020-09-23,12.07
2020-09-24,12.36
2020-09-25,12.36
2020-09-26,
2020-09-27,
2020-09-28,12.68
2020-09-29,12.55
2020-09-30,12.28
2020-10-01,12.15
2020-10-02,12.79
2020-10-03,
2020-10-04,
2020-10-05,12.9
2020-10-06,13.28
2020-10-07,13.95
2020-10-08,13.86
2020-10-09,14.06
2020-10-10,
2020-10-11,
2020-10-12,13.99
2020-10-13,13.47
2020-10-14,13.54
2020-10-15,13.56
2020-10-16,13.47
2020-10-17,
2020-10-18,
2020-10-19,13.2
2020-10-20,13.13
2020-10-21,12.89
2020-10-22,13.31
2020-10-23,13.09
2020-10-24,
2020-10-25,
2020-10-26,12.91
2020-10-27,12.75
2020-10-28,13.18
2020-10-29,12.71
2020-10-30,12.7
2020-10-31,
2020-11-01,
2020-11-02,12.94
2020-11-03,13.51
