Date,Close
2024-01-01,
2024-01-02,17.62
2024-01-03,17.22
2024-01-04,17.14
2024-01-05,17.04
2024-01-06,
2024-01-07,
2024-01-08,17.3
2024-01-09,17.13
2024-01-10,17.17
2024-01-11,17.2
2024-01-12,17.24
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,16.76
2024-01-17,16.51
2024-01-18,16.61
2024-01-19,16.84
2024-01-20,
2024-01-21,
2024-01-22,16.95
2024-01-23,16.93
2024-01-24,16.98
2024-01-25,16.99
2024-01-26,16.95
2024-01-27,
2024-01-28,
2024-01-29,16.94
2024-01-30,16.96
2024-01-31,16.69
2024-02-01,16.95
2024-02-02,16.89
2024-02-03,
2024-02-04,
2024-02-05,16.76
2024-02-06,16.8
2024-02-07,16.87
2024-02-08,17.0
2024-02-09,17.07
2024-02-10,
2024-02-11,
2024-02-12,17.08
2024-02-13,16.74
2024-02-14,16.92
2024-02-15,17.21
2024-02-16,17.23
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,17.16
2024-02-21,17.11
2024-02-22,17.4
2024-02-23,17.31
2024-02-24,
2024-02-25,
2024-02-26,17.34
2024-02-27,17.32
2024-02-28,17.24
2024-02-29,17.12
2024-03-01,17.28
2024-03-02,
2024-03-03,
2024-03-04,17.29
2024-03-05,17.1
2024-03-06,17.37
2024-03-07,17.5
2024-03-08,17.39
2024-03-09,
2024-03-10,
2024-03-11,17.42
2024-03-12,17.53
2024-03-13,17.35
2024-03-14,17.24
2024-03-15,17.17
2024-03-16,
2024-03-17,
2024-03-18,17.13
2024-03-19,17.08
2024-03-20,17.17
2024-03-21,17.35
2024-03-22,17.19
2024-03-23,
2024-03-24,
2024-03-25,17.11
2024-03-26,17.17
2024-03-27,17.25
2024-03-28,17.26
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,17.2
2024-04-02,17.02
2024-04-03,17.01
2024-04-04,16.92
2024-04-05,16.98
2024-04-06,
2024-04-07,
2024-04-08,17.07
2024-04-09,17.07
2024-04-10,16.9
2024-04-11,16.95
2024-04-12,16.69
2024-04-13,
2024-04-14,
2024-04-15,16.59
2024-04-16,16.43
2024-04-17,16.43
2024-04-18,16.42
2024-04-19,16.17
2024-04-20,
2024-04-21,
2024-04-22,16.24
2024-04-23,16.53
2024-04-24,16.62
2024-04-25,16.44
2024-04-26,16.72
2024-04-27,
2024-04-28,
2024-04-29,16.78
2024-04-30,16.59
2024-05-01,16.69
2024-05-02,16.76
2024-05-03,17.02
2024-05-04,
2024-05-05,
2024-05-06,17.15
2024-05-07,17.17
2024-05-08,17.14
2024-05-09,17.15
2024-05-10,17.1
2024-05-11,
2024-05-12,
2024-05-13,17.11
2024-05-14,17.22
2024-05-15,17.5
2024-05-16,17.49
2024-05-17,17.4
2024-05-18,
2024-05-19,
2024-05-20,17.45
2024-05-21,17.31
2024-05-22,17.34
2024-05-23,17.35
2024-05-24,17.32
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,17.34
2024-05-29,17.03
2024-05-30,17.0
2024-05-31,17.06
2024-06-01,
2024-06-02,
2024-06-03,17.02
2024-06-04,16.93
2024-06-05,17.15
2024-06-06,17.12
2024-06-07,16.98
2024-06-08,
2024-06-09,
2024-06-10,16.98
2024-06-11,16.93
2024-06-12,17.14
2024-06-13,17.01
2024-06-14,16.89
2024-06-15,
2024-06-16,
2024-06-17,16.97
2024-06-18,17.03
2024-06-19,
2024-06-20,17.09
2024-06-21,17.05
2024-06-22,
2024-06-23,
2024-06-24,17.04
2024-06-25,16.96
2024-06-26,16.89
2024-06-27,16.89
2024-06-28,16.89
2024-06-29,
2024-06-30,
2024-07-01,16.83
2024-07-02,16.8
2024-07-03,17.01
2024-07-04,
2024-07-05,17.17
2024-07-06,
2024-07-07,
2024-07-08,17.16
2024-07-09,17.12
2024-07-10,17.26
2024-07-11,17.49
2024-07-12,17.83
2024-07-13,
2024-07-14,
2024-07-15,17.77
2024-07-16,17.9
2024-07-17,17.73
2024-07-18,17.55
2024-07-19,17.37
2024-07-20,
2024-07-21,
2024-07-22,17.5
2024-07-23,17.43
2024-07-24,17.11
2024-07-25,17.0
2024-07-26,17.16
2024-07-27,
2024-07-28,
2024-07-29,17.1
2024-07-30,17.14
2024-07-31,17.44
2024-08-01,16.96
2024-08-02,16.59
2024-08-03,
2024-08-04,
2024-08-05,16.24
2024-08-06,16.35
2024-08-07,16.54
2024-08-08,16.68
2024-08-09,16.68
2024-08-10,
2024-08-11,
2024-08-12,16.71
2024-08-13,17.04
2024-08-14,17.04
2024-08-15,17.22
2024-08-16,17.39
2024-08-17,
2024-08-18,
2024-08-19,17.52
2024-08-20,17.56
2024-08-21,17.62
2024-08-22,17.58
2024-08-23,17.89
2024-08-24,
2024-08-25,
2024-08-26,17.79
2024-08-27,17.82
2024-08-28,17.71
2024-08-29,17.77
2024-08-30,17.79
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,17.21
2024-09-04,17.21
2024-09-05,17.21
2024-09-06,16.89
2024-09-07,
2024-09-08,
2024-09-09,17.11
2024-09-10,17.03
2024-09-11,17.2
2024-09-12,17.39
2024-09-13,17.5
2024-09-14,
2024-09-15,
2024-09-16,17.53
2024-09-17,17.53
2024-09-18,17.43
2024-09-19,17.9
2024-09-20,17.67
2024-09-21,
2024-09-22,
2024-09-23,17.67
2024-09-24,17.81
2024-09-25,17.74
2024-09-26,18.12
2024-09-27,18.25
2024-09-28,
2024-09-29,
2024-09-30,17.97
2024-10-01,17.86
2024-10-02,17.77
2024-10-03,17.61
2024-10-04,17.67
2024-10-05,
2024-10-06,
2024-10-07,17.73
2024-10-08,17.64
2024-10-09,17.7
2024-10-10,17.62
2024-10-11,17.69
2024-10-12,
2024-10-13,
2024-10-14,17.71
2024-10-15,17.7
2024-10-16,17.53
2024-10-17,17.47
2024-10-18,17.47
2024-10-19,
2024-10-20,
2024-10-21,17.32
2024-10-22,17.17
2024-10-23,17.07
2024-10-24,17.07
2024-10-25,17.05
2024-10-26,
2024-10-27,
2024-10-28,17.12
2024-10-29,17.08
2024-10-30,16.99
2024-10-31,16.74
2024-11-01,16.8
2024-11-02,
2024-11-03,
2024-11-04,16.9
2024-11-05,17.07
2024-11-06,16.96
2024-11-07,17.19
2024-11-08,17.06
2024-11-09,
2024-11-10,
2024-11-11,17.01
2024-11-12,16.71
2024-11-13,16.55
2024-11-14,16.49
2024-11-15,16.3
2024-11-16,
2024-11-17,
2024-11-18,16.17
2024-11-19,16.18
2024-11-20,16.13
2024-11-21,16.22
2024-11-22,16.38
2024-11-23,
2024-11-24,
2024-11-25,16.6
2024-11-26,16.42
2024-11-27,16.42
2024-11-28,
2024-11-29,16.55
2024-11-30,
2024-12-01,
2024-12-02,16.56
2024-12-03,16.68
2024-12-04,16.88
2024-12-05,16.95
2024-12-06,17.03
2024-12-07,
2024-12-08,
2024-12-09,17.01
2024-12-10,16.91
2024-12-11,16.91
2024-12-12,16.78
2024-12-13,16.65
2024-12-14,
2024-12-15,
2024-12-16,16.63
2024-12-17,16.61
2024-12-18,16.18
2024-12-19,16.22
2024-12-20,16.31
2024-12-21,
2024-12-22,
2024-12-23,16.32
2024-12-24,16.42
2024-12-25,
2024-12-26,16.37
2024-12-27,16.34
2024-12-28,
2024-12-29,
2024-12-30,16.2
2024-12-31,16.22
2025-01-01,
2025-01-02,16.2
2025-01-03,16.34
2025-01-04,
2025-01-05,
2025-01-06,16.54
2025-01-07,16.41
2025-01-08,16.31
2025-01-09,
2025-01-10,15.99
2025-01-11,
2025-01-12,
2025-01-13,15.77
2025-01-14,15.8
2025-01-15,16.18
2025-01-16,16.3
2025-01-17,16.38
2025-01-18,
2025-01-19,
2025-01-20,
2025-01-21,16.69
2025-01-22,16.83
2025-01-23,16.86
2025-01-24,16.97
2025-01-25,
2025-01-26,
2025-01-27,16.71
2025-01-28,16.93
2025-01-29,16.95
2025-01-30,17.07
2025-01-31,17.02
2025-02-01,
2025-02-02,
2025-02-03,16.73
2025-02-04,16.88
2025-02-05,16.99
2025-02-06,17.1
2025-02-07,17.01
2025-02-08,
2025-02-09,
2025-02-10,17.05
2025-02-11,17.06
2025-02-12,17.07
2025-02-13,17.49
2025-02-14,17.41
2025-02-15,
2025-02-16,
2025-02-17,
2025-02-18,17.5
2025-02-19,17.32
2025-02-20,17.37
2025-02-21,17.05
2025-02-22,
2025-02-23,
2025-02-24,16.99
2025-02-25,16.85
2025-02-26,16.9
2025-02-27,16.4
2025-02-28,16.44
2025-03-01,
2025-03-02,
2025-03-03,16.32
2025-03-04,16.26
2025-03-05,16.64
2025-03-06,16.25
2025-03-07,16.33
2025-03-08,
2025-03-09,
2025-03-10,15.87
2025-03-11,15.84
2025-03-12,15.98
2025-03-13,15.71
2025-03-14,16.17
2025-03-15,
2025-03-16,
2025-03-17,16.34
2025-03-18,16.36
2025-03-19,16.41
2025-03-20,16.34
2025-03-21,16.19
2025-03-22,
2025-03-23,
2025-03-24,16.27
2025-03-25,16.31
2025-03-26,16.09
2025-03-27,16.1
2025-03-28,15.78
2025-03-29,
2025-03-30,
2025-03-31,15.49
2025-04-01,15.67
2025-04-02,15.8
2025-04-03,15.35
2025-04-04,14.53
2025-04-05,
2025-04-06,
2025-04-07,14.21
2025-04-08,14.16
2025-04-09,15.2
2025-04-10,14.86
2025-04-11,15.44
2025-04-12,
2025-04-13,
2025-04-14,15.69
2025-04-15,15.84
2025-04-16,15.68
2025-04-17,15.89
2025-04-18,
2025-04-19,
2025-04-20,
2025-04-21,15.82
2025-04-22,15.96
2025-04-23,16.16
2025-04-24,16.44
2025-04-25,16.41
2025-04-26,
2025-04-27,
2025-04-28,16.5
2025-04-29,16.55
2025-04-30,16.62
2025-05-01,16.58
2025-05-02,17.04
2025-05-03,
2025-05-04,
2025-05-05,17.09
2025-05-06,17.08
2025-05-07,17.08
2025-05-08,17.17
2025-05-09,17.26
2025-05-10,
2025-05-11,
2025-05-12,17.55
2025-05-13,17.7
2025-05-14,17.69
2025-05-15,17.73
2025-05-16,17.68
2025-05-17,
2025-05-18,
2025-05-19,17.72
2025-05-20,17.89
2025-05-21,17.73
2025-05-22,17.66
2025-05-23,17.69
2025-05-24,
2025-05-25,
2025-05-26,
2025-05-27,17.95
2025-05-28,17.83
2025-05-29,17.86
2025-05-30,17.81
2025-05-31,
2025-06-01,
2025-06-02,17.85
