Date,Close
2024-01-01,
2024-01-02,29.29
2024-01-03,28.94
2024-01-04,29.08
2024-01-05,29.36
2024-01-06,
2024-01-07,
2024-01-08,30.08
2024-01-09,29.38
2024-01-10,29.48
2024-01-11,29.53
2024-01-12,29.39
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,29.03
2024-01-17,28.67
2024-01-18,28.97
2024-01-19,29.24
2024-01-20,
2024-01-21,
2024-01-22,29.41
2024-01-23,29.1
2024-01-24,29.17
2024-01-25,29.6
2024-01-26,29.64
2024-01-27,
2024-01-28,
2024-01-29,29.92
2024-01-30,31.98
2024-01-31,31.21
2024-02-01,30.82
2024-02-02,30.98
2024-02-03,
2024-02-04,
2024-02-05,30.75
2024-02-06,30.77
2024-02-07,30.53
2024-02-08,30.48
2024-02-09,30.77
2024-02-10,
2024-02-11,
2024-02-12,30.91
2024-02-13,30.04
2024-02-14,30.5
2024-02-15,30.76
2024-02-16,30.65
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,31.01
2024-02-21,30.98
2024-02-22,31.4
2024-02-23,31.4
2024-02-24,
2024-02-25,
2024-02-26,31.23
2024-02-27,31.15
2024-02-28,31.09
2024-02-29,31.24
2024-03-01,31.44
2024-03-02,
2024-03-03,
2024-03-04,32.34
2024-03-05,31.49
2024-03-06,31.79
2024-03-07,31.58
2024-03-08,31.69
2024-03-09,
2024-03-10,
2024-03-11,31.88
2024-03-12,31.87
2024-03-13,31.71
2024-03-14,31.52
2024-03-15,31.5
2024-03-16,
2024-03-17,
2024-03-18,31.32
2024-03-19,31.54
2024-03-20,31.65
2024-03-21,32.1
2024-03-22,31.56
2024-03-23,
2024-03-24,
2024-03-25,31.46
2024-03-26,31.3
2024-03-27,31.99
2024-03-28,31.93
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,31.65
2024-04-02,31.5
2024-04-03,31.56
2024-04-04,31.36
2024-04-05,31.53
2024-04-06,
2024-04-07,
2024-04-08,31.19
2024-04-09,31.54
2024-04-10,30.96
2024-04-11,31.27
2024-04-12,30.51
2024-04-13,
2024-04-14,
2024-04-15,30.32
2024-04-16,29.96
2024-04-17,30.02
2024-04-18,29.95
2024-04-19,30.3
2024-04-20,
2024-04-21,
2024-04-22,30.57
2024-04-23,30.55
2024-04-24,30.54
2024-04-25,30.37
2024-04-26,30.35
2024-04-27,
2024-04-28,
2024-04-29,30.79
2024-04-30,32.34
2024-05-01,32.44
2024-05-02,32.52
2024-05-03,32.67
2024-05-04,
2024-05-05,
2024-05-06,32.4
2024-05-07,32.38
2024-05-08,32.87
2024-05-09,33.14
2024-05-10,33.11
2024-05-11,
2024-05-12,
2024-05-13,33.21
2024-05-14,33.86
2024-05-15,34.02
2024-05-16,34.12
2024-05-17,34.25
2024-05-18,
2024-05-19,
2024-05-20,34.41
2024-05-21,35.34
2024-05-22,35.44
2024-05-23,35.0
2024-05-24,35.15
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,34.73
2024-05-29,34.44
2024-05-30,35.81
2024-05-31,36.38
2024-06-01,
2024-06-02,
2024-06-03,36.47
2024-06-04,36.13
2024-06-05,36.6
2024-06-06,36.51
2024-06-07,36.05
2024-06-08,
2024-06-09,
2024-06-10,35.98
2024-06-11,36.46
2024-06-12,37.12
2024-06-13,37.18
2024-06-14,36.37
2024-06-15,
2024-06-16,
2024-06-17,37.83
2024-06-18,39.26
2024-06-19,
2024-06-20,38.9
2024-06-21,39.1
2024-06-22,
2024-06-23,
2024-06-24,38.95
2024-06-25,38.83
2024-06-26,37.37
2024-06-27,37.67
2024-06-28,37.93
2024-06-29,
2024-06-30,
2024-07-01,37.74
2024-07-02,37.48
2024-07-03,37.51
2024-07-04,
2024-07-05,37.53
2024-07-06,
2024-07-07,
2024-07-08,42.03
2024-07-09,43.61
2024-07-10,44.4
2024-07-11,43.98
2024-07-12,44.54
2024-07-13,
2024-07-14,
2024-07-15,44.67
2024-07-16,45.1
2024-07-17,44.75
2024-07-18,43.92
2024-07-19,43.26
2024-07-20,
2024-07-21,
2024-07-22,43.26
2024-07-23,43.01
2024-07-24,42.91
2024-07-25,41.79
2024-07-26,41.83
2024-07-27,
2024-07-28,
2024-07-29,41.67
2024-07-30,38.8
2024-07-31,39.06
2024-08-01,39.09
2024-08-02,38.02
2024-08-03,
2024-08-04,
2024-08-05,36.86
2024-08-06,37.42
2024-08-07,36.95
2024-08-08,37.69
2024-08-09,37.54
2024-08-10,
2024-08-11,
2024-08-12,38.38
2024-08-13,38.83
2024-08-14,38.65
2024-08-15,39.3
2024-08-16,39.25
2024-08-17,
2024-08-18,
2024-08-19,39.65
2024-08-20,39.76
2024-08-21,41.08
2024-08-22,40.29
2024-08-23,40.94
2024-08-24,
2024-08-25,
2024-08-26,41.22
2024-08-27,41.51
2024-08-28,41.32
2024-08-29,40.88
2024-08-30,41.13
2024-08-31,
2024-09-01,
2024-09-02,
2024-09-03,39.97
2024-09-04,40.53
2024-09-05,40.66
2024-09-06,39.94
2024-09-07,
2024-09-08,
2024-09-09,40.27
2024-09-10,40.45
2024-09-11,41.13
2024-09-12,41.14
2024-09-13,41.77
2024-09-14,
2024-09-15,
2024-09-16,42.17
2024-09-17,42.56
2024-09-18,42.67
2024-09-19,43.67
2024-09-20,43.74
2024-09-21,
2024-09-22,
2024-09-23,43.88
2024-09-24,44.51
2024-09-25,43.9
2024-09-26,44.5
2024-09-27,44.1
2024-09-28,
2024-09-29,
2024-09-30,44.37
