Date,Close
2024-01-01,
2024-01-02,22.44
2024-01-03,22.33
2024-01-04,22.37
2024-01-05,22.56
2024-01-06,
2024-01-07,
2024-01-08,22.51
2024-01-09,22.24
2024-01-10,22.12
2024-01-11,22.17
2024-01-12,22.33
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,21.92
2024-01-17,21.58
2024-01-18,21.76
2024-01-19,21.96
2024-01-20,
2024-01-21,
2024-01-22,21.74
2024-01-23,21.8
2024-01-24,22.11
2024-01-25,22.25
2024-01-26,22.28
2024-01-27,
2024-01-28,
2024-01-29,22.34
2024-01-30,22.28
2024-01-31,22.21
2024-02-01,22.47
2024-02-02,22.4
2024-02-03,
2024-02-04,
2024-02-05,22.31
2024-02-06,22.73
2024-02-07,22.73
2024-02-08,22.64
2024-02-09,22.58
2024-02-10,
2024-02-11,
2024-02-12,22.57
2024-02-13,22.35
2024-02-14,22.57
2024-02-15,22.74
2024-02-16,22.83
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,23.01
2024-02-21,23.0
2024-02-22,23.24
2024-02-23,23.15
2024-02-24,
2024-02-25,
2024-02-26,23.09
2024-02-27,23.13
2024-02-28,22.85
2024-02-29,22.96
2024-03-01,23.13
2024-03-02,
2024-03-03,
2024-03-04,23.14
2024-03-05,23.0
2024-03-06,23.19
2024-03-07,23.36
2024-03-08,23.24
2024-03-09,
2024-03-10,
2024-03-11,23.17
2024-03-12,23.41
2024-03-13,23.38
2024-03-14,23.3
2024-03-15,23.06
2024-03-16,
2024-03-17,
2024-03-18,23.02
2024-03-19,22.91
2024-03-20,23.2
2024-03-21,23.29
2024-03-22,23.06
2024-03-23,
2024-03-24,
2024-03-25,23.02
2024-03-26,22.99
2024-03-27,23.06
2024-03-28,23.11
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,23.12
2024-04-02,23.33
2024-04-03,23.4
2024-04-04,23.37
2024-04-05,23.35
2024-04-06,
2024-04-07,
2024-04-08,23.48
2024-04-09,23.6
2024-04-10,23.56
2024-04-11,23.57
2024-04-12,23.17
2024-04-13,
2024-04-14,
2024-04-15,23.05
2024-04-16,22.65
2024-04-17,22.77
2024-04-18,22.79
2024-04-19,22.68
2024-04-20,
2024-04-21,
2024-04-22,22.85
2024-04-23,22.95
2024-04-24,23.09
2024-04-25,23.13
2024-04-26,23.37
2024-04-27,
2024-04-28,
2024-04-29,23.61
2024-04-30,23.37
2024-05-01,23.37
2024-05-02,23.72
2024-05-03,23.98
2024-05-04,
2024-05-05,
2024-05-06,24.05
2024-05-07,23.96
2024-05-08,23.99
2024-05-09,23.97
2024-05-10,24.23
2024-05-11,
2024-05-12,
2024-05-13,24.42
2024-05-14,24.51
2024-05-15,24.67
2024-05-16,24.85
2024-05-17,24.88
2024-05-18,
2024-05-19,
2024-05-20,24.86
2024-05-21,24.71
2024-05-22,24.67
2024-05-23,24.45
2024-05-24,24.56
2024-05-25,
2024-05-26,
2024-05-27,
2024-05-28,24.66
2024-05-29,24.29
2024-05-30,24.04
