Date,Close
2020-01-01,
2020-01-02,62.43
2020-01-03,64.38
2020-01-04,
2020-01-05,
2020-01-06,65.32
2020-01-07,65.4
2020-01-08,63.17
2020-01-09,63.69
2020-01-10,63.16
2020-01-11,
2020-01-12,
2020-01-13,63.89
2020-01-14,64.59
2020-01-15,64.61
2020-01-16,64.82
2020-01-17,64.44
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,63.14
2020-01-22,61.95
2020-01-23,61.33
2020-01-24,59.38
2020-01-25,
2020-01-26,
2020-01-27,57.29
2020-01-28,57.27
2020-01-29,53.3
2020-01-30,53.99
2020-01-31,52.15
2020-02-01,
2020-02-02,
2020-02-03,52.02
2020-02-04,53.16
2020-02-05,54.68
2020-02-06,52.57
2020-02-07,51.12
2020-02-08,
2020-02-09,
2020-02-10,50.66
2020-02-11,51.77
2020-02-12,54.18
2020-02-13,55.3
2020-02-14,55.63
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,56.36
2020-02-19,58.6
2020-02-20,59.66
2020-02-21,59.39
2020-02-22,
2020-02-23,
2020-02-24,55.52
2020-02-25,52.91
2020-02-26,51.51
2020-02-27,50.72
2020-02-28,51.79
2020-02-29,
2020-03-01,
2020-03-02,52.72
2020-03-03,53.19
2020-03-04,52.55
2020-03-05,50.22
2020-03-06,45.84
2020-03-07,
2020-03-08,
2020-03-09,30.4
2020-03-10,36.58
2020-03-11,33.82
2020-03-12,30.27
2020-03-13,32.44
2020-03-14,
2020-03-15,
2020-03-16,28.84
2020-03-17,28.44
2020-03-18,28.0
2020-03-19,28.92
2020-03-20,28.51
2020-03-21,
2020-03-22,
2020-03-23,26.86
2020-03-24,32.07
2020-03-25,32.27
2020-03-26,34.07
2020-03-27,31.61
2020-03-28,
2020-03-29,
2020-03-30,29.66
2020-03-31,30.93
2020-04-01,29.71
2020-04-02,32.79
2020-04-03,31.14
2020-04-04,
2020-04-05,
2020-04-06,32.63
2020-04-07,32.64
2020-04-08,36.4
2020-04-09,37.51
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,37.07
2020-04-14,35.86
2020-04-15,32.9
2020-04-16,30.23
2020-04-17,34.7
2020-04-18,
2020-04-19,
2020-04-20,33.38
2020-04-21,33.79
2020-04-22,36.58
2020-04-23,38.71
2020-04-24,39.44
2020-04-25,
2020-04-26,
2020-04-27,40.1
2020-04-28,41.15
2020-04-29,45.53
2020-04-30,45.18
2020-05-01,41.13
2020-05-02,
2020-05-03,
2020-05-04,43.0
2020-05-05,42.86
2020-05-06,41.81
2020-05-07,43.1
2020-05-08,45.04
2020-05-09,
2020-05-10,
2020-05-11,43.78
2020-05-12,41.62
2020-05-13,39.35
2020-05-14,39.73
2020-05-15,40.94
2020-05-16,
2020-05-17,
2020-05-18,45.62
2020-05-19,42.6
2020-05-20,43.98
2020-05-21,43.88
2020-05-22,43.75
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,45.17
2020-05-27,45.88
2020-05-28,45.0
2020-05-29,44.1
2020-05-30,
2020-05-31,
2020-06-01,45.24
2020-06-02,48.06
2020-06-03,48.41
2020-06-04,48.75
2020-06-05,52.98
2020-06-06,
2020-06-07,
2020-06-08,55.72
2020-06-09,53.57
2020-06-10,49.76
2020-06-11,45.12
2020-06-12,46.32
2020-06-13,
2020-06-14,
2020-06-15,46.31
2020-06-16,48.75
2020-06-17,47.07
2020-06-18,48.23
2020-06-19,47.85
2020-06-20,
2020-06-21,
2020-06-22,48.39
2020-06-23,48.94
2020-06-24,45.72
2020-06-25,47.28
2020-06-26,45.27
2020-06-27,
2020-06-28,
2020-06-29,46.63
2020-06-30,48.38
2020-07-01,46.55
2020-07-02,48.08
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,46.21
2020-07-07,45.16
2020-07-08,46.05
2020-07-09,41.72
2020-07-10,41.93
2020-07-11,
2020-07-12,
2020-07-13,42.33
2020-07-14,44.33
2020-07-15,45.44
2020-07-16,45.45
2020-07-17,44.7
2020-07-18,
2020-07-19,
2020-07-20,45.01
2020-07-21,48.8
2020-07-22,48.64
2020-07-23,47.66
2020-07-24,47.12
2020-07-25,
2020-07-26,
2020-07-27,46.96
2020-07-28,44.91
2020-07-29,46.69
2020-07-30,44.39
2020-07-31,45.95
2020-08-01,
2020-08-02,
2020-08-03,46.54
2020-08-04,47.32
2020-08-05,50.06
2020-08-06,49.85
2020-08-07,49.52
2020-08-08,
2020-08-09,
2020-08-10,51.49
2020-08-11,49.97
2020-08-12,50.26
2020-08-13,49.24
2020-08-14,50.22
2020-08-15,
2020-08-16,
2020-08-17,48.99
2020-08-18,46.71
2020-08-19,45.28
2020-08-20,44.95
2020-08-21,44.36
2020-08-22,
2020-08-23,
2020-08-24,44.66
2020-08-25,45.12
2020-08-26,43.23
2020-08-27,43.35
2020-08-28,43.83
2020-08-29,
2020-08-30,
2020-08-31,42.99
2020-09-01,42.9
2020-09-02,42.85
2020-09-03,43.34
2020-09-04,44.03
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,42.67
2020-09-09,43.84
2020-09-10,40.64
2020-09-11,40.39
2020-09-12,
2020-09-13,
2020-09-14,41.17
2020-09-15,40.24
2020-09-16,41.51
2020-09-17,41.56
2020-09-18,40.4
2020-09-19,
2020-09-20,
2020-09-21,38.65
2020-09-22,38.72
2020-09-23,37.0
2020-09-24,37.05
2020-09-25,38.02
2020-09-26,
2020-09-27,
2020-09-28,38.53
2020-09-29,38.22
2020-09-30,38.44
2020-10-01,36.61
2020-10-02,35.42
2020-10-03,
2020-10-04,
2020-10-05,36.97
2020-10-06,35.66
2020-10-07,35.39
