Date,Close
2024-01-01,
2024-01-02,5.4
2024-01-03,5.36
2024-01-04,5.38
2024-01-05,5.38
2024-01-06,
2024-01-07,
2024-01-08,5.42
2024-01-09,5.36
2024-01-10,5.36
2024-01-11,5.34
2024-01-12,5.36
2024-01-13,
2024-01-14,
2024-01-15,
2024-01-16,5.31
2024-01-17,5.26
2024-01-18,5.26
2024-01-19,5.3
2024-01-20,
2024-01-21,
2024-01-22,5.29
2024-01-23,5.3
2024-01-24,5.33
2024-01-25,5.34
2024-01-26,5.39
2024-01-27,
2024-01-28,
2024-01-29,5.41
2024-01-30,5.4
2024-01-31,5.36
2024-02-01,5.39
2024-02-02,5.37
2024-02-03,
2024-02-04,
2024-02-05,5.33
2024-02-06,5.35
2024-02-07,5.34
2024-02-08,5.34
2024-02-09,5.33
2024-02-10,
2024-02-11,
2024-02-12,5.34
2024-02-13,5.31
2024-02-14,5.33
2024-02-15,5.35
2024-02-16,5.38
2024-02-17,
2024-02-18,
2024-02-19,
2024-02-20,5.4
2024-02-21,5.39
2024-02-22,5.42
2024-02-23,5.43
2024-02-24,
2024-02-25,
2024-02-26,5.41
2024-02-27,5.4
2024-02-28,5.39
2024-02-29,5.4
2024-03-01,5.44
2024-03-02,
2024-03-03,
2024-03-04,5.44
2024-03-05,5.43
2024-03-06,5.48
2024-03-07,5.53
2024-03-08,5.52
2024-03-09,
2024-03-10,
2024-03-11,5.53
2024-03-12,5.58
2024-03-13,5.58
2024-03-14,5.53
2024-03-15,5.51
2024-03-16,
2024-03-17,
2024-03-18,5.5
2024-03-19,5.51
2024-03-20,5.57
2024-03-21,5.58
2024-03-22,5.58
2024-03-23,
2024-03-24,
2024-03-25,5.58
2024-03-26,5.57
2024-03-27,5.6
2024-03-28,5.6
2024-03-29,
2024-03-30,
2024-03-31,
2024-04-01,5.58
2024-04-02,5.59
2024-04-03,5.6
2024-04-04,5.58
2024-04-05,5.58
2024-04-06,
2024-04-07,
2024-04-08,5.59
2024-04-09,5.61
2024-04-10,5.54
2024-04-11,5.53
2024-04-12,5.46
2024-04-13,
2024-04-14,
2024-04-15,5.45
2024-04-16,5.38
2024-04-17,5.4
2024-04-18,5.4
2024-04-19,5.41
2024-04-20,
2024-04-21,
2024-04-22,5.47
2024-04-23,5.52
2024-04-24,5.51
