Date,Close
2020-01-01,
2020-01-02,160.49
2020-01-03,158.78
2020-01-04,
2020-01-05,
2020-01-06,157.58
2020-01-07,157.67
2020-01-08,157.81
2020-01-09,158.97
2020-01-10,158.62
2020-01-11,
2020-01-12,
2020-01-13,160.92
2020-01-14,160.19
2020-01-15,160.44
2020-01-16,161.8
2020-01-17,162.66
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,160.62
2020-01-22,159.84
2020-01-23,159.42
2020-01-24,157.25
2020-01-25,
2020-01-26,
2020-01-27,154.06
2020-01-28,155.76
2020-01-29,155.95
2020-01-30,158.32
2020-01-31,153.77
2020-02-01,
2020-02-02,
2020-02-03,152.09
2020-02-04,155.54
2020-02-05,157.04
2020-02-06,156.55
2020-02-07,155.6
2020-02-08,
2020-02-09,
2020-02-10,157.09
2020-02-11,159.04
2020-02-12,160.84
2020-02-13,159.9
2020-02-14,160.51
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,159.28
2020-02-19,160.56
2020-02-20,160.42
2020-02-21,159.69
2020-02-22,
2020-02-23,
2020-02-24,155.59
2020-02-25,148.96
2020-02-26,148.41
2020-02-27,142.41
2020-02-28,144.74
2020-02-29,
2020-03-01,
2020-03-02,146.59
2020-03-03,144.49
2020-03-04,152.8
2020-03-05,147.2
2020-03-06,146.4
2020-03-07,
2020-03-08,
2020-03-09,136.43
2020-03-10,144.32
2020-03-11,136.91
2020-03-12,120.36
2020-03-13,133.36
2020-03-14,
2020-03-15,
2020-03-16,120.73
2020-03-17,117.64
2020-03-18,106.76
2020-03-19,106.18
2020-03-20,100.41
2020-03-21,
2020-03-22,
2020-03-23,92.7
2020-03-24,106.67
2020-03-25,115.72
2020-03-26,122.64
2020-03-27,117.16
2020-03-28,
2020-03-29,
2020-03-30,117.59
2020-03-31,119.41
2020-04-01,115.77
2020-04-02,118.54
2020-04-03,113.76
2020-04-04,
2020-04-05,
2020-04-06,119.6
2020-04-07,120.71
2020-04-08,124.29
2020-04-09,128.02
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,123.12
2020-04-14,125.48
2020-04-15,120.35
2020-04-16,118.11
2020-04-17,123.46
2020-04-18,
2020-04-19,
2020-04-20,121.12
2020-04-21,117.82
2020-04-22,118.74
2020-04-23,120.21
2020-04-24,120.96
2020-04-25,
2020-04-26,
2020-04-27,124.85
2020-04-28,127.42
2020-04-29,130.45
2020-04-30,126.65
2020-05-01,122.5
2020-05-02,
2020-05-03,
2020-05-04,120.67
2020-05-05,120.38
2020-05-06,118.74
2020-05-07,118.52
2020-05-08,122.2
2020-05-09,
2020-05-10,
2020-05-11,119.85
2020-05-12,113.88
2020-05-13,109.76
2020-05-14,114.23
2020-05-15,112.76
2020-05-16,
2020-05-17,
2020-05-18,122.32
2020-05-19,118.64
2020-05-20,122.31
2020-05-21,123.8
2020-05-22,125.14
2020-05-23,
2020-05-24,
2020-05-25,
