Date,Close
2020-01-01,
2020-01-02,20.46
2020-01-03,20.32
2020-01-04,
2020-01-05,
2020-01-06,20.37
2020-01-07,20.37
2020-01-08,20.37
2020-01-09,20.45
2020-01-10,20.31
2020-01-11,
2020-01-12,
2020-01-13,20.39
2020-01-14,20.39
2020-01-15,20.32
2020-01-16,20.48
2020-01-17,20.48
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,20.29
2020-01-22,20.2
2020-01-23,20.16
2020-01-24,19.94
2020-01-25,
2020-01-26,
2020-01-27,19.59
2020-01-28,19.76
2020-01-29,19.82
2020-01-30,19.84
2020-01-31,19.48
2020-02-01,
2020-02-02,
2020-02-03,19.53
2020-02-04,19.81
2020-02-05,20.07
2020-02-06,20.05
2020-02-07,20.0
2020-02-08,
2020-02-09,
2020-02-10,20.02
2020-02-11,20.09
2020-02-12,20.23
2020-02-13,20.07
2020-02-14,20.01
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,19.94
2020-02-19,19.98
2020-02-20,19.96
2020-02-21,19.69
2020-02-22,
2020-02-23,
2020-02-24,19.02
2020-02-25,18.51
2020-02-26,18.34
2020-02-27,17.69
2020-02-28,17.71
2020-02-29,
2020-03-01,
2020-03-02,18.1
2020-03-03,17.58
2020-03-04,17.98
2020-03-05,17.27
2020-03-06,16.78
2020-03-07,
2020-03-08,
2020-03-09,15.04
2020-03-10,15.76
2020-03-11,14.95
2020-03-12,13.5
2020-03-13,14.76
2020-03-14,
2020-03-15,
2020-03-16,13.15
2020-03-17,13.68
2020-03-18,12.85
2020-03-19,12.98
2020-03-20,12.54
2020-03-21,
2020-03-22,
2020-03-23,12.03
2020-03-24,13.1
2020-03-25,13.39
2020-03-26,14.11
2020-03-27,13.45
2020-03-28,
2020-03-29,
2020-03-30,13.77
2020-03-31,13.58
2020-04-01,12.97
2020-04-02,13.16
2020-04-03,12.93
2020-04-04,
2020-04-05,
2020-04-06,13.71
2020-04-07,13.8
2020-04-08,14.3
2020-04-09,14.74
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,14.47
2020-04-14,14.59
2020-04-15,14.08
2020-04-16,13.95
2020-04-17,14.49
2020-04-18,
2020-04-19,
2020-04-20,14.16
2020-04-21,13.78
2020-04-22,13.88
2020-04-23,14.0
2020-04-24,14.11
2020-04-25,
2020-04-26,
2020-04-27,14.53
2020-04-28,14.71
2020-04-29,15.21
2020-04-30,14.91
2020-05-01,14.41
2020-05-02,
2020-05-03,
2020-05-04,14.44
2020-05-05,14.42
2020-05-06,14.27
2020-05-07,14.48
2020-05-08,14.88
2020-05-09,
2020-05-10,
2020-05-11,14.73
2020-05-12,14.4
2020-05-13,13.99
2020-05-14,14.14
2020-05-15,14.18
2020-05-16,
2020-05-17,
2020-05-18,14.83
2020-05-19,14.62
2020-05-20,14.9
2020-05-21,14.85
2020-05-22,14.81
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,15.33
2020-05-27,15.83
2020-05-28,15.56
2020-05-29,15.45
2020-05-30,
2020-05-31,
2020-06-01,15.6
2020-06-02,15.83
2020-06-03,16.24
2020-06-04,16.52
2020-06-05,17.13
2020-06-06,
2020-06-07,
2020-06-08,17.75
2020-06-09,17.25
2020-06-10,16.83
2020-06-11,15.6
2020-06-12,15.97
2020-06-13,
2020-06-14,
2020-06-15,16.05
2020-06-16,16.33
2020-06-17,16.11
2020-06-18,16.14
2020-06-19,15.97
2020-06-20,
2020-06-21,
2020-06-22,15.95
2020-06-23,16.06
2020-06-24,15.48
2020-06-25,15.69
2020-06-26,15.28
2020-06-27,
2020-06-28,
2020-06-29,15.59
2020-06-30,15.81
2020-07-01,15.72
2020-07-02,15.81
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,16.03
2020-07-07,15.67
2020-07-08,15.76
2020-07-09,15.41
2020-07-10,15.71
2020-07-11,
2020-07-12,
2020-07-13,15.73
2020-07-14,15.95
2020-07-15,16.33
2020-07-16,16.27
2020-07-17,16.24
2020-07-18,
2020-07-19,
2020-07-20,16.18
2020-07-21,16.44
2020-07-22,16.41
2020-07-23,16.34
2020-07-24,16.2
2020-07-25,
2020-07-26,
2020-07-27,16.21
2020-07-28,16.13
2020-07-29,16.38
2020-07-30,16.14
2020-07-31,15.99
2020-08-01,
2020-08-02,
2020-08-03,16.18
2020-08-04,16.23
2020-08-05,16.46
2020-08-06,16.41
2020-08-07,16.65
2020-08-08,
2020-08-09,
2020-08-10,16.92
2020-08-11,17.02
2020-08-12,17.09
2020-08-13,16.97
2020-08-14,17.04
2020-08-15,
2020-08-16,
2020-08-17,16.92
2020-08-18,16.83
2020-08-19,16.83
2020-08-20,16.72
2020-08-21,16.61
2020-08-22,
2020-08-23,
2020-08-24,16.95
2020-08-25,16.95
2020-08-26,16.91
2020-08-27,17.04
2020-08-28,17.19
2020-08-29,
2020-08-30,
2020-08-31,17.01
2020-09-01,17.05
2020-09-02,17.32
2020-09-03,17.14
2020-09-04,17.18
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,16.8
2020-09-09,17.02
2020-09-10,16.72
2020-09-11,16.73
2020-09-12,
2020-09-13,
2020-09-14,16.97
2020-09-15,16.98
2020-09-16,17.32
2020-09-17,17.2
2020-09-18,17.09
2020-09-19,
2020-09-20,
2020-09-21,16.58
2020-09-22,16.55
2020-09-23,16.11
2020-09-24,16.17
2020-09-25,16.32
2020-09-26,
2020-09-27,
2020-09-28,16.55
2020-09-29,16.39
2020-09-30,16.53
2020-10-01,16.61
2020-10-02,16.72
2020-10-03,
2020-10-04,
2020-10-05,17.01
2020-10-06,16.85
2020-10-07,17.09
2020-10-08,17.37
2020-10-09,17.37
2020-10-10,
2020-10-11,
2020-10-12,17.53
2020-10-13,17.3
2020-10-14,17.18
2020-10-15,17.23
2020-10-16,17.35
2020-10-17,
2020-10-18,
2020-10-19,17.12
2020-10-20,17.25
2020-10-21,17.29
2020-10-22,17.6
2020-10-23,17.67
2020-10-24,
2020-10-25,
2020-10-26,17.23
2020-10-27,16.91
2020-10-28,16.5
2020-10-29,16.6
2020-10-30,16.62
2020-10-31,
2020-11-01,
2020-11-02,16.9
2020-11-03,17.32
2020-11-04,17.31
2020-11-05,17.78
2020-11-06,17.71
2020-11-07,
2020-11-08,
2020-11-09,18.83
2020-11-10,19.03
2020-11-11,19.02
2020-11-12,18.68
2020-11-13,19.14
2020-11-14,
2020-11-15,
2020-11-16,19.67
2020-11-17,19.72
2020-11-18,19.65
2020-11-19,19.68
2020-11-20,19.58
2020-11-21,
2020-11-22,
2020-11-23,20.01
2020-11-24,20.67
2020-11-25,20.51
2020-11-26,
2020-11-27,20.44
2020-11-28,
2020-11-29,
2020-11-30,20.08
2020-12-01,20.39
2020-12-02,20.66
2020-12-03,20.81
2020-12-04,21.2
2020-12-05,
2020-12-06,
2020-12-07,21.01
2020-12-08,20.96
2020-12-09,21.0
2020-12-10,21.03
2020-12-11,20.76
2020-12-12,
2020-12-13,
2020-12-14,20.55
2020-12-15,20.98
2020-12-16,20.96
2020-12-17,21.06
2020-12-18,20.88
2020-12-19,
2020-12-20,
2020-12-21,20.88
2020-12-22,20.72
2020-12-23,21.18
2020-12-24,21.17
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,21.24
2020-12-29,21.13
2020-12-30,21.21
2020-12-31,21.35
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,21.15
2021-01-05,21.48
2021-01-06,22.25
2021-01-07,22.39
2021-01-08,22.36
2021-01-09,
2021-01-10,
2021-01-11,22.42
2021-01-12,22.71
2021-01-13,22.59
2021-01-14,22.92
2021-01-15,22.64
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,22.68
2021-01-20,22.77
2021-01-21,22.63
2021-01-22,22.57
2021-01-23,
2021-01-24,
2021-01-25,22.53
2021-01-26,22.57
2021-01-27,22.24
2021-01-28,22.55
2021-01-29,21.96
2021-01-30,
2021-01-31,
2021-02-01,22.21
2021-02-02,22.44
2021-02-03,22.74
2021-02-04,23.08
2021-02-05,23.13
2021-02-06,
2021-02-07,
2021-02-08,23.45
2021-02-09,23.53
2021-02-10,23.58
2021-02-11,23.54
2021-02-12,23.84
2021-02-13,
2021-02-14,
2021-02-15,
2021-02-16,24.14
2021-02-17,24.17
2021-02-18,23.97
2021-02-19,24.19
2021-02-20,
2021-02-21,
2021-02-22,24.5
2021-02-23,24.6
2021-02-24,25.1
2021-02-25,24.66
2021-02-26,24.5
2021-02-27,
2021-02-28,
2021-03-01,25.15
2021-03-02,25.0
2021-03-03,25.18
2021-03-04,25.08
2021-03-05,25.61
2021-03-06,
2021-03-07,
2021-03-08,25.87
2021-03-09,25.76
2021-03-10,26.03
2021-03-11,26.02
2021-03-12,26.29
2021-03-13,
2021-03-14,
2021-03-15,26.33
2021-03-16,26.15
2021-03-17,26.32
2021-03-18,26.14
2021-03-19,26.09
2021-03-20,
2021-03-21,
2021-03-22,25.87
2021-03-23,25.31
2021-03-24,25.13
2021-03-25,25.46
2021-03-26,25.79
2021-03-27,
2021-03-28,
2021-03-29,25.49
2021-03-30,25.63
2021-03-31,25.55
2021-04-01,25.87
2021-04-02,
2021-04-03,
2021-04-04,
2021-04-05,26.04
2021-04-06,26.02
2021-04-07,26.01
2021-04-08,26.01
2021-04-09,26.04
2021-04-10,
2021-04-11,
2021-04-12,26.02
2021-04-13,26.04
2021-04-14,26.27
2021-04-15,26.32
2021-04-16,26.38
2021-04-17,
2021-04-18,
2021-04-19,26.23
2021-04-20,25.77
2021-04-21,26.13
2021-04-22,25.96
2021-04-23,26.23
2021-04-24,
2021-04-25,
2021-04-26,26.35
2021-04-27,26.45
2021-04-28,26.31
2021-04-29,26.4
2021-04-30,26.09
2021-05-01,
2021-05-02,
2021-05-03,26.41
2021-05-04,26.21
2021-05-05,26.5
2021-05-06,26.73
2021-05-07,27.03
2021-05-08,
2021-05-09,
2021-05-10,26.89
2021-05-11,26.61
2021-05-12,26.14
2021-05-13,26.32
2021-05-14,26.89
2021-05-15,
2021-05-16,
2021-05-17,27.06
2021-05-18,26.79
2021-05-19,26.52
2021-05-20,26.63
2021-05-21,26.65
2021-05-22,
2021-05-23,
2021-05-24,26.88
2021-05-25,26.68
2021-05-26,26.94
2021-05-27,27.22
2021-05-28,27.1
2021-05-29,
2021-05-30,
2021-05-31,
2021-06-01,27.44
2021-06-02,27.54
2021-06-03,27.51
2021-06-04,27.67
2021-06-05,
2021-06-06,
2021-06-07,27.67
2021-06-08,27.71
2021-06-09,27.54
2021-06-10,27.45
2021-06-11,27.6
2021-06-12,
2021-06-13,
2021-06-14,27.37
2021-06-15,27.38
2021-06-16,27.24
2021-06-17,26.7
2021-06-18,26.15
2021-06-19,
2021-06-20,
2021-06-21,26.67
2021-06-22,26.63
2021-06-23,26.59
2021-06-24,26.95
2021-06-25,27.11
2021-06-26,
2021-06-27,
2021-06-28,26.75
2021-06-29,26.7
2021-06-30,26.85
2021-07-01,27.08
2021-07-02,27.05
2021-07-03,
2021-07-04,
2021-07-05,
2021-07-06,26.55
2021-07-07,26.44
2021-07-08,26.12
2021-07-09,26.75
2021-07-10,
2021-07-11,
2021-07-12,26.74
2021-07-13,26.47
2021-07-14,26.37
2021-07-15,26.17
2021-07-16,25.87
2021-07-17,
2021-07-18,
2021-07-19,25.24
2021-07-20,25.88
2021-07-21,26.33
2021-07-22,26.11
2021-07-23,26.22
2021-07-24,
2021-07-25,
2021-07-26,26.52
2021-07-27,26.5
2021-07-28,26.54
2021-07-29,26.83
2021-07-30,26.53
2021-07-31,
2021-08-01,
2021-08-02,26.38
2021-08-03,26.69
2021-08-04,26.36
2021-08-05,26.7
2021-08-06,27.01
2021-08-07,
2021-08-08,
2021-08-09,26.96
2021-08-10,27.2
2021-08-11,27.35
2021-08-12,27.29
2021-08-13,27.15
2021-08-14,
2021-08-15,
